
[00:00:00.000 --> 00:00:05.200]  耶和華:我的心不狂傲,我的眼不高傲,
[00:00:05.200 --> 00:00:11.000]  重大或插不透的事,我也不敢行。
[00:00:11.000 --> 00:00:16.800]  使我心安穩平靜,好在母親懷中斷奶的孩子,
[00:00:16.800 --> 00:00:22.400]  我的心在我裏面如同斷過奶的孩子。
[00:00:22.400 --> 00:00:28.600]  以色列:你當仰望耶和華,從今時直到永遠。
[00:00:28.600 --> 00:00:30.600]  經文獨特
[00:00:30.600 --> 00:00:36.200]  主持人:今日有本堂傳道人梅詩姑娘在我們中間靜悼。
[00:00:36.200 --> 00:00:39.600]  她今日的講題是「願你平安」。
[00:00:39.600 --> 00:00:42.600]  現在恭敬,將時間交給梅詩姑娘。
[00:00:42.600 --> 00:00:55.600]  梅詩姑娘:弟兄姊妹早晨,大家吃過早餐沒有?
[00:00:55.600 --> 00:01:00.600]  我們中國人華人見面大多數都會問候韓圈
[00:01:00.600 --> 00:01:04.600]  「你吃了飯沒有?你吃了早餐沒有?」
[00:01:04.600 --> 00:01:10.000]  因為吃飯或者飽餐對中國人來說很重要的,
[00:01:10.000 --> 00:01:15.600]  因為我們很多交易、家庭聚會都是在餐桌前面。
[00:01:15.600 --> 00:01:20.600]  不過猶太人他們彼此問安,就會說「Shalom」,
[00:01:20.600 --> 00:01:25.400]  是一個希伯來文,翻譯出來就是「平安」。
[00:01:25.400 --> 00:01:29.800]  中文「平安」的意思就是平安無事,
[00:01:29.800 --> 00:01:35.800]  沒有事端,沒有爭執,沒有爭端,相安無事。
[00:01:35.800 --> 00:01:41.800]  不過這個意思只是佔希伯來文的意思的一部分。
[00:01:41.800 --> 00:01:44.800]  如果根據聖經原文的字典,
[00:01:44.800 --> 00:01:53.800]  「Shalom」是有完整、完全、康健、幸福、和諧、滿足、
[00:01:53.800 --> 00:01:58.800]  不動蕩、不爭吵,聽起來是一個很完美的警戒。
[00:01:58.800 --> 00:02:05.800]  這個就是以色列人祝福別人平安的意思。
[00:02:05.800 --> 00:02:12.800]  近日我們相信很多香港人心裏最需要的就是平安。
[00:02:12.800 --> 00:02:19.800]  我們每一天聽見、看見或者聽聞很多暴力、衝突、
[00:02:19.800 --> 00:02:25.800]  宅罵,不多不少都會影響我們的心靈,得不到平靜。
[00:02:25.800 --> 00:02:31.800]  主耶穌說祂所賜的平安是世人所不能給的,
[00:02:31.800 --> 00:02:35.800]  和平亦是聖靈所結的一個果子。
[00:02:35.800 --> 00:02:43.800]  今日我希望從詩篇131篇來祝福大家,願你平安。
[00:02:43.800 --> 00:02:50.800]  詩篇131篇是大衛上行之師的結集其中一篇,
[00:02:50.800 --> 00:02:54.800]  這個結集包括120至134篇。
[00:02:54.800 --> 00:03:03.800]  上行這個字是包含了台階,即是樓梯、階級、階段等級,
[00:03:03.800 --> 00:03:09.800]  給人一個感覺是上升、登上或者爬上的意思,
[00:03:09.800 --> 00:03:12.800]  所以又稱為登階之師。
[00:03:12.800 --> 00:03:19.800]  在這15篇詩篇裏面,我們一篇比一篇覺得有一個逐漸加強,
[00:03:19.800 --> 00:03:22.800]  或者上升、向上的感覺,
[00:03:22.800 --> 00:03:29.800]  就是以色列人向上仰望耶和華,登上耶路撒冷高山,
[00:03:29.800 --> 00:03:32.800]  向主去崇拜。
[00:03:32.800 --> 00:03:38.800]  這篇詩篇131篇是接續上一篇130篇,
[00:03:38.800 --> 00:03:42.800]  繼續強調以色列要仰望耶和華,
[00:03:42.800 --> 00:03:46.800]  這就是本這首詩的主旨。
[00:03:46.800 --> 00:03:51.800]  上一篇形容以色列人在深處向神呼求,
[00:03:51.800 --> 00:03:56.800]  在黑夜等候至天亮,等候神的救恩。
[00:03:56.800 --> 00:03:59.800]  而我們今天看的詩篇131篇,
[00:03:59.800 --> 00:04:01.800]  就是形容有信心的以色列人,
[00:04:01.800 --> 00:04:07.800]  在等候的時候能夠因著信心境可以平靜安穩。
[00:04:07.800 --> 00:04:12.800]  這篇詩篇我們發現是一篇最短的詩篇,
[00:04:12.800 --> 00:04:18.800]  而且第三節有些人認為是後來編輯加上去,
[00:04:18.800 --> 00:04:21.800]  為了要連接上一篇詩篇。
[00:04:21.800 --> 00:04:24.800]  不過著名的港道家施布甄說,
[00:04:24.800 --> 00:04:26.800]  這篇詩篇雖然短,
[00:04:26.800 --> 00:04:31.800]  但是是人窮盡一生要學習的功課,
[00:04:31.800 --> 00:04:34.800]  到底詩人想告訴我們,
[00:04:34.800 --> 00:04:37.800]  怎樣去調節我們的心靈,
[00:04:37.800 --> 00:04:41.800]  才能夠享受從上帝而來的平安呢?
[00:04:41.800 --> 00:04:45.800]  大衛在第一節中勸勉我們,
[00:04:45.800 --> 00:04:48.800]  要有從上帝而來的平安,
[00:04:48.800 --> 00:04:53.800]  最首要的就是心存謙卑。
[00:04:53.800 --> 00:04:56.800]  他一年就用了三個不,
[00:04:56.800 --> 00:05:02.800]  來否定一些不應該有的態度和行為。
[00:05:02.800 --> 00:05:09.800]  我心不狂傲,我眼不高大,大事不敢行。
[00:05:09.800 --> 00:05:14.800]  這三個不反映出詩人是很謙卑的。
[00:05:14.800 --> 00:05:18.800]  狂傲原文是提升或高舉,
[00:05:18.800 --> 00:05:21.800]  這句話是對神說的,
[00:05:21.800 --> 00:05:25.800]  大衛知道唯有神是背得被稱頌,
[00:05:25.800 --> 00:05:28.800]  被提升,被高舉。
[00:05:28.800 --> 00:05:30.800]  他心裏知道我只不過是人,
[00:05:30.800 --> 00:05:33.800]  我不應該被提升,被高舉,
[00:05:33.800 --> 00:05:35.800]  所以我不敢狂傲,
[00:05:35.800 --> 00:05:39.800]  但事實上很多人都很容易感覺到狂傲,
[00:05:39.800 --> 00:05:42.800]  很想被高舉,被提升,
[00:05:42.800 --> 00:05:44.800]  好像我們的子祖夏娃一樣,
[00:05:44.800 --> 00:05:46.800]  被魔鬼引誘,
[00:05:46.800 --> 00:05:49.800]  去吃了分別善惡樹的果子,
[00:05:49.800 --> 00:05:51.800]  其實她都是想被提升,
[00:05:51.800 --> 00:05:53.800]  好像神一樣。
[00:05:53.800 --> 00:05:57.800]  另外父母都很想兒女被高舉,
[00:05:57.800 --> 00:05:59.800]  被提升,有出頭的日子,
[00:05:59.800 --> 00:06:02.800]  譬如耶穌的兩個叛徒,
[00:06:02.800 --> 00:06:04.800]  雅各和約翰的母親,
[00:06:04.800 --> 00:06:07.800]  她求耶穌在天國裏面,
[00:06:07.800 --> 00:06:12.800]  讓她的兩個兒子坐在耶穌的一左一右,
[00:06:12.800 --> 00:06:14.800]  是一個重要的位置。
[00:06:14.800 --> 00:06:17.800]  這好像很平常,很正常,
[00:06:17.800 --> 00:06:19.800]  是一個人很自然的追求,
[00:06:19.800 --> 00:06:23.800]  也有人說這是人的上進心,
[00:06:23.800 --> 00:06:24.800]  有什麼不對呢?
[00:06:24.800 --> 00:06:28.800]  不過如果人用自己的方法去提升,
[00:06:28.800 --> 00:06:30.800]  以及去高舉自己,
[00:06:30.800 --> 00:06:34.800]  結果往往很容易去叛逆神,
[00:06:34.800 --> 00:06:38.800]  或者不會留意神的心意,
[00:06:38.800 --> 00:06:41.800]  希望自己代替神,
[00:06:41.800 --> 00:06:43.800]  神不喜歡人做的事,
[00:06:43.800 --> 00:06:47.800]  可能他都會落入圈套裏面做了。
[00:06:47.800 --> 00:06:50.800]  第二個「不」是「不高大」,
[00:06:50.800 --> 00:06:55.800]  什麼叫做「眼目不高大」呢?
