
[00:00:00.000 --> 00:00:17.000]  經文是記載在《士道行傳》第十四節至第十六節,以及第十五節的下半節。
[00:00:17.000 --> 00:00:29.000]  經文是記載在教會的《聖經》雙行本第二百一十八頁,二百二十一及二百二十二頁。
[00:00:29.000 --> 00:00:35.000]  請現在聽我讀出第二十四章第十四節。
[00:00:35.000 --> 00:00:52.000]  「但有一件事我向你承認,就是我正按著他們所稱為義堅的道,侍奉我祖宗的神,有信合乎律法和先知書上所記載的一切。
[00:00:52.000 --> 00:01:14.000]  我對神傳著這些人自己也接受的盼望,就是義人和不義的人都要復活。因此我勉勵自己對神、對人善上傳著無愧的良心。」
[00:01:14.000 --> 00:01:22.000]  第二十六章第十五節,二百二十一頁。
[00:01:22.000 --> 00:01:30.000]  主說:「我就是你所迫害的耶穌。」
[00:01:30.000 --> 00:01:46.000]  「起來站著,我向你顯現的目的是要派你作我獨翼,為你所看見我的事,和我將要指示你的事作見證人。
[00:01:46.000 --> 00:02:15.000]  我也要救你出來,達聖和愛邦人的手。我參你到他們那裡去,要開他們的眼睛,使他們從黑暗中轉向光明,從撒旦權下歸向神,使他們因信我而得蒙謝罪,和一切誠信的人同德基義。」
[00:02:15.000 --> 00:02:41.000]  第十九節:「因此,阿基伯王,我沒有違背那從天上來的意象,我先在大馬士革,後在耶路撒冷和猶太傳遞,以及外邦勸勉他們應當悔改歸向神,行事與悔改,的心相承。
[00:02:41.000 --> 00:03:04.000]  為這緣故,猶太人在聖殿裡拿著我,想要殺我,然而我蒙神的幫助,截至今日還暫立不韻。向尊貴的和謙卑的作見證,我所講的,並不外乎眾先知和摩西所說將來必勝的事。」
[00:03:04.000 --> 00:03:15.000]  第十三節:「就使基督必須受害,並且首先從死人中復活,把光明傳給猶太人和外邦人。」
[00:03:15.000 --> 00:03:35.000]  (主席)謝謝,我們今天有美國環球聖經公會託錢主任,蔡家思牧師在我們中間靜悟,他今天講題是「沒有違背那從天上來的意象」,現在時間是我們恭敬交給蔡牧師。
[00:03:35.000 --> 00:03:43.000]  (蔡牧師)弟兄姊妹們,午安!
[00:03:43.000 --> 00:04:02.000]  (主席)首先,代表環球聖經公會容寶龍牧師向弟兄姊妹們問安,老人家現在身體不太舒服,所以沒有什麼出來外面,但是他特意交代我,無論去到哪裡都向弟兄姊妹們問安,他現在很掛念弟兄姊妹。
[00:04:02.000 --> 00:04:19.000]  (主席)今天我帶了一些東西送給大家,這個是我們2020年的環球聖經天道機構的閱歷卡,後面有我們今年在香港四十多場的講座,大家弟兄姊妹一出去的時候可以拿。
[00:04:19.000 --> 00:04:32.000]  (主席)另外也送給教會三本書,這是一本叫「圖解中文聖經譯本」,很多人覺得我們的聖經要不要再譯呢?和學本不是很好嗎?
[00:04:32.000 --> 00:04:47.000]  (主席)這裡介紹原來中文聖經由早期開始計算,是計算到大秦景教的時候,即唐朝的時候到現在,聖經已經經過四十多次的翻譯。
