
[00:00:00.000 --> 00:00:01.640]  我們一起祈禱
[00:00:01.640 --> 00:00:04.540]  多謝主耶穌讓我們今天晚上
[00:00:04.540 --> 00:00:06.740]  雖然有少許微雨
[00:00:06.740 --> 00:00:09.840]  天氣也有少許寒冷
[00:00:09.840 --> 00:00:12.500]  但是我們也可以一起
[00:00:12.500 --> 00:00:13.740]  大家在家中
[00:00:13.740 --> 00:00:16.140]  我又可以在禮拜堂這裡
[00:00:16.140 --> 00:00:18.740]  一同去研讀神的話語
[00:00:18.740 --> 00:00:21.880]  我們也進入一些思考
[00:00:21.880 --> 00:00:25.580]  一些人的內心世界的功課
[00:00:25.580 --> 00:00:34.060]  作者也很想我們深入思考人性的一些問題
[00:00:34.060 --> 00:00:35.560]  所以我們也盼望
[00:00:35.560 --> 00:00:38.760]  藉著我們去揭一些聖經的時候
[00:00:38.760 --> 00:00:44.300]  我們大家都能夠有一個很認真的探求的心
[00:00:44.300 --> 00:00:48.540]  去了解當時人
[00:00:48.540 --> 00:00:50.440]  他們在那個時代
[00:00:50.440 --> 00:00:52.140]  在他們的處境
[00:00:52.140 --> 00:00:53.980]  他們所面對的
[00:00:53.980 --> 00:00:57.180]  更加重要的是他們如何在他們的時代
[00:00:57.180 --> 00:00:58.580]  去跟隨神
[00:00:58.580 --> 00:01:01.780]  求主帶領我們大家一起來學習
[00:01:01.780 --> 00:01:06.560]  今天晚上我們再說關於大衛的人生的時候
[00:01:06.560 --> 00:01:11.060]  我們盼望神也開啟我們心靈的空間
[00:01:11.060 --> 00:01:13.660]  去承載一些神的真理
[00:01:13.660 --> 00:01:17.400]  我們這樣禱告奉耶穌基督的名
[00:01:17.400 --> 00:01:19.400]  阿們
[00:01:19.400 --> 00:01:21.780]  我試著這樣站著說
[00:01:21.780 --> 00:01:23.280]  可能比坐著更好
[00:01:23.280 --> 00:01:25.680]  站著就不會太累
[00:01:25.680 --> 00:01:27.980]  感覺上好像會好一點
[00:01:27.980 --> 00:01:33.520]  麻煩慕蓮幫我把那些人按進來
[00:01:33.520 --> 00:01:38.920]  其實想一下是不是要說這個的時候
[00:01:38.920 --> 00:01:41.860]  如果我不說
[00:01:41.860 --> 00:01:44.700]  今天另外的經文
[00:01:44.700 --> 00:01:49.860]  一來對亞比蓋不夠全面的了解
[00:01:49.860 --> 00:01:56.000]  但是其實說又牽涉很多跟大衛有關的事
[00:01:56.000 --> 00:01:59.080]  其實想著到了真的說大衛的時候
[00:01:59.080 --> 00:02:02.880]  一次過說就會更加通順
[00:02:02.880 --> 00:02:04.180]  順暢
[00:02:04.180 --> 00:02:07.680]  因為我遲些將來說到大衛的時候
[00:02:07.680 --> 00:02:10.060]  是要從他的被召
[00:02:10.060 --> 00:02:11.660]  蒙召開始
[00:02:11.660 --> 00:02:14.460]  一直交織著他的人生
[00:02:14.460 --> 00:02:18.260]  作者幫我們去探求
[00:02:18.260 --> 00:02:21.660]  大衛他的內心世界
[00:02:21.660 --> 00:02:24.360]  大衛有些事情
[00:02:24.360 --> 00:02:29.200]  未必如我們想像的那麼簡單
[00:02:29.200 --> 00:02:31.780]  但是我們將來說到那些經文
[00:02:31.780 --> 00:02:33.540]  我們才再說
[00:02:33.540 --> 00:02:36.440]  但是因為說了亞比蓋
[00:02:36.440 --> 00:02:40.320]  又好像覺得不說另外一個婦女
[00:02:40.320 --> 00:02:42.320]  又有些不公平
[00:02:42.320 --> 00:02:44.320]  所以就變成我沒辦法了
[00:02:44.320 --> 00:02:46.520]  都要和大家去看看
[00:02:46.520 --> 00:02:50.660]  另外一個聖經都想我們去看的
[00:02:50.660 --> 00:02:54.860]  就是先看撒姆爾的下
[00:02:54.860 --> 00:02:58.060]  或者第23章先
[00:02:58.060 --> 00:03:00.400]  今天經文都算比較多的
[00:03:00.400 --> 00:03:03.480]  大家可能要揭快一點
[00:03:03.480 --> 00:03:07.200]  因為有很多的來龍去脈要交代
[00:03:07.200 --> 00:03:10.040]  23章撒姆爾的下
[00:03:10.040 --> 00:03:13.740]  不是上 是撒姆爾的下
[00:03:13.740 --> 00:03:16.820]  也是原文的希伯來文
[00:03:16.820 --> 00:03:19.120]  撒姆爾記是一卷書
[00:03:19.120 --> 00:03:21.120]  沒有分上下
[00:03:21.120 --> 00:03:26.020]  23章
[00:03:26.020 --> 00:03:28.020]  比較後一點
[00:03:28.020 --> 00:03:34.540]  23章其實是記載大衛的勇士
[00:03:34.540 --> 00:03:38.500]  幫他去得到國度的那些勇士
[00:03:38.500 --> 00:03:40.080]  詳細不讀了
[00:03:40.080 --> 00:03:41.420]  有些我們很熟的
[00:03:41.420 --> 00:03:47.780]  例如約克、亞比西、阿薩克
[00:03:47.780 --> 00:03:49.780]  還有烏尼亞
[00:03:49.780 --> 00:03:52.400]  這些都是很重要的人物
