
[00:00:00.000 --> 00:00:02.000]  各位姐妹早安
[00:00:02.000 --> 00:00:03.000]  早安
[00:00:03.000 --> 00:00:07.000]  首先在這裡恭祝大家新年蒙福 身體健康
[00:00:07.000 --> 00:00:12.000]  我們也在旁邊祝大家八個年 互相恭賀
[00:00:12.000 --> 00:00:24.000]  平時大家很少見牧師穿得這麼鮮艷 是吧
[00:00:24.000 --> 00:00:28.000]  是一年穿一次
[00:00:29.000 --> 00:00:36.000]  看到牧師穿著這樣的裝束 大家都知道新年來了
[00:00:36.000 --> 00:00:38.000]  很感謝上帝
[00:00:38.000 --> 00:00:41.000]  我們今天真的是大年初一
[00:00:41.000 --> 00:00:49.000]  來到新年一開始 大家的心就在想著上帝
[00:00:49.000 --> 00:00:51.000]  我們要什麼呢 去敬拜上帝
[00:00:51.000 --> 00:00:58.000]  所以我們錦宣家很多年來都有這個優良的傳統
[00:00:58.000 --> 00:01:02.000]  我們逢是年初一的大清晨
[00:01:02.000 --> 00:01:07.000]  我們第一時間就要去敬拜天上的父親
[00:01:07.000 --> 00:01:11.000]  敬拜天父 因為他是創天造地
[00:01:11.000 --> 00:01:13.000]  他大有能力
[00:01:13.000 --> 00:01:20.000]  他時刻眷顧保守 和引領我們的上帝
[00:01:20.000 --> 00:01:28.000]  所以我們要在新年開始 向他感恩讚美
[00:01:28.000 --> 00:01:31.000]  這是非常好的
[00:01:31.000 --> 00:01:35.000]  今天牧師講道的時候 順便提醒大家
[00:01:35.000 --> 00:01:40.000]  如果中途聽到前面兩個麥克風 前面兩個喇叭
[00:01:40.000 --> 00:01:42.000]  砰 砰 你不用怕
[00:01:42.000 --> 00:01:47.000]  這是娛慶節目 是炮仗聲
[00:01:47.000 --> 00:01:51.000]  我們沒有真炮仗 但有假炮仗聲
[00:01:51.000 --> 00:01:55.000]  所以大家可以專心聽牧師講道
[00:01:55.000 --> 00:02:01.000]  鄭華娟樂曲隊唱詩的時候
[00:02:01.000 --> 00:02:05.000]  她說到中國人的輝春很喜歡有一隻字
[00:02:05.000 --> 00:02:08.000]  我想大家都知道這是什麼字
[00:02:08.000 --> 00:02:12.000]  這是一個福字
[00:02:12.000 --> 00:02:15.000]  有些人唸上面 有些人倒轉來唸
[00:02:15.000 --> 00:02:22.000]  這個福字是中國人男女老幼 每個人都很喜歡這個字
[00:02:22.000 --> 00:02:27.000]  我們家裡很多時候都會將輝春
[00:02:27.000 --> 00:02:34.000]  將一些很好的 精簡的說話唸出來
[00:02:34.000 --> 00:02:39.000]  有些人說 福從天降 五福臨門 福升拱照
[00:02:39.000 --> 00:02:43.000]  我不知道你家裡有沒有唸過福字出來
[00:02:43.000 --> 00:02:45.000]  有唸的 舉手一下 你家裡有唸的福字
[00:02:45.000 --> 00:02:47.000]  哇 大部分都有唸
[00:02:47.000 --> 00:02:50.000]  每個人都貼了一個福字出來
[00:02:50.000 --> 00:02:52.000]  贊助是怎樣擺法 贊助是什麼福
[00:02:52.000 --> 00:02:53.000]  這個很好
[00:02:53.000 --> 00:02:57.000]  但基督徒通常福貼出來的時候
[00:02:57.000 --> 00:02:59.000]  就有這三種
[00:02:59.000 --> 00:03:01.000]  一 看你中不中
