
[00:00:00.000 --> 00:00:01.080]  大英姐妹平安
[00:00:01.080 --> 00:00:02.240]  願意我們開始之前
[00:00:02.240 --> 00:00:03.240]  我們都有一個祈禱
[00:00:03.240 --> 00:00:05.520]  參與了我們再一次感謝你
[00:00:05.520 --> 00:00:09.280]  感謝你設下生命的氣息給我們
[00:00:09.280 --> 00:00:11.880]  感謝你讓我們可以回來你的殿當中
[00:00:11.880 --> 00:00:12.800]  一同去敬拜
[00:00:12.800 --> 00:00:14.240]  一同聽你自己的話語
[00:00:14.240 --> 00:00:17.480]  一時間孩子要去分享你自己信息的時候
[00:00:17.480 --> 00:00:19.240]  求真理的聖靈
[00:00:19.240 --> 00:00:21.040]  都進到我們的心裏面
[00:00:21.040 --> 00:00:22.480]  打開我們的心
[00:00:22.480 --> 00:00:25.080]  讓我們進入真理的當中
[00:00:25.080 --> 00:00:27.680]  我們被主你自己的話語去得著
[00:00:27.680 --> 00:00:29.800]  我們被主的話語去提醒
[00:00:29.880 --> 00:00:31.880]  被主的話語去幫助
[00:00:31.880 --> 00:00:33.080]  我們恭敬的
[00:00:33.080 --> 00:00:34.480]  將以下時間交上
[00:00:34.480 --> 00:00:36.560]  奉主耶穌基督明智祈求
[00:00:36.560 --> 00:00:37.400]  阿們
[00:00:37.400 --> 00:00:42.520]  大英姐妹有沒有聽過這句話
[00:00:42.520 --> 00:00:43.280]  看得明白
[00:00:43.280 --> 00:00:47.360]  人生得一知己足矣
[00:00:47.360 --> 00:00:49.680]  就是說如果用口語化
[00:00:49.680 --> 00:00:52.200]  就是人生得一知己死而無憾
[00:00:52.200 --> 00:00:54.800]  這句話原來反映
[00:00:54.800 --> 00:00:56.840]  朋友原來對我們生命
[00:00:56.840 --> 00:00:58.040]  都是很重要的
[00:00:58.560 --> 00:01:00.840]  有些研究資料顯示
[00:01:00.840 --> 00:01:04.320]  一個人在十歲至二十四歲的時候
[00:01:04.320 --> 00:01:06.320]  他們的社交圈是最大的
[00:01:06.320 --> 00:01:10.240]  平均大約有九個朋友
[00:01:10.240 --> 00:01:11.520]  互動的朋友
[00:01:11.520 --> 00:01:12.880]  經常會聯絡
[00:01:12.880 --> 00:01:15.400]  不過到了三十歲的時候
[00:01:15.400 --> 00:01:16.760]  就開始
[00:01:16.760 --> 00:01:18.480]  降低了
[00:01:18.480 --> 00:01:19.240]  只有七個
[00:01:19.240 --> 00:01:21.600]  之後可能逐漸減少
[00:01:21.600 --> 00:01:22.880]  可能因為工作
[00:01:22.880 --> 00:01:23.520]  家庭
[00:01:23.520 --> 00:01:24.640]  或者照顧朋友
[00:01:24.640 --> 00:01:28.120]  都沒有很多時間去維持這些關係
[00:01:29.120 --> 00:01:30.720]  而在研究中
[00:01:30.720 --> 00:01:34.400]  人擁有朋友最大的數量
[00:01:34.400 --> 00:01:35.680]  調查
[00:01:35.680 --> 00:01:38.240]  因為有受過時間限制
[00:01:38.240 --> 00:01:41.440]  大腦可以粗略地處理
[00:01:41.440 --> 00:01:44.320]  大約一百五十段友誼的關係
[00:01:44.320 --> 00:01:46.520]  不過這些友誼
[00:01:46.520 --> 00:01:49.040]  都有分親密的程度
[00:01:49.040 --> 00:01:51.040]  友誼的深度
[00:01:51.040 --> 00:01:52.640]  都分了四個層次
[00:01:52.640 --> 00:01:55.760]  第一個就是
[00:01:55.760 --> 00:01:57.000]  熟人
[00:01:57.000 --> 00:01:58.080]  什麼是熟人
[00:01:58.240 --> 00:02:01.400]  熟人就是一些你經常見到的人
[00:02:01.400 --> 00:02:03.320]  可以一起聊天
[00:02:03.320 --> 00:02:04.720]  譬如問問吃飯了嗎
[00:02:04.720 --> 00:02:05.560]  最近怎麼樣
[00:02:05.560 --> 00:02:06.920]  可能是一些閒聊
[00:02:06.920 --> 00:02:11.080]  不過這些可能只是礙於點頭之交
[00:02:11.080 --> 00:02:12.280]  可能是打個招呼
[00:02:12.280 --> 00:02:16.440]  雙方沒有一些很想加深聯繫的慾望
[00:02:16.440 --> 00:02:19.120]  或者想著再建立
[00:02:19.120 --> 00:02:20.960]  這些稱為熟人
[00:02:20.960 --> 00:02:22.720]  第二個
[00:02:22.720 --> 00:02:24.320]  普通朋友
[00:02:24.320 --> 00:02:25.800]  普通朋友
[00:02:25.800 --> 00:02:27.680]  都會跟你一起活動
[00:02:27.680 --> 00:02:30.080]  定期你都會見到他
[00:02:30.080 --> 00:02:33.360]  你對他都有基本的了解
[00:02:33.360 --> 00:02:35.320]  甚至乎在活動中
[00:02:35.320 --> 00:02:36.760]  你可以跟他又說又笑
[00:02:36.760 --> 00:02:37.720]  可以聊天
[00:02:37.720 --> 00:02:39.720]  又或者除了活動之外
[00:02:39.720 --> 00:02:43.160]  你們偶爾都會約出來見面聯繫一下
[00:02:43.160 --> 00:02:44.080]  不過
[00:02:44.080 --> 00:02:45.400]  如果不見面
[00:02:45.400 --> 00:02:47.400]  你又不會覺得特別牽掛
[00:02:47.400 --> 00:02:49.760]  這些就稱為普通朋友
[00:02:49.760 --> 00:02:51.840]  第三種
[00:02:51.840 --> 00:02:54.080]  親密朋友
[00:02:54.080 --> 00:02:55.080]  Close friend
[00:02:55.560 --> 00:02:58.960]  親密朋友多數是跟熟人開始的
[00:02:58.960 --> 00:03:01.560]  兩個人會互相欣賞
[00:03:01.560 --> 00:03:03.560]  可能彼此的信任
[00:03:03.560 --> 00:03:06.480]  慢慢可能會分享多點自己的事
