
[00:00:00.000 --> 00:00:03.520]  很開心能夠再一次回到
[00:00:03.520 --> 00:00:07.640]  嘉欣家這個地方跟大家一起見法上帝
[00:00:07.640 --> 00:00:11.360]  我以前也是這樣孫的童宮
[00:00:11.360 --> 00:00:13.680]  不過N年那麼長
[00:00:13.680 --> 00:00:20.160]  主要是讓我可以去孫一堂
[00:00:20.160 --> 00:00:22.920]  去牧養弟兄姊妹
[00:00:22.920 --> 00:00:24.600]  弟兄姊妹
[00:00:24.600 --> 00:00:28.080]  平安
[00:00:28.080 --> 00:00:31.960]  今天說平安其實很難
[00:00:31.960 --> 00:00:34.400]  是不是
[00:00:34.400 --> 00:00:37.160]  每一天打開電視
[00:00:37.160 --> 00:00:38.480]  打開你的新聞
[00:00:38.480 --> 00:00:40.840]  打開你的手機
[00:00:40.840 --> 00:00:43.000]  太多的事
[00:00:43.000 --> 00:00:45.760]  是太多
[00:00:45.760 --> 00:00:47.120]  你覺得
[00:00:47.120 --> 00:00:51.000]  嘩
[00:00:51.000 --> 00:00:54.360]  怎麼辦
[00:00:54.360 --> 00:00:57.520]  無能為力這個感覺
[00:00:57.520 --> 00:01:00.280]  我不知道大家有沒有
[00:01:00.280 --> 00:01:02.720]  我就有
[00:01:02.720 --> 00:01:05.080]  大家不要以為牧師很厲害
[00:01:05.080 --> 00:01:06.800]  嘩 行了
[00:01:06.800 --> 00:01:08.800]  牧師你靠著上帝祈禱
[00:01:08.800 --> 00:01:12.000]  可以搞定
[00:01:12.000 --> 00:01:14.160]  這個牧師不行的
[00:01:14.160 --> 00:01:17.840]  其他的牧師我不知道
[00:01:17.840 --> 00:01:21.120]  這麼近
[00:01:21.120 --> 00:01:23.120]  這麼深
[00:01:23.120 --> 00:01:26.320]  怎麼辦
[00:01:26.320 --> 00:01:31.440]  今天我盼望用加拿大書跟大家一起分享
[00:01:31.440 --> 00:01:35.600]  透過加拿大書跟大家講一個訊息
[00:01:35.600 --> 00:01:44.320]  加拿大書是保羅他去了第一次的宣教旅程
[00:01:44.320 --> 00:01:45.600]  加拿大在哪裡呢
[00:01:45.600 --> 00:01:46.880]  就是今天的土耳其
[00:01:46.880 --> 00:01:48.400]  不知道大家有沒有去過這個地方
[00:01:48.400 --> 00:01:52.000]  不要緊 大家看看圈住的地方就是
[00:01:52.000 --> 00:01:54.960]  接下來的選舉都會去土耳其
[00:01:54.960 --> 00:01:57.840]  就是這些地方
[00:01:57.840 --> 00:02:00.640]  當保羅去了這些地方
[00:02:00.640 --> 00:02:01.960]  建立了教會之後
[00:02:01.960 --> 00:02:03.560]  他就離開
[00:02:03.560 --> 00:02:05.840]  之後他收到消息
[00:02:05.840 --> 00:02:08.560]  裡面的弟兄姊妹
[00:02:08.560 --> 00:02:10.480]  面對很大的困難
[00:02:10.480 --> 00:02:11.440]  很大的挑戰
[00:02:11.440 --> 00:02:12.480]  為什麼
[00:02:12.480 --> 00:02:15.080]  是因為有很多不同的人
[00:02:15.080 --> 00:02:18.760]  包括一些說自己信教
[00:02:18.760 --> 00:02:20.120]  信猶太教
[00:02:20.120 --> 00:02:22.040]  信舊約聖經的人
[00:02:22.040 --> 00:02:25.840]  去到教會當中跟我們說
[00:02:25.840 --> 00:02:28.240]  信耶穌
[00:02:28.240 --> 00:02:29.880]  不只是信而已
[00:02:29.880 --> 00:02:32.520]  大家知不知道什麼叫信耶穌
[00:02:32.520 --> 00:02:34.360]  你是不是信耶穌的
[00:02:34.360 --> 00:02:36.240]  什麼叫信耶穌
[00:02:36.240 --> 00:02:38.040]  裡面有些人說
[00:02:38.040 --> 00:02:40.680]  你要受割禮的
[00:02:40.680 --> 00:02:42.360]  你做得好不好
[00:02:42.360 --> 00:02:43.840]  不要做好事
[00:02:43.840 --> 00:02:45.680]  有沒有犯罪
[00:02:45.680 --> 00:02:46.400]  怎麼行
[00:02:46.400 --> 00:02:47.360]  這樣都行嗎
[00:02:47.360 --> 00:02:49.160]  不行
[00:02:49.160 --> 00:02:52.600]  但耶穌的福音是什麼
[00:02:52.600 --> 00:02:55.400]  不因為我們做得多好
[00:02:55.400 --> 00:02:57.760]  也不因為我們做得多差
[00:02:57.760 --> 00:02:59.640]  也不因為我們怎樣
[00:02:59.640 --> 00:03:02.280]  只要我們相信耶穌基督
[00:03:02.280 --> 00:03:04.680]  道成肉身來到這個世界上
[00:03:04.680 --> 00:03:06.360]  為我們死
[00:03:06.360 --> 00:03:07.880]  我們相信祂流出的寶血
[00:03:07.880 --> 00:03:10.480]  我們生命就能夠得到潔淨
[00:03:10.480 --> 00:03:12.200]  因信聖義
[00:03:12.200 --> 00:03:15.600]  就是我們信仰的核心
[00:03:15.600 --> 00:03:16.080]  弟兄姊妹
[00:03:16.080 --> 00:03:18.520]  你是不是因信聖義
[00:03:18.520 --> 00:03:19.800]  是,感謝主
[00:03:19.800 --> 00:03:21.080]  但當時的弟兄姊妹說
[00:03:21.080 --> 00:03:22.280]  不是啊
[00:03:22.280 --> 00:03:23.200]  他告訴別人
[00:03:23.200 --> 00:03:23.920]  你不行
[00:03:23.920 --> 00:03:24.840]  這樣還行嗎
[00:03:24.840 --> 00:03:26.360]  你有沒有割禮
[00:03:26.360 --> 00:03:29.640]  有很多困難
[00:03:29.640 --> 00:03:31.160]  很多疑問在裡面
[00:03:31.160 --> 00:03:33.960]  於是保羅就寫了這封信
