
[00:00:00.000 --> 00:00:02.000]  各位姐妹平安
[00:00:02.000 --> 00:00:07.080]  今晚跟大家一起分享的是《羅馬書》的內容
[00:00:07.080 --> 00:00:09.760]  《羅馬書》是很重要的
[00:00:09.760 --> 00:00:12.000]  因為在新約裏面的時候
[00:00:12.000 --> 00:00:16.600]  《羅馬書》是一卷將罪講得最詳細的書卷
[00:00:16.600 --> 00:00:18.800]  它跟你去探討
[00:00:18.800 --> 00:00:21.080]  由第一章到第十一章的時候
[00:00:21.080 --> 00:00:24.160]  它講到關於罪和人生命的影響
[00:00:24.160 --> 00:00:27.680]  律法和青年之間的關係
[00:00:28.360 --> 00:00:30.880]  而且人依靠自己的罪
[00:00:30.880 --> 00:00:34.040]  依靠自己在罪裏面的時候
[00:00:34.040 --> 00:00:35.760]  根本是沒有出路的
[00:00:35.760 --> 00:00:38.200]  在《羅馬書》裏面其實是講得很清楚的
[00:00:38.200 --> 00:00:41.120]  所以我今天跟大家講的題目叫做
[00:00:41.120 --> 00:00:44.040]  不要自欺欺人的意思是什麼呢
[00:00:44.040 --> 00:00:48.520]  第一就是罪對人的影響
[00:00:48.520 --> 00:00:51.280]  遠遠超過我們的想像
[00:00:51.280 --> 00:00:54.240]  不要自己騙自己
[00:00:54.240 --> 00:00:57.160]  以為罪很小事不關你事
[00:00:58.160 --> 00:01:02.160]  一些自願的情況之下接觸毒品的人
[00:01:02.160 --> 00:01:06.160]  往往都是因為他認為這粒小小的毒品
[00:01:06.160 --> 00:01:08.160]  不會控制到我
[00:01:08.160 --> 00:01:12.160]  一個染上毒癮的人
[00:01:12.160 --> 00:01:16.160]  是會認為自己可以控制到不再賭
[00:01:16.160 --> 00:01:20.160]  有婚外情的人
[00:01:20.160 --> 00:01:24.160]  是認為自己以自己的聰明智慧
[00:01:24.160 --> 00:01:28.160]  是沒有可能處理不到兩段感情的
[00:01:28.160 --> 00:01:32.160]  認為自己是可以處理得白面玲瓏的
[00:01:32.160 --> 00:01:36.160]  通常在罪裏面的人的時候都是自高自大
[00:01:36.160 --> 00:01:39.160]  以為自己能勝過罪
[00:01:39.160 --> 00:01:44.160]  所以弟兄姊妹請你不要去低估了罪對我們人生的影響
[00:01:44.160 --> 00:01:47.160]  第二個不要自欺欺人的是
[00:01:47.160 --> 00:01:51.160]  請你記得上帝什麼都知道
[00:01:53.160 --> 00:01:55.160]  我不知道大家有沒有發覺
[00:01:55.160 --> 00:01:57.160]  當我們犯罪的時候
