
[00:00:00.000 --> 00:00:03.540]  各位弟妹平安,今天很高興跟大家一起崇拜
[00:00:03.540 --> 00:00:08.060]  今天我們會看加拉太書的經文
[00:00:08.060 --> 00:00:12.660]  加拉太書是一段保羅在早期的書信
[00:00:12.660 --> 00:00:18.380]  講的都是一些我們信仰裡很根本的東西
[00:00:18.380 --> 00:00:21.420]  大家都知道的,信耶穌是怎樣
[00:00:21.420 --> 00:00:25.720]  不要靠行為,我們要憑信心,欣賞菁義等等
[00:00:25.720 --> 00:00:31.960]  所以加拉太書的第三章其實都是一些很教義的事情
[00:00:31.960 --> 00:00:38.280]  作為這麼多年基督徒,大家都很清楚我們信仰的基本
[00:00:38.280 --> 00:00:45.080]  我們的信心的重要,我們不是靠律法行為等等的事情
[00:00:45.080 --> 00:00:48.000]  不過我們跟大家一起再看這段經文
[00:00:48.000 --> 00:00:56.840]  去看看加拉太書裡保羅怎樣探討到律法的事情
[00:00:56.840 --> 00:01:04.440]  一些很根本的事情,我們怎樣看待行為、律法的事情
[00:01:04.440 --> 00:01:09.440]  剛才Jason也讀了一段經文,有關律法、欣賞菁義的事情
[00:01:09.440 --> 00:01:16.400]  所以今天講經文之前,我再講一點有關欣賞菁義的信仰
[00:01:16.400 --> 00:01:19.960]  欣賞菁義是保羅在加拉太書裡的教導
[00:01:19.960 --> 00:01:24.200]  也是後來在羅馬書第三章裡的教導
[00:01:24.200 --> 00:01:29.000]  不過更重要的是,欣賞菁義更加是500年前
[00:01:29.000 --> 00:01:34.000]  馬丁路德對保羅再一次的重新演繹
[00:01:34.000 --> 00:01:35.360]  為什麼這麼說呢?
[00:01:35.360 --> 00:01:41.160]  雖然保羅在新約裡,在加拉太書和羅馬書裡
[00:01:41.160 --> 00:01:44.400]  早就提過欣賞菁義的道理
[00:01:44.400 --> 00:01:52.800]  但500年前,我們基督教,新教開始重新重視欣賞菁義的教義
[00:01:52.800 --> 00:01:57.800]  對馬丁路德來說,信心不單單是信仰的起點
[00:01:57.800 --> 00:02:00.200]  更加是信仰的全部
[00:02:00.200 --> 00:02:10.000]  所以跟天主教不同,我們將欣賞菁義看為一個很重要的救恩
[00:02:10.000 --> 00:02:15.600]  再次回到中教改革的根源,500年前新教的起點
[00:02:15.600 --> 00:02:19.000]  馬丁路德是一個天主教會的修士
[00:02:19.000 --> 00:02:23.200]  1517年改教,丟掉95條之前
[00:02:23.200 --> 00:02:28.200]  其實他早就在當時的Wittenberg大學裡教書
[00:02:28.200 --> 00:02:32.400]  教的是詩篇、羅馬書、加拉太書
[00:02:32.400 --> 00:02:35.600]  基本上他是一個聖經科老師
[00:02:35.600 --> 00:02:41.000]  當時他開始醞釀出欣賞菁義的觀念
[00:02:41.000 --> 00:02:43.400]  但還未能夠很好的形容出來
[00:02:43.400 --> 00:02:48.400]  未能說出那個字眼,就開始慢慢醞釀出來
[00:02:48.400 --> 00:02:52.400]  馬丁路德是一個很高要求的人
[00:02:52.400 --> 00:02:55.800]  一個很認真、很著緊的人
[00:02:55.800 --> 00:02:59.000]  一個經常要求自己拿A的人
[00:02:59.000 --> 00:03:01.400]  甚至乎是一個非常火爆的人
[00:03:01.400 --> 00:03:04.800]  所以今天如果找他來做錄影的話
[00:03:04.800 --> 00:03:06.600]  應該是萬梓良最適合的
[00:03:06.600 --> 00:03:10.200]  一個很要求的人
[00:03:10.200 --> 00:03:16.200]  所以路德對於自己的問題開始有些醒覺
[00:03:16.200 --> 00:03:19.200]  無論他怎樣做都仍然發現
[00:03:19.200 --> 00:03:21.800]  無法達到上帝的標準
[00:03:21.800 --> 00:03:27.200]  所以他發現自己原來人很本身的軟弱
[00:03:27.200 --> 00:03:32.000]  這種對於人最核心的軟弱的看見
[00:03:32.000 --> 00:03:36.000]  我們稱之為卑微神學
[00:03:36.000 --> 00:03:40.600]  他還未有欣賞菁義的道理
[00:03:40.600 --> 00:03:42.600]  去說出人就是無能為力
[00:03:42.600 --> 00:03:46.800]  人就是怎樣也不能夠達到上帝的要求
[00:03:46.800 --> 00:03:50.400]  這個卑微不是我們中國人所說的謙卑
[00:03:50.400 --> 00:03:53.000]  不是一種禮貌、一種態度
[00:03:53.000 --> 00:03:57.000]  而是人徹底地對於自己的罪
[00:03:57.000 --> 00:03:59.200]  發現自己什麼都做不到
[00:03:59.200 --> 00:04:01.800]  只能夠求上帝的幫助
[00:04:01.800 --> 00:04:05.200]  這個人對自己的罪的發現
[00:04:05.200 --> 00:04:08.000]  和一個完全無能為力的態度
[00:04:08.000 --> 00:04:10.600]  是我們基督教新教的根本
[00:04:10.600 --> 00:04:12.600]  我們最重要的強調
[00:04:12.600 --> 00:04:14.000]  人是無能為力的
[00:04:14.000 --> 00:04:16.200]  唯有上帝幫助我們
[00:04:16.200 --> 00:04:18.400]  人只能夠去到十年前
[00:04:18.400 --> 00:04:21.800]  空空的去單求上帝恩典和幫助
