
[00:00:00.000 --> 00:00:03.000]  感恩家庭 姐妹平安
[00:00:03.000 --> 00:00:06.000]  明天就是母親節
[00:00:06.000 --> 00:00:10.000]  在此預祝各位母親母親節快樂
[00:00:10.000 --> 00:00:14.000]  有人說天下的母親都是偉大
[00:00:14.000 --> 00:00:18.000]  她們一生通常都不是為自己
[00:00:18.000 --> 00:00:21.000]  而是為家庭的成員
[00:00:21.000 --> 00:00:24.000]  好像為她的丈夫 為她的子女
[00:00:24.000 --> 00:00:27.000]  甚至為她的相親
[00:00:27.000 --> 00:00:30.000]  似乎在一個家庭當中
[00:00:30.000 --> 00:00:33.000]  最願意為家人作出犧牲的
[00:00:33.000 --> 00:00:35.000]  多數都是母親
[00:00:35.000 --> 00:00:37.000]  當然這個不是絕對的
[00:00:37.000 --> 00:00:42.000]  但比例上我們見到很多的例子都是母親
[00:00:42.000 --> 00:00:43.000]  而且在歷史上
[00:00:43.000 --> 00:00:47.000]  也可以找到很多偉大母親的見證
[00:00:47.000 --> 00:00:50.000]  我們在中國很出名的
[00:00:50.000 --> 00:00:53.000]  孟母三遷的故事
[00:00:53.000 --> 00:00:55.000]  我想是家傳戶曉的
[00:00:55.000 --> 00:00:58.000]  他們本來住在墳場附近
[00:00:58.000 --> 00:01:03.000]  但孟母見到兒子去學人去敬拜鬼神
[00:01:03.000 --> 00:01:07.000]  她不想兒子耳濡目染
[00:01:07.000 --> 00:01:09.000]  所以就搬了
[00:01:09.000 --> 00:01:12.000]  這次搬到圖房附近
[00:01:12.000 --> 00:01:14.000]  兒子學人去劏豬
[00:01:14.000 --> 00:01:17.000]  母親更加不想
[00:01:17.000 --> 00:01:18.000]  於是再搬
[00:01:18.000 --> 00:01:22.000]  最後搬到太廟旁
[00:01:22.000 --> 00:01:23.000]  孟母這次很開心
[00:01:23.000 --> 00:01:27.000]  因為兒子可以有一個良好的讀書環境
[00:01:27.000 --> 00:01:29.000]  以便日後可以勤力讀書
[00:01:29.000 --> 00:01:32.000]  將來可以金榜提名
[00:01:32.000 --> 00:01:35.000]  為國家出一分力
[00:01:35.000 --> 00:01:37.000]  在人格方面
[00:01:37.000 --> 00:01:40.000]  也有一些偉大母親的見證
[00:01:40.000 --> 00:01:43.000]  我們很熟悉的岳飛的母親
[00:01:43.000 --> 00:01:46.000]  她的名字差不多沒有人記得
[00:01:46.000 --> 00:01:48.000]  只記得
[00:01:48.000 --> 00:01:52.000]  她在岳飛的背後寫了四個字
[00:01:52.000 --> 00:01:55.000]  就是精忠報國
[00:01:55.000 --> 00:01:58.000]  岳飛一生精忠報國
[00:01:58.000 --> 00:02:02.000]  都是他母親姚太夫人的教導
[00:02:02.000 --> 00:02:05.000]  母親對兒女的影響
[00:02:05.000 --> 00:02:07.000]  我想世界任何一個國家
[00:02:07.000 --> 00:02:09.000]  都可以找到
[00:02:09.000 --> 00:02:11.000]  在聖經裏面
[00:02:11.000 --> 00:02:13.000]  也有很多不平凡的母親
[00:02:13.000 --> 00:02:17.000]  今天我們透過《馬太福音》20章
[00:02:17.000 --> 00:02:19.000]  20至28節裏面
[00:02:19.000 --> 00:02:23.000]  去看看一個不平凡的母親的生命見證
[00:02:23.000 --> 00:02:25.000]  我們一起去祈禱
[00:02:25.000 --> 00:02:30.000]  主我們感謝祢
[00:02:30.000 --> 00:02:33.000]  祢讓我們每一個有家庭的制度
[00:02:33.000 --> 00:02:36.000]  讓我們可以透過父母對子女的愛
[00:02:36.000 --> 00:02:39.000]  體驗到創天造地的主
[00:02:39.000 --> 00:02:41.000]  同樣都愛我們
[00:02:41.000 --> 00:02:44.000]  祢讓我們對地上的父母的愛
[00:02:44.000 --> 00:02:47.000]  好像祢對我們的愛一樣
[00:02:47.000 --> 00:02:48.000]  無條件的
[00:02:48.000 --> 00:02:50.000]  不離不棄的
[00:02:50.000 --> 00:02:52.000]  願意為他們作出犧牲的
[00:02:52.000 --> 00:02:56.000]  將神的愛完完全全的表達出來
[00:02:56.000 --> 00:02:58.000]  也讓我們每一個家庭
[00:02:58.000 --> 00:03:00.000]  都能夠見證神的愛
[00:03:00.000 --> 00:03:02.000]  在當中彰顯出來
[00:03:02.000 --> 00:03:03.000]  我們祈禱
[00:03:03.000 --> 00:03:04.000]  是奉教主耶穌基督
[00:03:04.000 --> 00:03:06.000]  得聖明治祈求
[00:03:06.000 --> 00:03:07.000]  阿們
