
[00:00:00.000 --> 00:00:02.000]  鄧小慧 早安
[00:00:02.000 --> 00:00:05.000]  今天很開心有機會來到大家當中
[00:00:05.000 --> 00:00:07.000]  去分享上帝的說話
[00:00:07.000 --> 00:00:09.000]  多謝教會的邀請
[00:00:09.000 --> 00:00:13.000]  多謝麗善牧師的邀請安排
[00:00:13.000 --> 00:00:15.000]  讓我來到這裡當中
[00:00:15.000 --> 00:00:17.000]  很少來到錦繡花園
[00:00:17.000 --> 00:00:19.000]  來到當中大家的湖
[00:00:19.000 --> 00:00:21.000]  真的很舒服可以走一圈
[00:00:21.000 --> 00:00:23.000]  特別昨天下這麼大雨
[00:00:23.000 --> 00:00:25.000]  今天太陽出來
[00:00:25.000 --> 00:00:27.000]  有沒有覺得心情很不同了
[00:00:27.000 --> 00:00:30.000]  不同了 是不是
[00:00:30.000 --> 00:00:32.000]  想像一下如果昨天不下雨
[00:00:32.000 --> 00:00:33.000]  今天這樣的太陽
[00:00:33.000 --> 00:00:35.000]  你的心情又如何
[00:00:35.000 --> 00:00:38.000]  可能有些不同 是不是
[00:00:38.000 --> 00:00:41.000]  正正就是可能下完大雨
[00:00:41.000 --> 00:00:44.000]  生活很多各樣的不方便
[00:00:44.000 --> 00:00:45.000]  今天見到太陽
[00:00:45.000 --> 00:00:47.000]  我們覺得 哦 神的恩典 是不是
[00:00:47.000 --> 00:00:49.000]  真的有這個感覺 是不是
[00:00:49.000 --> 00:00:51.000]  如果天天都是這麼曬
[00:00:51.000 --> 00:00:52.000]  夏天了 是不是
[00:00:52.000 --> 00:00:54.000]  三十多四十度 溫室效應
[00:00:54.000 --> 00:00:56.000]  我們就很多這些
[00:00:56.000 --> 00:00:58.000]  我們很多時候心情
[00:00:58.000 --> 00:01:01.000]  都會被環境所影響
[00:01:01.000 --> 00:01:03.000]  同樣的太陽 同樣的溫度
[00:01:03.000 --> 00:01:05.000]  但是當你經歷過不同的事情
[00:01:05.000 --> 00:01:07.000]  你有不同的解讀
[00:01:07.000 --> 00:01:08.000]  你和神的關係
[00:01:08.000 --> 00:01:11.000]  可能都是因為這樣受影響
[00:01:11.000 --> 00:01:13.000]  小弟在杜豐山工作
[00:01:13.000 --> 00:01:16.000]  很長的名字 主席幫我介紹
[00:01:16.000 --> 00:01:18.000]  容許我簡單說一下
[00:01:18.000 --> 00:01:21.000]  大家認識杜豐山嗎
[00:01:21.000 --> 00:01:23.000]  多少人去過杜豐山 舉舉手
[00:01:23.000 --> 00:01:25.000]  有沒有人去過 大部分去過
[00:01:25.000 --> 00:01:30.000]  杜豐山原來其實年紀都不小了
[00:01:30.000 --> 00:01:34.000]  杜豐山1930年開始開山
[00:01:34.000 --> 00:01:37.000]  都幾乎一百年了
[00:01:37.000 --> 00:01:39.000]  杜豐山是一個
[00:01:39.000 --> 00:01:41.000]  其實最初都是一個宣教地方
[00:01:41.000 --> 00:01:46.000]  向一些和尚 道士來宣教
[00:01:46.000 --> 00:01:49.000]  希望藉著一個中國式的建築
[00:01:49.000 --> 00:01:52.000]  讓他們在這裡比較舒服
[00:01:52.000 --> 00:01:55.000]  比較有親切的聽福音
[00:01:55.000 --> 00:01:57.000]  所以宣教其實很多東西配合
[00:01:57.000 --> 00:02:00.000]  所以流傳下來
[00:02:00.000 --> 00:02:03.000]  也因為過往有和尚 道士
[00:02:03.000 --> 00:02:06.000]  或者一些尋找耶穌的人
[00:02:06.000 --> 00:02:08.000]  在這裡信了主
[00:02:08.000 --> 00:02:11.000]  需要有些栽培 門徒訓練
[00:02:11.000 --> 00:02:14.000]  建立了現在有一些的靈修課程
[00:02:14.000 --> 00:02:16.000]  小弟現在在杜豐山
[00:02:16.000 --> 00:02:18.000]  主要有幾個工作
[00:02:18.000 --> 00:02:19.000]  剛才說過
[00:02:19.000 --> 00:02:21.000]  會做一些一對一的靈修指導
[00:02:21.000 --> 00:02:24.000]  關於你祈禱 靈修
[00:02:24.000 --> 00:02:26.000]  或者我們和神的關係的各種東西
[00:02:26.000 --> 00:02:28.000]  你可以上來找我聊聊天
[00:02:28.000 --> 00:02:30.000]  另外都會做一些
[00:02:30.000 --> 00:02:32.000]  可能大家剛才舉手
[00:02:32.000 --> 00:02:33.000]  都去過杜豐山退修
[00:02:33.000 --> 00:02:35.000]  我會帶退修
[00:02:35.000 --> 00:02:37.000]  無論在山上的退修
[00:02:37.000 --> 00:02:39.000]  或者如果教會覺得
[00:02:39.000 --> 00:02:41.000]  邀請我來這裡都可以的
[00:02:41.000 --> 00:02:43.000]  我會去不同教會的地方
[00:02:43.000 --> 00:02:45.000]  如果有合適的
[00:02:45.000 --> 00:02:47.000]  都會去帶一些退修
[00:02:47.000 --> 00:02:49.000]  一起親近主的聚會
[00:02:49.000 --> 00:02:51.000]  另外都有一些教學的工作
[00:02:51.000 --> 00:02:53.000]  因為我們都繼續培訓
[00:02:53.000 --> 00:02:56.000]  一些不同的靈修導師
[00:02:56.000 --> 00:02:58.000]  所以大家記得的時候
[00:02:58.000 --> 00:03:00.000]  紀念一下因為這個時代
[00:03:00.000 --> 00:03:02.000]  正正很需要我們多些
[00:03:02.000 --> 00:03:06.000]  從神那裡能夠得著能力的一個時代
[00:03:06.000 --> 00:03:08.000]  說回我們今天的題目
[00:03:08.000 --> 00:03:10.000]  基督在哪裡
[00:03:10.000 --> 00:03:12.000]  很多人上來杜豐山或者接觸我
[00:03:12.000 --> 00:03:14.000]  都會找耶穌基督
[00:03:14.000 --> 00:03:17.000]  可能有未信的人
[00:03:17.000 --> 00:03:20.000]  好像以前杜豐山那些和尚道士
[00:03:20.000 --> 00:03:22.000]  他們可能很多年修道
[00:03:22.000 --> 00:03:26.000]  學習他們的道理
[00:03:26.000 --> 00:03:28.000]  但他找不到耶穌基督
[00:03:28.000 --> 00:03:30.000]  有些信了耶穌基督
[00:03:30.000 --> 00:03:33.000]  但是缺了志的
[00:03:33.000 --> 00:03:35.000]  上教會的都來找耶穌基督
[00:03:35.000 --> 00:03:37.000]  為什麼
[00:03:37.000 --> 00:03:41.000]  因為我們頭腦上有耶穌
[00:03:41.000 --> 00:03:44.000]  在我們生命裡不是很經歷到
[00:03:44.000 --> 00:03:46.000]  不知道你是否這樣的
[00:03:46.000 --> 00:03:48.000]  不知道你是否有這個需要
[00:03:48.000 --> 00:03:52.000]  去找耶穌基督
[00:03:52.000 --> 00:03:57.000]  在我們經常說靈修的時候
[00:03:57.000 --> 00:03:58.000]  我們就會想
[00:03:58.000 --> 00:04:00.000]  我們每天看聖經祈禱
[00:04:00.000 --> 00:04:02.000]  然後就再想起什麼
[00:04:02.000 --> 00:04:05.000]  就再想起我們很多時候
[00:04:05.000 --> 00:04:07.000]  好像不能夠持續
[00:04:07.000 --> 00:04:09.000]  然後我們又再想起什麼
[00:04:09.000 --> 00:04:12.000]  每年年尾我們就在神面前立志
[00:04:12.000 --> 00:04:16.000]  我明年要做很多靈修
[00:04:16.000 --> 00:04:18.000]  多點親近主
[00:04:18.000 --> 00:04:19.000]  然後我們不斷循環
[00:04:19.000 --> 00:04:22.000]  一年又一年
[00:04:22.000 --> 00:04:24.000]  我不是說所有基督徒都是這樣
[00:04:24.000 --> 00:04:26.000]  有些基督徒是這樣
[00:04:26.000 --> 00:04:28.000]  我一想起靈修生活
[00:04:28.000 --> 00:04:31.000]  就是在說看聖經祈禱
[00:04:31.000 --> 00:04:33.000]  其實我們學習靈修
[00:04:33.000 --> 00:04:38.000]  就是學習我們知道耶穌基督在哪裡
[00:04:38.000 --> 00:04:41.000]  剛才我們讀過一段聖經
[00:04:41.000 --> 00:04:44.000]  傳統和合本其實有上面那句
[00:04:44.000 --> 00:04:46.000]  我們再讀多一次好不好
[00:04:46.000 --> 00:04:48.000]  這麼短不怕
[00:04:48.000 --> 00:04:49.000]  我們一起讀多一次
[00:04:49.000 --> 00:04:50.000]  1、2、3
[00:04:50.000 --> 00:04:54.000]  我已經與基督同釘十字架
[00:04:54.000 --> 00:04:57.000]  現在活著的不再是我
[00:04:57.000 --> 00:05:01.000]  乃是基督在我裡面活著
[00:05:01.000 --> 00:05:04.000]  並且我如今在肉身活著
[00:05:04.000 --> 00:05:08.000]  是因信神的兒子而活
[00:05:08.000 --> 00:05:10.000]  他是愛我
[00:05:10.000 --> 00:05:12.000]  為我捨忌
[00:05:12.000 --> 00:05:14.000]  我們再一次低頭祈禱
[00:05:14.000 --> 00:05:16.000]  七主多謝你
[00:05:16.000 --> 00:05:18.000]  多謝你愛我們
[00:05:18.000 --> 00:05:20.000]  你為我捨
[00:05:20.000 --> 00:05:23.000]  為著我們捨棄了你的生命
[00:05:23.000 --> 00:05:27.000]  叫我們這些原本是等待著刑罰
[00:05:27.000 --> 00:05:29.000]  等待著死亡的人
[00:05:29.000 --> 00:05:32.000]  我們今天得以養起念
[00:05:32.000 --> 00:05:34.000]  仰望你的十字架
[00:05:34.000 --> 00:05:37.000]  我們得歸入你的名下
[00:05:37.000 --> 00:05:39.000]  一起領受你的餅
[00:05:39.000 --> 00:05:41.000]  一起領受你的杯
[00:05:41.000 --> 00:05:43.000]  讓我們能夠
[00:05:43.000 --> 00:05:46.000]  可以承受你所為我們應許的
[00:05:46.000 --> 00:05:48.000]  這一份的平安喜樂
[00:05:48.000 --> 00:05:51.000]  所以主我們在你的愛裡面
[00:05:51.000 --> 00:05:53.000]  願你更新我們的靈
[00:05:53.000 --> 00:05:56.000]  讓我們常知道你的愛
[00:05:56.000 --> 00:05:59.000]  常感謝你的愛
[00:05:59.000 --> 00:06:02.000]  以致我們知道你的愛常與我們同在
[00:06:02.000 --> 00:06:04.000]  我們一起去思想
[00:06:04.000 --> 00:06:07.000]  我們在《太書》這句聖經
[00:06:07.000 --> 00:06:10.000]  求主的聖靈給我們有啟示
[00:06:10.000 --> 00:06:12.000]  給我們有感動
[00:06:12.000 --> 00:06:15.000]  讓我們明白你說話裡的奧秘
[00:06:15.000 --> 00:06:17.000]  我們祈禱奉耶穌基督的名
[00:06:17.000 --> 00:06:18.000]  阿們
[00:06:18.000 --> 00:06:20.000]  是不是很熟悉這句聖經
[00:06:20.000 --> 00:06:23.000]  我已經與基督同釘十字架
[00:06:23.000 --> 00:06:28.000]  現在活著的不再是我
[00:06:28.000 --> 00:06:32.000]  我會來找耶穌基督的弟兄姊妹說
