
[00:00:00.000 --> 00:00:02.000]  各位姐妹早安
[00:00:02.000 --> 00:00:06.000]  今天和大家分享一個
[00:00:06.000 --> 00:00:09.000]  這段時間我們都會分享創世紀裡面的人物
[00:00:09.000 --> 00:00:11.000]  今天分享一個比較特別的人物
[00:00:11.000 --> 00:00:16.000]  這個人物其實可以說在創世紀當中是一個很小的角色
[00:00:16.000 --> 00:00:18.000]  一個小角色
[00:00:18.000 --> 00:00:21.000]  夏鴿是一個怎樣的人呢?
[00:00:21.000 --> 00:00:23.000]  如果我什麼都沒有說之前
[00:00:23.000 --> 00:00:27.000]  我的結論是他是一個困苦的人
[00:00:27.000 --> 00:00:29.000]  他是一個悲情的人
[00:00:29.000 --> 00:00:32.000]  他是一個完全被動的人
[00:00:32.000 --> 00:00:37.000]  你會發覺這個角色特別的地方是什麼呢?
[00:00:37.000 --> 00:00:43.000]  上帝是一個其實沒有主動權的當中的人
[00:00:43.000 --> 00:00:47.000]  他怎樣去彰顯他自己的榮耀和能力
[00:00:47.000 --> 00:00:52.000]  夏鴿是阿伯拉罕的一個埃及的奴隸
[00:00:52.000 --> 00:00:54.000]  即是埃及人
[00:00:54.000 --> 00:00:58.000]  所以其實聖經裡面主要去記載的
[00:00:58.000 --> 00:01:04.000]  我形容是在阿伯拉罕的故事當中一個插曲
[00:01:04.000 --> 00:01:09.000]  而他也都經歷了兩次和上帝他的使者相遇
[00:01:09.000 --> 00:01:12.000]  所以他的故事其實很值得我們參考
[00:01:12.000 --> 00:01:14.000]  為什麼呢?我會這樣說
[00:01:14.000 --> 00:01:16.000]  如果大家看聖經的時候你會發覺
[00:01:16.000 --> 00:01:17.000]  有些人都會問這個問題
[00:01:17.000 --> 00:01:18.000]  聖經好像一路說
[00:01:18.000 --> 00:01:21.000]  一路說這個世界很多創造很多
[00:01:21.000 --> 00:01:24.000]  後來一直去到阿伯拉罕之後
[00:01:24.000 --> 00:01:28.000]  就一直集中一條線繼續發展
[00:01:28.000 --> 00:01:29.000]  大家有沒有發覺?
[00:01:29.000 --> 00:01:31.000]  就只是去到以色列人
[00:01:31.000 --> 00:01:32.000]  由他們這裡一直去發展
[00:01:32.000 --> 00:01:34.000]  他基本上沒有怎麼說其他的
[00:01:34.000 --> 00:01:38.000]  多數都只是說外邦的軍隊來打仗
[00:01:38.000 --> 00:01:42.000]  所以你會發覺其實在聖經裡面去看的時候
[00:01:42.000 --> 00:01:45.000]  有主線和非主線
[00:01:45.000 --> 00:01:47.000]  其實大家要這樣看
[00:01:47.000 --> 00:01:51.000]  我們這班中國人其實是非主線
[00:01:51.000 --> 00:01:54.000]  不是在聖經當中的主流
