
[00:00:00.000 --> 00:00:02.800]  弟兄姊妹早安
[00:00:02.800 --> 00:00:05.000]  在家的弟兄姊妹早安
[00:00:05.000 --> 00:00:12.200]  很開心今天在我們錦繡堂最後一個禮拜裏面
[00:00:12.200 --> 00:00:14.400]  我們一起仍然能夠有生命氣息
[00:00:14.400 --> 00:00:16.400]  我們一起來去敬拜
[00:00:16.400 --> 00:00:19.000]  作為一篇聖誕節之後
[00:00:19.000 --> 00:00:21.200]  或者是年終的最後一篇道
[00:00:21.200 --> 00:00:23.800]  應該就講一些喜慶的東西
[00:00:23.800 --> 00:00:26.800]  但是今天都覺得是選一個
[00:00:26.800 --> 00:00:29.200]  叫吃苦神託的題目來去講
[00:00:29.200 --> 00:00:31.600]  不過我想作為2020年
[00:00:31.600 --> 00:00:33.000]  這篇道又確實很合適
[00:00:33.000 --> 00:00:38.200]  在2020年一個非常差勁的一年裏面
[00:00:38.200 --> 00:00:40.200]  我們作為一個年終
[00:00:40.200 --> 00:00:43.800]  一起去思想我們吃苦的題目
[00:00:43.800 --> 00:00:47.800]  確實是一個很貼切的題目
[00:00:47.800 --> 00:00:50.800]  今年裏面我們都吃了很多苦
[00:00:50.800 --> 00:00:54.800]  無論是最基本上我們要戴口罩
[00:00:54.800 --> 00:00:59.000]  或者是我們很多事情都要終止
[00:00:59.000 --> 00:01:00.600]  很多的計劃
[00:01:00.600 --> 00:01:02.800]  很多的旅行都要被終止
[00:01:02.800 --> 00:01:04.200]  甚至乎對某些人來講
[00:01:04.200 --> 00:01:06.200]  他的工作都受到影響
[00:01:06.200 --> 00:01:09.200]  如果你是做航空業的國泰的
[00:01:09.200 --> 00:01:11.200]  或者是做飲食業的
[00:01:11.200 --> 00:01:12.800]  都受到很大的影響
[00:01:12.800 --> 00:01:15.800]  我自己的表哥在外國裏面生活了很多年
[00:01:15.800 --> 00:01:18.400]  因為他的工作是經常要坐飛機出差
[00:01:18.400 --> 00:01:21.200]  後來他年終都被人解僱了
[00:01:21.200 --> 00:01:23.000]  後來都有少少抑鬱
