
[00:00:00.000 --> 00:00:04.000]  我們一起有簡單的祈禱
[00:00:04.000 --> 00:00:07.000]  多謝天父再一次我們在晚上
[00:00:07.000 --> 00:00:10.000]  有一段時間來讀聖經
[00:00:10.000 --> 00:00:14.000]  都盼望我們能夠透過經文的啟示
[00:00:14.000 --> 00:00:17.000]  和所描述的當時歷史背景
[00:00:17.000 --> 00:00:19.000]  讓我們能夠掌握
[00:00:19.000 --> 00:00:23.000]  也讓我們能夠從其中一些重要的教訓
[00:00:23.000 --> 00:00:25.000]  得到一些教導
[00:00:25.000 --> 00:00:28.000]  我們在我們的教會生活
[00:00:28.000 --> 00:00:30.000]  在現在這個世代
[00:00:30.000 --> 00:00:33.000]  我們應該怎樣來跟隨主
[00:00:33.000 --> 00:00:39.000]  都是需要有神的聖靈的指引和感動的
[00:00:39.000 --> 00:00:41.000]  特別在教會的侍奉
[00:00:41.000 --> 00:00:43.000]  更加需要神的恩典
[00:00:43.000 --> 00:00:46.000]  我們將這一段時間仰望、交託
[00:00:46.000 --> 00:00:49.000]  也都盼望錄音的訊息
[00:00:49.000 --> 00:00:51.000]  可以成為很多人的提醒
[00:00:51.000 --> 00:00:54.000]  彼此的勉勵、互相的扶持
[00:00:54.000 --> 00:00:57.000]  甚至乎現在跨越了那個時間
[00:00:57.000 --> 00:01:02.000]  在網路上可以更加多人有機會去聽
[00:01:02.000 --> 00:01:05.000]  盼望去祝福到很多華人的信徒
[00:01:05.000 --> 00:01:07.000]  能夠聽懂廣東話的
[00:01:07.000 --> 00:01:10.000]  都能夠得到神話語的教導
[00:01:10.000 --> 00:01:12.000]  我們這樣仰望、禱告
[00:01:12.000 --> 00:01:15.000]  奉耶穌基督的名
[00:01:15.000 --> 00:01:16.000]  阿們
[00:01:16.000 --> 00:01:19.000]  第七章的尼希米記
[00:01:19.000 --> 00:01:22.000]  就是城牆做好之後
[00:01:22.000 --> 00:01:25.000]  尼希米就發現了一個問題
[00:01:25.000 --> 00:01:29.000]  就是城牆做好之後
[00:01:29.000 --> 00:01:32.000]  城門也都安好門山
[00:01:32.000 --> 00:01:36.000]  但是耶路撒冷城是廣大的
[00:01:36.000 --> 00:01:39.000]  但是居住的人口稀少
[00:01:39.000 --> 00:01:43.000]  還有都沒有一些房屋來建造
[00:01:43.000 --> 00:01:48.000]  就是說一個空曠的聖殿範圍
[00:01:48.000 --> 00:01:52.000]  急切需要將人口遷徙
[00:01:52.000 --> 00:01:56.000]  進入聖殿聖城裏面
[00:01:56.000 --> 00:02:01.000]  所以這是一個很大的工程
[00:02:01.000 --> 00:02:06.000]  哪些人肯搬進來聖殿呢?
[00:02:06.000 --> 00:02:10.000]  會不會當時經過了百多年之後
[00:02:10.000 --> 00:02:13.000]  有些環境
[00:02:13.000 --> 00:02:17.000]  有些不同的滄海桑田
[00:02:17.000 --> 00:02:19.000]  一些的貿易
[00:02:19.000 --> 00:02:21.000]  有些的路線
[00:02:21.000 --> 00:02:24.000]  特別是你可以想像到
[00:02:24.000 --> 00:02:28.000]  有些大街有些新的發展
[00:02:28.000 --> 00:02:30.000]  可能對它來說
[00:02:30.000 --> 00:02:32.000]  是會有一個很大的幫助
[00:02:32.000 --> 00:02:34.000]  但是如果有些道路改了
[00:02:34.000 --> 00:02:36.000]  可能過去很繁榮的
[00:02:36.000 --> 00:02:38.000]  慢慢又會因為不方便
[00:02:38.000 --> 00:02:40.000]  人流又會減少
[00:02:40.000 --> 00:02:42.000]  這些我們都會見得到
[00:02:42.000 --> 00:02:46.000]  你可以想像到在行鄉那邊的街
[00:02:46.000 --> 00:02:49.000]  和行鄉對面的街都差很遠
[00:02:49.000 --> 00:02:51.000]  因為很多時候
[00:02:51.000 --> 00:02:53.000]  人們回來在元朗下車
[00:02:53.000 --> 00:02:55.000]  就是行鄉第一個站
[00:02:55.000 --> 00:02:57.000]  就會很多人下車
[00:02:57.000 --> 00:03:00.000]  那個舖位是特別矜貴
[00:03:00.000 --> 00:03:02.000]  特別多人流
[00:03:02.000 --> 00:03:04.000]  但相反對面街
[00:03:04.000 --> 00:03:07.000]  人們就是早上上班才會趕到那裏乘車
[00:03:07.000 --> 00:03:09.000]  通常很少人流
[00:03:09.000 --> 00:03:11.000]  不知道你有沒有發現這個問題
[00:03:11.000 --> 00:03:13.000]  所以對面街的商舖
[00:03:13.000 --> 00:03:15.000]  很多都是二三線
[00:03:15.000 --> 00:03:19.000]  或者不是很重要的大企業
[00:03:19.000 --> 00:03:22.000]  你不會見到在以前嘉麗華戲院
[00:03:22.000 --> 00:03:24.000]  嘉麗華酒樓附近的那些
[00:03:24.000 --> 00:03:26.000]  是那些金舖
