
[00:00:00.000 --> 00:00:02.000]  就好像我的人生一樣
[00:00:02.000 --> 00:00:03.000]  我其實
[00:00:03.000 --> 00:00:06.000]  我信了主有19年的時間
[00:00:06.000 --> 00:00:08.000]  未信主之前
[00:00:08.000 --> 00:00:10.000]  我的生命就好像一個風暴一樣
[00:00:10.000 --> 00:00:11.000]  一塌糊塗
[00:00:11.000 --> 00:00:13.000]  真的死過翻山
[00:00:13.000 --> 00:00:15.000]  真的因為神的愛
[00:00:15.000 --> 00:00:19.000]  今天見到我已經是一個媽媽了
[00:00:19.000 --> 00:00:20.000]  我們可能都想
[00:00:20.000 --> 00:00:23.000]  這兩個女兒已經兩歲兩個月了
[00:00:23.000 --> 00:00:25.000]  真的很感謝主
[00:00:25.000 --> 00:00:29.000]  我小時候是在一個單親的家庭長大
[00:00:29.000 --> 00:00:30.000]  很破碎的
[00:00:30.000 --> 00:00:33.000]  小時候爸爸媽媽都是很混亂
[00:00:33.000 --> 00:00:34.000]  離婚
[00:00:34.000 --> 00:00:35.000]  吵架
[00:00:35.000 --> 00:00:37.000]  我就是一個缺乏愛
[00:00:37.000 --> 00:00:38.000]  缺乏溫暖
[00:00:38.000 --> 00:00:41.000]  缺乏安全感的地方長大
[00:00:41.000 --> 00:00:43.000]  之後我爸爸就直接走了
[00:00:43.000 --> 00:00:46.000]  就剩下我媽媽一個去養大我和哥哥
[00:00:46.000 --> 00:00:49.000]  小時候很多時候很多事都不知道可以跟誰說
[00:00:49.000 --> 00:00:52.000]  幸好小時候有些同學跟我說
[00:00:52.000 --> 00:00:54.000]  琛妍啊你沒有爸爸
[00:00:54.000 --> 00:00:57.000]  但是你知不知道天上有位天父
[00:00:57.000 --> 00:01:00.000]  你有些什麼可以跟他說
[00:01:00.000 --> 00:01:02.000]  我小時候就習慣了
[00:01:02.000 --> 00:01:03.000]  什麼都跟這位天父說
[00:01:03.000 --> 00:01:07.000]  但一直都不知道這位天父其實是什麼呢
[00:01:07.000 --> 00:01:08.000]  但什麼都跟他說
[00:01:08.000 --> 00:01:10.000]  開心不開心
[00:01:10.000 --> 00:01:12.000]  小時候慢慢就發覺
[00:01:12.000 --> 00:01:14.000]  回到家對著四面牆很冰冷
[00:01:14.000 --> 00:01:16.000]  很想找那份愛
[00:01:16.000 --> 00:01:19.000]  很想找那份被人關心那份溫暖
[00:01:19.000 --> 00:01:24.000]  很想填補生命裡那份沒有意義的空虛
[00:01:24.000 --> 00:01:27.000]  很想找究竟我生存是為了什麼呢
[00:01:27.000 --> 00:01:29.000]  家人又不在身邊
[00:01:29.000 --> 00:01:30.000]  經常都不開心
[00:01:30.000 --> 00:01:32.000]  我就去找
[00:01:32.000 --> 00:01:36.000]  小時候十幾歲就開始去找這份愛
[00:01:36.000 --> 00:01:39.000]  填補空虛的這份愛
[00:01:39.000 --> 00:01:41.000]  認識了一班朋友
[00:01:41.000 --> 00:01:43.000]  當然是壞朋友
[00:01:43.000 --> 00:01:46.000]  十三四歲就學人家
[00:01:46.000 --> 00:01:50.000]  吸煙 喝酒 酒堂 離家出走
[00:01:50.000 --> 00:01:51.000]  其實我都不能離家出走
[00:01:51.000 --> 00:01:53.000]  因為我家裡都沒有人
[00:01:53.000 --> 00:01:56.000]  某程度上都不算是離家出走
[00:01:56.000 --> 00:01:57.000]  很頑皮
[00:01:57.000 --> 00:01:59.000]  想著跟這些朋友一起
[00:01:59.000 --> 00:02:00.000]  好像有些溫暖給你
[00:02:00.000 --> 00:02:01.000]  經常陪著你
[00:02:01.000 --> 00:02:04.000]  誰知道這些豬朋友有福同享
[00:02:04.000 --> 00:02:06.000]  有禍是什麼呢
[00:02:06.000 --> 00:02:08.000]  全都走了 不當
[00:02:08.000 --> 00:02:10.000]  不是朋友是什麼呢
[00:02:10.000 --> 00:02:11.000]  就大一點
[00:02:11.000 --> 00:02:13.000]  開始找愛情
[00:02:13.000 --> 00:02:14.000]  愛情去拍拖
[00:02:14.000 --> 00:02:16.000]  就在想愛情
[00:02:16.000 --> 00:02:19.000]  那份愛就是我在找的那份愛
[00:02:19.000 --> 00:02:20.000]  天天都陪著你
[00:02:20.000 --> 00:02:22.000]  什麼都在治療你
[00:02:22.000 --> 00:02:24.000]  我就想認識了這個男孩
[00:02:24.000 --> 00:02:25.000]  就是他了
[00:02:25.000 --> 00:02:27.000]  他填補了我生命的那份空虛
[00:02:27.000 --> 00:02:29.000]  誰知道這個男孩
[00:02:29.000 --> 00:02:30.000]  到我大學的時候
[00:02:30.000 --> 00:02:31.000]  他就不要我
[00:02:31.000 --> 00:02:32.000]  他丟下我
[00:02:32.000 --> 00:02:34.000]  那一刻是我的人生崩潰
[00:02:34.000 --> 00:02:38.000]  發覺原來愛情都不是我找的那件事
[00:02:38.000 --> 00:02:39.000]  我差點為這個男孩
[00:02:39.000 --> 00:02:41.000]  要了斷我自己
[00:02:41.000 --> 00:02:42.000]  在那一刻
[00:02:42.000 --> 00:02:44.000]  我很感恩我哥哥
[00:02:44.000 --> 00:02:45.000]  他信了耶穌
[00:02:45.000 --> 00:02:47.000]  他就說妹妹你跟我回教會吧
[00:02:47.000 --> 00:02:49.000]  你跟我回教會吧
[00:02:49.000 --> 00:02:50.000]  我心想
