
[00:00:00.000 --> 00:00:04.000]  各位大英小英朋友,很久不見了
[00:00:04.000 --> 00:00:15.000]  今天是母親節,祝各位在座的母親節快樂,身體健康,能夠永生一人
[00:00:15.000 --> 00:00:19.000]  我們在看神話之前,一起去祈禱
[00:00:19.000 --> 00:00:29.000]  每有恩典,每有慈愛的主,當我們能夠來到你面前,何等的福分
[00:00:29.000 --> 00:00:33.000]  求主在這時候去潔淨我們的心思意念
[00:00:33.000 --> 00:00:39.000]  有什麼是不蒙你喜悅的,求聖靈眼當中去剔除
[00:00:39.000 --> 00:00:44.000]  以致我們能夠專心一意地進入神話裡
[00:00:44.000 --> 00:00:51.000]  求主親自教導我們,讓我們能夠所做的合乎你的樣式
[00:00:51.000 --> 00:00:59.000]  又願孩子心中的意念,口中的言語,蒙你如納,奉主耶穌基督命求,阿們
[00:00:59.000 --> 00:01:09.000]  我們剛才讀了利牧伊拉王的真言
[00:01:09.000 --> 00:01:14.000]  到底利牧伊拉王是誰呢?
[00:01:14.000 --> 00:01:18.000]  我們對他知道的不是很多
[00:01:18.000 --> 00:01:21.000]  只不過我們知道他是一個君王
[00:01:21.000 --> 00:01:26.000]  而且他從母親那裡學到一些東西,得到智慧
[00:01:26.000 --> 00:01:30.000]  他的名字叫做奉獻給神的意思
[00:01:30.000 --> 00:01:34.000]  有些人認為他和前面那張阿古爾
[00:01:34.000 --> 00:01:40.000]  可能都是同一個地方,在阿拉伯北部的馬薩國
[00:01:40.000 --> 00:01:42.000]  都是同類的人
[00:01:42.000 --> 00:01:48.000]  到底母親對兒子有什麼期望呢?
[00:01:48.000 --> 00:01:53.000]  當你看經文的時候,你一開始會看到
[00:01:53.000 --> 00:01:59.000]  剛才讀的聖經裡,說到關於君王的職責
[00:01:59.000 --> 00:02:05.000]  他告訴你,是由他母親那裡學到的
[00:02:05.000 --> 00:02:12.000]  所以你想到一個母親,特別是國王的母親
[00:02:12.000 --> 00:02:17.000]  在皇宮裡一定有他的影響力
[00:02:17.000 --> 00:02:21.000]  所以他對兒子有很大的期望
[00:02:21.000 --> 00:02:25.000]  你看到他充滿智慧地教導兒子
[00:02:29.000 --> 00:02:32.000]  在前面兩節裡,他不斷地說
[00:02:32.000 --> 00:02:36.000]  我兒啊,怎麼了?
[00:02:36.000 --> 00:02:38.000]  我福中生的兒,怎麼了?
[00:02:38.000 --> 00:02:41.000]  我許願而得的兒,怎麼了?
[00:02:41.000 --> 00:02:47.000]  你會看到他在當中對兒子很有期望
[00:02:47.000 --> 00:02:51.000]  表明他是愛兒心切
[00:02:51.000 --> 00:02:53.000]  所以他教導他的時候
[00:02:53.000 --> 00:02:59.000]  你會看到當母親的,他很有權力和責任去教導兒子
[00:02:59.000 --> 00:03:02.000]  而兒子就希望兒子聽他的話
[00:03:02.000 --> 00:03:08.000]  兒子也有責任和義務去聽從
[00:03:08.000 --> 00:03:13.000]  因為他母親懷胎十個月,這麼辛苦生出來
[00:03:13.000 --> 00:03:17.000]  他在這麼艱難的情況下
[00:03:17.000 --> 00:03:21.000]  他母親這麼愛他,是沒有假的
[00:03:21.000 --> 00:03:25.000]  就算他罵他,也不會有惡意
[00:03:25.000 --> 00:03:30.000]  他母親這麼愛他,並不是有目的
[00:03:30.000 --> 00:03:33.000]  不求回報,在家的母親
[00:03:33.000 --> 00:03:38.000]  你知道他愛兒子,他生病的時候最辛苦
[00:03:38.000 --> 00:03:43.000]  你沒想到,日後要好好孝順他,對他好一點
[00:03:43.000 --> 00:03:47.000]  不會的,很辛苦的,多麼辛苦的
[00:03:47.000 --> 00:03:49.000]  要養大子女
[00:03:49.000 --> 00:03:54.000]  而你看這段經文的時候
[00:03:54.000 --> 00:03:56.000]  繼續看三四五六
[00:03:56.000 --> 00:04:01.000]  你會看到我畫的那些叫你不要做的事
[00:04:01.000 --> 00:04:07.000]  他教導他的兒子不要做一些敗為君王的行為
[00:04:07.000 --> 00:04:09.000]  還有叫他不要喝酒
[00:04:09.000 --> 00:04:14.000]  其實君王擁有三宮六院是很平常的事
[00:04:14.000 --> 00:04:17.000]  但你會看到聖經裡
[00:04:17.000 --> 00:04:21.000]  這個所羅門王因為妃嬪太多
[00:04:21.000 --> 00:04:23.000]  他隨心所欲
[00:04:23.000 --> 00:04:28.000]  所以你會看到他跟著妃嬪去拜他們的偶像
