
[00:00:00.000 --> 00:00:03.000]  鼎姐妹主女們平安
[00:00:03.000 --> 00:00:07.000]  再一次代表教會、母堂、感宣家
[00:00:07.000 --> 00:00:10.000]  來問候大家聖誕節快樂
[00:00:10.000 --> 00:00:13.000]  牧師今天能夠在大家當中
[00:00:13.000 --> 00:00:15.000]  來分享神的真道
[00:00:15.000 --> 00:00:18.000]  是一件很開心很開心的事
[00:00:18.000 --> 00:00:20.000]  我們一起有個簡單祈禱
[00:00:20.000 --> 00:00:22.000]  多謝主
[00:00:22.000 --> 00:00:24.000]  祢是那一位創造的主
[00:00:24.000 --> 00:00:28.000]  更加降生成為人的主
[00:00:28.000 --> 00:00:32.000]  我們知道鷹孩在馬槽
[00:00:32.000 --> 00:00:35.000]  絕對不是一件浪漫的事
[00:00:35.000 --> 00:00:40.000]  是很坎坷、很狼狽
[00:00:40.000 --> 00:00:44.000]  還有主,祢甘願卑微
[00:00:44.000 --> 00:00:46.000]  降生成為貧窮
[00:00:46.000 --> 00:00:52.000]  使我們因為祢而得到心靈、生命的付足
[00:00:52.000 --> 00:00:54.000]  我們獻上感恩
[00:00:54.000 --> 00:00:57.000]  讓我們每一位的聖徒
[00:00:57.000 --> 00:01:01.000]  看到我們自己是多麼的蒙恩
[00:01:01.000 --> 00:01:05.000]  我們的生命在神眼中是多麼的尊貴
[00:01:05.000 --> 00:01:08.000]  讓我們願意在地上的生活
[00:01:08.000 --> 00:01:11.000]  去榮耀祢的聖名
[00:01:11.000 --> 00:01:13.000]  我們能夠像年提
[00:01:13.000 --> 00:01:15.000]  明年的年提
[00:01:15.000 --> 00:01:18.000]  大家都毀身來侍奉
[00:01:18.000 --> 00:01:21.000]  因為是上主所喜悅的
[00:01:21.000 --> 00:01:22.000]  求主帶領
[00:01:22.000 --> 00:01:23.000]  今早早
[00:01:23.000 --> 00:01:26.000]  當我們再一次去思想聖誕節的意義的時候
[00:01:26.000 --> 00:01:30.000]  求祢讓我們的心靈都能夠明白
[00:01:30.000 --> 00:01:32.000]  心靈裡面去振奮
[00:01:32.000 --> 00:01:34.000]  一起去追求
[00:01:34.000 --> 00:01:35.000]  這樣感恩禱告
[00:01:35.000 --> 00:01:38.000]  奉耶穌基督的名
[00:01:38.000 --> 00:01:40.000]  阿們
[00:01:40.000 --> 00:01:42.000]  剛才這段聖經一點都不陌生
[00:01:42.000 --> 00:01:44.000]  有一個記號
[00:01:44.000 --> 00:01:47.000]  那個記號就是鷹孩在馬槽
[00:01:47.000 --> 00:01:49.000]  馬吃東西的那個盤子
[00:01:49.000 --> 00:01:51.000]  大家都知道那個背景
[00:01:51.000 --> 00:01:54.000]  因為當時帝國
[00:01:54.000 --> 00:01:55.000]  羅馬帝國
[00:01:55.000 --> 00:01:57.000]  一個皇帝
[00:01:57.000 --> 00:01:59.000]  這個蓋薩奧古士都
[00:01:59.000 --> 00:02:01.000]  或者叫做屋大維
[00:02:01.000 --> 00:02:05.000]  他統治了整個羅馬帝國
