
[00:00:00.000 --> 00:00:03.660]  各位紅恩堂的弟兄姊妹
[00:00:03.660 --> 00:00:06.140]  新年祝大家
[00:00:06.140 --> 00:00:07.540]  新一年
[00:00:07.540 --> 00:00:09.000]  蒙上帝的福
[00:00:09.000 --> 00:00:10.520]  願上帝的恩惠
[00:00:10.520 --> 00:00:13.200]  平安與大家常在
[00:00:13.200 --> 00:00:16.800]  今日的講題是天國的拓展
[00:00:16.800 --> 00:00:20.600]  「拓」在中文字裏面有「推開」的意思
[00:00:20.600 --> 00:00:21.800]  好像甚麼呢?
[00:00:21.800 --> 00:00:23.300]  好像一團麵粉
[00:00:23.300 --> 00:00:29.800]  我們用木棍將它慢慢從四方八面推開一樣
[00:00:29.800 --> 00:00:32.800]  過程中你需要用力
[00:00:32.800 --> 00:00:37.100]  你需要重複地去滾動木棍
[00:00:37.100 --> 00:00:43.000]  最終使麵團能夠均勻地慢慢地展開
[00:00:43.000 --> 00:00:48.000]  於是麵團的範圍就會不斷地擴張
[00:00:48.000 --> 00:00:51.600]  同樣教會是天國的實踐
[00:00:51.600 --> 00:00:52.800]  我相信是這樣
[00:00:52.800 --> 00:00:57.600]  所以如果我們期待教會得到拓展的話
[00:00:57.600 --> 00:01:01.800]  我們同樣需要用力在各個領域上
[00:01:01.800 --> 00:01:05.200]  將呼音的種子推展得更遠
[00:01:05.200 --> 00:01:08.600]  我相信在座每一位弟兄姊妹
[00:01:08.600 --> 00:01:09.800]  你和我一樣
[00:01:09.800 --> 00:01:12.200]  我們作為天國的國民
[00:01:12.200 --> 00:01:16.000]  即使在現在艱難的環境下
[00:01:16.000 --> 00:01:20.600]  這個我相信仍然是我們的願望
[00:01:20.600 --> 00:01:24.600]  天國的拓展仍然是我們的宏願
[00:01:24.600 --> 00:01:27.400]  我要問下去
[00:01:27.400 --> 00:01:32.400]  究竟天國怎樣才算是被拓展了呢?
[00:01:32.400 --> 00:01:34.600]  史奴保羅是這樣認為的
[00:01:34.600 --> 00:01:37.600]  他說教會的拓展關鍵
[00:01:37.600 --> 00:01:41.200]  不在乎它發展的規模有多大
[00:01:41.200 --> 00:01:44.000]  它的經濟實力有多強
[00:01:44.000 --> 00:01:50.800]  乃在於教會的群體能否保持它獨有的影響力
[00:01:50.800 --> 00:01:53.600]  他在《爾忽所書》裏是這樣說的
[00:01:53.600 --> 00:01:56.400]  保羅說:從前你們是暗媒的
[00:01:56.400 --> 00:01:59.600]  但如今在主裡面是光明的
[00:01:59.600 --> 00:02:02.600]  幸是為人要像光明的子女
[00:02:02.600 --> 00:02:06.000]  意思是說在教會的人群裏面
[00:02:06.000 --> 00:02:10.000]  我們理應發揮它獨有的影響力
[00:02:10.000 --> 00:02:15.400]  好像在黑暗裏面發出點點光芒一樣
[00:02:15.400 --> 00:02:18.800]  讓人認識那個真光耶穌
[00:02:18.800 --> 00:02:23.000]  教會在什麼時候能夠發揮這種影響力
[00:02:23.000 --> 00:02:30.000]  就說明天國正正在那個地方裏面被拓展開去
[00:02:30.000 --> 00:02:34.000]  今天很希望透過《肥納比書》第二章
[00:02:34.000 --> 00:02:37.200]  跟大家去討論、去思考
[00:02:37.200 --> 00:02:42.400]  教會怎樣可以發揮這種影響力
[00:02:42.400 --> 00:02:45.800]  請聽我讀出以下經文
[00:02:45.800 --> 00:02:50.400]  《肥納比書》第二章十二到十八節
[00:02:50.400 --> 00:02:52.400]  聖經是這樣說的
[00:02:52.400 --> 00:02:58.000]  「我親愛的,且讓看來,你們向來是信服的
[00:02:58.000 --> 00:03:00.600]  不但我在你們那裡
[00:03:00.600 --> 00:03:05.200]  就是我現在不在你們那裡的時候更是信服的
[00:03:05.200 --> 00:03:09.800]  就當恐懼戰驚完成你們得救的事
[00:03:09.800 --> 00:03:13.000]  因為上帝在你們心裏運行
[00:03:13.000 --> 00:03:16.200]  使你們又立志又實行
[00:03:16.200 --> 00:03:19.600]  為要成就他的美意
[00:03:19.600 --> 00:03:21.600]  你們無論做什麼事
[00:03:21.600 --> 00:03:24.400]  都不要發怨言、起爭論
[00:03:24.400 --> 00:03:27.400]  好使你們無可指責、誠實無偽
[00:03:27.400 --> 00:03:29.800]  在這彎曲、缽縫的世代
[00:03:29.800 --> 00:03:32.600]  作上帝無瑕疵的兒女
[00:03:32.600 --> 00:03:37.400]  你們在這世代中好像明光照耀
[00:03:37.400 --> 00:03:39.800]  像生命的道表明出來
[00:03:39.800 --> 00:03:42.200]  使我在基督的日子
