
[00:00:00.000 --> 00:00:04.880]  各位弟兄姊妹 平安
[00:00:04.880 --> 00:00:10.240]  我們來到從創造到新創造的第三講
[00:00:10.240 --> 00:00:12.360]  今天的副題是
[00:00:12.360 --> 00:00:16.120]  「亞伯拉罕信心的起與跌」
[00:00:16.120 --> 00:00:18.600]  如果大家看到這幅圖畫
[00:00:18.600 --> 00:00:20.720]  看到很多的星星
[00:00:20.720 --> 00:00:22.600]  看到海邊的沙
[00:00:22.600 --> 00:00:24.600]  不知道你會不會想起
[00:00:24.600 --> 00:00:27.920]  上帝對亞伯拉罕的英許
[00:00:27.920 --> 00:00:34.000]  如果你還記得整本聖經大致可以分為四個階段
[00:00:34.000 --> 00:00:39.840]  由創世記第一章開始講到上帝創造整個大地
[00:00:39.840 --> 00:00:45.720]  到第二章開始講到我們遲早如何犯罪墮落
[00:00:45.720 --> 00:00:50.720]  然後一路講到人不斷犯罪忘記神
[00:00:50.720 --> 00:00:54.400]  人不能夠靠自己拯救自己
[00:00:54.400 --> 00:00:57.400]  來到第三個階段
[00:00:57.400 --> 00:01:03.200]  也是佔聖經最大部分的救贖歷史
[00:01:03.200 --> 00:01:06.240]  今天開始講上帝透過一個人
[00:01:06.240 --> 00:01:08.000]  亞伯拉罕
[00:01:08.000 --> 00:01:12.480]  如何開始他的救贖歷史
[00:01:12.480 --> 00:01:14.480]  如果講到亞伯拉罕
[00:01:14.480 --> 00:01:18.400]  我會問你如何形容亞伯拉罕呢?
[00:01:18.400 --> 00:01:20.200]  可能你很快就會想到
[00:01:20.200 --> 00:01:22.800]  信心之父
[00:01:23.000 --> 00:01:28.800]  究竟我們可以在亞伯拉罕身上學到甚麼呢?
[00:01:28.800 --> 00:01:30.120]  可能你會說
[00:01:30.120 --> 00:01:32.120]  「呃?呂傳道不是啊」
[00:01:32.120 --> 00:01:34.520]  「亞伯拉罕是信心之父」
[00:01:34.520 --> 00:01:36.040]  「我們如何學到他呢?」
[00:01:36.040 --> 00:01:39.040]  或者你可能覺得有些遙不可及
[00:01:39.040 --> 00:01:42.440]  因為你覺得他的信心實在太高
[00:01:42.440 --> 00:01:43.800]  或者太厲害了
[00:01:43.800 --> 00:01:45.800]  我們學不到的
[00:01:45.800 --> 00:01:47.800]  但是亞伯拉罕的信心
[00:01:47.800 --> 00:01:50.640]  是否一開始就這麼高呢?
[00:01:50.640 --> 00:01:51.480]  你說是啊
[00:01:51.480 --> 00:01:52.760]  聖經也有說
[00:01:52.760 --> 00:01:55.760]  如果你看希伯來書十一章八節
[00:01:55.760 --> 00:01:58.160]  亞伯拉罕因著信
[00:01:58.160 --> 00:02:01.760]  蒙召的時候就遵命出去
[00:02:01.760 --> 00:02:05.360]  往將來要得遺孽的地方去
[00:02:05.360 --> 00:02:09.360]  出去的時候還不知往哪裡去
[00:02:09.360 --> 00:02:10.560]  的確是
[00:02:10.560 --> 00:02:11.560]  他很有信心
[00:02:11.560 --> 00:02:13.960]  他出去的時候真的不知道去哪裡
[00:02:13.960 --> 00:02:16.960]  在《創世記》十二章一節這樣說
[00:02:16.960 --> 00:02:18.960]  耶和華對亞伯蘭說
[00:02:18.960 --> 00:02:22.960]  你要離開本地 本族 父家
[00:02:22.960 --> 00:02:26.960]  往我所要指示你的地去
[00:02:26.960 --> 00:02:29.960]  這個真的說到亞伯拉罕出去的時候
[00:02:29.960 --> 00:02:32.960]  原來是離開了他原本的地方
[00:02:32.960 --> 00:02:35.960]  他原本的家
[00:02:35.960 --> 00:02:37.960]  去到第四節
[00:02:37.960 --> 00:02:40.960]  亞伯蘭就照著耶和華的吩咐去了
[00:02:40.960 --> 00:02:43.960]  羅德也和他同去
[00:02:43.960 --> 00:02:47.960]  亞伯蘭出哈蘭的時候年七十五歲
[00:02:47.960 --> 00:02:49.960]  各位頂姐妹
[00:02:49.960 --> 00:02:52.960]  七十五歲才移民
[00:02:52.960 --> 00:02:54.960]  如果到你七十五歲的時候
[00:02:54.960 --> 00:02:57.960]  你會不會還考慮移民呢?
[00:02:57.960 --> 00:02:59.960]  通常我們說我們想移民
[00:02:59.960 --> 00:03:03.960]  就去一個更好 更漂亮 更安全的地方
[00:03:03.960 --> 00:03:06.960]  但是今天我們要看的亞伯拉罕
[00:03:06.960 --> 00:03:09.960]  原來他反而是去到一處
[00:03:09.960 --> 00:03:11.960]  他不知道的
[00:03:11.960 --> 00:03:14.960]  或者是更危險的地方
[00:03:14.960 --> 00:03:19.960]  亞伯拉罕原本離開的生活方式
[00:03:19.960 --> 00:03:21.960]  如果在住屋方面來說
[00:03:21.960 --> 00:03:24.960]  原來這些叫做蜂巢屋
[00:03:24.960 --> 00:03:26.960]  原來根據考古在哈蘭
[00:03:26.960 --> 00:03:29.960]  幾千年來都是住這些屋
[00:03:29.960 --> 00:03:31.960]  極有可能亞伯拉罕那時候
[00:03:31.960 --> 00:03:33.960]  都是住這些蜂巢屋
[00:03:33.960 --> 00:03:37.960]  他們說是冬暖夏涼的
[00:03:37.960 --> 00:03:41.960]  他離開這麼穩定的家
[00:03:41.960 --> 00:03:45.960]  他要進入遊牧民族
[00:03:45.960 --> 00:03:47.960]  逐水草而居
[00:03:47.960 --> 00:03:49.960]  要周圍遷徙
[00:03:49.960 --> 00:03:51.960]  住的是什麼呢?
[00:03:51.960 --> 00:03:54.960]  就是類似這些帳棚
[00:03:54.960 --> 00:03:58.960]  你見不見到有些駱駝 有些羊在那裡
[00:03:58.960 --> 00:04:02.960]  他們就是要一路去找著草 找著水源
[00:04:02.960 --> 00:04:06.960]  他由舒適的家搬到帳棚
[00:04:06.960 --> 00:04:10.960]  在經濟方面其實都有很大的轉變
[00:04:10.960 --> 00:04:12.960]  原來根據猶太人的著作
[00:04:12.960 --> 00:04:14.960]  米氏娜裡面的記載
[00:04:14.960 --> 00:04:18.960]  說阿伯拉罕的爸爸
[00:04:18.960 --> 00:04:24.960]  原來他在哈蘭的時候製作和售賣偶像
[00:04:24.960 --> 00:04:26.960]  那時候他們住的地方
[00:04:26.960 --> 00:04:30.960]  都是一個很重要的經商會經過的地方
[00:04:30.960 --> 00:04:32.960]  所以有很多的買賣
[00:04:32.960 --> 00:04:34.960]  那時候的偶像
[00:04:34.960 --> 00:04:37.960]  大部分人會拜一個月神
[00:04:37.960 --> 00:04:39.960]  日月的月
[00:04:39.960 --> 00:04:42.960]  當你看約書亞記24章2節那裡這樣說
[00:04:42.960 --> 00:04:44.960]  約書亞對眾百姓說
[00:04:44.960 --> 00:04:48.960]  耶和華以色列的神如此說
[00:04:48.960 --> 00:04:50.960]  古時你們的列祖
[00:04:50.960 --> 00:04:54.960]  就是阿伯拉罕和拿學的父親塔拉
[00:04:54.960 --> 00:04:56.960]  住在大河那邊
[00:04:56.960 --> 00:04:58.960]  侍奉別神
[00:04:58.960 --> 00:05:00.960]  原來約書亞都是這樣記載
[00:05:00.960 --> 00:05:02.960]  當時他的爸爸
[00:05:02.960 --> 00:05:06.960]  原來他是在拜其他假神
[00:05:06.960 --> 00:05:08.960]  或者是這樣的原因
[00:05:08.960 --> 00:05:11.960]  阿伯拉罕原本不是叫阿伯拉罕
[00:05:11.960 --> 00:05:14.960]  原本是叫阿伯蘭
[00:05:14.960 --> 00:05:16.960]  看了一些書
[00:05:16.960 --> 00:05:18.960]  原來阿伯蘭這個名字
[00:05:18.960 --> 00:05:21.960]  是和偶像有關係的
[00:05:21.960 --> 00:05:23.960]  說他是這樣
[00:05:23.960 --> 00:05:28.960]  所以最後上帝要他改名做阿伯拉罕
[00:05:28.960 --> 00:05:31.960]  你說那時候阿伯蘭
[00:05:31.960 --> 00:05:33.960]  即是還沒改名之前
[00:05:33.960 --> 00:05:35.960]  他開始真的很有信心
[00:05:35.960 --> 00:05:37.960]  他出去的時候真的不知道去哪裏
[00:05:37.960 --> 00:05:38.960]  你說多有信心
[00:05:38.960 --> 00:05:40.960]  他傳遞我們怎樣學
[00:05:40.960 --> 00:05:44.960]  如果我們用一個信心指數表去表達
[00:05:44.960 --> 00:05:47.960]  如果這一刻一到十分
[00:05:47.960 --> 00:05:51.960]  我相信阿伯拉罕可能有七分
[00:05:51.960 --> 00:05:52.960]  可能有七分
[00:05:52.960 --> 00:05:54.960]  但你看下去就知道
[00:05:54.960 --> 00:05:58.960]  很快他的信心就受到考驗
[00:05:58.960 --> 00:06:02.960]  去到《創世記》十二章九到十節
