
[00:00:00.000 --> 00:00:05.500]  各位弟兄姊妹 各位朋友 你們好
[00:00:05.500 --> 00:00:08.000]  歡迎大家參加我們三藩市報道會
[00:00:08.000 --> 00:00:10.000]  網上的五堂崇拜
[00:00:10.000 --> 00:00:13.000]  我們今天繼續思想希伯來書的信息
[00:00:13.000 --> 00:00:15.000]  我們去到希伯來書第十章
[00:00:15.000 --> 00:00:17.000]  十九節至二十五節
[00:00:17.000 --> 00:00:20.000]  題目叫做「新與變」
[00:00:20.000 --> 00:00:23.000]  在開始未思想這段聖經之前
[00:00:23.000 --> 00:00:25.000]  請你同心低頭 或者同禱告
[00:00:25.000 --> 00:00:28.000]  慈悲人 我天父我們滿心感謝你
[00:00:28.000 --> 00:00:32.000]  因著你捨身流血 叫我們得到新的生命
[00:00:32.000 --> 00:00:34.000]  叫我們生命有逆轉
[00:00:34.000 --> 00:00:36.000]  我們感謝你
[00:00:36.000 --> 00:00:41.000]  不單止你叫我們的生命得到新的生命
[00:00:41.000 --> 00:00:44.000]  你更加為我們預備一個新天新地
[00:00:44.000 --> 00:00:49.000]  在這個地方裏再無眼淚 再無死亡
[00:00:49.000 --> 00:00:52.000]  感謝你給我們有這樣的盼望
[00:00:52.000 --> 00:00:55.000]  我們禱告 拉奚奉耶穌基督明教
[00:00:55.000 --> 00:00:56.000]  阿們
[00:00:56.000 --> 00:00:59.000]  中國著名的作家魯舍
[00:00:59.000 --> 00:01:01.000]  寫過一個非常有趣的故事
[00:01:01.000 --> 00:01:03.000]  叫做《魯字號》
[00:01:03.000 --> 00:01:07.000]  沙漠牆是一個賣綢緞的魯字號
[00:01:07.000 --> 00:01:09.000]  它的門牌 氣勢
[00:01:09.000 --> 00:01:12.000]  完全是魯字號的格調
[00:01:12.000 --> 00:01:14.000]  有金面的黑瓷招牌
[00:01:14.000 --> 00:01:16.000]  有舊的茶几
[00:01:16.000 --> 00:01:18.000]  掛著的燈籠
[00:01:18.000 --> 00:01:20.000]  十足的武俠小說
[00:01:20.000 --> 00:01:22.000]  所講的一模一樣
[00:01:22.000 --> 00:01:24.000]  它是魯字號
[00:01:24.000 --> 00:01:27.000]  但是新穎的方法完全不用的
[00:01:27.000 --> 00:01:29.000]  不賣廣告 不做宣傳
[00:01:29.000 --> 00:01:32.000]  不准員工大聲講話
[00:01:32.000 --> 00:01:35.000]  它的賣點就是魯字號
[00:01:35.000 --> 00:01:37.000]  魯字號的前掌櫃
[00:01:37.000 --> 00:01:39.000]  有一個得意的員工
[00:01:39.000 --> 00:01:41.000]  可以說是他的得力助手
[00:01:41.000 --> 00:01:43.000]  叫做新德治
[00:01:43.000 --> 00:01:46.000]  他在沙漠牆工作了十五十六年了
[00:01:46.000 --> 00:01:48.000]  他的說話 他的咳嗽
[00:01:48.000 --> 00:01:50.000]  他的藍布長衫的樣式
[00:01:50.000 --> 00:01:53.000]  完全是沙漠牆給他的
[00:01:53.000 --> 00:01:55.000]  大肆而感到驕傲
[00:01:55.000 --> 00:01:57.000]  前掌櫃年紀老了
[00:01:57.000 --> 00:01:58.000]  宣告退休
[00:01:58.000 --> 00:02:01.000]  沙漠牆就請了一個新的掌櫃來
[00:02:01.000 --> 00:02:03.000]  他叫做周掌櫃
[00:02:03.000 --> 00:02:05.000]  在新德治的眼中
[00:02:05.000 --> 00:02:07.000]  這個周掌櫃簡直是隻野雞
[00:02:07.000 --> 00:02:10.000]  破壞了沙漠牆的老規矩
[00:02:10.000 --> 00:02:11.000]  為什麼呢?
[00:02:11.000 --> 00:02:15.000]  原來周掌櫃上任第二天
[00:02:15.000 --> 00:02:17.000]  就換了一個彩排
[00:02:17.000 --> 00:02:20.000]  寫著大減價三個字
[00:02:20.000 --> 00:02:24.000]  安排了一檔羊骨
[00:02:24.000 --> 00:02:26.000]  從天罡就吹到三間
[00:02:26.000 --> 00:02:28.000]  又派傳單又派廣告
[00:02:28.000 --> 00:02:31.000]  客人一來又送茶又送煙
[00:02:31.000 --> 00:02:33.000]  買一部就送一部
[00:02:33.000 --> 00:02:36.000]  又贈送洋娃娃
[00:02:36.000 --> 00:02:39.000]  買夠十塊就可以送貨
[00:02:39.000 --> 00:02:43.000]  因此店舖又要增加兩部自行車了
[00:02:43.000 --> 00:02:46.000]  新德治看不順眼
[00:02:46.000 --> 00:02:48.000]  這些都是噱頭來的
[00:02:48.000 --> 00:02:52.000]  不切實際破壞了沙漠牆的老規矩
[00:02:52.000 --> 00:02:54.000]  破格
[00:02:54.000 --> 00:02:56.000]  正當他辭職不做的時候
[00:02:56.000 --> 00:02:58.000]  就因為呢
[00:02:58.000 --> 00:03:02.000]  誰知道周掌櫃就讓他先行一步
[00:03:02.000 --> 00:03:05.000]  因為覺得沙漠牆這個老規矩太深太多
[00:03:05.000 --> 00:03:07.000]  不能夠發揮所長
[00:03:07.000 --> 00:03:08.000]  周掌櫃走了之後
[00:03:08.000 --> 00:03:09.000]  前掌櫃就復出
[00:03:09.000 --> 00:03:11.000]  一切回復舊觀
[00:03:11.000 --> 00:03:14.000]  樣樣都好像舊時一模一樣
[00:03:14.000 --> 00:03:16.000]  沒多久他們發覺對面
[00:03:16.000 --> 00:03:22.000]  嘩 開了一個新的囚犯團隊
[00:03:22.000 --> 00:03:24.000]  原來要跟他們打對台戲
[00:03:24.000 --> 00:03:26.000]  再看清楚老闆不是誰
[00:03:26.000 --> 00:03:30.000]  就是那個野雞周掌櫃
[00:03:30.000 --> 00:03:36.000]  新德治和那幫伙計為了節省開支
[00:03:36.000 --> 00:03:38.000]  一個人做幾個人的事
[00:03:38.000 --> 00:03:40.000]  他們相信客人不是傻的
[00:03:40.000 --> 00:03:42.000]  不會被噱頭騙的
[00:03:42.000 --> 00:03:46.000]  可惜所有客人都是傻的一樣
[00:03:46.000 --> 00:03:47.000]  不到半年
[00:03:47.000 --> 00:03:53.000]  沙漠牆就因為生意大減而要倒閉
[00:03:53.000 --> 00:03:57.000]  這個故事給我們一個什麼啟示呢
[00:03:57.000 --> 00:03:59.000]  我們中國人很懷舊
[00:03:59.000 --> 00:04:02.000]  重視經驗傳統
[00:04:02.000 --> 00:04:05.000]  祖先定樂一句就已經夠了
[00:04:05.000 --> 00:04:07.000]  我們恩秦守舊
[00:04:07.000 --> 00:04:09.000]  孤立自封
[00:04:09.000 --> 00:04:12.000]  很怕新的東西 很怕變
[00:04:12.000 --> 00:04:13.000]  沒多久之前
[00:04:13.000 --> 00:04:15.000]  太太趁著我不在的時候
[00:04:15.000 --> 00:04:18.000]  竟然把我的波褲
[00:04:18.000 --> 00:04:20.000]  我的老古董
[00:04:20.000 --> 00:04:22.000]  扔了
[00:04:22.000 --> 00:04:25.000]  這條波褲不是什麼名牌
[00:04:25.000 --> 00:04:27.000]  也不是很有價值
[00:04:27.000 --> 00:04:30.000]  但是很有紀念價值
[00:04:30.000 --> 00:04:33.000]  有一次我去踩單車
[00:04:33.000 --> 00:04:35.000]  不幸爆了胎
[00:04:35.000 --> 00:04:38.000]  我所謂爆胎不是單車爆胎
[00:04:38.000 --> 00:04:40.000]  而是那條褲子爆了胎
[00:04:40.000 --> 00:04:42.000]  太尷尬了
[00:04:42.000 --> 00:04:46.000]  於是在附近買了一條波褲來代替
[00:04:46.000 --> 00:04:48.000]  但是這條波褲
[00:04:48.000 --> 00:04:50.000]  腰圍36吋
[00:04:50.000 --> 00:04:55.000]  比我穿起來長半尺多
[00:04:55.000 --> 00:04:57.000]  但是只圍起一條
[00:04:57.000 --> 00:05:00.000]  所以我沒辦法也要買了
[00:05:00.000 --> 00:05:02.000]  買了回來之後不合穿
[00:05:02.000 --> 00:05:04.000]  就一於雪藏
[00:05:04.000 --> 00:05:07.000]  但是我又不肯扔了這個救命恩人
[00:05:07.000 --> 00:05:09.000]  誰知太太一次
[00:05:09.000 --> 00:05:11.000]  收拾房間的時候
[00:05:11.000 --> 00:05:16.000]  竟然把我的波褲扔進垃圾桶
[00:05:16.000 --> 00:05:18.000]  但是想一想
[00:05:18.000 --> 00:05:21.000]  放在這裡也沒用
[00:05:21.000 --> 00:05:23.000]  只能和它永別
[00:05:23.000 --> 00:05:25.000]  我就是一個這樣的人
[00:05:25.000 --> 00:05:27.000]  不肯扔東西的
[00:05:27.000 --> 00:05:29.000]  老古董要收起來
[00:05:29.000 --> 00:05:31.000]  弄得滿屋都是垃圾
[00:05:31.000 --> 00:05:35.000]  因為我覺得扔了之後沒什麼安全感
[00:05:35.000 --> 00:05:37.000]  我有一個很怕變的人
[00:05:37.000 --> 00:05:39.000]  新的路我不試
[00:05:39.000 --> 00:05:42.000]  新的菜色我不會嘗
[00:05:42.000 --> 00:05:46.000]  新的品牌我沒膽去試
[00:05:46.000 --> 00:05:48.000]  我去一個店舖買東西
[00:05:48.000 --> 00:05:50.000]  就永遠比那個店舖高
[00:05:50.000 --> 00:05:54.000]  不會找新東西
[00:05:54.000 --> 00:05:56.000]  出門吃飯
[00:05:56.000 --> 00:05:58.000]  想都不想就想到豆腐牛要回來
[00:05:58.000 --> 00:06:02.000]  似乎只有一樣東西才合我胃口
[00:06:02.000 --> 00:06:06.000]  怕變沒安全感
[00:06:06.000 --> 00:06:08.000]  事實上新是一個危機
[00:06:08.000 --> 00:06:10.000]  變是一個危機
[00:06:10.000 --> 00:06:12.000]  一切蕭規曹循
[00:06:12.000 --> 00:06:15.000]  有例可換
[00:06:15.000 --> 00:06:17.000]  這樣比較安全
[00:06:17.000 --> 00:06:19.000]  另一方面如果我們說新是一個挑戰
[00:06:19.000 --> 00:06:21.000]  是一個危機
[00:06:21.000 --> 00:06:23.000]  我坦白承認
[00:06:23.000 --> 00:06:26.000]  舊是一個更大的危機
[00:06:26.000 --> 00:06:29.000]  就好像三合牆的故事一樣
[00:06:29.000 --> 00:06:32.000]  老化 僵化
[00:06:32.000 --> 00:06:34.000]  不懂得去變
[00:06:34.000 --> 00:06:36.000]  不認清時勢
[00:06:36.000 --> 00:06:38.000]  不清不楚
[00:06:38.000 --> 00:06:43.000]  你以為安全轉眼間就會倒塌
[00:06:43.000 --> 00:06:45.000]  中國人所謂麻木不仁
[00:06:45.000 --> 00:06:47.000]  一池死水
[00:06:47.000 --> 00:06:49.000]  故步自封
[00:06:49.000 --> 00:06:50.000]  因秦守舊
[00:06:50.000 --> 00:06:52.000]  食古不化
[00:06:52.000 --> 00:06:54.000]  全部都是警告我們
[00:06:54.000 --> 00:06:56.000]  我們做人要有勇氣去突破
[00:06:56.000 --> 00:06:59.000]  去改變 去成長
[00:06:59.000 --> 00:07:02.000]  70年代對猶太人來說
[00:07:02.000 --> 00:07:05.000]  是一個大危機的時間
[00:07:05.000 --> 00:07:09.000]  不少猶太人都會想想昔日的輝煌
[00:07:09.000 --> 00:07:12.000]  盛年在盛年生的閃耀
[00:07:12.000 --> 00:07:14.000]  令他覺得自豪
[00:07:14.000 --> 00:07:16.000]  現在什麼都沒有了
[00:07:16.000 --> 00:07:17.000]  盛年沒了
[00:07:17.000 --> 00:07:19.000]  祭司制度沒了
[00:07:19.000 --> 00:07:21.000]  政治勢力沒了
[00:07:21.000 --> 00:07:23.000]  國籍沒了
[00:07:23.000 --> 00:07:24.000]  尊嚴沒了
[00:07:24.000 --> 00:07:25.000]  前途沒了
[00:07:25.000 --> 00:07:29.000]  在這個幻變無常的世代裏
[00:07:29.000 --> 00:07:31.000]  哪條是我們出路的呢?
[00:07:31.000 --> 00:07:34.000]  在某個程度來說
[00:07:34.000 --> 00:07:37.000]  我們都好像面對一個這樣的情形
[00:07:37.000 --> 00:07:40.000]  處於一個變幻無常的世代
[00:07:40.000 --> 00:07:43.000]  有些人就將頭埋在沙裏
[00:07:43.000 --> 00:07:47.000]  不想 不理 不尋求人生的答案
[00:07:47.000 --> 00:07:49.000]  不想前面的道路
[00:07:49.000 --> 00:07:52.000]  這是不是解決的方法呢?
[00:07:52.000 --> 00:07:55.000]  現在就讓我們看看希伯來書給我們一條
[00:07:55.000 --> 00:07:59.000]  又生又活前面的路
[00:07:59.000 --> 00:08:02.000]  首先我們看看19至22節
[00:08:02.000 --> 00:08:05.000]  又生又活的路
[00:08:05.000 --> 00:08:07.000]  弟兄們
[00:08:07.000 --> 00:08:09.000]  我們既因耶穌的血
[00:08:09.000 --> 00:08:12.000]  得以坦然進入至聖所
[00:08:12.000 --> 00:08:14.000]  使其就他給我們開了一條
[00:08:14.000 --> 00:08:16.000]  又生又活的路
[00:08:16.000 --> 00:08:17.000]  從萬子經過
