
[00:00:00.000 --> 00:00:05.920]  天父我們恭敬將我們每一位弟兄姊妹
[00:00:05.920 --> 00:00:08.120]  今晚聚集在這一處
[00:00:08.120 --> 00:00:09.920]  這一段時間
[00:00:09.920 --> 00:00:11.240]  我們的學習
[00:00:11.240 --> 00:00:12.680]  我們的思想
[00:00:12.680 --> 00:00:14.200]  我們的討論
[00:00:14.200 --> 00:00:16.800]  都交在你的恩手當中
[00:00:16.800 --> 00:00:18.800]  求你保守我們
[00:00:18.800 --> 00:00:21.480]  保佑我們所講所聽的
[00:00:21.480 --> 00:00:27.520]  都是在你自己的話語所啟示的範圍
[00:00:27.520 --> 00:00:30.600]  讓我們心靈能夠明白
[00:00:30.600 --> 00:00:33.280]  更加能夠用得著
[00:00:33.280 --> 00:00:36.000]  在我們的生命生活當中
[00:00:36.000 --> 00:00:38.440]  我們這樣恭敬仰望祈禱
[00:00:38.440 --> 00:00:40.120]  奉耶穌基督的聖名
[00:00:40.120 --> 00:00:41.120]  阿們
[00:00:41.120 --> 00:00:44.920]  正如上一次我提過
[00:00:44.920 --> 00:00:47.400]  今天我們開始入迦南了
[00:00:47.400 --> 00:00:50.600]  這一次入迦南和列祖的時候不同
[00:00:50.600 --> 00:00:52.600]  列祖的時候是寄居
[00:00:52.600 --> 00:00:56.960]  是由牧到不同的地方都是搭過帳篷
[00:00:56.960 --> 00:00:59.880]  這一次以色列人入迦南是入住
[00:00:59.880 --> 00:01:02.840]  所以我們第三講的題目
[00:01:02.840 --> 00:01:08.400]  我們特別集中看永生神這個名稱
[00:01:08.400 --> 00:01:12.160]  而我們必須要在今堂處理的
[00:01:12.160 --> 00:01:14.160]  就是舊約聖經
[00:01:14.160 --> 00:01:17.800]  或者說古以色列的信仰
[00:01:17.800 --> 00:01:21.000]  和迦南的文化
[00:01:21.000 --> 00:01:24.160]  特別是他們宗教的文化
[00:01:24.160 --> 00:01:30.240]  特別是他們的神話的傳統之間的關係
[00:01:30.240 --> 00:01:35.960]  我們看到文化其實不是一件那麼複雜的事情
[00:01:35.960 --> 00:01:42.520]  田納克Potlick這位基督教的神學家
[00:01:42.520 --> 00:01:45.000]  有人說他不是神學家只是哲學家
[00:01:45.000 --> 00:01:47.720]  他給了文化一個很簡單的定義
[00:01:47.720 --> 00:01:51.000]  總之不是天然的就是文化
[00:01:51.000 --> 00:01:56.480]  Culture這個字用在生物學上
[00:01:56.480 --> 00:01:59.200]  都是說cultivation
[00:01:59.200 --> 00:02:05.080]  就是怎樣培育用人工去整理
[00:02:05.080 --> 00:02:09.640]  經過人手人的設計人的參與
[00:02:09.640 --> 00:02:11.840]  所以凡不是天然的東西
[00:02:11.840 --> 00:02:14.520]  就是文化的一部分
[00:02:14.520 --> 00:02:16.920]  當然我們今晚不是要討論文化
[00:02:16.920 --> 00:02:20.360]  我們只不過是想先開頭的時候
[00:02:20.360 --> 00:02:29.080]  讓弟兄姊妹能夠稍微抽離一點
[00:02:29.080 --> 00:02:34.040]  看看我們今天在華人教會裏面
[00:02:34.040 --> 00:02:37.560]  其實都有很多文化的色彩
[00:02:37.560 --> 00:02:43.880]  文化的性質在裏面
[00:02:43.880 --> 00:02:48.520]  就由我們這個禮堂這個講台講起
[00:02:48.520 --> 00:02:53.080]  我想我們習慣禮堂的人就不太察覺
[00:02:53.080 --> 00:02:55.480]  我們回來禮堂當然是這樣的
[00:02:55.480 --> 00:02:56.840]  一定有一塊布有一塊木
[00:02:56.840 --> 00:02:57.960]  有個十字架在中間
[00:02:57.960 --> 00:02:59.320]  有個講台高了一點
[00:02:59.320 --> 00:03:00.520]  一個或兩個台
