
[00:00:00.000 --> 00:00:08.000]  今天和大家一起看的經文是加拉太書的第一章
[00:00:08.000 --> 00:00:11.000]  從第三節到第五節
[00:00:11.000 --> 00:00:18.000]  今天和大家一起看的講題就是在神裡面發生的一些時移世易的改變
[00:00:18.000 --> 00:00:23.000]  讓我們在開始之前先認識一下這篇經文
[00:00:23.000 --> 00:00:31.000]  讓我再次為大家讀出加拉太書的第一章的第一節到第五節
[00:00:31.000 --> 00:00:36.000]  讓我們先了解一下整段開場白是講什麼
[00:00:36.000 --> 00:00:40.000]  然後我們今天會集中去看第三到第五節
[00:00:40.000 --> 00:00:44.000]  當我們打開聖經的話也與我一起去思想
[00:00:44.000 --> 00:00:50.000]  我會和大家一起去讀和合本聖經從第一到第五節
[00:00:50.000 --> 00:00:54.000]  加拉太書的第一章第一節
[00:00:54.000 --> 00:00:58.000]  作仕途的保羅不是由於人也不是借著人
[00:00:58.000 --> 00:01:04.000]  乃是借著耶穌基督與叫他從死裡復活的父上帝
[00:01:04.000 --> 00:01:10.000]  和一切與我同在的眾弟兄寫信給加拉太的各教會
[00:01:10.000 --> 00:01:17.000]  願因平安從父上帝與我們的主耶穌基督歸於你們
[00:01:17.000 --> 00:01:23.000]  基督照我們父上帝的旨意為我們的罪捨己
[00:01:23.000 --> 00:01:27.000]  要救我們脫離這罪惡的世代
[00:01:27.000 --> 00:01:31.000]  但願榮耀歸於上帝直到永遠
[00:01:31.000 --> 00:01:32.000]  阿們
[00:01:32.000 --> 00:01:39.000]  在我年輕的時候很多時候和長輩一起去喝茶吃飯
[00:01:39.000 --> 00:01:47.000]  有時候甚至和我爸爸早晨的時候會去喝早茶
[00:01:47.000 --> 00:01:54.000]  有時候聽見長輩在對話中經常說這句話
[00:01:54.000 --> 00:02:00.000]  「世界變了」或是「時移世易」
[00:02:00.000 --> 00:02:04.000]  作為當時的我因為仍然很年輕
[00:02:04.000 --> 00:02:08.000]  我的世界只有十年八載的日子
[00:02:08.000 --> 00:02:12.000]  對於所謂的世界變、時移世易等等這些說話
[00:02:12.000 --> 00:02:14.000]  我都沒有太大的感受
[00:02:14.000 --> 00:02:18.000]  但隨著自己年紀開始大了
[00:02:18.000 --> 00:02:24.000]  或者是要面對人生很多事情的時候
[00:02:24.000 --> 00:02:28.000]  不單止感覺到這個世界分分秒秒都在改變
[00:02:28.000 --> 00:02:33.000]  而且更加變得越來越差、更加變得越來越金
[00:02:33.000 --> 00:02:38.000]  而且更加變得越來越橫蠻無理的世代
[00:02:38.000 --> 00:02:42.000]  甚至會發覺到在現在這個世界的改變裏
[00:02:42.000 --> 00:02:45.000]  沒有一個人,不可以說是任何一個人
[00:02:45.000 --> 00:02:50.000]  沒有一個人可以說是可以阻止這種改變的勢頭
[00:02:50.000 --> 00:02:52.000]  甚至可以控制這個勢頭
[00:02:52.000 --> 00:02:58.000]  這個世界再不是可以說是被人籌算計劃
[00:02:58.000 --> 00:03:03.000]  當然我這番話聽起來好像是人生哲理
[00:03:03.000 --> 00:03:06.000]  主要講到當然不是講人生哲理
[00:03:06.000 --> 00:03:09.000]  是講一些有關於神國的事情
[00:03:09.000 --> 00:03:15.000]  是講一些有關於神的子民怎樣活在神國裏面的事情
[00:03:15.000 --> 00:03:19.000]  但是在聖經當中的記載也不是離地
[00:03:19.000 --> 00:03:23.000]  其實很貼近於我們人生很多的範疇
[00:03:23.000 --> 00:03:27.000]  因為雖然聖經裏面不是強調說
[00:03:27.000 --> 00:03:30.000]  今天只是怎樣解決這個世界的問題
[00:03:30.000 --> 00:03:37.000]  聖經其實更重要的是藉著這個世界的時代改變這個規律
[00:03:37.000 --> 00:03:42.000]  讓我們去看見原來聖經有一個很期盼的改變
[00:03:42.000 --> 00:03:45.000]  這個改變是從一個罪惡的世界
[00:03:45.000 --> 00:03:53.000]  改變成為一個沒有恩惠和平安所組成的一個拯救為中心的時代
[00:03:53.000 --> 00:04:00.000]  也可以簡單地說是將一個罪惡滿盈的時代
[00:04:00.000 --> 00:04:06.000]  變成一個合神心意的神的永恆的國度
[00:04:06.000 --> 00:04:10.000]  今天我們去看的迦拉提書第一章
[00:04:10.000 --> 00:04:14.000]  我們集中去看第三至第五節的經文
[00:04:14.000 --> 00:04:18.000]  我們看見這個時代的巨輪的改變
[00:04:18.000 --> 00:04:23.000]  這個改變其實在上帝的心目中是有一個特定的意思
[00:04:23.000 --> 00:04:26.000]  我們先回去看這段聖經
[00:04:26.000 --> 00:04:29.000]  我們會分為兩個部分去看這段經文
[00:04:29.000 --> 00:04:32.000]  我們先會去看第三和第四節
[00:04:32.000 --> 00:04:34.000]  第三節和第四節
[00:04:34.000 --> 00:04:41.000]  願因為平安從父上帝與我們的主耶穌基督歸與你們
[00:04:41.000 --> 00:04:47.000]  基督照我們父上帝的旨意為我們的罪捨己
[00:04:47.000 --> 00:04:50.000]  要救我們脫離這罪惡的世代
[00:04:50.000 --> 00:04:54.000]  在這兩節的經文裏面
[00:04:54.000 --> 00:04:58.000]  一般的信徒會說只是一封書信的文案
[00:04:58.000 --> 00:05:00.000]  很簡單的東西
[00:05:00.000 --> 00:05:05.000]  但實質上如果我們已經看到第一和第二節
[00:05:05.000 --> 00:05:10.000]  在開頭雖然是很簡單地去介紹保羅
[00:05:10.000 --> 00:05:13.000]  他自己作為一個使徒的身份的來源
[00:05:13.000 --> 00:05:17.000]  原來是基於基督耶穌和父神
[00:05:17.000 --> 00:05:23.000]  接著保羅在這裏從第三和第四節就要更進一步
[00:05:23.000 --> 00:05:26.000]  去說明告訴他知道耶穌基督和父神
[00:05:26.000 --> 00:05:30.000]  其實要揭開一個新時代的一頁
[00:05:30.000 --> 00:05:39.000]  而這個新的時代是由恩惠和平安所組成的一個稱之為拯救的時代
[00:05:39.000 --> 00:05:42.000]  在第三和第四節裏面
