
[00:00:00.000 --> 00:00:05.280]  多謝李全道的介紹
[00:00:05.280 --> 00:00:10.320]  我也想和大家思想
[00:00:10.320 --> 00:00:13.840]  在今天和大家講神學主日
[00:00:13.840 --> 00:00:16.040]  我想和大家分享一些經驗
[00:00:16.040 --> 00:00:21.440]  去想一想究竟上帝有什麼使命給我們
[00:00:21.440 --> 00:00:25.800]  我早年在屋泰華木會
[00:00:25.800 --> 00:00:29.800]  在80年代讀完書之後
[00:00:29.800 --> 00:00:33.800]  後來我回香港教神學
[00:00:33.800 --> 00:00:37.800]  到了2011年退休
[00:00:37.800 --> 00:00:40.800]  在退休的時候
[00:00:40.800 --> 00:00:45.800]  本來應該可以做一些很輕鬆的事
[00:00:45.800 --> 00:00:47.800]  在教會講道
[00:00:47.800 --> 00:00:49.800]  我一直都有木會
[00:00:49.800 --> 00:00:52.800]  但當時在加拿大有位牧者和我說
[00:00:52.800 --> 00:00:54.800]  你有些事未做完
[00:00:54.800 --> 00:00:56.800]  可不可以回來做完
[00:00:56.800 --> 00:00:58.800]  我有什麼未做完呢
[00:00:58.800 --> 00:01:03.800]  在80年代屋泰華的教會主要是講廣東話
[00:01:03.800 --> 00:01:08.800]  8964之後有一班中國留學生留在這裡
[00:01:08.800 --> 00:01:11.800]  屋泰華是一個首都
[00:01:11.800 --> 00:01:15.800]  有很多人在這裡讀書、讀博士或是做政府工作
[00:01:15.800 --> 00:01:18.800]  留學生的團契
[00:01:18.800 --> 00:01:25.800]  很多是從中國大陸來讀博士
[00:01:25.800 --> 00:01:33.800]  我們請了一位國語的牧師來開展這個工作
[00:01:33.800 --> 00:01:35.800]  因為這個牧師很熱心傳福音
[00:01:35.800 --> 00:01:37.800]  很有恩賜
[00:01:37.800 --> 00:01:39.800]  他的恩賜很厲害
[00:01:39.800 --> 00:01:41.800]  有一次他過馬路
[00:01:41.800 --> 00:01:43.800]  馬路很闊
[00:01:43.800 --> 00:01:45.800]  在這裡燈光
[00:01:45.800 --> 00:01:47.800]  遇到一個國內人跟他說福音
[00:01:47.800 --> 00:01:49.800]  然後過了馬路就在那裡幫他決志
[00:01:49.800 --> 00:01:53.800]  所以那個國語堂本來是沒有崇拜的
[00:01:53.800 --> 00:01:56.800]  但短短一兩年就有百多人
[00:01:56.800 --> 00:01:58.800]  有自己的崇拜
[00:01:58.800 --> 00:02:00.800]  有自己的執事會
[00:02:00.800 --> 00:02:05.800]  後來就籍了一個國語教會出來
[00:02:05.800 --> 00:02:08.800]  我回到香港之後
[00:02:08.800 --> 00:02:10.800]  後來這位牧師跟我說
[00:02:10.800 --> 00:02:15.800]  他說現在從中國大陸來的國語的朋友很多
[00:02:15.800 --> 00:02:19.800]  80年代從香港來的移民
[00:02:19.800 --> 00:02:23.800]  和2000年之後從中國大陸來的移民
[00:02:23.800 --> 00:02:25.800]  有很大的分別
[00:02:25.800 --> 00:02:27.800]  80年代由香港來的移民
[00:02:27.800 --> 00:02:31.800]  當中15%到20%是基督徒
[00:02:31.800 --> 00:02:34.800]  所以當時的教會很興旺
[00:02:34.800 --> 00:02:37.800]  因為很多移民的信徒過來
[00:02:37.800 --> 00:02:39.800]  當然本地也有做很多工作
[00:02:39.800 --> 00:02:41.800]  吸引這些人
[00:02:41.800 --> 00:02:45.800]  基本上當時很多教會承接了移民潮
[00:02:45.800 --> 00:02:49.800]  但2000年之後從中國大陸來的移民
[00:02:49.800 --> 00:02:51.800]  是很少基督徒
[00:02:51.800 --> 00:02:54.800]  他們信主的人數
[00:02:54.800 --> 00:02:57.800]  有一次不是正式的統計
[00:02:57.800 --> 00:03:00.800]  發現1%都不夠
[00:03:00.800 --> 00:03:03.800]  而過去10年是累積了40多萬人
[00:03:03.800 --> 00:03:07.800]  你知不知道去年由香港移民來加拿大
[00:03:07.800 --> 00:03:10.800]  2012年剛公佈了State Camp
[00:03:10.800 --> 00:03:13.800]  是有1000人香港移民過來
[00:03:13.800 --> 00:03:15.800]  台灣移民也有1000人
[00:03:15.800 --> 00:03:17.800]  但中國大陸來的移民
[00:03:17.800 --> 00:03:19.800]  去年有3萬人
[00:03:19.800 --> 00:03:25.800]  這50多萬的移民在過去的10年
[00:03:25.800 --> 00:03:29.800]  當中的信徒是很少的
[00:03:29.800 --> 00:03:32.800]  所以我們發現教會人數不多
[00:03:32.800 --> 00:03:34.800]  而大部分的人沒有回教會
[00:03:34.800 --> 00:03:36.800]  隱藏在社區裏面
[00:03:36.800 --> 00:03:37.800]  有他們自己的生活
[00:03:37.800 --> 00:03:38.800]  有他們自己的社區
[00:03:38.800 --> 00:03:41.800]  你要進入這個社區向他們傳福音
[00:03:41.800 --> 00:03:42.800]  很難
[00:03:42.800 --> 00:03:45.800]  你會說國語不表示你明白他們
[00:03:45.800 --> 00:03:50.800]  可以和他們有一個深入的相交
[00:03:50.800 --> 00:03:52.800]  所以要向他們傳福音
[00:03:52.800 --> 00:03:53.800]  outreach他們
[00:03:53.800 --> 00:03:55.800]  即是向他們那裏帶他們信主
[00:03:55.800 --> 00:03:58.800]  是要他們的人信了主
[00:03:58.800 --> 00:04:02.800]  然後由他們同聲同氣
[00:04:02.800 --> 00:04:05.800]  來帶他們回教會
[00:04:05.800 --> 00:04:07.800]  但他們基督徒這麼少
[00:04:07.800 --> 00:04:10.800]  很明顯他們的目者也都很少
[00:04:11.800 --> 00:04:13.800]  現在在加拿大裏面
[00:04:13.800 --> 00:04:16.800]  國有目者主要是香港或台灣
[00:04:16.800 --> 00:04:18.800]  他們都很忠心去做
[00:04:18.800 --> 00:04:21.800]  但這麼大的群體要進入裏面
[00:04:21.800 --> 00:04:23.800]  始終要他們的人
[00:04:23.800 --> 00:04:26.800]  我雖然會說國語
[00:04:26.800 --> 00:04:27.800]  說得不算好
[00:04:27.800 --> 00:04:28.800]  教書沒問題
[00:04:28.800 --> 00:04:30.800]  但如果要和他們深入的傾談
[00:04:30.800 --> 00:04:31.800]  很難
[00:04:31.800 --> 00:04:33.800]  我的學生一說他們的普通話
[00:04:33.800 --> 00:04:34.800]  就沒得回答
[00:04:34.800 --> 00:04:36.800]  因為他們說80年代70年代的事
[00:04:36.800 --> 00:04:37.800]  你不知道
[00:04:37.800 --> 00:04:39.800]  他們在生活上你不知道
[00:04:39.800 --> 00:04:41.800]  所以他們的目者跟我說
[00:04:41.800 --> 00:04:45.800]  廣東話教會現在扮演一個很重要的角色
[00:04:45.800 --> 00:04:49.800]  就是要去支持一個神行院
[00:04:49.800 --> 00:04:50.800]  訓練他們的人
[00:04:50.800 --> 00:04:52.800]  向他們傳道
[00:04:52.800 --> 00:04:53.800]  向他們傳福音
[00:04:53.800 --> 00:04:55.800]  將這個使命和好使命
[00:04:55.800 --> 00:04:57.800]  來交給他們
[00:04:57.800 --> 00:04:59.800]  帶領這幾十萬人信主
[00:04:59.800 --> 00:05:02.800]  因此在加拿大成立了
[00:05:02.800 --> 00:05:05.800]  以普通話為主的教會
[00:05:05.800 --> 00:05:10.800]  我在去年1月1日就來到這裏
[00:05:10.800 --> 00:05:11.800]  最初來的時候
[00:05:11.800 --> 00:05:15.800]  我都覺得在這裏開一間中文受院好像沒什麼意義
[00:05:15.800 --> 00:05:21.800]  因為他們可以讀英文
[00:05:21.800 --> 00:05:23.800]  後來我發現
[00:05:23.800 --> 00:05:25.800]  香港人和我們不同
[00:05:25.800 --> 00:05:28.800]  香港人從小受英語教育
[00:05:28.800 --> 00:05:30.800]  英文中學
[00:05:30.800 --> 00:05:31.800]  英文大學
[00:05:31.800 --> 00:05:32.800]  沒問題
[00:05:32.800 --> 00:05:34.800]  很順理成章
[00:05:34.800 --> 00:05:35.800]  但他們不是
[00:05:35.800 --> 00:05:37.800]  他們只學中文教育
[00:05:37.800 --> 00:05:39.800]  他們就不想用英文去讀
[00:05:39.800 --> 00:05:40.800]  他們懂英文
[00:05:40.800 --> 00:05:43.800]  但思維上是很不同
[00:05:43.800 --> 00:05:49.800]  所以他們很想有中文的神學教育
[00:05:49.800 --> 00:05:50.800]  還有
[00:05:50.800 --> 00:05:52.800]  在過去
[00:05:52.800 --> 00:05:55.800]  很多加拿大的廣東話教會
[00:05:55.800 --> 00:05:57.800]  是不用栽培牧師的
[00:05:57.800 --> 00:05:59.800]  因為八零年代
[00:05:59.800 --> 00:06:01.800]  一大批牧師移民了過來
[00:06:01.800 --> 00:06:03.800]  很多牧師
[00:06:03.800 --> 00:06:07.800]  後來牧師太多又回到香港
[00:06:07.800 --> 00:06:09.800]  但對於中國大陸來說
