
[00:00:00.000 --> 00:00:02.000]  (字幕:陳志全)
[00:00:03.000 --> 00:00:06.400]  如果你今晚拿到一本新的聖經
[00:00:06.400 --> 00:00:11.400]  請你打開彼得後書二章
[00:00:11.400 --> 00:00:16.200]  舊的聖經也是一樣打開彼得後書二章
[00:00:16.200 --> 00:00:22.000]  我們繼續思想這段聖經給我們的提醒
[00:00:22.000 --> 00:00:28.400]  彼得知道他在人世間的日子不是很多
[00:00:29.400 --> 00:00:34.400]  他就要將一些很重要的話告訴弟兄姊妹
[00:00:34.400 --> 00:00:39.400]  為了堅固他們的信心
[00:00:39.400 --> 00:00:43.400]  如果你看彼得前書彼得後書
[00:00:43.400 --> 00:00:45.800]  一口氣看下去的話
[00:00:45.800 --> 00:00:48.400]  我相信你不難發現
[00:00:48.400 --> 00:00:54.800]  那一個的核心總是離不開盤石
[00:00:54.800 --> 00:00:57.200]  離不開防角石
[00:00:57.600 --> 00:01:00.400]  離不開那一位真正的主角
[00:01:00.400 --> 00:01:01.400]  是哪一位?
[00:01:01.400 --> 00:01:04.800]  耶穌基督
[00:01:04.800 --> 00:01:08.400]  一切盡在於祂
[00:01:08.400 --> 00:01:11.400]  純正的信仰
[00:01:11.400 --> 00:01:16.400]  特別是最優秀的福音信仰
[00:01:16.400 --> 00:01:23.400]  一定是好像彼得在彼得書信裡面所教導的
[00:01:23.400 --> 00:01:25.800]  不偏不倚
[00:01:26.200 --> 00:01:30.200]  永遠以基督為防角石
[00:01:30.200 --> 00:01:31.600]  為核心
[00:01:31.600 --> 00:01:35.800]  在神和人之間只有一條路
[00:01:35.800 --> 00:01:38.400]  聖靈充滿
[00:01:38.400 --> 00:01:43.400]  也要人與基督緊密相連
[00:01:43.400 --> 00:01:49.800]  並且聖靈在屬基督的人身上持續不斷的工作
[00:01:49.800 --> 00:01:51.600]  最主要的
[00:01:51.600 --> 00:01:54.200]  也必定要成就的
[00:01:54.800 --> 00:02:00.600]  就是將人徹底的改變到完完全全的
[00:02:00.600 --> 00:02:02.600]  不折不扣的
[00:02:02.600 --> 00:02:05.800]  是與基督一樣
[00:02:05.800 --> 00:02:08.800]  我們的盼望
[00:02:08.800 --> 00:02:10.800]  是在於這一處
[00:02:10.800 --> 00:02:13.200]  偏離了這個焦點
[00:02:13.200 --> 00:02:16.600]  往往會出問題
[00:02:16.600 --> 00:02:20.000]  真正的認識
[00:02:20.000 --> 00:02:21.600]  真正的相信
[00:02:21.600 --> 00:02:23.400]  真正的堅固
[00:02:23.800 --> 00:02:26.800]  就一定有一個活潑的生命
[00:02:26.800 --> 00:02:30.200]  這是唯一的弱勢
[00:02:30.200 --> 00:02:34.200]  很可惜有時候我們在教會歷史裡面都會看到
[00:02:34.200 --> 00:02:36.200]  有一種偏差
[00:02:36.200 --> 00:02:38.200]  偏差到一個地步
[00:02:38.200 --> 00:02:41.600]  好像將聖父、聖子、聖靈
[00:02:41.600 --> 00:02:46.400]  分為三個不同的階段
[00:02:46.400 --> 00:02:49.400]  一個不同的重點
[00:02:49.400 --> 00:02:51.600]  其實不應該這樣
[00:02:52.000 --> 00:02:55.800]  我很喜歡老師所提醒的
[00:02:55.800 --> 00:03:01.000]  我們的生命永遠是在三一神裡面的生命
[00:03:01.000 --> 00:03:04.200]  是在聖靈裡
[00:03:04.200 --> 00:03:07.800]  藉著基督是親近父神
[00:03:07.800 --> 00:03:14.600]  而基督永遠都是天父與人交往的
[00:03:14.600 --> 00:03:16.800]  那一個不變的盤石
[00:03:16.800 --> 00:03:18.200]  不變的核心
[00:03:18.200 --> 00:03:21.600]  任何的教導偏離了基督
[00:03:21.800 --> 00:03:23.200]  貶低了基督
[00:03:23.200 --> 00:03:26.200]  削醜了基督某一部分
[00:03:26.200 --> 00:03:29.200]  就是一個偏廢了的信仰
[00:03:29.200 --> 00:03:31.200]  有些人覺得說說基督
[00:03:31.200 --> 00:03:32.200]  說得太多基督了
[00:03:32.200 --> 00:03:33.800]  不如我們說說其他吧
[00:03:33.800 --> 00:03:35.000]  不行的
[00:03:35.000 --> 00:03:39.600]  永遠都是以基督為核心
[00:03:39.600 --> 00:03:41.600]  第二章之前
[00:03:41.600 --> 00:03:44.200]  彼得厚書第二章之前
[00:03:44.200 --> 00:03:49.000]  是在論述我們蒙基督的恩典
[00:03:49.400 --> 00:03:52.000]  與他一樣有得到這個義
[00:03:52.000 --> 00:03:55.400]  然後靠著神去認識耶穌基督
[00:03:55.400 --> 00:03:58.200]  就得著基督的生命
[00:03:58.200 --> 00:04:02.800]  然後最終就是要進入永恆
[00:04:02.800 --> 00:04:06.000]  救主耶穌基督永遠的國度
[00:04:06.000 --> 00:04:09.000]  是從基督的生命
[00:04:09.000 --> 00:04:11.000]  從基督的恩典
[00:04:11.000 --> 00:04:15.800]  然後繼續發展會成熟的基督的生命
[00:04:15.800 --> 00:04:18.400]  然後彼得在第一章那一章
[00:04:18.600 --> 00:04:21.000]  來跟我們溫習了幾件事情
[00:04:21.000 --> 00:04:23.600]  他說我所說的
[00:04:23.600 --> 00:04:27.200]  不是隨從乖巧的說話捏造出來的
[00:04:27.200 --> 00:04:31.600]  乃是按著聖旨在聖山上
[00:04:31.600 --> 00:04:33.800]  改一個改變面貌
[00:04:33.800 --> 00:04:35.600]  彰顯他的榮耀
[00:04:35.600 --> 00:04:37.600]  然後在這個聖山上
[00:04:37.600 --> 00:04:39.400]  發生了一件很奇妙的事
[00:04:39.400 --> 00:04:43.400]  除了聖旨自己本身的面貌榮耀改變
[00:04:43.800 --> 00:04:46.600]  有天父開聲說
[00:04:46.600 --> 00:04:48.800]  這是我的愛旨
[00:04:48.800 --> 00:04:50.400]  我所起的約定
[00:04:50.400 --> 00:04:53.000]  然後彼得接著說
[00:04:53.000 --> 00:04:55.400]  因為我們知道這一切
[00:04:55.400 --> 00:04:59.000]  不單只是聖旨自己榮光的彰顯
[00:04:59.000 --> 00:05:03.200]  聖父威榮的聲音來見證
[00:05:03.200 --> 00:05:08.800]  並且我們有先知更確定的預言
[00:05:08.800 --> 00:05:11.200]  就是聖經預言
[00:05:11.400 --> 00:05:15.800]  陸再下來給我們參考
[00:05:15.800 --> 00:05:17.200]  可以依靠
[00:05:17.200 --> 00:05:18.800]  可以去到辯認
[00:05:18.800 --> 00:05:20.200]  然後彼得就說
[00:05:20.200 --> 00:05:23.200]  這些預言從來不是出於人意
[00:05:23.200 --> 00:05:26.600]  乃是人被神的靈來感動
[00:05:26.600 --> 00:05:28.800]  說出神的話來
[00:05:28.800 --> 00:05:31.200]  我忽然間看一看就說
[00:05:31.200 --> 00:05:34.200]  哦 原來我們今天的信仰
[00:05:34.200 --> 00:05:37.000]  我們接受彼得的見證
[00:05:37.000 --> 00:05:39.200]  那一個的重心
[00:05:40.400 --> 00:05:44.800]  是一個三一神同樣工作的重心
[00:05:44.800 --> 00:05:47.200]  是聖旨榮光的彰顯
[00:05:47.200 --> 00:05:50.000]  是聖父開口來見證
