
[00:00:00.000 --> 00:00:05.000]  實踐生命第二講
[00:00:05.000 --> 00:00:10.000]  教會政治聖徒相通
[00:00:10.000 --> 00:00:17.000]  溫偉耀博士現任加拿大安大略神學院神學教授及華人士工課程主任
[00:00:17.000 --> 00:00:21.000]  獲有英國牛津大學哲學博士學位
[00:00:21.000 --> 00:00:25.000]  對當代思潮及神學發展有精湛研究
[00:00:25.000 --> 00:00:28.000]  當我想到教會存在意義和使命的時候
[00:00:28.000 --> 00:00:30.000]  這是很基本的東西
[00:00:30.000 --> 00:00:34.000]  如果我們處理教會的教義不能夠講這件事就不算講教會
[00:00:34.000 --> 00:00:38.000]  於是我們就和大家處理三方面
[00:00:38.000 --> 00:00:41.000]  其實真的如果講教會的存在意義和使命
[00:00:41.000 --> 00:00:45.000]  這三樣東西第一信徒相通
[00:00:45.000 --> 00:00:47.000]  第二宣講福音
[00:00:47.000 --> 00:00:53.000]  第三就是見證或者我們可以說是社會的參與
[00:00:53.000 --> 00:00:55.000]  或者社會的責任
[00:00:55.000 --> 00:01:02.000]  教會的參與 宗教的責任 社會的責任
[00:01:02.000 --> 00:01:06.000]  這三個可以說是頂足而立撐起教會的存在意義
[00:01:06.000 --> 00:01:08.000]  當然這三者牽涉很多問題的
[00:01:08.000 --> 00:01:10.000]  我都知道的
[00:01:10.000 --> 00:01:13.000]  所以我想中間大家可能沒有留意到
[00:01:13.000 --> 00:01:15.000]  或者想過或者未全面回答的
[00:01:15.000 --> 00:01:17.000]  我就要講出來
[00:01:17.000 --> 00:01:19.000]  我發覺都不少的
[00:01:19.000 --> 00:01:20.000]  都有很多東西的
[00:01:20.000 --> 00:01:25.000]  不如就先講一講和大家比較息息相關的東西
[00:01:25.000 --> 00:01:30.000]  因為恐怕下個星期二就有很多東西不同了
[00:01:30.000 --> 00:01:32.000]  我想和大家講一講
[00:01:32.000 --> 00:01:37.000]  在教會的參與社會
[00:01:37.000 --> 00:01:40.000]  所要考慮的問題
[00:01:40.000 --> 00:01:44.000]  這一部分在我以往的
[00:01:44.000 --> 00:01:49.000]  四年前的一個課程裏面
[00:01:49.000 --> 00:01:51.000]  有一堂是講過的
[00:01:51.000 --> 00:01:54.000]  但是因為那裏沒有錄音
[00:01:54.000 --> 00:01:58.000]  我相信未必重複的同學不是很多
[00:01:58.000 --> 00:01:59.000]  我儘管講
[00:01:59.000 --> 00:02:01.000]  如果真的有人在那時候聽過的
[00:02:01.000 --> 00:02:03.000]  就再溫習一下
[00:02:03.000 --> 00:02:07.000]  不過我想這個花了不少時間去搞
[00:02:07.000 --> 00:02:09.000]  我就覺得很難再有什麼
[00:02:09.000 --> 00:02:12.000]  再有完全新的講法
[00:02:12.000 --> 00:02:14.000]  我想和大家看第三版
[00:02:14.000 --> 00:02:17.000]  第三版的B
