
[00:00:00.000 --> 00:00:07.700]  早晨 差不多半年沒有講啟示錄
[00:00:07.700 --> 00:00:10.000]  可能大家都忘記了
[00:00:10.000 --> 00:00:18.000]  因為教會有一連串的主題要去講
[00:00:18.000 --> 00:00:20.000]  所以我上幾次都沒有講
[00:00:20.000 --> 00:00:23.000]  我會恢復一講
[00:00:23.000 --> 00:00:26.500]  今次課和下一課都會講啟示錄
[00:00:26.500 --> 00:00:30.500]  但接下來的課也要配合教會主題
[00:00:30.500 --> 00:00:34.500]  剩下的我保證明年一定講完
[00:00:34.500 --> 00:00:38.000]  不會有拖無欠
[00:00:38.000 --> 00:00:42.000]  不過希望大家聽完之後再回去看前面
[00:00:42.000 --> 00:00:49.000]  我沒有什麼時間去交代過去的
[00:00:49.000 --> 00:00:53.000]  第十章就是承接前面
[00:00:53.000 --> 00:00:57.500]  這章裡面我將分成四段
[00:00:57.500 --> 00:01:00.000]  一個大力的天使 七雷
[00:01:00.000 --> 00:01:03.000]  天使宣告和吃小卷
[00:01:03.000 --> 00:01:12.000]  我們先看看前面講到第六號和第七號的災難
[00:01:12.000 --> 00:01:15.500]  你記得上次死了很多人等等
[00:01:15.500 --> 00:01:20.500]  第五和第六號就是第一、第二個災還沒完
[00:01:20.500 --> 00:01:24.000]  如果你記得上次他們在痛苦裡面
[00:01:24.000 --> 00:01:25.500]  要死不行、要生不行
[00:01:25.500 --> 00:01:28.500]  是一個很困難的世界
[00:01:28.500 --> 00:01:32.000]  不是說你要生就行、要死就行 很困難
[00:01:32.000 --> 00:01:36.000]  現在已經過了第一、第二個災
[00:01:36.000 --> 00:01:38.500]  到第三個災就是第七號的災
[00:01:38.500 --> 00:01:41.000]  第七號其實就是最後一個了
[00:01:41.000 --> 00:01:44.000]  但第七號的災催的時候是有個插曲
[00:01:44.000 --> 00:01:49.000]  插曲就是有漢吃一個小卷
[00:01:49.000 --> 00:01:52.000]  才開始講預言的
[00:01:52.000 --> 00:01:56.000]  現在我們說在這個插曲裡面主要提到
[00:01:56.000 --> 00:02:01.500]  就是教會在末世裡面有什麼任務
