
[00:00:00.000 --> 00:00:05.000]  各位大兄姐妹 各位朋友 你們好
[00:00:05.000 --> 00:00:09.400]  歡迎大家參加我們三藩市博導會網上午會
[00:00:09.400 --> 00:00:12.800]  今天我們繼續思想約翰福音的神蹟
[00:00:12.800 --> 00:00:17.000]  我們來到約翰福音第四章15-30節
[00:00:17.000 --> 00:00:20.000]  題目叫做「面對自己」
[00:00:20.000 --> 00:00:25.000]  在思想這段聖經之前 請同心低頭 和禱告
[00:00:25.000 --> 00:00:28.000]  慈悲人 超乎我們滿心感謝你
[00:00:28.000 --> 00:00:32.000]  不惜廬山真面目 只如身在此山中
[00:00:32.000 --> 00:00:36.000]  很多時候我們都不知道我們自己是一個什麼人
[00:00:36.000 --> 00:00:39.000]  也都不肯去面對自己的廬山真面目
[00:00:39.000 --> 00:00:42.000]  求你憐憫我們 藉著聖經的話語
[00:00:42.000 --> 00:00:46.000]  好像一面鏡子 看看我們的廬山面目
[00:00:46.000 --> 00:00:52.000]  以致我們看到我們是何等軟弱 何等卑微
[00:00:52.000 --> 00:00:54.000]  叫我們能夠去面對我們的天父
[00:00:54.000 --> 00:00:57.000]  面對耶穌基督所給我們的呼召和大愛
[00:00:57.000 --> 00:01:00.000]  以致我們能夠降服給你
[00:01:00.000 --> 00:01:05.000]  求聖靈藉著你的話語去提醒 勸勉 教導 安慰 督責我們
[00:01:05.000 --> 00:01:09.000]  我們今天禱告 乃是奉耶穌基督命教 阿們
[00:01:09.000 --> 00:01:13.000]  我記得在1982年的時候
[00:01:13.000 --> 00:01:16.000]  當時我們家還在香港
[00:01:16.000 --> 00:01:19.000]  那年我要隻身來到美國深造
[00:01:19.000 --> 00:01:22.000]  臨上飛機的時候 兒子還是小
[00:01:22.000 --> 00:01:24.000]  叫我有機會坐飛機來美國
[00:01:24.000 --> 00:01:29.000]  他就很羨慕我說 爸爸 你就好了 你就幸運了 有飛機坐
[00:01:29.000 --> 00:01:32.000]  他不是很明白我的心情
[00:01:32.000 --> 00:01:37.000]  離開一家大小 隻身到洋來美國
[00:01:37.000 --> 00:01:41.000]  飛機上很多人 擠滿那些渡假
[00:01:41.000 --> 00:01:44.000]  然後回美國的遊客
[00:01:44.000 --> 00:01:49.000]  但我卻是一個人孤零零 不敢流下眼淚
[00:01:49.000 --> 00:01:56.000]  十幾個小時的行程 不知道限了多少次
[00:01:56.000 --> 00:02:02.000]  我想我是一個非常overprotection的丈夫和父親
[00:02:02.000 --> 00:02:06.000]  如今他們不在了 我們又隔得那麼遠
[00:02:06.000 --> 00:02:10.000]  幫都幫不到 想保護都保護不到
[00:02:10.000 --> 00:02:15.000]  甚至自己一個人在空中 自己都保護不到自己
[00:02:15.000 --> 00:02:18.000]  我要留在美國幾個月
[00:02:18.000 --> 00:02:23.000]  這幾個月可以說是我人生裡的一個小小的轉捩點
[00:02:23.000 --> 00:02:29.000]  和我同房的一位同學 是從法國來的一個非裔人士
[00:02:29.000 --> 00:02:35.000]  很有趣 每一天我們都會不約而同地看手錶
[00:02:35.000 --> 00:02:39.000]  我會說我太太在香港正在做什麼
[00:02:39.000 --> 00:02:43.000]  小朋友正在上學 做這些做那些
[00:02:43.000 --> 00:02:47.000]  他又說我太太在巴黎正在做什麼
[00:02:47.000 --> 00:02:51.000]  大家不約而同地大笑起來
[00:02:51.000 --> 00:02:55.000]  這是我第一次離家那麼遠和那麼久
[00:02:55.000 --> 00:03:00.000]  從前很忙 忙於教會 忙於家庭 忙於生活
[00:03:00.000 --> 00:03:04.000]  很少有機會來看看自己的廬山真面目
[00:03:04.000 --> 00:03:08.000]  但這幾個月多數只有我一個人
[00:03:08.000 --> 00:03:11.000]  除了讀書之外 什麼都沒有
[00:03:11.000 --> 00:03:18.000]  沒有教會去侍奉 沒有電視 沒有朋友 只有我一個 一個的我
[00:03:18.000 --> 00:03:24.000]  也有很多時候去面對自己 看看自己的廬山真面目
[00:03:24.000 --> 00:03:27.000]  雖然面對自己是一件很痛苦的事
[00:03:27.000 --> 00:03:32.000]  尤其是體會到自己的黑暗面 優暗面和弱點
[00:03:32.000 --> 00:03:38.000]  但這卻是在我靈性裡邊一個不大不小的突破
[00:03:38.000 --> 00:03:42.000]  也是我成長不可缺少的一部分
[00:03:42.000 --> 00:03:45.000]  但面對自己真的不容易
[00:03:45.000 --> 00:03:49.000]  我記得在洛杉磯有一間小學
[00:03:49.000 --> 00:03:55.000]  一個學生很奇怪 每次上學都戴著一個白手套上學
[00:03:55.000 --> 00:03:59.000]  就算很熱很熱的天氣 他都戴著一個白手套
[00:03:59.000 --> 00:04:04.000]  絕對不肯脫下來 老師百思不得其解
[00:04:04.000 --> 00:04:10.000]  最後就有一個心理學家跟他聊天 終於找到一個原因
[00:04:10.000 --> 00:04:16.000]  原來在全班當中 他是唯一一個黑皮膚的人
[00:04:16.000 --> 00:04:19.000]  大多數其他的同學都是白人
[00:04:19.000 --> 00:04:23.000]  他又不願意看到自己黑色的皮膚
[00:04:23.000 --> 00:04:27.000]  又不願意看到自己和別人有分別
[00:04:27.000 --> 00:04:33.000]  於是他就戴上一個白色的手套 掩蓋自己 逃避真我
[00:04:33.000 --> 00:04:39.000]  其實他很痛苦 事實上我們學生不是這樣
[00:04:39.000 --> 00:04:44.000]  我們很怕看到自己的幽暗面 看到自己的弱點
[00:04:44.000 --> 00:04:50.000]  於是我們就去逃避 或者麻醉在一些不是很真實的事情上
[00:04:50.000 --> 00:04:55.000]  希望透過這樣可以逃避 不需要面對自己的真我
[00:04:55.000 --> 00:04:59.000]  如果一個人是這樣 永遠逃避
[00:04:59.000 --> 00:05:04.000]  永遠不能突破自己 也不能永遠成長
[00:05:04.000 --> 00:05:08.000]  只能活在一個夢境當中
[00:05:08.000 --> 00:05:11.000]  夫人說叫人面對自己 不逃避
[00:05:11.000 --> 00:05:16.000]  夫人說一面鏡子 叫人看清楚自己的廬山真面目
[00:05:16.000 --> 00:05:20.000]  上一回我講到耶穌和撒瑪利亞夫人談道
[00:05:20.000 --> 00:05:26.000]  我們看到耶穌如何打開範圍 建立一個共同的興趣和話題
[00:05:26.000 --> 00:05:31.000]  這個可以超越了性別身份國籍
[00:05:31.000 --> 00:05:36.000]  雖然面對著一個性別身份國籍都不同的撒瑪利亞夫人
[00:05:36.000 --> 00:05:41.000]  居然可以傾起心底裡的說話來
[00:05:41.000 --> 00:05:46.000]  然後耶穌叫她面對自己 面對真正的夫人
[00:05:46.000 --> 00:05:52.000]  這段經文我們來看看 耶穌如何和這個婦女談道
[00:05:52.000 --> 00:05:57.000]  如何這個婦女勇敢地面對自己
[00:05:57.000 --> 00:06:02.000]  不需要再逃避 看到有一個生命的突破
[00:06:02.000 --> 00:06:07.000]  首先我們看看15至18節 面對自己
[00:06:07.000 --> 00:06:13.000]  夫人說:先生 請你把這水賜給我 叫我不渴
[00:06:13.000 --> 00:06:19.000]  也不用這麼遠來打水 耶穌說:你去叫你丈夫也到這裡來
[00:06:19.000 --> 00:06:24.000]  夫人說:我會有丈夫 耶穌說:你算會有丈夫 是不錯的
[00:06:24.000 --> 00:06:30.000]  你已經有五個丈夫 你現在有的並不是你的丈夫 你這話是真的
[00:06:30.000 --> 00:06:37.000]  我們先講講背景 耶穌來到撒瑪利亞的地方
[00:06:37.000 --> 00:06:43.000]  撒瑪利亞和猶太人互不往來 大家是不合得來的
[00:06:43.000 --> 00:06:51.000]  耶穌在這個時候又背又頸寒 看到這個婦人來到這個井打水
[00:06:51.000 --> 00:06:58.000]  於是請這個婦人給她水喝 這個婦人好像不是很友善
[00:06:58.000 --> 00:07:05.000]  她說:你既是一個猶太男人 如何向一個撒瑪利亞人拿水喝呢?
[00:07:05.000 --> 00:07:13.000]  耶穌說了一句很奇怪的話 如果你知道我是誰 你必求我拿你的活水
[00:07:13.000 --> 00:07:20.000]  一聽到活水這個字 婦人就馬上醒了一樣
[00:07:20.000 --> 00:07:25.000]  對她來說活水是什麼呢?好像家裡的自來水 不用這麼遠來打水
[00:07:25.000 --> 00:07:34.000]  一打開水就有水了 於是婦人對耶穌說:先生 請你把這水賜給我 叫我不渴
[00:07:34.000 --> 00:07:41.000]  也不用這麼遠來打水 現在這個女人完全和剛才的態度不同
[00:07:41.000 --> 00:07:51.000]  剛才當耶穌說請你把水給我喝 婦人說:你是男人 你是猶太人 如何找我來呢?
[00:07:51.000 --> 00:07:55.000]  但一聽到耶穌說 如果你知道我是誰 我會給你活水
[00:07:55.000 --> 00:08:01.000]  她突然感到興趣 因為她很不喜歡這麼遠這麼熱走來這麼遠打水
[00:08:01.000 --> 00:08:08.000]  於是她說:先生 請你把這水賜給我 叫我不渴 也不用這麼遠來打水
[00:08:08.000 --> 00:08:15.000]  耶穌回答得極其奇怪 突然說:你叫你的丈夫找到這女人
[00:08:15.000 --> 00:08:21.000]  婦人說:我沒有丈夫 耶穌說:你說沒有丈夫是不錯的
[00:08:21.000 --> 00:08:26.000]  你已經有五個丈夫 你以後有的並不是你的丈夫 你這話是真的
[00:08:26.000 --> 00:08:34.000]  我們奇怪 他們一直說水的問題 現在突然間耶穌叫他找丈夫來
[00:08:34.000 --> 00:08:42.000]  就算耶穌明知他有五個丈夫 現在有一個同居不是正式的丈夫
[00:08:42.000 --> 00:08:48.000]  耶穌也沒有理由有意去剝去瘡疤 是裸警還是憎恨
[00:08:48.000 --> 00:08:55.000]  一說到活水這麼嚴重的話題 卻說:蘇英叫他找丈夫來?
[00:08:55.000 --> 00:08:57.000]  耶穌這樣做有什麼意思呢?
[00:08:57.000 --> 00:09:06.000]  首先我們要明白背景 第六節告訴我們 當時是十二點正午
[00:09:06.000 --> 00:09:13.000]  第五節又告訴我們 地方是靠近最佳城的一口古井 叫雅各井
