
[00:00:00.000 --> 00:00:04.000]  各位午安
[00:00:04.000 --> 00:00:08.000]  我們今天繼續思想路加夫人的訊息
[00:00:08.000 --> 00:00:10.000]  我們一起同心圖告
[00:00:10.000 --> 00:00:14.000]  天父我們再次感謝你給寶貴的話語作為我們生命的指引
[00:00:14.000 --> 00:00:18.000]  求你藉著聖經裏面所記載的
[00:00:18.000 --> 00:00:20.000]  去審查我們自己
[00:00:20.000 --> 00:00:26.000]  叫我們不會重蹈比拉多的覆轍
[00:00:26.000 --> 00:00:30.000]  你聖靈向我們說你所說的話
[00:00:30.000 --> 00:00:32.000]  奉耶穌基督的名求 阿們
[00:00:32.000 --> 00:00:36.000]  在1976年1月8日
[00:00:36.000 --> 00:00:42.000]  中華人民共和國建國以來就擔任總理一職的周恩來逝世
[00:00:42.000 --> 00:00:46.000]  全國的老百姓去悼念他
[00:00:46.000 --> 00:00:50.000]  當他遺體送入八寶山火化的時候
[00:00:50.000 --> 00:00:55.000]  長安街超過有一百萬的中國群眾去為他送行
[00:00:55.000 --> 00:00:57.000]  無可否認
[00:00:57.000 --> 00:01:00.000]  周恩來的確是一個非凡的人物
[00:01:00.000 --> 00:01:03.000]  不少中國人視他為一代偉人
[00:01:03.000 --> 00:01:05.000]  人民的總理
[00:01:05.000 --> 00:01:09.000]  比如很出名的社會學家朱家琴教授
[00:01:09.000 --> 00:01:13.000]  在接受英國的BBC電台訪問的時候
[00:01:13.000 --> 00:01:15.000]  他有這樣說過
[00:01:15.000 --> 00:01:18.000]  周恩來在老百姓的心裏
[00:01:18.000 --> 00:01:22.000]  是好像一個漫漫長夜的一盞明燈
[00:01:22.000 --> 00:01:25.000]  和一線的希望
[00:01:25.000 --> 00:01:27.000]  如今明燈滅了
[00:01:27.000 --> 00:01:32.000]  中國社會就感覺到望然無所依靠
[00:01:32.000 --> 00:01:34.000]  事實上
[00:01:34.000 --> 00:01:40.000]  任何人都知道周恩來在中國近代史裏面是一個舉足輕重的人物
[00:01:40.000 --> 00:01:44.000]  協助毛澤東建立中華人民共和國
[00:01:44.000 --> 00:01:49.000]  在中美建交的過程裏面扮演一個非常重要的角色
[00:01:49.000 --> 00:01:54.000]  他曾經六次登在Time Magazine的風雲人物
[00:01:54.000 --> 00:02:01.000]  1951年是第一次時代州長時代周刊將他刊登在風雲人物當中
[00:02:01.000 --> 00:02:08.000]  1975年是最後一次時代周刊稱他為一個最偉大的外交家
[00:02:08.000 --> 00:02:16.000]  但是這二三十年不少的檔案面世的時候
[00:02:16.000 --> 00:02:20.000]  我們發現周恩來並不是一個簡單的人
[00:02:20.000 --> 00:02:22.000]  而他是一個雙面人
[00:02:22.000 --> 00:02:26.000]  從這些檔案看來我們感到驚訝
[00:02:26.000 --> 00:02:36.000]  不少中國過去幾十年的冤獄錯案
[00:02:36.000 --> 00:02:39.000]  都牽涉周恩來
[00:02:39.000 --> 00:02:48.000]  包括被整的功臣劉少奇林彪賀龍彭德懷都上了他的當
[00:02:48.000 --> 00:02:57.000]  我相信最公平的一個描述周總理就是來自鄧小平
[00:02:57.000 --> 00:03:00.000]  鄧小平說了一個非常中肯的話
[00:03:00.000 --> 00:03:07.000]  如果沒有了總理文化大革命的局面會更加災殃
[00:03:07.000 --> 00:03:12.000]  如果沒有了總理文化大革命也不會拖得這麼長
[00:03:12.000 --> 00:03:18.000]  意思是周恩來扮演了兩個不同的角色
[00:03:18.000 --> 00:03:26.000]  一方面他減輕了中國歷史最大的災禍的嚴重性
[00:03:26.000 --> 00:03:29.000]  他曾經保過不少人
[00:03:29.000 --> 00:03:32.000]  也救過不少人包括鄧小平自己在內
[00:03:32.000 --> 00:03:37.000]  另一方面他也延長了歷史的災害
[00:03:37.000 --> 00:03:45.000]  不少人可以說他們的死亡和他有極大關係
[00:03:45.000 --> 00:03:47.000]  我們可以這樣說
[00:03:47.000 --> 00:03:50.000]  我相信他是一個有良心的人
[00:03:50.000 --> 00:03:55.000]  但同時他也是一個眷戀權位的人
[00:03:55.000 --> 00:04:04.000]  他在這樣的掙扎中 良心加權位就等於掙扎
[00:04:04.000 --> 00:04:09.000]  所以他扮演一個雙面的人的角色
[00:04:09.000 --> 00:04:17.000]  一些比較有信心的歷史資料告訴我們
[00:04:17.000 --> 00:04:23.000]  當周恩來病危的時候有兩件非常奇怪的事情發生
[00:04:23.000 --> 00:04:26.000]  第一 他很害怕
[00:04:26.000 --> 00:04:30.000]  他曾經大聲的叫人告訴毛澤東
[00:04:30.000 --> 00:04:32.000]  他並沒有反叛
[00:04:32.000 --> 00:04:37.000]  似乎他對毛澤東有一種莫名的恐懼
[00:04:37.000 --> 00:04:41.000]  第二件事是很奇怪的
[00:04:41.000 --> 00:04:46.000]  他臨終的時候說很想見兩個在台灣的人物
[00:04:46.000 --> 00:04:51.000]  其中一個人物就是被蔣介石軟禁的張學良
[00:04:51.000 --> 00:04:56.000]  究竟毛澤東和張學良有什麼關係呢?
[00:04:56.000 --> 00:05:02.000]  歷來是歷史學家中一個非常有趣的研究對象
[00:05:02.000 --> 00:05:06.000]  我想任何一個接觸過中國近代歷史的人都會知道
[00:05:06.000 --> 00:05:10.000]  西安事變是一個非常重要的事情
[00:05:10.000 --> 00:05:16.000]  1936年張學良發動兵變 擄劫了蔣介石
[00:05:16.000 --> 00:05:22.000]  因著西安事變 國共內戰結束
[00:05:22.000 --> 00:05:26.000]  也讓中國共產黨有翻身的機會
[00:05:26.000 --> 00:05:34.000]  最後大戰結束之後 國共內戰終於把國民黨打敗
[00:05:34.000 --> 00:05:38.000]  蔣介石出走台灣
[00:05:38.000 --> 00:05:43.000]  幾乎所有的歷史學家都有這樣的結論
[00:05:43.000 --> 00:05:49.000]  如果沒有了張學良 就不會有中華人民共和國
[00:05:49.000 --> 00:05:53.000]  當我們研究西安事變的時候
