
[00:00:00.000 --> 00:00:02.000]  大家好,我是阿Dee
[00:00:02.000 --> 00:00:04.000]  今天很高興能夠在這裡和大家見面
[00:00:04.000 --> 00:00:06.000]  上星期我病得很嚴重
[00:00:06.000 --> 00:00:08.000]  我連續發燒了七天多
[00:00:08.000 --> 00:00:10.000]  高燒、鼻停過
[00:00:10.000 --> 00:00:12.000]  整個人的身體好像脫胎換骨一樣
[00:00:12.000 --> 00:00:14.000]  好像將整個人離開了
[00:00:14.000 --> 00:00:16.000]  我現在正在做一些
[00:00:16.000 --> 00:00:18.000]  做一些心理治療
[00:00:18.000 --> 00:00:20.000]  我現在正在做一些心理治療
[00:00:20.000 --> 00:00:22.000]  我現在正在做一些心理治療
[00:00:22.000 --> 00:00:24.000]  我現在正在做一些心理治療
[00:00:24.000 --> 00:00:26.000]  我現在正在做一些心理治療
[00:00:26.000 --> 00:00:28.000]  我現在正在做一些心理治療
[00:00:28.000 --> 00:00:30.000]  我現在正在做一些心理治療
[00:00:30.000 --> 00:00:32.000]  我現在正在做一些心理治療
[00:00:32.000 --> 00:00:34.000]  我現在正在做一些心理治療
[00:00:34.000 --> 00:00:36.000]  我現在正在做一些心理治療
[00:00:36.000 --> 00:00:38.000]  我現在正在做一些心理治療
[00:00:38.000 --> 00:00:40.000]  我現在正在做一些心理治療
[00:00:40.000 --> 00:00:42.000]  我現在正在做一些心理治療
[00:00:42.000 --> 00:00:44.000]  我現在正在做一些心理治療
[00:00:44.000 --> 00:00:46.000]  我現在正在做一些心理治療
[00:00:46.000 --> 00:00:48.000]  我現在正在做一些心理治療
[00:00:48.000 --> 00:00:50.000]  我現在正在做一些心理治療
[00:00:50.000 --> 00:00:52.000]  我現在正在做一些心理治療
[00:00:52.000 --> 00:00:54.000]  我現在正在做一些心理治療
[00:00:54.000 --> 00:00:56.000]  我現在正在做一些心理治療
[00:00:56.000 --> 00:00:58.000]  我現在正在做一些心理治療
[00:00:58.000 --> 00:01:00.000]  我現在正在做一些心理治療
[00:01:00.000 --> 00:01:02.000]  我現在正在做一些心理治療
[00:01:02.000 --> 00:01:04.000]  我現在正在做一些心理治療
[00:01:04.000 --> 00:01:06.000]  我現在正在做一些心理治療
[00:01:06.000 --> 00:01:08.000]  我現在正在做一些心理治療
[00:01:08.000 --> 00:01:10.000]  我現在正在做一些心理治療
[00:01:10.000 --> 00:01:12.000]  我現在正在做一些心理治療
[00:01:12.000 --> 00:01:14.000]  我現在正在做一些心理治療
[00:01:14.000 --> 00:01:16.000]  我現在正在做一些心理治療
[00:01:16.000 --> 00:01:18.000]  我現在正在做一些心理治療
[00:01:18.000 --> 00:01:20.000]  我現在正在做一些心理治療
[00:01:20.000 --> 00:01:22.000]  我現在正在做一些心理治療
[00:01:22.000 --> 00:01:24.000]  我現在正在做一些心理治療
[00:01:24.000 --> 00:01:26.000]  我現在正在做一些心理治療
[00:01:26.000 --> 00:01:28.000]  我現在正在做一些心理治療
[00:01:28.000 --> 00:01:30.000]  我現在正在做一些心理治療
[00:01:30.000 --> 00:01:32.000]  我現在正在做一些心理治療
[00:01:32.000 --> 00:01:34.000]  我現在正在做一些心理治療
[00:01:34.000 --> 00:01:36.000]  我現在正在做一些心理治療
[00:01:36.000 --> 00:01:38.000]  我現在正在做一些心理治療
[00:01:38.000 --> 00:01:40.000]  我現在正在做一些心理治療
[00:01:40.000 --> 00:01:42.000]  我現在正在做一些心理治療
[00:01:42.000 --> 00:01:44.000]  我現在正在做一些心理治療
[00:01:44.000 --> 00:01:46.000]  我現在正在做一些心理治療
[00:01:46.000 --> 00:01:48.000]  我現在正在做一些心理治療
[00:01:48.000 --> 00:01:50.000]  我現在正在做一些心理治療
[00:01:50.000 --> 00:01:52.000]  我現在正在做一些心理治療
[00:01:52.000 --> 00:01:54.000]  我現在正在做一些心理治療
[00:01:54.000 --> 00:01:56.000]  我現在正在做一些心理治療
[00:01:56.000 --> 00:01:58.000]  我現在正在做一些心理治療
[00:01:58.000 --> 00:02:00.000]  我現在正在做一些心理治療
[00:02:00.000 --> 00:02:02.000]  我現在正在做一些心理治療
[00:02:02.000 --> 00:02:04.000]  我現在正在做一些心理治療
[00:02:04.000 --> 00:02:06.000]  我現在正在做一些心理治療
[00:02:06.000 --> 00:02:08.000]  我現在正在做一些心理治療
[00:02:08.000 --> 00:02:10.000]  我現在正在做一些心理治療
[00:02:10.000 --> 00:02:12.000]  我現在正在做一些心理治療
