
[00:00:00.000 --> 00:00:05.000]  各位大兄姐妹 平安
[00:00:05.000 --> 00:00:08.360]  我們一連幾次一起去思考一本書
[00:00:08.360 --> 00:00:11.080]  這本書叫做《馬拉基書》
[00:00:11.080 --> 00:00:15.560]  《馬拉基書》是在《舊約聖經》的最後一本
[00:00:15.560 --> 00:00:18.000]  接著就到《新約》
[00:00:18.000 --> 00:00:20.600]  有一次跟一個新朋友聊天
[00:00:20.600 --> 00:00:23.400]  我說:你知不知道《舊約》到《新約》
[00:00:23.400 --> 00:00:25.400]  是大了隔多久?
[00:00:25.400 --> 00:00:27.800]  然後他說:一頁紙
[00:00:27.800 --> 00:00:32.200]  一頁白紙就由《舊約》到《新約》
[00:00:32.200 --> 00:00:37.560]  但實情有很多不同的牧師、學者或書
[00:00:37.560 --> 00:00:42.480]  都會說其實那段時候是400年
[00:00:42.480 --> 00:00:45.680]  但很多時候當說到400年的時候
[00:00:45.680 --> 00:00:49.080]  有些會說是黑暗的400年
[00:00:49.080 --> 00:00:52.760]  有些就說是沉默的400年
[00:00:52.760 --> 00:00:58.960]  原來當在《馬拉基書》最後上帝說了很多話之後
[00:00:58.960 --> 00:01:02.960]  原來接著有一段大約400年那麼長的時間
[00:01:02.960 --> 00:01:06.760]  沒有一些啟示跟那些子民說
[00:01:06.760 --> 00:01:08.160]  直到什麼時候?
[00:01:08.160 --> 00:01:12.320]  直到到施浸約翰的時候
[00:01:12.320 --> 00:01:16.280]  說在那些日子施浸的約翰出來
[00:01:16.280 --> 00:01:18.640]  在猶太的曠野宣講
[00:01:18.640 --> 00:01:22.680]  你們要悔改 因為天國近了
[00:01:22.680 --> 00:01:25.920]  原來就是到施浸約翰的時候
[00:01:25.920 --> 00:01:32.480]  再次有話語、有啟示給他的選民
[00:01:32.480 --> 00:01:35.640]  《馬拉基書》有一個特色
[00:01:35.640 --> 00:01:41.360]  其中一個特色就是總共四章有57節的聖經
[00:01:41.360 --> 00:01:44.920]  但有44節都是用第一人稱
[00:01:44.920 --> 00:01:48.280]  即是上帝自己去說的話
[00:01:48.280 --> 00:01:50.080]  如果按比例上
[00:01:50.080 --> 00:01:54.680]  應該是整本聖經那麼多卷書的比例最高
[00:01:54.680 --> 00:01:56.080]  這個很有意思
[00:01:56.080 --> 00:02:00.360]  就是當一段很長的沉默之前
[00:02:00.360 --> 00:02:05.320]  上帝仍然很想有些話跟他的選民說
[00:02:05.320 --> 00:02:08.800]  而另一個特色就是在《馬拉基書》看的時候
[00:02:08.800 --> 00:02:12.560]  你會覺得那些人好像很大膽
[00:02:12.560 --> 00:02:13.880]  為什麼大膽?
[00:02:13.880 --> 00:02:16.080]  原來這本書的特色就是
[00:02:16.080 --> 00:02:18.800]  有些人說得白一點
[00:02:18.800 --> 00:02:22.640]  就好像是在駁嘴、頂嘴
[00:02:22.640 --> 00:02:25.960]  有些人看書是在辯論形式
[00:02:25.960 --> 00:02:29.760]  竟然那些子民、祭司和人民
[00:02:29.760 --> 00:02:33.240]  是跟上帝頂嘴
[00:02:33.240 --> 00:02:36.800]  如果你看《馬拉基書》三章十三節
[00:02:36.800 --> 00:02:39.120]  他直接說到上帝自己說
[00:02:39.120 --> 00:02:41.320]  所以全書有很多節聖經
[00:02:41.320 --> 00:02:44.640]  類似上帝親自這樣說
[00:02:44.640 --> 00:02:50.160]  耶和華說你們用話頂撞我
[00:02:50.160 --> 00:02:52.720]  哇 你說那些人真的很大膽
[00:02:52.720 --> 00:02:56.560]  直接用話語跟上帝駁嘴
[00:02:56.560 --> 00:03:01.040]  你們還說我們用什麼話頂撞你呢?
[00:03:01.040 --> 00:03:03.320]  上帝已經說得很明白
[00:03:03.320 --> 00:03:06.360]  你為什麼在駁嘴、頂撞我
[00:03:06.360 --> 00:03:08.120]  但是竟然那些人說
[00:03:08.120 --> 00:03:12.680]  我們什麼時候用話頂撞你?
[00:03:12.680 --> 00:03:15.280]  《馬拉基書》有些背景
[00:03:15.280 --> 00:03:17.800]  就是當馬拉基的年代
[00:03:17.800 --> 00:03:21.480]  其實人民是怎樣呢?
[00:03:21.480 --> 00:03:22.480]  有些書就說
[00:03:22.480 --> 00:03:27.200]  其實神的子民的生活已經是完全一團糟
[00:03:27.200 --> 00:03:29.000]  雖然他們沒有遠離神
[00:03:29.000 --> 00:03:30.800]  他們繼續會有敬拜的
[00:03:30.800 --> 00:03:31.880]  一會兒你會看到
[00:03:31.880 --> 00:03:33.480]  他們繼續有聖殿
[00:03:33.480 --> 00:03:36.640]  因為那時候他們是被擄之後歸回的
[00:03:36.640 --> 00:03:38.280]  他們在耶路撒冷的地方
[00:03:38.280 --> 00:03:40.880]  在猶大的地方
[00:03:40.880 --> 00:03:42.320]  他們有自己的地方
[00:03:42.320 --> 00:03:45.280]  有可以敬拜的機會
[00:03:45.280 --> 00:03:46.200]  他們有的
[00:03:46.200 --> 00:03:48.000]  好像跟神有關係的
[00:03:48.000 --> 00:03:49.560]  有憲制的
[00:03:49.560 --> 00:03:52.720]  他們沒有特別說他們有拜偶像
[00:03:52.720 --> 00:03:55.440]  但是他們卻不是全心全意
[00:03:55.440 --> 00:03:57.480]  他們卻好像是
[00:03:57.480 --> 00:03:59.920]  上一次我們看啟示錄這樣說
[00:03:59.920 --> 00:04:01.600]  他們是不冷不熱
[00:04:01.600 --> 00:04:04.600]  他們好像選擇站在一個中間的地帶
[00:04:04.600 --> 00:04:05.520]  又不熱心
[00:04:05.520 --> 00:04:07.640]  但是又不特別叛逆神
[00:04:07.640 --> 00:04:09.320]  他們一直在自我欺騙
[00:04:09.320 --> 00:04:11.240]  所以你會一直看到
[00:04:11.240 --> 00:04:12.720]  上帝指出他們的問題
[00:04:12.720 --> 00:04:14.440]  他們說:是嗎?有嗎?
