
[00:00:00.000 --> 00:00:02.000]  (字幕:張力,歡迎訂閱)
[00:00:03.000 --> 00:00:04.520]  各位聽眾平安
[00:00:04.520 --> 00:00:09.400]  今天的經文是給宋添堂的
[00:00:09.400 --> 00:00:11.160]  因為第一節
[00:00:11.160 --> 00:00:16.360]  都是說到有好消息傳給謙卑的人
[00:00:16.360 --> 00:00:18.560]  應該是你有份
[00:00:18.560 --> 00:00:21.600]  讀八福的時候第一個福
[00:00:21.600 --> 00:00:25.440]  就是心靈恆雄的人
[00:00:25.440 --> 00:00:27.600]  你又應該有份
[00:00:27.600 --> 00:00:31.680]  今天我們在章林奇第三個主日
[00:00:32.080 --> 00:00:33.640]  以馬內利
[00:00:33.640 --> 00:00:35.960]  神與人同在
[00:00:35.960 --> 00:00:38.320]  主與你同在
[00:00:38.320 --> 00:00:40.160]  主與你同在
[00:00:40.160 --> 00:00:43.000]  有些堂會就習慣做這件事
[00:00:43.000 --> 00:00:44.280]  主禮記會說
[00:00:44.280 --> 00:00:45.880]  主與你同在
[00:00:45.880 --> 00:00:48.720]  大家就說也與你同在
[00:00:48.720 --> 00:00:50.600]  以馬內利
[00:00:50.600 --> 00:00:53.280]  主耶穌說這一段話
[00:00:53.280 --> 00:00:55.760]  以賽亞書61章這段話
[00:00:55.760 --> 00:00:59.560]  今天已經應驗在你們中間
[00:01:00.160 --> 00:01:02.280]  今天大家的耳是有福的
[00:01:02.280 --> 00:01:04.840]  因為你聽到
[00:01:04.840 --> 00:01:06.680]  什麼華姐
[00:01:06.680 --> 00:01:07.720]  就說
[00:01:07.720 --> 00:01:09.560]  讀出這一段經文
[00:01:09.560 --> 00:01:11.560]  實在感動我們的心
[00:01:11.560 --> 00:01:14.720]  我的講題有一點特別
[00:01:14.720 --> 00:01:16.200]  不知道你有沒有覺得
[00:01:16.200 --> 00:01:20.360]  愛恨分明的尼塞亞
[00:01:20.360 --> 00:01:23.880]  其實在今天的世界
[00:01:23.880 --> 00:01:25.880]  今天的教會生活
[00:01:25.880 --> 00:01:28.160]  今天的教會思考裡面
[00:01:28.680 --> 00:01:30.800]  有沒有仍然保存
[00:01:30.800 --> 00:01:33.880]  聖經啟示的精髓呢
[00:01:33.880 --> 00:01:38.680]  有沒有將舊約和新約對立起來呢
[00:01:38.680 --> 00:01:42.880]  彷彿舊約是在說另外一位的上主
