
[00:00:00.000 --> 00:00:08.440]  我們在第九屆的培靈會來到第二個課題
[00:00:08.440 --> 00:00:12.160]  不過如果你說我沒有聽到第一堂的訊息
[00:00:12.160 --> 00:00:18.240]  也不是絕對聽不到第二堂訊息的背景
[00:00:18.240 --> 00:00:23.320]  因為我們第一堂其實最主要是想告訴大家
[00:00:23.320 --> 00:00:25.320]  簡單的一個總結
[00:00:25.320 --> 00:00:28.040]  就是按照聖經裏面的預言
[00:00:28.040 --> 00:00:33.360]  如果我們的解釋是合乎神自己的意思的話
[00:00:33.360 --> 00:00:36.880]  我們的耶穌基督再來
[00:00:36.880 --> 00:00:44.080]  就是我們剛才所讀的鐵撒羅尼加前書的第四章和第五章所描述的情況
[00:00:44.080 --> 00:00:46.000]  是那個條件
[00:00:46.000 --> 00:00:48.000]  在預言裏面的條件
[00:00:48.000 --> 00:00:51.680]  已經全部都出現了
[00:00:51.680 --> 00:00:53.680]  已經應驗了
[00:00:53.680 --> 00:01:00.680]  如果我們的看法是啟示錄的第九章裏面
[00:01:00.680 --> 00:01:04.360]  七個號角吹響的時候
[00:01:04.360 --> 00:01:09.000]  鐵撒羅尼加前書說號角吹響就是耶穌基督回來的時候
[00:01:09.000 --> 00:01:10.440]  如果是這樣的話
[00:01:10.440 --> 00:01:16.680]  我們看到第一第二第三個號角都已經吹響了
[00:01:16.680 --> 00:01:19.840]  現在是第四個號角吹響的時候
[00:01:19.840 --> 00:01:22.600]  就是耶穌基督回來的時刻
[00:01:22.600 --> 00:01:25.760]  我們正在等候第四個號角的吹響
[00:01:25.760 --> 00:01:29.680]  而第四個號角的吹響是隨時都可以吹響的
[00:01:29.680 --> 00:01:34.600]  這個就是我們暫時在上一堂所講到的結論
[00:01:34.600 --> 00:01:35.480]  不過不要緊
[00:01:35.480 --> 00:01:37.760]  就算你沒有聽到的話
[00:01:37.760 --> 00:01:40.080]  我們從這裏繼續開始
[00:01:40.080 --> 00:01:42.080]  我們繼續再追問的話
[00:01:42.080 --> 00:01:43.480]  既然是這樣的話
[00:01:43.480 --> 00:01:48.240]  我們就真的要預備迎見我們的神
[00:01:48.240 --> 00:01:51.120]  我們快再再來的耶穌基督
[00:01:51.120 --> 00:01:52.800]  因為他隨時都會來
[00:01:52.800 --> 00:01:54.680]  我們預備好了沒有呢?
[00:01:54.680 --> 00:01:59.480]  當然我們經常在聖經裏面提醒我們要預備好
[00:01:59.480 --> 00:02:01.760]  但什麼叫做預備好呢?
[00:02:01.760 --> 00:02:04.120]  今天我們在第二堂的聚會裏面
[00:02:04.120 --> 00:02:09.480]  就和大家一起看到各方面的預備迎見
[00:02:09.480 --> 00:02:14.800]  我曾經從頭再將聖經裏面關於耶穌基督再來
[00:02:14.800 --> 00:02:17.720]  末世這一段的時刻裏面
[00:02:17.720 --> 00:02:21.680]  所有的經文再一次思想和斟酌的時候
[00:02:21.680 --> 00:02:28.880]  我就將它集中在有四個很特別的預備迎見
[00:02:28.880 --> 00:02:32.360]  所以今天我就會和大家在這個聚會當中
[00:02:32.360 --> 00:02:36.400]  就講這四個我覺得特別和大家一起互相的
[00:02:36.400 --> 00:02:40.840]  鼓勵提醒的預備迎見
[00:02:40.840 --> 00:02:42.440]  預備迎見什麼呢?
[00:02:42.440 --> 00:02:43.880]  按照聖經的描述
[00:02:43.880 --> 00:02:45.440]  當耶穌基督來之前
[00:02:45.440 --> 00:02:46.920]  是有預兆的
[00:02:46.920 --> 00:02:48.840]  是有些事情會發生的
[00:02:48.840 --> 00:02:53.000]  如果今天你和我就是在這些事情當中的時候
[00:02:53.000 --> 00:02:55.800]  那我相信我們要真的好好的
[00:02:55.800 --> 00:02:58.080]  預備去迎見
[00:02:58.080 --> 00:02:59.800]  要面對它
[00:02:59.800 --> 00:03:01.440]  而在這個迎見裏面
[00:03:01.440 --> 00:03:05.280]  我們看到有四個聖經裏面多次強調
[00:03:05.280 --> 00:03:10.560]  是特別值得我們留意或者一起去互相去學習的
[00:03:10.560 --> 00:03:11.240]  第一
[00:03:11.240 --> 00:03:15.120]  我們要預備迎見撒旦的作為
[00:03:15.120 --> 00:03:16.040]  第二
[00:03:16.040 --> 00:03:21.040]  我們當然要預備迎見那位再來的基督
[00:03:21.040 --> 00:03:22.240]  第三
[00:03:22.240 --> 00:03:24.040]  在基督再來之前
[00:03:24.040 --> 00:03:26.920]  聖經告訴我們我們要預備迎見
[00:03:26.920 --> 00:03:29.640]  苦難的挑戰
[00:03:29.640 --> 00:03:30.760]  第四
[00:03:30.760 --> 00:03:34.120]  當然耶穌基督來了的時候再來
[00:03:34.120 --> 00:03:36.840]  是將我們帶向永恆的生命
[00:03:36.840 --> 00:03:42.360]  所以我們要預備去迎見永恆的福分
[00:03:42.360 --> 00:03:43.880]  我相信這四個呢
[00:03:43.880 --> 00:03:48.520]  就是今天我想和大家一起分享的課題
[00:03:48.520 --> 00:03:50.280]  我們有四個課題
[00:03:50.280 --> 00:03:51.680]  時間不多
[00:03:51.680 --> 00:03:54.320]  希望是我想把握時間
[00:03:54.320 --> 00:03:58.360]  和大家只能夠簡略
[00:03:58.360 --> 00:04:00.800]  但是我覺得是核心的
[00:04:00.800 --> 00:04:04.040]  將我自己心裏面很想和大家分享的話
[00:04:04.040 --> 00:04:06.320]  和大家一起互相的勸勉
[00:04:06.320 --> 00:04:07.040]  好不好
[00:04:07.040 --> 00:04:07.560]  好
[00:04:07.560 --> 00:04:09.200]  我們一起做一個簡單的祈禱
[00:04:09.200 --> 00:04:11.960]  我們求主引導我們的心
[00:04:11.960 --> 00:04:13.680]  主耶穌基督你就快回來了
[00:04:13.680 --> 00:04:18.320]  但是我們是很想好好的預備好迎見你的面
[00:04:18.320 --> 00:04:19.800]  你隨時回來
[00:04:19.800 --> 00:04:21.840]  我們隨時都已經預備好
[00:04:21.840 --> 00:04:22.960]  既然是這樣的話
[00:04:22.960 --> 00:04:25.080]  主啊我們求你在這個時刻
[00:04:25.080 --> 00:04:27.600]  透過你自己聖經的真理
[00:04:27.600 --> 00:04:29.800]  幫助我們怎樣去預備好
[00:04:29.800 --> 00:04:32.240]  我相信這個是你自己所喜歡
[00:04:32.240 --> 00:04:33.840]  也所期待
[00:04:33.840 --> 00:04:35.320]  所見到的
[00:04:35.320 --> 00:04:37.440]  主啊所以我們是等候你
[00:04:37.440 --> 00:04:39.680]  你教我們你自己的真理
[00:04:39.680 --> 00:04:41.440]  以致我們見你面的時候
[00:04:41.440 --> 00:04:43.200]  我們歡喜快樂
[00:04:43.200 --> 00:04:45.200]  我們不會羞愧
[00:04:45.200 --> 00:04:47.200]  不會痛哭切齒
[00:04:47.200 --> 00:04:49.720]  我們求你自己就這樣幫助我們
[00:04:49.720 --> 00:04:52.880]  聽我們的禱告奉耶穌基督的名
[00:04:52.880 --> 00:04:53.880]  阿們
[00:04:54.880 --> 00:04:55.440]  好了
[00:04:55.440 --> 00:04:57.800]  我們有一個大綱
[00:04:57.800 --> 00:04:59.120]  大家都知道
[00:04:59.120 --> 00:05:02.280]  我已經印了給大家
[00:05:02.280 --> 00:05:04.280]  大家可以拿出這個大綱
[00:05:04.280 --> 00:05:06.280]  大綱裡面有很多的資料
[00:05:06.280 --> 00:05:08.280]  未必能夠全部說完
[00:05:08.280 --> 00:05:09.880]  不過大家看著它
[00:05:09.880 --> 00:05:12.760]  回家你可以再看有關的經文
[00:05:12.760 --> 00:05:15.240]  那些經文因為很多
[00:05:15.240 --> 00:05:16.800]  我就不會慢慢跟大家讀出來
[00:05:16.800 --> 00:05:18.200]  有些經文是需要讀的
[00:05:18.200 --> 00:05:20.200]  有些經文是不需要讀的
[00:05:20.200 --> 00:05:22.400]  我就這樣說的內容就行了
[00:05:22.400 --> 00:05:24.400]  大家打開第二頁
[00:05:24.400 --> 00:05:26.400]  第二個分題裡面
[00:05:26.400 --> 00:05:28.400]  的四個方面
[00:05:28.400 --> 00:05:30.400]  好我們現在開始了
[00:05:30.400 --> 00:05:32.400]  無謂浪費時間
[00:05:32.400 --> 00:05:34.400]  第一
[00:05:34.400 --> 00:05:39.400]  我們要預備迎接撒旦的作為
[00:05:39.400 --> 00:05:41.400]  在聖經裡面的描述
[00:05:41.400 --> 00:05:43.400]  在第一課我們也提過的
[00:05:43.400 --> 00:05:47.400]  有幾段的聖經特別有關
[00:05:47.400 --> 00:05:50.400]  耶穌基督的再來和世界的末了的記載
[00:05:50.400 --> 00:05:52.400]  當然除了啟示錄
[00:05:52.400 --> 00:05:54.400]  尤其是第四章一直開始
[00:05:54.400 --> 00:05:58.400]  到最後都是說到將來的事情特別詳細
[00:05:58.400 --> 00:06:01.400]  在舊約裡面的達爾利書
[00:06:01.400 --> 00:06:05.400]  撒加利亞書這些先知的預言裡面都有
[00:06:05.400 --> 00:06:08.400]  但是在新約裡面耶穌基督
[00:06:08.400 --> 00:06:10.400]  他自己也說
[00:06:10.400 --> 00:06:13.400]  尤其是馬太福音的第24章和第25章
[00:06:13.400 --> 00:06:16.400]  這些都是我們最主要的聖經材料
[00:06:16.400 --> 00:06:18.400]  我們不能夠憑一刷的
[00:06:18.400 --> 00:06:21.400]  我們一會兒就聽聽神怎麼說
[00:06:21.400 --> 00:06:23.400]  當然包括了剛才我們
[00:06:23.400 --> 00:06:26.400]  貼在前書的第四章和第五章
[00:06:26.400 --> 00:06:28.400]  都是集中說這些方面
[00:06:28.400 --> 00:06:30.400]  我們綜合了這方面的時候
[00:06:30.400 --> 00:06:32.400]  我們發覺有四樣東西
[00:06:32.400 --> 00:06:36.400]  我們要特別專注的看多一點
[00:06:36.400 --> 00:06:39.400]  第一撒旦的作為
[00:06:39.400 --> 00:06:43.400]  耶穌基督我們在馬太福音24章
[00:06:43.400 --> 00:06:46.400]  我們就會看到耶穌說
[00:06:46.400 --> 00:06:50.400]  他來之前的時候我們要小心不要被人迷惑
[00:06:50.400 --> 00:06:53.400]  因為有很多人要假冒我的名而來
[00:06:53.400 --> 00:06:56.400]  說我就是基督並且迷惑很多的人
[00:06:56.400 --> 00:06:57.400]  然後他又再說
[00:06:57.400 --> 00:07:00.400]  那時候很多人會失去信仰
[00:07:00.400 --> 00:07:02.400]  彼此出賣
[00:07:02.400 --> 00:07:03.400]  互相恨惡
[00:07:03.400 --> 00:07:05.400]  也有很多假先知出來
[00:07:05.400 --> 00:07:08.400]  要迷惑很多的人
[00:07:08.400 --> 00:07:10.400]  那時候如果有人對你們說
[00:07:10.400 --> 00:07:13.400]  看啊基督在這裡或者說在那裡
[00:07:13.400 --> 00:07:14.400]  你們不要相信
[00:07:14.400 --> 00:07:17.400]  因為必有假基督和假先知出現
[00:07:17.400 --> 00:07:20.400]  顯出神蹟和歧視
[00:07:20.400 --> 00:07:21.400]  如果可以的話
[00:07:21.400 --> 00:07:25.400]  他們連選民屬神的人都要迷惑
[00:07:25.400 --> 00:07:27.400]  我相信就這幾句話
[00:07:27.400 --> 00:07:29.400]  你發覺有重複重複有幾個主題
[00:07:29.400 --> 00:07:30.400]  第一迷惑
[00:07:30.400 --> 00:07:32.400]  迷惑迷惑迷惑
[00:07:32.400 --> 00:07:34.400]  這是第一個現象
[00:07:34.400 --> 00:07:37.400]  迷惑是撒旦一個特色
[00:07:37.400 --> 00:07:42.400]  聖經說撒旦是雪方人的父
[00:07:42.400 --> 00:07:44.400]  很多迷惑出現的時候
[00:07:44.400 --> 00:07:47.400]  你就知道撒旦的作為
[00:07:47.400 --> 00:07:51.400]  要特別瘋狂的加強和攻擊
[00:07:51.400 --> 00:07:52.400]  因為這些迷惑背後
[00:07:52.400 --> 00:07:54.400]  不單是人的罪
[00:07:54.400 --> 00:07:55.400]  而是撒旦在這裡
[00:07:55.400 --> 00:07:58.400]  要製造更多的混亂
[00:07:58.400 --> 00:08:00.400]  第二有假的基督
[00:08:00.400 --> 00:08:02.400]  假的先知
[00:08:02.400 --> 00:08:04.400]  有人說基督在這裡
[00:08:04.400 --> 00:08:05.400]  這個假的基督
[00:08:05.400 --> 00:08:07.400]  不一定是某一個人是基督
[00:08:07.400 --> 00:08:08.400]  基督是受高者
[00:08:08.400 --> 00:08:12.400]  代表神自己的真理
[00:08:12.400 --> 00:08:15.400]  但有人說這是神的真理
[00:08:15.400 --> 00:08:17.400]  其實是假的
[00:08:17.400 --> 00:08:19.400]  不是神的真理
[00:08:19.400 --> 00:08:21.400]  看起來好像是真理
[00:08:21.400 --> 00:08:23.400]  甚至耶穌說
[00:08:23.400 --> 00:08:25.400]  那些屬神的人選民
[00:08:25.400 --> 00:08:27.400]  都被人騙到
[00:08:27.400 --> 00:08:29.400]  都被迷惑
[00:08:29.400 --> 00:08:31.400]  有些假的先知出來
[00:08:31.400 --> 00:08:34.400]  大家都知道先知這個字
[00:08:34.400 --> 00:08:36.400]  不一定是有預言
[00:08:36.400 --> 00:08:38.400]  當然有些可以說是預言的
[00:08:38.400 --> 00:08:40.400]  從神而來的使者
[00:08:40.400 --> 00:08:42.400]  但先知這個字
[00:08:42.400 --> 00:08:44.400]  舊約到新約的原文
[00:08:44.400 --> 00:08:46.400]  特別是指什麼呢?
[00:08:46.400 --> 00:08:48.400]  先知就是神的代言人
[00:08:48.400 --> 00:08:50.400]  就是說有些人出來說
[00:08:50.400 --> 00:08:52.400]  我是代表神的代言人
[00:08:52.400 --> 00:08:53.400]  我是代表神的真理
[00:08:53.400 --> 00:08:54.400]  告訴你這樣這樣
[00:08:54.400 --> 00:08:56.400]  其實是假的
[00:08:56.400 --> 00:08:58.400]  那些是假的先知
[00:08:58.400 --> 00:08:59.400]  假的代言人
[00:08:59.400 --> 00:09:00.400]  神沒有叫他這樣說
[00:09:00.400 --> 00:09:02.400]  並不合神自己的心意
[00:09:02.400 --> 00:09:05.400]  這是第二個特別的現象
[00:09:05.400 --> 00:09:07.400]  第三
[00:09:07.400 --> 00:09:09.400]  甚至這些事出現到一個地步
[00:09:09.400 --> 00:09:13.400]  有大神跡和奇事
[00:09:13.400 --> 00:09:15.400]  有不尋常的地步
[00:09:15.400 --> 00:09:17.400]  我們只能用神跡
[00:09:17.400 --> 00:09:20.400]  一種超然的現象
[00:09:20.400 --> 00:09:22.400]  來出現
[00:09:22.400 --> 00:09:24.400]  這三樣東西
[00:09:24.400 --> 00:09:26.400]  都是指向背後
[00:09:26.400 --> 00:09:29.400]  有一個很強烈的工作
[00:09:29.400 --> 00:09:31.400]  說到裂了很多的經文
[00:09:31.400 --> 00:09:34.400]  我不和大家慢慢來追溯
[00:09:34.400 --> 00:09:37.400]  我和大家做了一個簡單的功課
[00:09:37.400 --> 00:09:40.400]  究竟撒旦是怎樣的
[00:09:40.400 --> 00:09:42.400]  今天我們要很直接的和大家說
[00:09:42.400 --> 00:09:44.400]  揭穿撒旦的詭計
[00:09:44.400 --> 00:09:46.400]  我們要面對要明白
[00:09:46.400 --> 00:09:48.400]  在聖經裏面告訴我們
[00:09:48.400 --> 00:09:51.400]  撒旦究竟有什麼最重要的獨特性在哪裡
[00:09:51.400 --> 00:09:53.400]  我總結想提出有幾個
[00:09:53.400 --> 00:09:54.400]  第一
[00:09:54.400 --> 00:09:56.400]  撒旦主要是一個目標
[00:09:56.400 --> 00:09:57.400]  就是對抗神
[00:09:57.400 --> 00:09:59.400]  破壞神的計劃
[00:09:59.400 --> 00:10:01.400]  那怎樣破壞呢?
[00:10:01.400 --> 00:10:05.400]  他要透過神所創造的世界破壞
[00:10:05.400 --> 00:10:08.400]  要透過神所創造的人破壞
[00:10:08.400 --> 00:10:15.400]  要特別透過神所拯救的基督徒的迷惑破壞
[00:10:15.400 --> 00:10:18.400]  要破壞神自己的真理
[00:10:18.400 --> 00:10:22.400]  破壞神自己的計劃
[00:10:22.400 --> 00:10:26.400]  所以我們發覺撒旦是會攻擊信徒的
[00:10:26.400 --> 00:10:27.400]  在聖經裏面記載
[00:10:27.400 --> 00:10:30.400]  在個別信徒的心裏面
[00:10:30.400 --> 00:10:34.400]  有時他會突破一些不信的迷惑
[00:10:34.400 --> 00:10:37.400]  在心裏面會給你一些誘惑和騙你
[00:10:37.400 --> 00:10:39.400]  說神不愛你
[00:10:39.400 --> 00:10:41.400]  你看看你碰到這些事情
[00:10:41.400 --> 00:10:42.400]  你看看你遭遇這些事情
[00:10:42.400 --> 00:10:44.400]  神不理你
[00:10:44.400 --> 00:10:46.400]  你不需要再相信他
[00:10:46.400 --> 00:10:48.400]  用你自己的雙手去搞定他
[00:10:48.400 --> 00:10:50.400]  甚至在過程當中
[00:10:50.400 --> 00:10:52.400]  你不要理什麼標準不標準
[00:10:52.400 --> 00:10:53.400]  神說
[00:10:53.400 --> 00:10:54.400]  他意思是說
[00:10:54.400 --> 00:10:55.400]  撒旦說不要緊的
[00:10:55.400 --> 00:10:57.400]  你只要做到就行了
[00:10:57.400 --> 00:10:59.400]  就好像他引誘耶穌基督
[00:10:59.400 --> 00:11:02.400]  三次的試探一樣
[00:11:02.400 --> 00:11:03.400]  你要達到目的
[00:11:03.400 --> 00:11:05.400]  你可以不擇手段的
[00:11:05.400 --> 00:11:07.400]  你肚餓嗎?
[00:11:07.400 --> 00:11:08.400]  有餅
[00:11:08.400 --> 00:11:10.400]  你沒得吃嗎?
[00:11:10.400 --> 00:11:12.400]  你用石頭變餅就行了
[00:11:12.400 --> 00:11:14.400]  你可以做的
[00:11:14.400 --> 00:11:16.400]  耶穌你上聖殿頂
[00:11:16.400 --> 00:11:18.400]  你跳下來的時候
[00:11:18.400 --> 00:11:19.400]  當眾眾目睽睽
[00:11:19.400 --> 00:11:20.400]  你不會跌倒
[00:11:20.400 --> 00:11:21.400]  你行的
[00:11:21.400 --> 00:11:23.400]  這時候你不用再傳福音了
[00:11:23.400 --> 00:11:24.400]  每個人都相信你了
[00:11:24.400 --> 00:11:25.400]  捷徑
[00:11:25.400 --> 00:11:27.400]  用自己的方法
[00:11:27.400 --> 00:11:29.400]  但耶穌說不是的
[00:11:29.400 --> 00:11:31.400]  這些都是撒旦的作為
