
[00:00:00.000 --> 00:00:05.200]  烈旺記的第一講
[00:00:05.200 --> 00:00:08.200]  我們剛剛才講完《撒慕爾記》
[00:00:08.200 --> 00:00:11.200]  所以今天要開始一個新的系列
[00:00:11.200 --> 00:00:13.000]  我非常興奮
[00:00:13.000 --> 00:00:15.200]  因為我很喜歡舊約
[00:00:15.200 --> 00:00:19.000]  有人說:牧師,為什麼你這麼喜歡舊約?
[00:00:19.000 --> 00:00:20.600]  現在我們都有新約了
[00:00:20.600 --> 00:00:22.400]  為什麼還要讀舊約?
[00:00:22.400 --> 00:00:25.000]  舊約是新約的預表
[00:00:25.000 --> 00:00:27.800]  新約是舊約的承傳
[00:00:27.800 --> 00:00:31.000]  所以新舊約都一樣重要
[00:00:31.000 --> 00:00:34.400]  千萬不要再說有新約不去讀舊約
[00:00:34.400 --> 00:00:38.400]  我們今天要開始講烈旺記
[00:00:38.400 --> 00:00:41.000]  第一講我通常都是介紹
[00:00:41.000 --> 00:00:43.000]  每一個系列的開始
[00:00:43.000 --> 00:00:46.600]  那篇道都是叫做為何要讀這本書
[00:00:46.600 --> 00:00:48.600]  所以今天也不例外
[00:00:48.600 --> 00:00:51.200]  為何要讀烈旺記
[00:00:51.200 --> 00:00:54.000]  我在書院每個系列第一講
[00:00:54.000 --> 00:00:57.200]  都會講一個介紹的一篇道
[00:00:57.200 --> 00:00:59.800]  也會講有很多背景
[00:00:59.800 --> 00:01:02.600]  有很多有關這本書的資料
[00:01:02.600 --> 00:01:04.600]  讓大家來認識
[00:01:04.600 --> 00:01:07.600]  讓大家來更加了解這本書
[00:01:07.600 --> 00:01:10.600]  我們剛剛講完《撒慕爾記》
[00:01:10.600 --> 00:01:13.400]  《撒慕爾記》可以說是把
[00:01:13.400 --> 00:01:17.000]  《史詩記》和烈旺記連在一起
[00:01:17.000 --> 00:01:19.400]  《撒慕爾記》就在中間
[00:01:19.400 --> 00:01:21.400]  在《史詩記》的時候
[00:01:21.400 --> 00:01:23.400]  以色列人沒有王
[00:01:23.400 --> 00:01:25.400]  但是到了《撒慕爾記》
[00:01:25.400 --> 00:01:29.400]  他們希望撒慕爾幫他們立一位王
[00:01:29.400 --> 00:01:31.400]  而到了烈旺記
[00:01:31.400 --> 00:01:35.400]  他們就真的有很多王來帶領他們
[00:01:35.400 --> 00:01:39.400]  很可惜這些王大部分都不是好的皇帝
[00:01:39.400 --> 00:01:43.400]  烈旺記是屬於猶太人的歷史
[00:01:43.400 --> 00:01:45.400]  是近東一帶的歷史
[00:01:45.400 --> 00:01:48.400]  在烈旺記裡面沒有亞洲的歷史
[00:01:48.400 --> 00:01:50.400]  沒有美洲的歷史
[00:01:50.400 --> 00:01:52.400]  這些歷史對我們很關心
[00:01:52.400 --> 00:01:55.400]  因為我們是亞洲人又住在美國
[00:01:55.400 --> 00:02:00.400]  但是聖經裡面沒有講到這些國家
[00:02:00.400 --> 00:02:02.400]  其實對神來講
[00:02:02.400 --> 00:02:06.400]  最重要的就是祂自己指紋的歷史
[00:02:06.400 --> 00:02:09.400]  就是猶太人的歷史
[00:02:09.400 --> 00:02:12.400]  在這裡又要講一講
[00:02:12.400 --> 00:02:14.400]  我們這些讀神學的人
[00:02:14.400 --> 00:02:18.400]  讀神學的時候都會讀系統神學
[00:02:18.400 --> 00:02:20.400]  在系統神學裡面
[00:02:20.400 --> 00:02:27.400]  我們都會讀神論、基督論、聖靈論、聖經論這些科目
[00:02:27.400 --> 00:02:31.400]  但是有一個科目是完全沒有提到的
[00:02:31.400 --> 00:02:32.400]  是什麼呢?
[00:02:32.400 --> 00:02:35.400]  就是有關以色列人的科目
[00:02:35.400 --> 00:02:37.400]  其實在聖經裡面
[00:02:37.400 --> 00:02:41.400]  超過60%的篇幅都是有關以色列人
