
[00:00:00.000 --> 00:00:04.480]  各位大姐妹 早安
[00:00:04.480 --> 00:00:07.640]  感謝主給我機會再和大家分享神的說話
[00:00:07.640 --> 00:00:10.720]  也歡迎當中我們的新來的朋友
[00:00:10.720 --> 00:00:13.880]  過去這個星期 剛剛我們短訊隊
[00:00:13.880 --> 00:00:18.700]  在星期一就已經平安回到香港
[00:00:18.700 --> 00:00:22.700]  為了過往我們九天的行程要感謝神
[00:00:22.700 --> 00:00:26.720]  為大姐妹在背後的差遣和代禱要感謝神
[00:00:26.720 --> 00:00:28.800]  一會兒我們有個片段給大家看一下
[00:00:28.800 --> 00:00:30.800]  這九天裡面發生的事情
[00:00:30.800 --> 00:00:32.800]  也在數算神的恩典
[00:00:32.800 --> 00:00:39.800]  其實你看到無論我們是基督徒還是不是基督徒
[00:00:39.800 --> 00:00:42.800]  在世間裡面都有很多很多困難
[00:00:42.800 --> 00:00:46.800]  中國人特別說「不如意事十常八九」
[00:00:46.800 --> 00:00:48.800]  我們經常都會見到困難
[00:00:48.800 --> 00:00:54.300]  就算耶穌在這裡 我們同樣都會見到困難
[00:00:54.300 --> 00:00:56.800]  問題是我們怎樣去面對困難
[00:00:56.800 --> 00:00:59.800]  可能比困難本身更加重要
[00:00:59.800 --> 00:01:03.800]  我們在困難裡面 可能就是集中看困難本身
[00:01:03.800 --> 00:01:05.800]  怎樣可以快些渡過
[00:01:05.800 --> 00:01:07.800]  但事實上從神的角度來看
[00:01:07.800 --> 00:01:13.800]  我們怎樣去回應困難 比困難本身還要重要
[00:01:13.800 --> 00:01:15.800]  我們看看這段經文
[00:01:15.800 --> 00:01:21.300]  是一段相當精彩的耶穌生平的記載
[00:01:21.300 --> 00:01:23.800]  如果你一直看《馬福音》
[00:01:23.800 --> 00:01:25.800]  或者聽我們講《馬福音》的時候 你還記得嗎?
[00:01:25.800 --> 00:01:29.800]  上文是說回門徒聽了耶穌基督的吩咐
[00:01:29.800 --> 00:01:32.800]  出去學習做傳道工作
[00:01:32.800 --> 00:01:34.800]  回來就要求耶穌
[00:01:34.800 --> 00:01:37.800]  「我們不如很想和你分享一下怎樣經歷上帝」
[00:01:37.800 --> 00:01:39.800]  耶穌說「好啊 我和你去抗疫 歇一歇」
[00:01:39.800 --> 00:01:44.800]  誰知道大量的群眾聽見耶穌來就湧雞而來
[00:01:44.800 --> 00:01:47.800]  所以那個退休會的計劃就沒有了
[00:01:47.800 --> 00:01:49.800]  耶穌不可以和門徒一起去歇一歇
[00:01:49.800 --> 00:01:53.800]  然後耶穌又繼續的日講到夜去講道
[00:01:53.800 --> 00:01:57.800]  然後就行了一個很神奇的神蹟
[00:01:57.800 --> 00:02:01.800]  就是五餅餘 叫五千人吃飽
[00:02:01.800 --> 00:02:05.800]  門徒可能在過程當中都參與
[00:02:05.800 --> 00:02:08.800]  甚至很驚訝耶穌所做的工作
[00:02:08.800 --> 00:02:11.800]  不過可能他們心裡仍然有很多牢騷
[00:02:11.800 --> 00:02:14.800]  本來有計劃 但群眾都阻礙了
[00:02:14.800 --> 00:02:16.800]  現在應該有機會了
[00:02:16.800 --> 00:02:19.800]  如果你特別參考幾個四方的記載
[00:02:19.800 --> 00:02:23.800]  在洋方甚至說 當時當五餅餘之後
[00:02:23.800 --> 00:02:27.800]  那幫群眾再 用香港話說 再興奮一點
[00:02:27.800 --> 00:02:29.800]  不僅聽到這麼好的道
[00:02:29.800 --> 00:02:31.800]  不僅耶穌幫助了這麼多人
[00:02:31.800 --> 00:02:35.800]  而且現在可以五餅餘吃飽了這麼多人
[00:02:35.800 --> 00:02:37.800]  所以接著一步做什麼呢?
[00:02:37.800 --> 00:02:39.800]  他想擁戴耶穌當時就做皇帝
[00:02:39.800 --> 00:02:43.800]  那個情緒這麼激昂的
[00:02:43.800 --> 00:02:45.800]  你明白背景了
[00:02:45.800 --> 00:02:47.800]  當時羅馬政府的統治之下
[00:02:47.800 --> 00:02:52.800]  他們認為這是舊約一直在等待的理賽
[00:02:52.800 --> 00:02:54.800]  現在來到了 想擁納他做皇帝
[00:02:54.800 --> 00:02:55.800]  催回羅馬政府
[00:02:55.800 --> 00:02:59.800]  一個很激昂的情緒之下
[00:02:59.800 --> 00:03:01.800]  耶穌面對這麼激昂的情緒
[00:03:01.800 --> 00:03:03.800]  他怎麼回應呢?
[00:03:03.800 --> 00:03:07.800]  在《馬可》第六章第45節
[00:03:07.800 --> 00:03:12.800]  可能快要黃昏了 晚了
[00:03:12.800 --> 00:03:15.800]  耶穌叫門徒先上船
[00:03:15.800 --> 00:03:18.800]  大家知道他們在加里里海的地方
[00:03:18.800 --> 00:03:20.800]  本來他工作的地方是加伯隆
[00:03:20.800 --> 00:03:24.800]  就是加里里海的西邊的地方
[00:03:24.800 --> 00:03:25.800]  就是加伯隆
[00:03:25.800 --> 00:03:27.800]  耶穌坐船到東邊的地方
[00:03:27.800 --> 00:03:30.800]  才有格拉森的事件 艾路的事蹟等等
[00:03:30.800 --> 00:03:34.800]  接著現在他五餅餘之後
[00:03:34.800 --> 00:03:38.800]  再叫門徒從約特 加里里海的東邊
[00:03:38.800 --> 00:03:40.800]  先上船去西邊
[00:03:40.800 --> 00:03:44.800]  去全道的慣常的地方 加伯隆的地方
[00:03:44.800 --> 00:03:45.800]  叫他坐船走
[00:03:45.800 --> 00:03:47.800]  耶穌自己一個人 幹什麼呢?
[00:03:47.800 --> 00:03:50.800]  就打發眾人離開
[00:03:50.800 --> 00:03:52.800]  你知道當時群眾這麼激昂
