
[00:00:00.000 --> 00:00:02.000]  大家好
[00:00:02.000 --> 00:00:13.000]  我們先從一個創造枯燥的觀念開始說
[00:00:13.000 --> 00:00:15.000]  上一次我們說安息
[00:00:15.000 --> 00:00:22.000]  我看到有幾個地方大家可能不習慣
[00:00:22.000 --> 00:00:24.000]  或者需要再想想
[00:00:24.000 --> 00:00:28.000]  一個地方就是創造原來不是完美的
[00:00:28.000 --> 00:00:30.000]  這是我第一次說的
[00:00:30.000 --> 00:00:32.000]  第一堂的時候說的
[00:00:32.000 --> 00:00:35.000]  第二個就是上次說的
[00:00:35.000 --> 00:00:37.000]  安息原來不是不做事的
[00:00:37.000 --> 00:00:41.000]  這是我們平時比較少從這個角度想的
[00:00:41.000 --> 00:00:43.000]  我覺得還有第三個位置
[00:00:43.000 --> 00:00:45.000]  可能大家不習慣的
[00:00:45.000 --> 00:00:47.000]  就是我今天要說的
[00:00:47.000 --> 00:00:49.000]  就是禮物這個觀念
[00:00:49.000 --> 00:00:53.000]  為什麼我會這樣說禮物這件事呢
[00:00:53.000 --> 00:01:00.000]  就是在職場裡面其實沒有禮物這個觀念
[00:01:00.000 --> 00:01:03.000]  所以我們越來越失去這個禮物的觀念
[00:01:03.000 --> 00:01:05.000]  禮物的觀念是什麼呢
[00:01:05.000 --> 00:01:07.000]  就是說爸爸給你的
[00:01:07.000 --> 00:01:12.000]  在我們這個所謂世俗的文化裡面
[00:01:12.000 --> 00:01:14.000]  越來越沒有了這個觀念
[00:01:14.000 --> 00:01:16.000]  每樣東西都算過的
[00:01:16.000 --> 00:01:20.000]  在職場沒有免費午餐的
[00:01:20.000 --> 00:01:22.000]  每樣東西都好像多勞多得
[00:01:22.000 --> 00:01:24.000]  或者說一定要付出
[00:01:24.000 --> 00:01:27.000]  這樣才有那個報酬
[00:01:27.000 --> 00:01:29.000]  我們是說報酬的
[00:01:29.000 --> 00:01:31.000]  如果說禮物
[00:01:31.000 --> 00:01:33.000]  人家覺得你好像
[00:01:33.000 --> 00:01:35.000]  我不知道
[00:01:35.000 --> 00:01:37.000]  好像不是那麼真實
[00:01:37.000 --> 00:01:39.000]  甚至是
[00:01:39.000 --> 00:01:45.000]  不是一個好像很現實
[00:01:45.000 --> 00:01:47.000]  我們所做的事
[00:01:47.000 --> 00:01:49.000]  但我想說創造
[00:01:49.000 --> 00:01:51.000]  政治就是說這件事
[00:01:51.000 --> 00:01:57.000]  我想從創造交代多一點點這個觀念
[00:01:57.000 --> 00:02:00.000]  其實這個是我們在創造裡面更加少鬥的
[00:02:00.000 --> 00:02:02.000]  我們通常創造都說
[00:02:02.000 --> 00:02:04.000]  很掛念神什麼時候做
[00:02:04.000 --> 00:02:06.000]  怎麼做
[00:02:06.000 --> 00:02:08.000]  從一個科學歷史的角度
[00:02:08.000 --> 00:02:10.000]  或者說神做得很漂亮
[00:02:10.000 --> 00:02:12.000]  很美麗
[00:02:12.000 --> 00:02:14.000]  但其實更加重要的是這些觀念
[00:02:14.000 --> 00:02:17.000]  創造的意思就是祂做給你
[00:02:17.000 --> 00:02:20.000]  不是你搞出來的
[00:02:20.000 --> 00:02:22.000]  祂送給你的
[00:02:22.000 --> 00:02:24.000]  不是換取的
[00:02:24.000 --> 00:02:26.000]  在神學上在聖經裡面
[00:02:26.000 --> 00:02:28.000]  是很重要的觀念
[00:02:28.000 --> 00:02:30.000]  其實
[00:02:30.000 --> 00:02:32.000]  不要說創造
[00:02:32.000 --> 00:02:34.000]  救贖也是
[00:02:34.000 --> 00:02:36.000]  救贖很強調一點
[00:02:36.000 --> 00:02:38.000]  大家很熟悉的
[00:02:38.000 --> 00:02:40.000]  你不是靠行為得救
[00:02:40.000 --> 00:02:42.000]  救恩不是換取回來的
[00:02:42.000 --> 00:02:44.000]  是白白給的
[00:02:44.000 --> 00:02:46.000]  其實這個恩典的字就是禮物的字
[00:02:46.000 --> 00:02:48.000]  在希臘文裡面
[00:02:48.000 --> 00:02:50.000]  就是禮物
[00:02:50.000 --> 00:02:52.000]  所以救贖我們很明白的
[00:02:52.000 --> 00:02:54.000]  其實這個都不是容易明白的
[00:02:54.000 --> 00:02:56.000]  或者說一般很多人不信耶穌
[00:02:56.000 --> 00:02:58.000]  可能都是因為這樣
[00:02:58.000 --> 00:03:00.000]  如果你說
[00:03:00.000 --> 00:03:02.000]  好像普通宗教那樣你可以換取
[00:03:02.000 --> 00:03:04.000]  很多人都願意的
[00:03:04.000 --> 00:03:06.000]  如果你說
[00:03:06.000 --> 00:03:08.000]  你每個星期日回禮拜堂
[00:03:08.000 --> 00:03:10.000]  給些奉獻
[00:03:10.000 --> 00:03:12.000]  做些侍奉
[00:03:12.000 --> 00:03:14.000]  這樣上到天堂很多人都願意
[00:03:14.000 --> 00:03:16.000]  這樣交換
[00:03:16.000 --> 00:03:18.000]  這樣才難
[00:03:18.000 --> 00:03:20.000]  你不能靠自己
[00:03:20.000 --> 00:03:22.000]  這個就是恩典
[00:03:22.000 --> 00:03:24.000]  我想說創造也是這樣的
[00:03:24.000 --> 00:03:26.000]  禮物
[00:03:26.000 --> 00:03:28.000]  不是你搞出來的
[00:03:28.000 --> 00:03:30.000]  不是你做到的
[00:03:30.000 --> 00:03:32.000]  上一次我們安息文就說
[00:03:32.000 --> 00:03:34.000]  是要神幫你做的
[00:03:34.000 --> 00:03:36.000]  他叫你做他幫你成全
[00:03:36.000 --> 00:03:38.000]  我們人都不喜歡這樣
[00:03:38.000 --> 00:03:40.000]  我們喜歡自立
[00:03:40.000 --> 00:03:42.000]  不喜歡有個神
[00:03:42.000 --> 00:03:44.000]  好像倚賴神
[00:03:44.000 --> 00:03:46.000]  自立這些東西其實是好的
[00:03:46.000 --> 00:03:48.000]  對人
[00:03:48.000 --> 00:03:50.000]  做人要自立
[00:03:50.000 --> 00:03:52.000]  但在神面前就不好
[00:03:52.000 --> 00:03:54.000]  因為你不是神
[00:03:54.000 --> 00:03:56.000]  創造是很強調這一點
[00:03:56.000 --> 00:03:58.000]  我想說禮物這個觀念
[00:03:58.000 --> 00:04:00.000]  神不是設計了
[00:04:00.000 --> 00:04:02.000]  做了一個人
[00:04:02.000 --> 00:04:04.000]  他有他的呼召
[00:04:04.000 --> 00:04:06.000]  我們說過這些
[00:04:06.000 --> 00:04:08.000]  他幫你成全
[00:04:08.000 --> 00:04:10.000]  他要送給你禮物
[00:04:10.000 --> 00:04:12.000]  這個觀念是很重要的
[00:04:12.000 --> 00:04:14.000]  很多時候都是比較忽略的
[00:04:14.000 --> 00:04:16.000]  我今天是想說
[00:04:16.000 --> 00:04:18.000]  創世紀第二章
[00:04:18.000 --> 00:04:20.000]  你知道創世紀有兩個記載
[00:04:20.000 --> 00:04:22.000]  關於創造
[00:04:22.000 --> 00:04:24.000]  我都提過這個
[00:04:24.000 --> 00:04:26.000]  第一個就是第一章
[00:04:26.000 --> 00:04:28.000]  第一節
[00:04:28.000 --> 00:04:30.000]  就是那七天創造
[00:04:30.000 --> 00:04:32.000]  六天創造
[00:04:32.000 --> 00:04:34.000]  再加多安息日
[00:04:34.000 --> 00:04:36.000]  第二章第三節
[00:04:36.000 --> 00:04:38.000]  這是第一個
[00:04:38.000 --> 00:04:40.000]  創造的記載
[00:04:40.000 --> 00:04:42.000]  這個就是
[00:04:42.000 --> 00:04:44.000]  我們說的秩序
[00:04:44.000 --> 00:04:46.000]  創造是秩序
[00:04:46.000 --> 00:04:48.000]  他給你物質秩序
[00:04:48.000 --> 00:04:50.000]  和功能秩序各從其類
[00:04:50.000 --> 00:04:52.000]  所以他是呼召你
[00:04:52.000 --> 00:04:54.000]  做回那個人
[00:04:54.000 --> 00:04:56.000]  我們說了第一章
[00:04:56.000 --> 00:04:58.000]  第二章是四節開始
[00:04:58.000 --> 00:05:00.000]  完全是另外一個
[00:05:00.000 --> 00:05:02.000]  很不合適的記載
[00:05:02.000 --> 00:05:04.000]  那個就從
[00:05:04.000 --> 00:05:06.000]  另一個角度來看
[00:05:06.000 --> 00:05:08.000]  第一章是從一個秩序的角度
[00:05:08.000 --> 00:05:10.000]  即是虛空混沌
[00:05:10.000 --> 00:05:12.000]  未做之前
[00:05:12.000 --> 00:05:14.000]  要整秩序
[00:05:14.000 --> 00:05:16.000]  但第二個
[00:05:16.000 --> 00:05:18.000]  創造不是秩序
[00:05:18.000 --> 00:05:20.000]  是禮物
[00:05:20.000 --> 00:05:22.000]  這個觀念可以整張聖經說
[00:05:22.000 --> 00:05:24.000]  還有這一張聖經
[00:05:24.000 --> 00:05:26.000]  我覺得最
[00:05:26.000 --> 00:05:28.000]  應用在我們職場上
[00:05:28.000 --> 00:05:30.000]  我都說
[00:05:30.000 --> 00:05:32.000]  如果你要問我
[00:05:32.000 --> 00:05:34.000]  拿一張聖經
[00:05:34.000 --> 00:05:36.000]  能夠最講到職場的神學
[00:05:36.000 --> 00:05:38.000]  我就會選這一張
[00:05:38.000 --> 00:05:40.000]  我試試給大家看
[00:05:40.000 --> 00:05:42.000]  創造的第二章第四節
[00:05:42.000 --> 00:05:44.000]  他介紹
[00:05:44.000 --> 00:05:46.000]  創造的來歷
[00:05:46.000 --> 00:05:48.000]  是這樣的
[00:05:48.000 --> 00:05:50.000]  和第一章一樣
[00:05:50.000 --> 00:05:52.000]  未做之前的情況是怎樣呢
[00:05:52.000 --> 00:05:54.000]  如果大家看第二章第五節
[00:05:54.000 --> 00:05:56.000]  那個野地還沒有草木
[00:05:56.000 --> 00:05:58.000]  田間再疏寒
[00:05:58.000 --> 00:06:00.000]  沒有長起來
[00:06:00.000 --> 00:06:02.000]  即是沒有這些植物
[00:06:02.000 --> 00:06:04.000]  為什麼呢
[00:06:04.000 --> 00:06:06.000]  因為人們說沒有降雨在地上
[00:06:06.000 --> 00:06:08.000]  也沒有人耕田
[00:06:08.000 --> 00:06:12.000]  第一章我們已經說了
[00:06:12.000 --> 00:06:14.000]  那個
[00:06:14.000 --> 00:06:16.000]  未做之前的情況
[00:06:16.000 --> 00:06:18.000]  就是空虛混沌
[00:06:18.000 --> 00:06:20.000]  淤面黑暗
[00:06:20.000 --> 00:06:22.000]  即是說需要秩序
[00:06:22.000 --> 00:06:24.000]  所以這裡說什麼呢
[00:06:24.000 --> 00:06:26.000]  其實他用同一個文學手法
[00:06:26.000 --> 00:06:28.000]  說他未做之前是怎樣呢
[00:06:28.000 --> 00:06:30.000]  沒有植物
[00:06:30.000 --> 00:06:32.000]  因為未下雨又沒有人耕田
[00:06:32.000 --> 00:06:34.000]  所以他應該說什麼呢
[00:06:34.000 --> 00:06:36.000]  就是說
[00:06:36.000 --> 00:06:38.000]  其實這些植物應該代表食物
[00:06:38.000 --> 00:06:40.000]  沒有食物
[00:06:40.000 --> 00:06:42.000]  給人
[00:06:42.000 --> 00:06:44.000]  因為需要下雨
[00:06:44.000 --> 00:06:46.000]  和需要有人耕田
[00:06:46.000 --> 00:06:48.000]  才有得吃
[00:06:48.000 --> 00:06:50.000]  所以他第二章
[00:06:50.000 --> 00:06:52.000]  第一章說秩序
[00:06:52.000 --> 00:06:54.000]  第二章就說
[00:06:54.000 --> 00:06:56.000]  食物
[00:06:56.000 --> 00:06:58.000]  即是禮物 神供給人的需要
[00:06:58.000 --> 00:07:00.000]  這個就是
[00:07:00.000 --> 00:07:02.000]  創造
[00:07:02.000 --> 00:07:04.000]  我覺得這個很直接
[00:07:04.000 --> 00:07:06.000]  第一次說耕田
[00:07:06.000 --> 00:07:08.000]  耕田就是當時的工作
[00:07:08.000 --> 00:07:10.000]  其實這個是工作神學
[00:07:10.000 --> 00:07:12.000]  就是說
[00:07:12.000 --> 00:07:14.000]  神是做
[00:07:14.000 --> 00:07:16.000]  祂要給食物
[00:07:16.000 --> 00:07:18.000]  即是供給
[00:07:18.000 --> 00:07:20.000]  養活我們
[00:07:20.000 --> 00:07:22.000]  我們要找到食物
[00:07:22.000 --> 00:07:24.000]  有兩個原則
[00:07:24.000 --> 00:07:26.000]  第一要下雨
[00:07:26.000 --> 00:07:28.000]  這是耕田的層面
[00:07:28.000 --> 00:07:30.000]  第二就是要有人耕田
[00:07:30.000 --> 00:07:32.000]  第一
[00:07:32.000 --> 00:07:36.000]  其實農業社會最容易明白的
[00:07:36.000 --> 00:07:38.000]  一定要神幫你才行
[00:07:38.000 --> 00:07:40.000]  天氣要配合才行
[00:07:40.000 --> 00:07:42.000]  他不下雨
[00:07:42.000 --> 00:07:44.000]  你多努力耕田都沒有用
[00:07:44.000 --> 00:07:46.000]  所以要神給
[00:07:46.000 --> 00:07:48.000]  但你又要耕田才行
[00:07:48.000 --> 00:07:50.000]  只下雨又不行
[00:07:50.000 --> 00:07:52.000]  因為是工作
[00:07:52.000 --> 00:07:54.000]  所以是很神聖的
[00:07:54.000 --> 00:07:56.000]  在神的設計裏面
[00:07:56.000 --> 00:07:58.000]  在創造設計裏面已經預計了
[00:07:58.000 --> 00:08:00.000]  你要工作才有得吃
[00:08:00.000 --> 00:08:02.000]  執言都是這樣說
[00:08:02.000 --> 00:08:04.000]  你不工作就沒得吃
[00:08:04.000 --> 00:08:06.000]  所以工作本身是神的心意
[00:08:06.000 --> 00:08:08.000]  在創造裏面解釋了
[00:08:08.000 --> 00:08:10.000]  其實他的point是神是
[00:08:10.000 --> 00:08:12.000]  供給你的需要
[00:08:12.000 --> 00:08:14.000]  不過要你工作
[00:08:14.000 --> 00:08:16.000]  所以你不是要牽手
