
[00:00:00.000 --> 00:00:02.840]  大家好 請你繼續吃
[00:00:02.840 --> 00:00:06.720]  剛才吃的時候 我留意到我吃東西真的很快
[00:00:06.720 --> 00:00:11.420]  我想我媽媽可能從小就想訓練我講五間福音聚會
[00:00:11.420 --> 00:00:15.100]  吃快一點 讓人們可以早點聽我說話
[00:00:15.100 --> 00:00:18.020]  我來的時候在想我姪女
[00:00:18.020 --> 00:00:20.020]  我姪女昨天就參加水運會
[00:00:20.020 --> 00:00:25.080]  她是一間學校的一年級學生 小學一年級
[00:00:25.080 --> 00:00:29.140]  在暑假的時候 我就訓練了一個小孩子
[00:00:29.140 --> 00:00:31.540]  這個小孩子在國內來到香港
[00:00:31.540 --> 00:00:35.300]  她是不要說英文 連廣東話都不純正
[00:00:35.300 --> 00:00:40.100]  後來她就成為了一個我們情緒訓練中心裡面
[00:00:40.100 --> 00:00:44.000]  差不多排第一的小朋友 她的領導能力很高
[00:00:44.000 --> 00:00:47.220]  我姪女是一個很喜歡挑戰的女孩子
[00:00:47.220 --> 00:00:51.500]  她經常和這個小朋友一起玩
[00:00:51.500 --> 00:00:53.840]  後來我知道那個小朋友又讀小一
[00:00:53.840 --> 00:00:55.520]  就在一間性工會學校
[00:00:55.520 --> 00:00:59.400]  這次他們兩個不同學校 都是性工會學校
[00:00:59.400 --> 00:01:02.080]  有一次我跟她說 最近這兩個星期
[00:01:02.080 --> 00:01:05.280]  性工會學校很流行小學的一個聯校運動會
[00:01:05.280 --> 00:01:08.560]  我猜到時候她就代表她那一間
[00:01:08.560 --> 00:01:11.920]  你代表你那一間 有機會在決賽的時候
[00:01:11.920 --> 00:01:16.320]  大家一起比賽 我姪女走得很快
[00:01:16.320 --> 00:01:18.000]  那個男孩子走得很快
[00:01:18.000 --> 00:01:20.960]  事實上男孩子女孩子是不會同一個賽事的
[00:01:20.960 --> 00:01:23.020]  我都這樣講 我姪女緊張得很厲害
[00:01:23.020 --> 00:01:25.480]  靠在我身邊 她問一個問題
[00:01:25.480 --> 00:01:29.820]  她問 你想誰贏
[00:01:29.820 --> 00:01:32.240]  我心想 這是一個陷阱
[00:01:32.240 --> 00:01:34.740]  如果我答想她贏 她當然很高興
[00:01:34.740 --> 00:01:36.400]  但是這樣我覺得不是很公平
[00:01:36.400 --> 00:01:39.720]  好像為什麼我做伯爺一定幫你呢
[00:01:39.720 --> 00:01:42.280]  但是如果我說那個小朋友贏
[00:01:42.280 --> 00:01:43.660]  我姪女就會很不高興
[00:01:43.660 --> 00:01:47.120]  認識你這麼多年 都不是朋友
[00:01:47.120 --> 00:01:51.520]  最後我都沒辦法 我就胡說了一句答案
[00:01:51.520 --> 00:01:55.520]  答案就是我想到時候走得快的那個贏
[00:01:55.520 --> 00:01:57.640]  她呆了看著我
[00:01:57.640 --> 00:01:59.820]  她不知道我的意思是什麼
[00:01:59.820 --> 00:02:03.680]  她只覺得這個答案是不明白為什麼
[00:02:03.680 --> 00:02:07.340]  但是好像很有道理 到時候走得快的那個贏
[00:02:07.340 --> 00:02:11.360]  其實每個小朋友都很想自己有重要感
[00:02:11.360 --> 00:02:14.260]  希望今天我們不是講小朋友 講大人
[00:02:14.260 --> 00:02:17.940]  所以我們選了一個題目叫做一個都不忘記
[00:02:17.940 --> 00:02:19.800]  這個題目好像沒有什麼文法的
[00:02:19.800 --> 00:02:21.800]  為什麼一個都不忘記呢
[00:02:21.800 --> 00:02:24.920]  理智就是一個道理
[00:02:24.920 --> 00:02:29.260]  希望今天你聽完之後 你可能就是那個
[00:02:29.260 --> 00:02:30.920]  我以前做心理輔導
[00:02:30.920 --> 00:02:33.840]  我們的老師訓練我們一天見八個人
[00:02:33.840 --> 00:02:35.140]  每人見一個小時
[00:02:35.140 --> 00:02:40.220]  還有要考八個人裡面最特別的五句話
[00:02:40.220 --> 00:02:43.220]  要默出來 就是說你不能混淆
[00:02:43.220 --> 00:02:45.700]  因為白色綠營打起來是對的
[00:02:45.700 --> 00:02:47.700]  過這一關是很辛苦的
[00:02:47.700 --> 00:02:49.700]  我都算是全校應該我第一名的
[00:02:49.700 --> 00:02:51.700]  我記人 記他講話
[00:02:51.700 --> 00:02:53.700]  我完全靠什麼記呢
[00:02:53.700 --> 00:02:55.700]  其實是聖經記我的
[00:02:55.700 --> 00:02:58.700]  我是靠那個看頭髮來記的
[00:02:58.700 --> 00:03:00.700]  就是看他髮質怎麼樣
[00:03:00.700 --> 00:03:02.700]  我不是髮型師講明的
[00:03:02.700 --> 00:03:05.700]  就是看他捲髮 怎麼梳髮
[00:03:05.700 --> 00:03:09.700]  所以我看人 我看著他的頭髮來記那個人
[00:03:09.700 --> 00:03:11.700]  當然了 突然間他飛光頭我沒辦法的了
[00:03:11.700 --> 00:03:14.700]  但是呢 聖經都這樣講的
[00:03:14.700 --> 00:03:16.700]  但是呢 我不要講聖經主題
[00:03:16.700 --> 00:03:17.700]  我講我最近一個遭遇
[00:03:17.700 --> 00:03:19.700]  我一次去長洲 一個開學禮
[00:03:19.700 --> 00:03:21.700]  中一 8月30號
[00:03:21.700 --> 00:03:24.700]  當時坐滿了家長在那裡
[00:03:24.700 --> 00:03:26.700]  他的小朋友考到中一
[00:03:26.700 --> 00:03:27.700]  我問這個問題就是
[00:03:27.700 --> 00:03:30.700]  你猜你看不看好你的小朋友
[00:03:30.700 --> 00:03:32.700]  讀完五年中學的呢
[00:03:32.700 --> 00:03:34.700]  如果你猜你的小朋友
[00:03:34.700 --> 00:03:36.700]  應該讀完五年中學
[00:03:36.700 --> 00:03:38.700]  有信心的 正好考到這樣
[00:03:38.700 --> 00:03:40.700]  哇 你很詫異
[00:03:40.700 --> 00:03:42.700]  我很後悔問這個問題
[00:03:42.700 --> 00:03:44.700]  原來只有七個人舉手
[00:03:44.700 --> 00:03:46.700]  但是那個時候是一百多人的
[00:03:46.700 --> 00:03:49.700]  後來我就和家長了解一下
[00:03:49.700 --> 00:03:52.700]  為什麼呢 原來他們說我不看好
[00:03:52.700 --> 00:03:54.700]  因為我自己都還沒讀完中學的
[00:03:54.700 --> 00:03:56.700]  我兩夫妻都還沒讀完中學的
[00:03:56.700 --> 00:04:00.700]  但是還沒開學的 8月30號
[00:04:00.700 --> 00:04:05.700]  已經講定這五年讀不完的了
[00:04:05.700 --> 00:04:08.700]  後來上個星期 星期五
[00:04:08.700 --> 00:04:10.700]  我在葵涌那間中學
[00:04:10.700 --> 00:04:13.700]  坐滿了人 方文道 方式 一千人
[00:04:13.700 --> 00:04:16.700]  我問他們 你們打算讀多少年
[00:04:16.700 --> 00:04:18.700]  前面第一行答得很快
[00:04:18.700 --> 00:04:20.700]  不是五年嗎
[00:04:20.700 --> 00:04:22.700]  旁邊後面的人說可以七年
[00:04:22.700 --> 00:04:24.700]  讀完預科
[00:04:24.700 --> 00:04:27.700]  哇 根本上整個禮堂大亂
[00:04:27.700 --> 00:04:29.700]  因為有人大聲叫
[00:04:29.700 --> 00:04:31.700]  讀完中三可以走的
[00:04:31.700 --> 00:04:33.700]  我真的這樣想
[00:04:33.700 --> 00:04:35.700]  我好像問了一個問題
[00:04:35.700 --> 00:04:37.700]  其實我自己的答案都不太準確
[00:04:37.700 --> 00:04:38.700]  沒有標準的
[00:04:38.700 --> 00:04:40.700]  就是你可以決定讀多少年
[00:04:40.700 --> 00:04:42.700]  有很多人都不看好自己的
[00:04:42.700 --> 00:04:44.700]  有些人甚至說
[00:04:44.700 --> 00:04:46.700]  隨時想不讀都可以的
[00:04:46.700 --> 00:04:49.700]  後來我去馬鞍山
[00:04:49.700 --> 00:04:50.700]  上個星期六晚
[00:04:50.700 --> 00:04:51.700]  那個家長會
[00:04:51.700 --> 00:04:52.700]  哇 題目太吸引了
[00:04:52.700 --> 00:04:54.700]  所以我很喜歡那個講章
[00:04:54.700 --> 00:04:56.700]  那個題目叫陪太子讀書
[00:04:56.700 --> 00:04:58.700]  哇 那個題目很吸引
[00:04:58.700 --> 00:04:59.700]  陪太子讀書
[00:04:59.700 --> 00:05:01.700]  那就是他覺得這個子女
[00:05:01.700 --> 00:05:04.700]  怎麼樣 地位很高
[00:05:04.700 --> 00:05:06.700]  當我鼓勵家長說
[00:05:06.700 --> 00:05:08.700]  他是太子 但你是母后
[00:05:08.700 --> 00:05:10.700]  你是皇上 是吧
[00:05:10.700 --> 00:05:12.700]  沒問題 千萬不要做丫鬟
[00:05:12.700 --> 00:05:14.700]  就是說每個人
[00:05:14.700 --> 00:05:16.700]  都有一個價值危機
[00:05:16.700 --> 00:05:18.700]  就是究竟我重要嗎
[00:05:18.700 --> 00:05:20.700]  長洲的 蹄涌的 馬鞍山的
[00:05:20.700 --> 00:05:22.700]  有些人不看好自己的價值
[00:05:22.700 --> 00:05:24.700]  有些人看價值過份大
[00:05:24.700 --> 00:05:26.700]  今天香港
[00:05:26.700 --> 00:05:28.700]  就是價值危機
[00:05:28.700 --> 00:05:30.700]  很多做很多年事的人
[00:05:30.700 --> 00:05:34.700]  都可能被人裁員
[00:05:34.700 --> 00:05:36.700]  不是等於他做得不好
[00:05:36.700 --> 00:05:38.700]  而是沒錢再請那麼多人
[00:05:38.700 --> 00:05:40.700]  或者不可以這麼貴請的人
[00:05:40.700 --> 00:05:42.700]  價值危機
[00:05:42.700 --> 00:05:44.700]  在婚姻特別容易出現
[00:05:44.700 --> 00:05:46.700]  研究婚姻學問就是
[00:05:46.700 --> 00:05:47.700]  過了半年左右
[00:05:47.700 --> 00:05:49.700]  兩夫妻就沒那麼開心了
[00:05:49.700 --> 00:05:50.700]  原因是什麼呢
[00:05:50.700 --> 00:05:52.700]  因為兩人開始
[00:05:52.700 --> 00:05:54.700]  很真誠對對方
[00:05:54.700 --> 00:05:56.700]  用回以前沒嫁之前的態度
[00:05:56.700 --> 00:05:58.700]  來說話
[00:05:58.700 --> 00:06:00.700]  我不喜歡吃這些東西
[00:06:00.700 --> 00:06:02.700]  老公更加厲害
[00:06:02.700 --> 00:06:04.700]  這些東西完全不好吃
[00:06:04.700 --> 00:06:06.700]  於是兩人就說
[00:06:06.700 --> 00:06:08.700]  大家一起吃吧
[00:06:08.700 --> 00:06:10.700]  但老公說我給了錢你煮飯
[00:06:10.700 --> 00:06:12.700]  慢慢地
[00:06:12.700 --> 00:06:14.700]  價值危機就是我好像不太需要你
[00:06:14.700 --> 00:06:16.700]  當然做婚姻輔導
[00:06:16.700 --> 00:06:18.700]  更加辛苦
[00:06:18.700 --> 00:06:20.700]  我見到很多人都說
[00:06:20.700 --> 00:06:22.700]  我對太太或丈夫沒興趣
[00:06:22.700 --> 00:06:24.700]  出了一個價值危機
[00:06:24.700 --> 00:06:26.700]  剛才林老師問我最近在做什麼
[00:06:26.700 --> 00:06:30.700]  最近我在做一個學習障礙協會的工作
[00:06:30.700 --> 00:06:32.700]  我們編一個年齡
[00:06:32.700 --> 00:06:34.700]  他們有價值危機
[00:06:34.700 --> 00:06:36.700]  政府界定他們是隱性傷殘
[00:06:36.700 --> 00:06:38.700]  當隱性傷殘的時候
[00:06:38.700 --> 00:06:40.700]  他們就不能受到福利的照顧
[00:06:40.700 --> 00:06:42.700]  所以如果生了一個學習障礙
[00:06:42.700 --> 00:06:44.700]  讀完就有最後的10元就送去加拿大
[00:06:44.700 --> 00:06:46.700]  但當你沒錢的時候
[00:06:46.700 --> 00:06:48.700]  你繼續在香港
[00:06:48.700 --> 00:06:50.700]  你就面對16、17、18
[00:06:50.700 --> 00:06:52.700]  都是臨近中二
[00:06:52.700 --> 00:06:54.700]  而將來沒將來
[00:06:54.700 --> 00:06:56.700]  這是人類
[00:06:56.700 --> 00:06:58.700]  好龍仔每個家庭每個家族
[00:06:58.700 --> 00:07:00.700]  都面對過價值危機
[00:07:00.700 --> 00:07:02.700]  所以聖經
[00:07:02.700 --> 00:07:04.700]  一看路加福音的時候
