
[00:00:00.000 --> 00:00:07.000]  「恩怨情仇論舊約」李思敬博士主講
[00:00:07.000 --> 00:00:12.000]  第五講「我們怎樣獲罪於天」亞摩斯書蓋述
[00:00:12.000 --> 00:00:18.000]  好像很快我們來到課程的第五課
[00:00:18.000 --> 00:00:25.000]  上兩課我們都是用了中覽的方式
[00:00:25.000 --> 00:00:30.000]  一課我們看了摩西五經的其中四卷
[00:00:30.000 --> 00:00:34.000]  由將埃及記到生命記
[00:00:34.000 --> 00:00:38.000]  我們特別留意裡面的誡命、律例、典章
[00:00:38.000 --> 00:00:41.000]  這些所謂律法的部分
[00:00:41.000 --> 00:00:47.000]  上一課我們很快就看了四卷或者六卷
[00:00:47.000 --> 00:00:49.000]  我們通常稱為歷史書
[00:00:49.000 --> 00:00:57.000]  但是希伯來的聖經稱他們為先知書
[00:00:57.000 --> 00:01:01.000]  我們討論過先知的翻譯不是很恰當
[00:01:01.000 --> 00:01:04.000]  或者稱為信息
[00:01:04.000 --> 00:01:12.000]  上帝透過他的僕人使者對我們有什麼信息
[00:01:12.000 --> 00:01:15.000]  是要傳達、要我們明白的
[00:01:15.000 --> 00:01:20.000]  這一課和下一課我們就來到
[00:01:20.000 --> 00:01:26.000]  我們通常所熟悉的所謂先知書的部分
[00:01:26.000 --> 00:01:30.000]  在我們的中文聖經裡
[00:01:30.000 --> 00:01:35.000]  我們習慣稱呼他們為大小先知書
[00:01:35.000 --> 00:01:41.000]  大先知書就是以賽亞書、耶利米書
[00:01:41.000 --> 00:01:47.000]  耶利米、哀戈、以西傑書、但爾利書
[00:01:47.000 --> 00:01:52.000]  十二卷的小先知書不知道你背不背得出來
[00:01:52.000 --> 00:01:54.000]  如果用簡單的背法
[00:01:54.000 --> 00:01:58.000]  荷爾摩、俄蘭尼、紅俠、梵、蓋、阿瑪
[00:01:58.000 --> 00:02:00.000]  有一首歌唱的
[00:02:00.000 --> 00:02:03.000]  你找聖經就找得快一點
[00:02:03.000 --> 00:02:10.000]  加上十七卷的大小先知書
[00:02:10.000 --> 00:02:16.000]  其實翻譯上比我們覺得有些重要一點
[00:02:16.000 --> 00:02:18.000]  有些沒那麼重要
[00:02:18.000 --> 00:02:20.000]  大先知嘛
[00:02:20.000 --> 00:02:23.000]  當然不是指體重、身形
[00:02:23.000 --> 00:02:28.000]  重要性來說是大先知、小先知
[00:02:28.000 --> 00:02:37.000]  其實所謂大先知或者指他的篇幅比較長
[00:02:37.000 --> 00:02:40.000]  以賽亞書六十六章
[00:02:40.000 --> 00:02:43.000]  耶利米書五十二章
[00:02:43.000 --> 00:02:46.000]  這些是長的先知書
[00:02:46.000 --> 00:02:51.000]  相對之下小先知書好像比較短
[00:02:51.000 --> 00:02:55.000]  例如俄巴底亞書一章
[00:02:55.000 --> 00:03:01.000]  例如今天我們要看的阿摩斯書九章
[00:03:01.000 --> 00:03:08.000]  不過嚴格用篇幅的長短來分大小先知書
[00:03:08.000 --> 00:03:09.000]  其實都不是很準確
[00:03:09.000 --> 00:03:14.000]  因為耶利米哀歌是很薄的一卷書
[00:03:14.000 --> 00:03:16.000]  只有五章
[00:03:16.000 --> 00:03:20.000]  撒加利亞書十四章一定比他長
[00:03:20.000 --> 00:03:23.000]  其實這個所謂大小先知書
[00:03:23.000 --> 00:03:27.000]  我懷疑都是用來平衡我們當初說過
[00:03:27.000 --> 00:03:29.000]  五本摩西的律法書
[00:03:29.000 --> 00:03:32.000]  五本詩歌智慧書
[00:03:32.000 --> 00:03:35.000]  於是有五本所謂的大先知書
[00:03:35.000 --> 00:03:38.000]  其實哀歌就有點硬了
[00:03:38.000 --> 00:03:41.000]  希伯來的聖經如何分類呢?
[00:03:41.000 --> 00:03:46.000]  這部分他們稱為後先知書
[00:03:46.000 --> 00:03:50.000]  我比較喜歡的翻譯是信息的下冊
[00:03:50.000 --> 00:03:52.000]  上冊是歷史書
[00:03:52.000 --> 00:03:58.000]  四卷約書雅、士詩記、薩姆爾、列王紀
[00:03:58.000 --> 00:04:02.000]  後先知書或者下冊的信息
[00:04:02.000 --> 00:04:05.000]  這個Naviim的下半部分
[00:04:05.000 --> 00:04:09.000]  其實都是四卷的書
[00:04:09.000 --> 00:04:12.000]  以賽亞、耶利米、以西傑
[00:04:12.000 --> 00:04:16.000]  然後十二卷所謂小先知書
[00:04:16.000 --> 00:04:17.000]  合併本
[00:04:17.000 --> 00:04:24.000]  長短和前面那三卷不分上下
[00:04:24.000 --> 00:04:26.000]  大家都有差不多的長度
[00:04:26.000 --> 00:04:30.000]  所以哀歌就不入這部分了
[00:04:30.000 --> 00:04:33.000]  這個我們要留待再過幾課之後
[00:04:33.000 --> 00:04:36.000]  我們讀到著作的部分
[00:04:36.000 --> 00:04:38.000]  文學的部分我們再提
[00:04:38.000 --> 00:04:42.000]  但以理書我們很深愛的一卷
[00:04:42.000 --> 00:04:43.000]  關於主在內
[00:04:43.000 --> 00:04:46.000]  我們時時和啟示錄一起炒的書卷
[00:04:46.000 --> 00:04:48.000]  也不入這一部分
[00:04:48.000 --> 00:04:53.000]  但以理書既然時時和啟示錄相提並論
[00:04:53.000 --> 00:04:56.000]  可知道他們是相同的題材
[00:04:56.000 --> 00:04:59.000]  在聖經的研究上是別具一格
[00:04:59.000 --> 00:05:02.000]  我們要留待稍後再討論
[00:05:02.000 --> 00:05:09.000]  在討論這一類所謂先知書的時候
[00:05:09.000 --> 00:05:13.000]  我們必須先放下大小的分別
[00:05:13.000 --> 00:05:19.000]  不要以為他們有重要不重要之分
[00:05:19.000 --> 00:05:25.000]  其實如果用希伯來聖經的分卷
[00:05:25.000 --> 00:05:27.000]  這裡有十五位
[00:05:27.000 --> 00:05:29.000]  可能甚至多過十五位
[00:05:29.000 --> 00:05:31.000]  但以書卷來分
[00:05:31.000 --> 00:05:33.000]  十五卷
[00:05:33.000 --> 00:05:35.000]  神的僕人
[00:05:35.000 --> 00:05:37.000]  神的使者
[00:05:37.000 --> 00:05:40.000]  代表上帝講說話
[00:05:40.000 --> 00:05:45.000]  傳遞神的信息
[00:05:45.000 --> 00:05:52.000]  讓以色列選民知道明白神的心意
[00:05:52.000 --> 00:05:57.000]  我們看過歷史書是透過歷史的回顧
[00:05:57.000 --> 00:06:00.000]  來傳遞神的信息
[00:06:00.000 --> 00:06:06.000]  這十五卷所謂先知書的書卷
[00:06:06.000 --> 00:06:13.000]  又用什麼來傳遞上帝的信息的內容
[00:06:13.000 --> 00:06:20.000]  我們可以有一個選擇
[00:06:20.000 --> 00:06:26.000]  就是歸納這十五卷所謂先知書
[00:06:26.000 --> 00:06:33.000]  然後訂出一些大家都共同的話題內容
[00:06:33.000 --> 00:06:39.000]  來介紹這幾卷所謂先知書
[00:06:39.000 --> 00:06:44.000]  這樣的做法一定是比較籠統
[00:06:44.000 --> 00:06:51.000]  而且會將個別神的使者
[00:06:51.000 --> 00:06:53.000]  神的僕人
[00:06:53.000 --> 00:06:55.000]  或者用舊約的稱呼
[00:06:55.000 --> 00:06:57.000]  神人
[00:06:57.000 --> 00:06:59.000]  H Elohim
[00:06:59.000 --> 00:07:00.000]  神人
[00:07:00.000 --> 00:07:02.000]  這一班神所特別
