
[00:00:00.000 --> 00:00:05.040]  各位弟兄姊妹早晨
[00:00:05.040 --> 00:00:08.720]  沒有人說早晨的
[00:00:08.720 --> 00:00:11.840]  聽到了
[00:00:11.840 --> 00:00:14.800]  好感恩
[00:00:14.800 --> 00:00:17.840]  再一次和大家繼續講約翰一書
[00:00:17.840 --> 00:00:20.240]  今天是第三講
[00:00:20.240 --> 00:00:23.360]  今天這個題目叫愛的兒女不辱主名
[00:00:23.360 --> 00:00:26.240]  是二章二十九至三章十節
[00:00:26.240 --> 00:00:27.680]  我再提一提
[00:00:27.680 --> 00:00:29.440]  如果大家有聖經的話
[00:00:29.440 --> 00:00:31.440]  最好打開聖經
[00:00:31.440 --> 00:00:33.440]  如果有手機的話
[00:00:33.440 --> 00:00:35.440]  最好打開手機
[00:00:35.440 --> 00:00:37.440]  可以跟著看
[00:00:37.440 --> 00:00:39.440]  第一章和大家講的
[00:00:39.440 --> 00:00:41.440]  叫做愛的生活
[00:00:41.440 --> 00:00:45.440]  提到要以罪為罪
[00:00:45.440 --> 00:00:47.440]  要以罪為罪
[00:00:47.440 --> 00:00:51.440]  第二章和大家提到的
[00:00:51.440 --> 00:00:53.440]  就是愛的心智
[00:00:53.440 --> 00:00:55.440]  以神為神
[00:00:55.440 --> 00:00:57.440]  我想問一問
[00:00:57.440 --> 00:00:59.440]  有沒有辦法可以看到PPT
[00:00:59.440 --> 00:01:01.440]  看到了
[00:01:01.440 --> 00:01:03.440]  第一章
[00:01:03.440 --> 00:01:05.440]  第一章愛的生活
[00:01:05.440 --> 00:01:07.440]  愛的生活
[00:01:07.440 --> 00:01:09.440]  就是以罪為罪
[00:01:09.440 --> 00:01:11.440]  上一章
[00:01:11.440 --> 00:01:13.440]  提到
[00:01:13.440 --> 00:01:15.440]  三個認
[00:01:15.440 --> 00:01:17.440]  要對神對己
[00:01:17.440 --> 00:01:19.440]  對人認罪
[00:01:19.440 --> 00:01:21.440]  兩個不停講
[00:01:21.440 --> 00:01:23.440]  要告訴別人自己有什麼罪
[00:01:23.440 --> 00:01:25.440]  不停做
[00:01:25.440 --> 00:01:27.440]  不停做一些事
[00:01:27.440 --> 00:01:29.440]  幫助我們不要犯罪
[00:01:29.440 --> 00:01:31.440]  兩個定
[00:01:31.440 --> 00:01:33.440]  定時要見人
[00:01:33.440 --> 00:01:35.440]  定時要問人
[00:01:35.440 --> 00:01:37.440]  以致幫助我們離開罪
[00:01:37.440 --> 00:01:39.440]  兩個總
[00:01:39.440 --> 00:01:41.440]  總有一個人
[00:01:41.440 --> 00:01:43.440]  總有一些事
[00:01:43.440 --> 00:01:45.440]  可以改或者可以做
[00:01:45.440 --> 00:01:47.440]  第二和大家講
[00:01:47.440 --> 00:01:49.440]  愛的心智
[00:01:49.440 --> 00:01:51.440]  以神為神
[00:01:51.440 --> 00:01:53.440]  提到三個神
[00:01:53.440 --> 00:01:55.440]  安神
[00:01:55.440 --> 00:01:57.440]  靠神活出生命
[00:01:57.440 --> 00:01:59.440]  愛神而活在世上
[00:01:59.440 --> 00:02:01.440]  安神而活在主裡
[00:02:01.440 --> 00:02:03.440]  三個心
[00:02:03.440 --> 00:02:05.440]  就是要決心
[00:02:05.440 --> 00:02:07.440]  愛心 用心
[00:02:07.440 --> 00:02:09.440]  決心靠實
[00:02:09.440 --> 00:02:11.440]  愛心愛實
[00:02:11.440 --> 00:02:13.440]  用心安神
[00:02:13.440 --> 00:02:15.440]  今天講第三章
[00:02:15.440 --> 00:02:17.440]  愛的兒女
[00:02:17.440 --> 00:02:19.440]  不辱主名
[00:02:19.440 --> 00:02:21.440]  我先提一提
[00:02:21.440 --> 00:02:23.440]  大家信主到今天
[00:02:23.440 --> 00:02:25.440]  有很多都會聽過
[00:02:25.440 --> 00:02:27.440]  教會醜聞
[00:02:27.440 --> 00:02:29.440]  或者信徒失敗的見證
[00:02:29.440 --> 00:02:31.440]  我過去信主這麼多年
[00:02:31.440 --> 00:02:33.440]  都不是很多
[00:02:33.440 --> 00:02:35.440]  但不多不少
[00:02:35.440 --> 00:02:37.440]  陸陸續續都會聽到
[00:02:37.440 --> 00:02:39.440]  甚至每年都有
[00:02:39.440 --> 00:02:41.440]  都會聽到一些比較大的新聞
[00:02:41.440 --> 00:02:43.440]  有時在教會當中
[00:02:43.440 --> 00:02:45.440]  甚至在自己小組
[00:02:45.440 --> 00:02:47.440]  都會聽到
[00:02:47.440 --> 00:02:49.440]  有時在教會當中
[00:02:49.440 --> 00:02:51.440]  甚至在自己小組
[00:02:51.440 --> 00:02:53.440]  或者在自己團契
[00:02:53.440 --> 00:02:55.440]  或者在自己教會當中
[00:02:55.440 --> 00:02:57.440]  都聽到一些我們知道不好的事
[00:02:57.440 --> 00:02:59.440]  是不應該有的事
[00:02:59.440 --> 00:03:01.440]  有時當我聽到這些教會醜聞的時候
[00:03:01.440 --> 00:03:03.440]  或者信徒失敗的見證的時候
[00:03:03.440 --> 00:03:05.440]  我第一個反應是什麼呢?
[00:03:05.440 --> 00:03:07.440]  就是很羞決
[00:03:07.440 --> 00:03:09.440]  很難看
[00:03:09.440 --> 00:03:11.440]  我們一群基督徒
[00:03:11.440 --> 00:03:13.440]  我們稱為神的兒女
[00:03:13.440 --> 00:03:15.440]  稱為神的教會
[00:03:15.440 --> 00:03:17.440]  我們說有信仰的人
[00:03:17.440 --> 00:03:19.440]  居然會有這些醜聞
[00:03:19.440 --> 00:03:21.440]  居然會有這麼失敗的見證
[00:03:21.440 --> 00:03:23.440]  非常羞決
[00:03:23.440 --> 00:03:25.440]  但當我自己想到
[00:03:25.440 --> 00:03:27.440]  看到這些人
[00:03:27.440 --> 00:03:29.440]  想到這些人羞恥的時候
[00:03:29.440 --> 00:03:31.440]  我又想起自己都曾經很羞恥
[00:03:31.440 --> 00:03:33.440]  自己都曾經信主之後
[00:03:33.440 --> 00:03:35.440]  甚至到今天
[00:03:35.440 --> 00:03:37.440]  時不時都會犯錯
[00:03:37.440 --> 00:03:39.440]  都會犯罪
[00:03:39.440 --> 00:03:41.440]  都會做錯事
[00:03:41.440 --> 00:03:43.440]  有時當自己想起的時候
[00:03:43.440 --> 00:03:45.440]  我現在都有想起
[00:03:45.440 --> 00:03:47.440]  自己信主
[00:03:47.440 --> 00:03:49.440]  甚至想起今年
[00:03:49.440 --> 00:03:51.440]  做錯了
[00:03:51.440 --> 00:03:53.440]  做得很羞恥的事
[00:03:53.440 --> 00:03:55.440]  有時心中有愧
[00:03:55.440 --> 00:03:57.440]  有時人都會很憤怒
[00:03:57.440 --> 00:03:59.440]  為什麼我會這樣呢?
[00:03:59.440 --> 00:04:01.440]  為什麼我信了主
[00:04:01.440 --> 00:04:03.440]  我都會犯這些事
[00:04:03.440 --> 00:04:05.440]  我都會這麼無知
[00:04:05.440 --> 00:04:07.440]  甚至有時明知而犯錯呢?
[00:04:07.440 --> 00:04:09.440]  為什麼會犯錯?
[00:04:09.440 --> 00:04:11.440]  為什麼會犯罪?
[00:04:11.440 --> 00:04:13.440]  我同時會問自己
[00:04:13.440 --> 00:04:15.440]  為什麼可以不犯錯
[00:04:15.440 --> 00:04:17.440]  可以不犯罪?
[00:04:17.440 --> 00:04:19.440]  因為我真的不想收家
[00:04:19.440 --> 00:04:23.440]  《若行一書》二章二十九節到三章十節
[00:04:23.440 --> 00:04:25.440]  你看聖經裏面
[00:04:25.440 --> 00:04:27.440]  其實你看到
[00:04:27.440 --> 00:04:29.440]  我是特意由二十九節開始
[00:04:29.440 --> 00:04:31.440]  不是由三十一節開始
[00:04:31.440 --> 00:04:33.440]  分開有兩段
[00:04:33.440 --> 00:04:35.440]  其實在《若行一書》裏面有三段難解的經文
[00:04:35.440 --> 00:04:37.440]  在這段聖經裏面
[00:04:37.440 --> 00:04:39.440]  就有其中一段難解的
[00:04:39.440 --> 00:04:41.440]  就是後面說到
[00:04:41.440 --> 00:04:43.440]  主的就不犯罪
[00:04:43.440 --> 00:04:45.440]  但事實又不是
[00:04:45.440 --> 00:04:47.440]  所以要解釋這段經文
[00:04:47.440 --> 00:04:49.440]  為什麼我們會犯罪
