
[00:00:00.000 --> 00:00:05.600]  第一次會上星期我們沒有查經
[00:00:05.600 --> 00:00:10.000]  但是我就將馬太福音第24和第25章
[00:00:10.000 --> 00:00:13.600]  我以前做的功課給過大家
[00:00:13.600 --> 00:00:18.000]  希望大家有機會去看過一次
[00:00:18.000 --> 00:00:21.000]  也真的思想一下
[00:00:21.000 --> 00:00:24.000]  因為馬太福音24和25章
[00:00:24.000 --> 00:00:27.600]  是我們要明白將來發生的事
[00:00:27.600 --> 00:00:30.600]  我們一定要明白這兩章聖經
[00:00:30.600 --> 00:00:35.600]  這兩章聖經是主耶穌親口來說關於末世的
[00:00:35.600 --> 00:00:41.600]  可以說一邊是將舊約特別是《但義理書》拉著
[00:00:41.600 --> 00:00:46.600]  另外一邊當然是拉著我們現在查的啟示錄
[00:00:46.600 --> 00:00:48.600]  所以是很重要的
[00:00:48.600 --> 00:00:53.600]  我對這兩章聖經的看法就寫了出來
[00:00:53.600 --> 00:00:58.600]  當然聖經有很多不同的解讀
[00:00:58.600 --> 00:01:03.600]  我只是將我的意見提出來
[00:01:03.600 --> 00:01:07.600]  不是說我一定是對的
[00:01:07.600 --> 00:01:13.600]  有其他的解經家、神的僕人、有其他的解釋
[00:01:13.600 --> 00:01:16.600]  我都會參考、會接納的
[00:01:16.600 --> 00:01:22.600]  譬如我給大家看的我和吳牧師的意見不是完全同的
[00:01:22.600 --> 00:01:24.600]  雖然我們很多是相同的
[00:01:24.600 --> 00:01:27.600]  但也有一些看法是不同的
[00:01:27.600 --> 00:01:29.600]  我都將它擺了出來
[00:01:29.600 --> 00:01:31.600]  大家可以自己思想一下
[00:01:31.600 --> 00:01:36.600]  看看哪一樣比較正確
[00:01:36.600 --> 00:01:38.600]  我想用幾分鐘的時間
[00:01:38.600 --> 00:01:45.600]  我們很快的來講一下馬太福音第24和25章
[00:01:45.600 --> 00:01:49.600]  這是耶穌在最後的星期
[00:01:49.600 --> 00:01:51.600]  應該是星期三
[00:01:51.600 --> 00:01:57.600]  祂早上和下午在聖殿整日的講道
[00:01:57.600 --> 00:02:00.600]  那是祂最後一次公開的講道
[00:02:00.600 --> 00:02:02.600]  然後埃曼的時候
[00:02:02.600 --> 00:02:06.600]  祂過來東面的橄欖山坐著
[00:02:06.600 --> 00:02:11.600]  有門徒對著對面的聖殿山
[00:02:11.600 --> 00:02:15.600]  夕陽的光輝之下
[00:02:15.600 --> 00:02:19.600]  外面希律王替他們鋪了金
[00:02:19.600 --> 00:02:21.600]  所以就金碧輝煌的聖殿
[00:02:21.600 --> 00:02:26.600]  門徒說:父子你看看這個聖殿多麼的金碧輝煌
[00:02:26.600 --> 00:02:30.600]  但耶穌就在那裡發出了一個驚人的預言
[00:02:30.600 --> 00:02:35.600]  就是在馬太福音第24章
[00:02:35.600 --> 00:02:39.600]  祂說:你們看這個電影
[00:02:39.600 --> 00:02:40.600]  我實在告訴你
[00:02:40.600 --> 00:02:46.600]  將來在這裡沒有一塊石頭會留在石頭上不被拆毀
[00:02:46.600 --> 00:02:52.600]  這個預言就在祂離開之後的幾十年
[00:02:52.600 --> 00:02:56.600]  主後七十年就應驗了
[00:02:56.600 --> 00:02:59.600]  但門徒就跟著問兩個問題
[00:02:59.600 --> 00:03:02.600]  門徒問的問題第一個就是說
[00:03:02.600 --> 00:03:06.600]  耶穌你說聖殿的石頭一塊不會在石頭上
[00:03:06.600 --> 00:03:08.600]  這些是何時發生的呢?
[00:03:08.600 --> 00:03:10.600]  耶穌沒有回答
[00:03:10.600 --> 00:03:14.600]  主後七十年耶穌沒有說
[00:03:14.600 --> 00:03:16.600]  但祂問第二個問題
[00:03:16.600 --> 00:03:20.600]  就是你回來之前有什麼預兆呢?
[00:03:20.600 --> 00:03:26.600]  耶穌就用兩張經文來講解給他們聽
[00:03:26.600 --> 00:03:34.600]  我覺得耶穌這裡的對象當然是那幫門徒就是猶太人
[00:03:34.600 --> 00:03:37.600]  但其實我覺得整個大災難
[00:03:37.600 --> 00:03:39.600]  我們過去用了幾個星期的時間
[00:03:39.600 --> 00:03:42.600]  大災難都是為了猶太人
[00:03:42.600 --> 00:03:44.600]  整個都是猶太人
[00:03:44.600 --> 00:03:48.600]  所以我們教會不要將
[00:03:48.600 --> 00:03:50.600]  尤其是25章那裡的五個比喻
[00:03:50.600 --> 00:03:52.600]  用在教會身上
[00:03:52.600 --> 00:03:56.600]  如果我們相信是災前被提
[00:03:56.600 --> 00:03:59.600]  教會根本就不在這個大災難裡面
[00:03:59.600 --> 00:04:05.600]  我也提議為了明白耶穌所說的
[00:04:05.600 --> 00:04:08.600]  耶穌是按著時間來說
[00:04:08.600 --> 00:04:10.600]  向前向前向前
[00:04:10.600 --> 00:04:13.600]  所以他說那時那時那時
[00:04:13.600 --> 00:04:16.600]  就是那個時間向前推了
[00:04:16.600 --> 00:04:20.600]  這個時間我旁邊寫了很多筆記在這裡
[00:04:20.600 --> 00:04:24.600]  你會看到和約翰後來看到的異象
[00:04:24.600 --> 00:04:28.600]  整個末世的時間的推演是吻合的
[00:04:28.600 --> 00:04:33.600]  也就是說耶穌在這裡說將來會發生的事
[00:04:33.600 --> 00:04:37.600]  他是按著時間性說出來的
[00:04:37.600 --> 00:04:40.600]  所以大家注意那個那時那時那時
[00:04:40.600 --> 00:04:43.600]  為了更加容易明白
[00:04:43.600 --> 00:04:47.600]  我就提議在第31節那裡
[00:04:47.600 --> 00:04:50.600]  不是cut了它
[00:04:50.600 --> 00:04:55.600]  而是將24章31節和25章31節摺起來
[00:04:55.600 --> 00:04:59.600]  將中間的五個比喻拿出來
[00:04:59.600 --> 00:05:02.600]  另外來考慮
[00:05:02.600 --> 00:05:05.600]  但時間上的銜接
[00:05:05.600 --> 00:05:07.600]  如果你這樣做的時候
[00:05:07.600 --> 00:05:10.600]  尤其是原文那裡有25章
[00:05:10.600 --> 00:05:12.600]  第32節啊
[00:05:12.600 --> 00:05:14.600]  第34節啊
[00:05:14.600 --> 00:05:17.600]  下面那裡都有那時那時那時的
[00:05:17.600 --> 00:05:20.600]  我知道和合本沒有翻譯出來
[00:05:20.600 --> 00:05:22.600]  但其實那個那時那時那時
[00:05:22.600 --> 00:05:25.600]  是和24章那裡那時那時是一樣的
[00:05:25.600 --> 00:05:28.600]  也就是說耶穌說完那五個比喻之後
[00:05:28.600 --> 00:05:31.600]  就繼續摺著說下去的
[00:05:31.600 --> 00:05:33.600]  你將它摺起來
[00:05:33.600 --> 00:05:36.600]  你就容易一點來明白了
[00:05:36.600 --> 00:05:40.600]  大家看我左手邊那裡
[00:05:40.600 --> 00:05:43.600]  在第4節到第8節的時候
[00:05:43.600 --> 00:05:48.600]  我就說那裡耶穌是說教會時代的末期是怎麼樣的
[00:05:48.600 --> 00:05:51.600]  就是我們現在處於的時代
[00:05:51.600 --> 00:05:56.600]  大家可以看到耶穌說的要打仗
[00:05:56.600 --> 00:05:58.600]  打仗的風聲啊
[00:05:58.600 --> 00:05:59.600]  民要攻打民啊
[00:05:59.600 --> 00:06:01.600]  國要攻打國啊那些
[00:06:01.600 --> 00:06:04.600]  現在已經是正在發生的了
[00:06:04.600 --> 00:06:08.600]  第7節說多處必有饑荒地震
[00:06:08.600 --> 00:06:13.600]  但路加福音第21章路加也記載了
[00:06:13.600 --> 00:06:16.600]  沒有馬太記載得那麼詳細
[00:06:16.600 --> 00:06:19.600]  路加福音21章都是記載耶穌這個
[00:06:19.600 --> 00:06:21.600]  鑒嵐山上的講話
[00:06:21.600 --> 00:06:24.600]  那裡路加是加上耶穌說有兩個字
[00:06:24.600 --> 00:06:26.600]  我們今天都會很明白的
[00:06:26.600 --> 00:06:29.600]  就是瘟疫啊瘟疫啊
[00:06:29.600 --> 00:06:34.600]  所以其實耶穌是說多處必有饑荒地震和瘟疫
[00:06:34.600 --> 00:06:36.600]  但這個還是教會時代
[00:06:36.600 --> 00:06:39.600]  我們現在還沒有在大災難裡面
[00:06:39.600 --> 00:06:41.600]  這個是末期還沒有來到的
[00:06:41.600 --> 00:06:43.600]  第9節開始了
[00:06:43.600 --> 00:06:45.600]  第9節開始那個那時
[00:06:45.600 --> 00:06:48.600]  就應該是開始這個七年的大災難了
[00:06:48.600 --> 00:06:50.600]  信徒要受到逼迫啊
[00:06:50.600 --> 00:06:53.600]  有很多人跌倒啊彼此陷害啊那些
[00:06:53.600 --> 00:06:57.600]  是地上開始有對信徒的逼迫
[00:06:57.600 --> 00:07:00.600]  這些信徒如果教會被提了
[00:07:00.600 --> 00:07:02.600]  那這些就是在大災難裡面
[00:07:02.600 --> 00:07:05.600]  信主的要受很多的逼迫了
[00:07:05.600 --> 00:07:08.600]  那你會問耶穌為什麼在這裡不說
