
[00:00:00.000 --> 00:00:08.000]  今天和大家思考剛才那段經文
[00:00:08.000 --> 00:00:12.000]  黃大兄帶領我們讀出來
[00:00:12.000 --> 00:00:15.000]  我給他一個題目叫做「發現」
[00:00:15.000 --> 00:00:17.000]  「預備發現」
[00:00:17.000 --> 00:00:25.000]  會和大家思考一個觀念
[00:00:25.000 --> 00:00:31.000]  是紀念在經文中出現的一些領袖
[00:00:31.000 --> 00:00:36.000]  主要是讓經文向大家說話
[00:00:36.000 --> 00:00:40.000]  讀的時候也會各有領袖和大家分享
[00:00:40.000 --> 00:00:46.000]  還有藉著經文自己反思的時候有提醒
[00:00:46.000 --> 00:00:49.000]  經文剛才大家讀過了
[00:00:49.000 --> 00:00:55.000]  我給一些顏色和焦點的字眼
[00:00:55.000 --> 00:00:58.000]  紅色字是試探試探試探
[00:00:58.000 --> 00:01:01.000]  第十二節開始引受試探的人有福
[00:01:01.000 --> 00:01:05.000]  十三十四節是連續四五個試探
[00:01:05.000 --> 00:01:07.000]  人被試探
[00:01:07.000 --> 00:01:09.000]  不可以說我是被上帝試探
[00:01:09.000 --> 00:01:11.000]  因為他不能被惡試探
[00:01:11.000 --> 00:01:12.000]  他也不試探人
[00:01:12.000 --> 00:01:15.000]  第十四節還有一個試探
[00:01:15.000 --> 00:01:20.000]  人被試探是被自己的私欲牽引誘惑
[00:01:20.000 --> 00:01:23.000]  有一個藍色的字叫做試驗
[00:01:23.000 --> 00:01:26.000]  為什麼紅色有藍色對比呢?
[00:01:26.000 --> 00:01:30.000]  因為紅色字的背後原來的文字
[00:01:30.000 --> 00:01:32.000]  新約是用希臘文寫的
[00:01:32.000 --> 00:01:34.000]  都是同一個字來的
[00:01:34.000 --> 00:01:36.000]  所以我用紅色代表著
[00:01:36.000 --> 00:01:39.000]  藍色字其實是另外一個字
[00:01:39.000 --> 00:01:45.000]  所以驗試探起碼在翻譯上作出區別也對
[00:01:45.000 --> 00:01:48.000]  因為背後是不同的字眼
[00:01:48.000 --> 00:01:50.000]  不過話說回來
[00:01:50.000 --> 00:01:52.000]  雖然紅色字背後是同一個字
[00:01:52.000 --> 00:01:54.000]  所以和合本
[00:01:54.000 --> 00:01:55.000]  這是舊和合本
[00:01:55.000 --> 00:01:57.000]  也用了同一個字來翻譯
[00:01:57.000 --> 00:01:58.000]  但是和修版
[00:01:58.000 --> 00:02:00.000]  即是新的和合本
[00:02:00.000 --> 00:02:02.000]  在第十三節開始
[00:02:02.000 --> 00:02:04.000]  就用了另外一個字來翻譯
[00:02:04.000 --> 00:02:07.000]  很特別地用了誘惑
[00:02:07.000 --> 00:02:12.000]  因為和修版的現代的譯者
[00:02:12.000 --> 00:02:14.000]  發覺由第十三節開始
[00:02:14.000 --> 00:02:16.000]  還是用試探不妥
[00:02:16.000 --> 00:02:18.000]  他就說人被誘惑
[00:02:18.000 --> 00:02:20.000]  其實他第十二節也改了
[00:02:20.000 --> 00:02:21.000]  好像我沒有記錯
[00:02:21.000 --> 00:02:23.000]  忍受試煉的人士
[00:02:23.000 --> 00:02:25.000]  他用了試煉
[00:02:25.000 --> 00:02:27.000]  十三節開始
[00:02:27.000 --> 00:02:29.000]  負面一點的
[00:02:29.000 --> 00:02:30.000]  人被誘惑
[00:02:30.000 --> 00:02:32.000]  不可說我是被上帝誘惑
[00:02:32.000 --> 00:02:33.000]  因為他又不能用
[00:02:33.000 --> 00:02:36.000]  他覺得和修版的譯者
[00:02:36.000 --> 00:02:38.000]  我們也會知道他是誰
[00:02:38.000 --> 00:02:40.000]  甚至認識
[00:02:40.000 --> 00:02:42.000]  因為是現代的
[00:02:42.000 --> 00:02:44.000]  香港部分學者是香港人
[00:02:44.000 --> 00:02:46.000]  人被誘惑
[00:02:46.000 --> 00:02:48.000]  不可說是被上帝誘惑
[00:02:48.000 --> 00:02:51.000]  因為上帝不能被惡所誘惑
[00:02:51.000 --> 00:02:53.000]  他也不誘惑人
[00:02:53.000 --> 00:02:55.000]  但人被誘惑
[00:02:55.000 --> 00:02:57.000]  是被自己的私慾牽引誘惑
[00:02:57.000 --> 00:02:59.000]  後面的牽引誘惑
[00:02:59.000 --> 00:03:01.000]  其實和前面紅色字
[00:03:01.000 --> 00:03:04.000]  原先試探的字是不一樣的
[00:03:04.000 --> 00:03:08.000]  基本上和修版的譯者也覺得
[00:03:08.000 --> 00:03:09.000]  第十二節裡
[00:03:09.000 --> 00:03:12.000]  就算第十三十四節裡所用的紅字
[00:03:12.000 --> 00:03:14.000]  和第十二節一樣
[00:03:14.000 --> 00:03:16.000]  十三十四節也應該用不同的翻譯
[00:03:16.000 --> 00:03:17.000]  和修版就不同
[00:03:17.000 --> 00:03:19.000]  同一個字就同一個翻譯
[00:03:19.000 --> 00:03:23.000]  我自己讀的時候
[00:03:23.000 --> 00:03:26.000]  一直思考著一個問題
[00:03:26.000 --> 00:03:30.000]  就是試探和試煉的區別
[00:03:30.000 --> 00:03:34.000]  如果大家的成長經驗
[00:03:34.000 --> 00:03:37.000]  在教會學習和我差不多
[00:03:37.000 --> 00:03:39.000]  從小到大教導就是
[00:03:39.000 --> 00:03:42.000]  試探是來自哪裡的
[00:03:42.000 --> 00:03:44.000]  撒旦魔鬼
[00:03:44.000 --> 00:03:46.000]  目的是為了什麼
[00:03:46.000 --> 00:03:50.000]  就是來自壞的來源
