
[00:00:00.000 --> 00:00:09.400]  今天我們會再次回到約爾書最初的部分
[00:00:09.400 --> 00:00:11.400]  一起思想一個題目
[00:00:11.400 --> 00:00:16.200]  當遇見天災時,我們當想起的事
[00:00:16.200 --> 00:00:22.800]  讓我們能夠透過今天約爾書第一章第二節至第四節的部分
[00:00:22.800 --> 00:00:28.680]  一起去準確了解到我們今天所處身的這個世界
[00:00:28.680 --> 00:00:31.200]  我們在一個什麼光景裡面
[00:00:31.200 --> 00:00:36.520]  而在這個世界當中我們應該怎樣去面對
[00:00:36.520 --> 00:00:40.080]  讓我們首先去聽神的導議
[00:00:40.080 --> 00:00:42.840]  先熟悉一下這段經文
[00:00:42.840 --> 00:00:48.000]  約爾書第一章第二節至第四節
[00:00:48.000 --> 00:00:51.320]  老人啊!當聽我的話
[00:00:51.320 --> 00:00:55.440]  國中的居民啊都要則以而聽
[00:00:55.440 --> 00:01:00.560]  在你們的日子或你們列祖的日子
[00:01:00.560 --> 00:01:02.760]  曾有這樣的事嗎?
[00:01:02.760 --> 00:01:05.960]  你們要將這事傳於子
[00:01:05.960 --> 00:01:07.960]  子傳於孫
[00:01:07.960 --> 00:01:10.240]  孫傳於後代
[00:01:10.240 --> 00:01:13.960]  子從靖下的王從來吃
[00:01:13.960 --> 00:01:17.840]  王從靖下的男子來吃
[00:01:17.840 --> 00:01:22.880]  男子靖下的馬來吃
[00:01:22.880 --> 00:01:26.320]  天災很多時候都會發生的
[00:01:26.320 --> 00:01:30.360]  來到我們今天這個21世紀
[00:01:30.360 --> 00:01:34.080]  以科技為主導的這個世界當中
[00:01:34.080 --> 00:01:36.880]  我們成為這個世界的一份子
[00:01:36.880 --> 00:01:40.880]  我們應該怎樣去理解天災
[00:01:40.880 --> 00:01:46.080]  和天災出現的時候我們也應該怎樣去面對呢?
[00:01:46.080 --> 00:01:51.200]  我們是不是著重怎樣去找一些什麼科技
[00:01:51.200 --> 00:01:54.800]  能夠幫助我們去將這些天災擊退
[00:01:54.800 --> 00:01:58.400]  還是我們又說利用人的意志
[00:01:58.400 --> 00:02:03.200]  人的手段特別是政治上的手段
[00:02:03.200 --> 00:02:08.200]  去阻止天災為我們帶來更大的破壞呢?
[00:02:08.200 --> 00:02:12.880]  自從在2020年就是去年的時間
[00:02:12.880 --> 00:02:15.960]  三月左右的春天時間
[00:02:15.960 --> 00:02:19.000]  直至現在大家大英姐妹都會留意到
[00:02:19.000 --> 00:02:23.160]  我一直都沒有和大家去真的很詳細去說一下
[00:02:23.160 --> 00:02:29.560]  有關於這個新冠狀病毒肺炎COVID-19
[00:02:29.560 --> 00:02:35.040]  或者應該簡單的來說就是這個武漢肺炎
[00:02:35.040 --> 00:02:38.760]  這個這樣的病究竟對於我們來講
[00:02:38.760 --> 00:02:40.440]  我們應該怎樣應對
[00:02:40.440 --> 00:02:43.800]  很多大英姐妹都沒有直接的聽到我去
[00:02:43.800 --> 00:02:47.080]  很詳細的為了這件事去禱告
[00:02:47.080 --> 00:02:49.240]  或者是為了這件事
[00:02:49.240 --> 00:02:52.080]  究竟我們的應對應該是怎樣
[00:02:52.080 --> 00:02:56.440]  因為其實我一直都在等待一個適合的時間
[00:02:56.440 --> 00:03:00.840]  禱告、祈求上帝給我一個準確的時候
[00:03:00.840 --> 00:03:04.440]  可以將這個課題能夠更全面
[00:03:04.440 --> 00:03:09.280]  也更仔細的去幫助弟兄姐妹明白
[00:03:09.280 --> 00:03:11.040]  來到今天
[00:03:11.040 --> 00:03:14.320]  終於我可以有這樣的適合的時間
[00:03:14.320 --> 00:03:18.480]  上帝打開了約爾書這個部分
[00:03:18.480 --> 00:03:23.400]  讓我們去真正的悉悉地去面對一次
[00:03:23.400 --> 00:03:26.480]  我們來到這些天災的時候
[00:03:26.480 --> 00:03:28.800]  一個這麼嚴肅的問題
[00:03:28.800 --> 00:03:31.600]  我們應該怎樣去面對
[00:03:31.600 --> 00:03:35.760]  今天當我們去打開約爾書的時候
[00:03:35.760 --> 00:03:39.720]  我們就會馬上會看到天災的發生
[00:03:39.720 --> 00:03:47.720]  也可以說是先知約爾去伸述給當時的猶太人
[00:03:47.720 --> 00:03:49.280]  他們明白到
[00:03:49.280 --> 00:03:54.720]  他們將會面對一連串的這些天災的事情
[00:03:54.720 --> 00:03:56.520]  或者其實記載的時候
[00:03:56.520 --> 00:04:00.920]  可能這些事件已經在頻頻的發生了
[00:04:00.920 --> 00:04:04.360]  究竟他們怎樣去處理呢?
[00:04:04.360 --> 00:04:07.440]  是不是真的好像今天的人那樣說
[00:04:07.440 --> 00:04:11.040]  看人有什麼能力用科技
[00:04:11.040 --> 00:04:17.000]  或者甚至去發明一些我們所謂疫苗等等的
[00:04:17.000 --> 00:04:18.840]  這些應對方式
[00:04:18.840 --> 00:04:23.520]  我們就能夠將這些天災人禍
[00:04:23.520 --> 00:04:26.640]  可以減到最低的傷亡
[00:04:26.640 --> 00:04:32.360]  或者甚至我們可以將這些天災能夠去擊退呢?
[00:04:32.360 --> 00:04:36.920]  首先第一件我想和大家一起去明白一件事
[00:04:36.920 --> 00:04:39.040]  所謂天災
[00:04:39.040 --> 00:04:45.640]  其實很多時候是人需要負很大的責任的
[00:04:45.640 --> 00:04:48.920]  很多時候有些人
[00:04:48.920 --> 00:04:52.520]  當他們去面對一些問題的時候
[00:04:52.520 --> 00:04:56.200]  他平時就會覺得自己天下無敵的
[00:04:56.200 --> 00:04:58.000]  但是當一出了事的時候
[00:04:58.000 --> 00:04:59.520]  他就賴天賴地
[00:04:59.520 --> 00:05:02.280]  譬如很簡單的一個現象
[00:05:02.280 --> 00:05:07.800]  就是譬如有些人是明知那個地方是很危險的
[00:05:07.800 --> 00:05:10.880]  譬如有一個例子就是說
[00:05:10.880 --> 00:05:17.200]  有一些地方根本是不適合建造一些高樓大廈的
[00:05:17.200 --> 00:05:23.600]  那些地方是由淤泥所組成的一些土壤
[00:05:23.600 --> 00:05:27.680]  其實我自己以前是讀地理學的
[00:05:27.680 --> 00:05:29.480]  對這方面也很有興趣
[00:05:29.480 --> 00:05:37.360]  我經常去研究有關於很多建築、結構、地質等等這些題目的
[00:05:37.360 --> 00:05:42.800]  我曾經看過好幾條的這些紀錄片
[00:05:42.800 --> 00:05:46.720]  或者一些我們稱之為紀錄片
