
[00:00:00.000 --> 00:00:05.400]  各位電影姐妹 各位朋友 你們好
[00:00:05.400 --> 00:00:09.600]  歡迎大家參加我們三韓市博導會網上的五堂崇拜
[00:00:09.600 --> 00:00:12.600]  我們今天繼續思想希伯來書的信息
[00:00:12.600 --> 00:00:17.800]  我們去到希伯來書第十一章32至35節
[00:00:17.800 --> 00:00:19.800]  誰是英雄?
[00:00:19.800 --> 00:00:23.600]  在思想這段聖經之前 請你同心低頭
[00:00:23.600 --> 00:00:27.800]  我們同道告 慈悲人一天 我們滿心感謝你
[00:00:27.800 --> 00:00:32.200]  多謝你 因為我們知道我們是軟弱的一群
[00:00:32.200 --> 00:00:36.100]  但是很多時候我們藉著我們的軟弱
[00:00:36.100 --> 00:00:38.100]  我們就看到神的大能
[00:00:38.100 --> 00:00:41.600]  就叫我們能夠完全倚靠你 相信你
[00:00:41.600 --> 00:00:47.100]  求你藉著你的話語去提醒 怨勉 教導 安慰 督責 鼓勵我們
[00:00:47.100 --> 00:00:51.600]  我們這樣祈禱 乃是奉耶穌基督名求 阿們
[00:00:51.600 --> 00:00:57.400]  我記得在中學的時候 我們讀過蘇軾
[00:00:57.400 --> 00:01:05.400]  的一首詞 叫做「念牢驕 赤壁懷古」
[00:01:05.400 --> 00:01:08.400]  那首詞是這樣說的
[00:01:08.400 --> 00:01:11.400]  大江東去 浪途盡
[00:01:11.400 --> 00:01:15.400]  千古風流人物 故裡西邊人道事
[00:01:15.400 --> 00:01:19.400]  三角舟浪赤壁 亂石崩雲
[00:01:19.400 --> 00:01:23.400]  驚濤烈焰 捲起千對船
[00:01:23.400 --> 00:01:28.400]  江山如畫 一時多少豪傑
[00:01:28.400 --> 00:01:32.400]  遙想恭敬當年 小橋初駕了
[00:01:32.400 --> 00:01:36.400]  洪之英法 雨扇關近
[00:01:36.400 --> 00:01:39.400]  談笑間 強弩灰飛煙滅
[00:01:39.400 --> 00:01:43.400]  護國神佑 多情應笑我
[00:01:43.400 --> 00:01:47.400]  早生華發 人生如夢
[00:01:47.400 --> 00:01:50.400]  日盡還掠江源
[00:01:50.400 --> 00:01:56.400]  蘇軾的「念牢驕 赤壁懷古」
[00:01:56.400 --> 00:02:00.400]  比起吳宇森導演赤壁的主題曲
[00:02:00.400 --> 00:02:03.400]  叫做「大江東去」 李卓漢的填詞
[00:02:03.400 --> 00:02:06.400]  幸好有幾十倍之多
[00:02:06.400 --> 00:02:11.400]  在赤壁的宣傳裏面 有一句非常有趣的
[00:02:11.400 --> 00:02:15.400]  有句怎樣說呢? 英雄有夢 千古一戰
[00:02:15.400 --> 00:02:18.400]  在蘇軾這首詞裏面
[00:02:18.400 --> 00:02:21.400]  英雄和幻滅混在一起
[00:02:21.400 --> 00:02:26.400]  來得非常自然 很瀟灑
[00:02:26.400 --> 00:02:29.400]  我們不禁會問 誰是英雄?
[00:02:29.400 --> 00:02:33.400]  是那個英姿瀟灑 睿智不凡
[00:02:33.400 --> 00:02:38.400]  頭戴羽巾 從容搖一搖雨扇
[00:02:38.400 --> 00:02:41.400]  在一片談笑聲中指揮水軍
[00:02:41.400 --> 00:02:48.400]  將曹軍一萬手軍艦燒為灰燼的鷲魚
[00:02:48.400 --> 00:02:52.400]  抑或那個神奇妙算 料事如神
[00:02:52.400 --> 00:02:55.400]  借東風的諸葛亮
[00:02:55.400 --> 00:02:59.400]  但對蘇軾來說 這些所謂英雄
[00:02:59.400 --> 00:03:02.400]  都是長江滾滾大水東流
[00:03:02.400 --> 00:03:05.400]  一去而逝 消失在影中
[00:03:05.400 --> 00:03:09.400]  亂石崩雲 捲起千堆船
[00:03:09.400 --> 00:03:13.400]  江山如畫 一時多小好見
[00:03:13.400 --> 00:03:16.400]  其實所謂英雄都是一片雲霧
[00:03:16.400 --> 00:03:19.400]  出現小時就不見了
[00:03:19.400 --> 00:03:25.400]  說到英雄 我就不期然想到周潤發所主演的英雄本色
[00:03:25.400 --> 00:03:28.400]  很多年前周潤發還是年青
[00:03:28.400 --> 00:03:34.400]  他所飾演的Mark哥成為當時成千上萬青少年的偶像
[00:03:34.400 --> 00:03:38.400]  他的造型很酷 再加上戴上墨鏡
[00:03:38.400 --> 00:03:41.400]  真的成為英雄的標誌
[00:03:41.400 --> 00:03:44.400]  究竟英雄有什麼特色呢?
[00:03:44.400 --> 00:03:47.400]  在這部電影中 麥當雄導演提到
[00:03:47.400 --> 00:03:51.400]  狄隆這個黑社會頭頭 弟弟當警察
[00:03:51.400 --> 00:03:54.400]  而他自己也厭倦了這種生活
[00:03:54.400 --> 00:03:58.400]  最後一次在台灣交易後就告收散
[00:03:58.400 --> 00:04:01.400]  誰知臨尾鄉有內奸被出賣
[00:04:01.400 --> 00:04:05.400]  結果要坐牢 馬哥竟然逃出
[00:04:05.400 --> 00:04:11.400]  一個講義氣的人 要替他老友兼大哥報仇
[00:04:11.400 --> 00:04:14.400]  雖然受盡凌辱 甚至被打斃
[00:04:14.400 --> 00:04:16.400]  但絕對不會失去那種義氣
[00:04:16.400 --> 00:04:19.400]  結果時機到了 在碼頭決鬥
[00:04:19.400 --> 00:04:21.400]  最後Mark哥壯烈犧牲
[00:04:21.400 --> 00:04:25.400]  為了義氣 為了報仇 為了弟兄去壯烈犧牲
[00:04:25.400 --> 00:04:28.400]  這不就是英雄本色嗎?
[00:04:28.400 --> 00:04:33.400]  在這部電影除了帶給你一幕一幕血腥腥的暴力場面之外
[00:04:33.400 --> 00:04:37.400]  你不禁會問 Mark哥真的是英雄嗎?
[00:04:37.400 --> 00:04:41.400]  在今天不少人都崇拜像Mark哥那樣的英雄
[00:04:41.400 --> 00:04:45.400]  因為他夠義氣 為了兄弟 為了手足之情
[00:04:45.400 --> 00:04:49.400]  江湖道義 不惜犧牲一切 甚至自己寶貴的生命
[00:04:49.400 --> 00:04:56.400]  其實很多中國的香港的武俠小說都是這個主題
[00:04:56.400 --> 00:05:00.400]  所謂英雄 匠孽多出屠九輩
[00:05:00.400 --> 00:05:03.400]  還有他的造型 如果我想想
