
[00:00:00.000 --> 00:00:05.000]  接下來這個星期五就是我們的壽苦節
[00:00:05.000 --> 00:00:10.000]  今天我想跟大家一起思想十字架的道理
[00:00:10.000 --> 00:00:16.000]  我們今天講到的大綱會在我們的第三和第四頁
[00:00:16.000 --> 00:00:19.000]  大家可以打開 如果手裡有聖經的話
[00:00:19.000 --> 00:00:23.000]  也請你拿著 因為我們除了剛才讀那幾節聖經之外
[00:00:23.000 --> 00:00:25.000]  我們可能會讀多幾節的聖經
[00:00:25.000 --> 00:00:28.000]  那你可以一起翻開
[00:00:28.000 --> 00:00:40.000]  今天我想跟大家一起思想十字架的道理的主題是軟弱
[00:00:40.000 --> 00:00:43.000]  軟弱是沒有人喜歡的
[00:00:43.000 --> 00:00:48.000]  軟弱是我們人性裡面所排斥的
[00:00:48.000 --> 00:00:52.000]  但偏偏在我們基督教的信仰裡面
[00:00:52.000 --> 00:00:54.000]  我們就要誇軟弱
[00:00:54.000 --> 00:00:58.000]  剛才我們所讀的聖經裡面 聖經說保羅說
[00:00:58.000 --> 00:01:00.000]  我喜歡誇我的軟弱
[00:01:00.000 --> 00:01:04.000]  我什麼時候軟弱 我就覺得歡喜
[00:01:04.000 --> 00:01:08.000]  因為我什麼時候軟弱 我就什麼時候剛強
[00:01:08.000 --> 00:01:13.000]  如果你深刻的想這幾句話 你會發覺是很荒謬的
[00:01:13.000 --> 00:01:16.000]  這幾句話是將我們的人性剛剛相反
[00:01:16.000 --> 00:01:18.000]  有誰喜歡軟弱呢?
[00:01:18.000 --> 00:01:23.000]  為什麼我們基督教經常強調十字架的軟弱
[00:01:23.000 --> 00:01:29.000]  甚至我們看到聖經說要誇口這個軟弱
[00:01:29.000 --> 00:01:33.000]  要愛這個軟弱 擁抱這個軟弱
[00:01:33.000 --> 00:01:37.000]  我們今天一起思想這個不容易的題目
[00:01:37.000 --> 00:01:39.000]  但我很想大家我們一起作為基督徒
[00:01:39.000 --> 00:01:42.000]  我們真的很深刻的去想這個問題
[00:01:42.000 --> 00:01:46.000]  如果你剛剛今天有親友邀請你來
[00:01:46.000 --> 00:01:47.000]  你不是基督教徒的話
[00:01:47.000 --> 00:01:52.000]  我都希望你透過這個軟弱這麼特別的課題
[00:01:52.000 --> 00:01:56.000]  你明白基督教十字架道理的奇妙
[00:01:56.000 --> 00:01:58.000]  希望你的生命敞開
[00:01:58.000 --> 00:02:04.000]  能夠得到這個信仰裏面最精彩的地方
[00:02:04.000 --> 00:02:08.000]  沒有人喜歡軟弱的
