
[00:00:00.000 --> 00:00:02.000]  各位弟兄姊妹主內平安
[00:00:02.000 --> 00:00:04.000]  平安
[00:00:04.000 --> 00:00:06.000]  上一次來大家當中
[00:00:06.000 --> 00:00:09.000]  應該都是差不多兩年前了
[00:00:09.000 --> 00:00:11.000]  2017年
[00:00:11.000 --> 00:00:15.000]  我記得那一次是陳德章弟兄領事
[00:00:15.000 --> 00:00:17.000]  接著見他就在醫院了
[00:00:17.000 --> 00:00:19.000]  過去這兩年
[00:00:19.000 --> 00:00:21.000]  他是我的主診醫生
[00:00:21.000 --> 00:00:23.000]  星期四剛剛
[00:00:23.000 --> 00:00:27.000]  再見他第29次化療了
[00:00:27.000 --> 00:00:30.000]  感謝神
[00:00:30.000 --> 00:00:35.000]  弟兄真是上帝給我一個很好的天使
[00:00:35.000 --> 00:00:39.000]  陪我走過死刃的幽谷
[00:00:39.000 --> 00:00:42.000]  今天我們要思想的題目
[00:00:42.000 --> 00:00:45.000]  或者讀的經文
[00:00:45.000 --> 00:00:47.000]  你說很熟嗎
[00:00:47.000 --> 00:00:50.000]  祈求就得著
[00:00:50.000 --> 00:00:53.000]  尋找就尋見
[00:00:53.000 --> 00:00:56.000]  敲門就開門
[00:00:56.000 --> 00:00:58.000]  多好啊
[00:00:58.000 --> 00:01:01.000]  有沒有這麼大隻甲拿鎚街跳啊
[00:01:01.000 --> 00:01:04.000]  那就變成王大仙有求必應
[00:01:04.000 --> 00:01:06.000]  是不是啊
[00:01:06.000 --> 00:01:07.000]  不是不是不是
[00:01:07.000 --> 00:01:10.000]  雅各書提醒我們這門求也得不著
[00:01:10.000 --> 00:01:11.000]  記不記得啊
[00:01:11.000 --> 00:01:13.000]  是因為網球
[00:01:13.000 --> 00:01:15.000]  不是打tennis啊
[00:01:15.000 --> 00:01:17.000]  是網稱耶和華的命
[00:01:17.000 --> 00:01:19.000]  那個互亂的祈求
[00:01:19.000 --> 00:01:21.000]  那怎麼分啊
[00:01:21.000 --> 00:01:24.000]  什麼時候是網球
[00:01:24.000 --> 00:01:29.000]  什麼時候是祈求就得著呢
[00:01:29.000 --> 00:01:31.000]  如果我告訴你
[00:01:31.000 --> 00:01:32.000]  這節的確是金句
[00:01:32.000 --> 00:01:35.000]  不過不只是新約聖經登山補訓
[00:01:35.000 --> 00:01:37.000]  耶穌所說的金句
[00:01:37.000 --> 00:01:40.000]  耶穌其實是背著聖經的金句
[00:01:40.000 --> 00:01:43.000]  你知道出處在哪裡嗎
[00:01:43.000 --> 00:01:46.000]  你知道典故在哪裡嗎
[00:01:46.000 --> 00:01:49.000]  耶穌背著的是舊約先之書
[00:01:49.000 --> 00:01:54.000]  上帝曾經說過的應許
[00:01:54.000 --> 00:01:56.000]  我讀給你聽吧
[00:01:56.000 --> 00:01:57.000]  或者你有手機
[00:01:57.000 --> 00:01:59.000]  很快隨時點擊得到的
[00:01:59.000 --> 00:02:03.000]  耶利米書的第29章
[00:02:03.000 --> 00:02:06.000]  耶利米書29章
[00:02:06.000 --> 00:02:09.000]  12節13節
[00:02:09.000 --> 00:02:10.000]  你不記得
[00:02:10.000 --> 00:02:12.000]  今天是29號
[00:02:12.000 --> 00:02:17.000]  你回去下午打開耶利米書29章
[00:02:17.000 --> 00:02:19.000]  12節13節
