
[00:00:00.000 --> 00:00:09.440]  剛才聽到施班長唱大衛沒了的話的時候
[00:00:09.440 --> 00:00:12.080]  突然間有些很深的感觸
[00:00:12.080 --> 00:00:15.920]  歌詞裡面是歌詞本身
[00:00:15.920 --> 00:00:18.880]  我剛才沒有注意歌詞的名稱
[00:00:18.880 --> 00:00:21.680]  也沒有留意歌詞是從哪裡出來
[00:00:21.680 --> 00:00:23.360]  歌詞裡有一句話
[00:00:23.360 --> 00:00:25.520]  He that ruleth over man must be just
[00:00:25.520 --> 00:00:34.000]  這句話突然間讓我有一個很深刻的感受
[00:00:34.000 --> 00:00:35.280]  不知道為什麼
[00:00:35.280 --> 00:00:37.600]  Ruling in the fear of God
[00:00:37.600 --> 00:00:42.320]  今天跟大家思想的是Nike
[00:00:42.320 --> 00:00:47.760]  希臘文公義有幾個字
[00:00:47.760 --> 00:00:49.120]  其中一個近異詞
[00:00:49.120 --> 00:00:51.680]  公義的行為是Diki
[00:00:51.680 --> 00:00:54.400]  差不多了 Nike Diki
[00:00:54.400 --> 00:00:57.920]  可能下一次跟大家一起分享的時候
[00:00:57.920 --> 00:00:59.520]  就要默想Diki
[00:00:59.520 --> 00:01:01.760]  Diki其實應該讀Dicky
[00:01:01.760 --> 00:01:03.120]  可能Dicky也不一定
[00:01:03.120 --> 00:01:06.000]  不過這個就不是一個答應
[00:01:06.000 --> 00:01:07.680]  所以可能是默想不到
[00:01:07.680 --> 00:01:10.240]  因為這個題目太難了
[00:01:10.240 --> 00:01:14.720]  當我們說Ruleth over man
[00:01:14.720 --> 00:01:18.240]  以前一定要just可能是皇帝
[00:01:18.240 --> 00:01:23.120]  現在可能就是法庭裡面的法官
[00:01:23.120 --> 00:01:27.920]  下判決要pronounce他的ruling
[00:01:27.920 --> 00:01:34.960]  但是司法那裡要pronounce ruling
[00:01:34.960 --> 00:01:37.840]  說出結論
[00:01:37.840 --> 00:01:40.400]  對審判作出審判的裁決
[00:01:40.400 --> 00:01:44.240]  的確是這裡適合指著那個人
[00:01:44.240 --> 00:01:46.800]  但是ruling從哪裡來呢
[00:01:46.800 --> 00:01:48.560]  ruling原來要制定的
[00:01:48.560 --> 00:01:54.080]  所以立法create rules那幫人
[00:01:54.080 --> 00:01:57.600]  同樣是這句話是適合的
[00:01:57.600 --> 00:02:01.680]  你制定的法例一樣是要公義公平
[00:02:01.680 --> 00:02:03.520]  想起耶利米書
[00:02:03.520 --> 00:02:05.200]  上帝藉著耶利米
[00:02:05.200 --> 00:02:09.040]  是和猶大人南邊北邊沒有了
[00:02:09.040 --> 00:02:12.400]  就在當時候兵荒馬亂的時候
[00:02:12.400 --> 00:02:14.320]  藉著耶利米對人們說
[00:02:14.320 --> 00:02:17.440]  勇士就不要靠著他們用力誇口
[00:02:17.440 --> 00:02:20.400]  智慧人就不要靠著智慧誇口
[00:02:20.400 --> 00:02:24.000]  財主也不要靠著財富誇口
[00:02:24.000 --> 00:02:28.640]  誇口的當是因為他認識耶和華
[00:02:28.640 --> 00:02:34.320]  而且是知道我喜悅慈愛公平和公義
[00:02:34.320 --> 00:02:39.360]  公平公義加起來可能就是just
[00:02:39.360 --> 00:02:44.880]  整個dikaios的觀念
[00:02:44.880 --> 00:02:50.800]  今天和大家思考一個很不同
[00:02:50.800 --> 00:02:53.520]  在王的身上可能是相關連的
[00:02:53.520 --> 00:02:57.520]  你要贏和你施行公義
[00:02:57.520 --> 00:02:59.920]  兩者是會扣在一起
[00:02:59.920 --> 00:03:02.800]  但對於我們可能兩者是分開的
[00:03:02.800 --> 00:03:04.880]  默想Nike
[00:03:04.880 --> 00:03:06.800]  第一樣要澄清的
[00:03:06.800 --> 00:03:08.160]  就不應該讀Nike
[00:03:08.160 --> 00:03:09.520]  應該讀Nikke
[00:03:09.520 --> 00:03:11.120]  就是日經指數
[00:03:11.120 --> 00:03:13.120]  大家都會讀日經指數的字
[00:03:13.120 --> 00:03:14.480]  N-I-K-E-I
[00:03:14.480 --> 00:03:16.160]  就是這個讀法
[00:03:16.160 --> 00:03:18.640]  所以日後看到有人穿著這雙鞋
[00:03:18.640 --> 00:03:20.320]  說剛剛買了一對Nike
[00:03:20.320 --> 00:03:20.960]  你說不是
[00:03:20.960 --> 00:03:23.440]  剛剛買了一對Nikke
[00:03:23.440 --> 00:03:26.000]  買Nikke指數差不多
[00:03:26.000 --> 00:03:30.320]  當然Nike已經是劊子人口
[00:03:30.320 --> 00:03:31.520]  所以我們不會改
[00:03:31.520 --> 00:03:32.960]  也改不了
[00:03:32.960 --> 00:03:35.680]  經文就在啟示錄
[00:03:35.680 --> 00:03:41.440]  三章十四至二十二節
[00:03:41.440 --> 00:03:45.600]  如果有聖經的請跟我一起讀
[00:03:45.600 --> 00:03:47.120]  或者聽我讀出來
[00:03:47.120 --> 00:03:49.040]  沒有聖經的就這樣聽
[00:03:49.040 --> 00:03:54.320]  基督直著約翰寫信給七教會裡面的
[00:03:54.320 --> 00:03:58.560]  第七章七信裡面的最後一封
[00:03:58.560 --> 00:03:59.840]  三章十四節
[00:03:59.840 --> 00:04:02.240]  你要寫信給老弟家教會的使者
[00:04:02.240 --> 00:04:04.080]  說這個阿門的
[00:04:04.080 --> 00:04:06.560]  為誠信真實見證的
[00:04:06.560 --> 00:04:08.560]  在上帝創造萬物之上
[00:04:08.560 --> 00:04:10.240]  作為元首的話
[00:04:10.240 --> 00:04:11.600]  我知道你的行為
[00:04:11.600 --> 00:04:13.680]  你不冷也不熱
[00:04:13.680 --> 00:04:16.400]  我巴不得你冷或熱
[00:04:16.400 --> 00:04:18.160]  你既好像溫水
[00:04:18.160 --> 00:04:19.760]  也不冷也不熱
[00:04:19.760 --> 00:04:22.640]  所以我必從我口中
[00:04:22.640 --> 00:04:25.040]  將你抱出去
[00:04:25.040 --> 00:04:26.640]  你說我已經富足
[00:04:26.640 --> 00:04:27.760]  已經發財
[00:04:27.760 --> 00:04:29.440]  一樣都不缺
[00:04:29.440 --> 00:04:33.840]  卻不知道你其實是那個困苦
[00:04:33.840 --> 00:04:37.280]  可憐貧窮赫顏赤身的那個
[00:04:37.280 --> 00:04:40.080]  我勸你向我買火鍊的金紙
[00:04:40.080 --> 00:04:41.120]  要你富足
[00:04:41.120 --> 00:04:43.120]  又買白衣穿上
[00:04:43.120 --> 00:04:44.960]  要你赤身的羞恥
[00:04:44.960 --> 00:04:46.320]  不會顯露出來
[00:04:46.320 --> 00:04:47.600]  又買眼藥
[00:04:47.600 --> 00:04:48.720]  擦你的眼睛
[00:04:48.720 --> 00:04:50.160]  使你能看見
[00:04:50.160 --> 00:04:51.600]  凡我所疼愛的
[00:04:51.600 --> 00:04:53.920]  我就責備管教他
[00:04:53.920 --> 00:04:55.920]  所以你要發熱心
[00:04:55.920 --> 00:04:57.600]  也要悔改
[00:04:57.600 --> 00:04:59.680]  看哪我在門外叩門
[00:04:59.680 --> 00:05:02.240]  如果有聽見我聲音就開門的
[00:05:02.240 --> 00:05:04.080]  我要進到他那裡去
[00:05:04.080 --> 00:05:05.200]  他和我
[00:05:05.200 --> 00:05:05.920]  我和他
[00:05:05.920 --> 00:05:06.560]  他和我
[00:05:06.560 --> 00:05:07.840]  一同坐直
[00:05:07.840 --> 00:05:08.960]  得性的
[00:05:08.960 --> 00:05:12.160]  我要賜他在我寶座上和我同坐
[00:05:12.160 --> 00:05:13.600]  就如我得了性
[00:05:13.600 --> 00:05:16.640]  在我父的寶座上和他同坐一樣
[00:05:16.640 --> 00:05:18.800]  聖靈向宗教所說的話
[00:05:18.800 --> 00:05:20.000]  凡有耳的
[00:05:20.000 --> 00:05:21.280]  就應當聽
[00:05:21.280 --> 00:05:24.000]  一起低頭祈禱
[00:05:24.000 --> 00:05:24.960]  天父為你
[00:05:24.960 --> 00:05:26.560]  在主日的時候
[00:05:26.560 --> 00:05:29.600]  是來到你的面前
[00:05:29.600 --> 00:05:31.840]  是紀念你自己的榮美
[00:05:31.840 --> 00:05:36.800]  也是思考你在我們身上的作為
[00:05:36.800 --> 00:05:40.320]  你過去日子給我們的不同的機會
[00:05:40.320 --> 00:05:41.600]  不同的挑戰
[00:05:41.600 --> 00:05:43.680]  不同的困難
[00:05:43.680 --> 00:05:45.520]  也都不同的喜樂
[00:05:45.520 --> 00:05:48.320]  開心的環境
[00:05:48.320 --> 00:05:50.880]  我們求天父今日與我們同在
[00:05:50.880 --> 00:05:52.880]  讓我們讀你話語的時候
[00:05:52.880 --> 00:05:55.200]  再一次是受挑戰
[00:05:55.200 --> 00:06:00.000]  再一次是面對由你自己話語而來的困難
[00:06:00.000 --> 00:06:02.000]  是我們必須要面對的
[00:06:02.000 --> 00:06:04.480]  我們必須要思考
[00:06:04.480 --> 00:06:07.520]  我們必須要小心慎重考慮
[00:06:07.520 --> 00:06:09.600]  怎樣來活出來
[00:06:09.600 --> 00:06:11.120]  你給我們智慧
[00:06:11.120 --> 00:06:13.520]  你給我們恩典
[00:06:13.520 --> 00:06:15.360]  你也給我們動機
[00:06:15.360 --> 00:06:17.520]  給我們良善的動機
[00:06:17.520 --> 00:06:19.120]  給我們動力
[00:06:19.120 --> 00:06:21.920]  來在話語上能夠活出來
[00:06:21.920 --> 00:06:24.560]  讓我們有個恆常悔改的心
[00:06:24.560 --> 00:06:26.400]  讓我們在你面前
[00:06:26.400 --> 00:06:28.080]  行走活人的道路
[00:06:28.080 --> 00:06:29.920]  奉救主耶穌基督的名求
[00:06:29.920 --> 00:06:30.720]  阿們
[00:06:30.720 --> 00:06:39.680]  現在可能在座大部分人都知道Nike為什麼
[00:06:39.680 --> 00:06:42.560]  但可能你買第一對球鞋的時候
[00:06:42.560 --> 00:06:46.400]  不知道Nike為什麼
[00:06:46.400 --> 00:06:48.800]  知不知道Nike為什麼
[00:06:48.800 --> 00:06:52.320]  Nike就是勝利的意思
[00:06:52.320 --> 00:06:55.920]  所以Switch就夠快
[00:06:55.920 --> 00:06:58.880]  跑贏了現在大運會
[00:06:58.880 --> 00:07:04.640]  昨天在上海虹橋機場等飛機的時候
[00:07:04.640 --> 00:07:05.760]  沒有工作
[00:07:05.760 --> 00:07:10.160]  機場裡面電視播著很多不同的電視
[00:07:10.160 --> 00:07:11.680]  人們按了不同的節目
[00:07:11.680 --> 00:07:13.840]  其中一部播大運會的節目
[00:07:13.840 --> 00:07:15.200]  比韓波比賽
[00:07:15.200 --> 00:07:16.480]  田徑比賽
[00:07:16.480 --> 00:07:21.280]  在比賽的過程當中
[00:07:21.280 --> 00:07:23.760]  每個人都要贏
[00:07:23.760 --> 00:07:25.120]  沒有人想輸的
[00:07:25.120 --> 00:07:28.960]  沒有人想連第二都不想
[00:07:28.960 --> 00:07:33.840]  就算能夠站上去的都不想
[00:07:33.840 --> 00:07:35.760]  最好是拿第一的
[00:07:35.760 --> 00:07:37.280]  因為第二的沒有人認識的
[00:07:37.280 --> 00:07:39.440]  除了菲比斯
[00:07:39.440 --> 00:07:42.560]  前陣子他游泳經常拿第二的
[00:07:42.560 --> 00:07:43.440]  也有人認識的
