
[00:00:00.000 --> 00:00:07.600]  古今中外都很多人用夢來形容人生
[00:00:07.600 --> 00:00:13.600]  人生如夢 浮生若夢為歡幾何
[00:00:13.600 --> 00:00:15.600]  李白的詩句
[00:00:15.600 --> 00:00:20.600]  我們也可能聽過莊周 莊子
[00:00:20.600 --> 00:00:24.200]  他曾經有一次夢見蝴蝶
[00:00:24.200 --> 00:00:25.600]  但他自己搞不清楚
[00:00:25.600 --> 00:00:28.000]  到底是蝴蝶夢見他呢
[00:00:28.000 --> 00:00:30.000]  還是他夢見蝴蝶呢
[00:00:30.000 --> 00:00:31.800]  撲朔迷離
[00:00:31.800 --> 00:00:34.400]  人生就很可能像莊周一樣
[00:00:34.400 --> 00:00:37.000]  到底我們現在是在做夢呢
[00:00:37.000 --> 00:00:41.800]  還是我們現在是活在現實當中呢
[00:00:41.800 --> 00:00:47.400]  大家都知道在美國有一首兒歌
[00:00:47.400 --> 00:00:49.800]  叫《Row, Row, Row the Boat》
[00:00:49.800 --> 00:00:51.400]  大家有沒有聽過
[00:00:51.400 --> 00:00:54.000]  Row, row, row the boat
[00:00:54.000 --> 00:00:56.400]  Gently down the stream
[00:00:56.400 --> 00:00:59.000]  Merrily, merrily, merrily, merrily
[00:00:59.000 --> 00:01:03.400]  Life is but a dream
[00:01:03.400 --> 00:01:07.400]  我的女婿不准我孫子唱這首歌
[00:01:07.400 --> 00:01:12.200]  他說這首歌太過不能夠表達基督的信仰
[00:01:12.200 --> 00:01:14.600]  我們基督徒的信仰是很真實的
[00:01:14.600 --> 00:01:17.000]  活在這個世界
[00:01:17.000 --> 00:01:19.400]  為何會好像一場夢呢
[00:01:19.400 --> 00:01:22.400]  Life is but a dream
[00:01:22.400 --> 00:01:25.800]  你知道這首歌有另外一個版本
[00:01:25.800 --> 00:01:28.400]  Row, row, row the boat
[00:01:28.400 --> 00:01:31.000]  Gently down the lake
[00:01:31.000 --> 00:01:33.800]  Merrily, merrily, merrily, merrily
[00:01:33.800 --> 00:01:39.000]  Life is a piece of cake
[00:01:39.000 --> 00:01:42.600]  無論你怎麼唱都好
