
[00:00:00.000 --> 00:00:05.600]  各位大英姐妹 各位朋友 你們好
[00:00:05.600 --> 00:00:10.400]  歡迎大家參觀我們三藩市報道會的網上崇拜
[00:00:10.400 --> 00:00:13.600]  我們繼續思想啟示錄的訊息
[00:00:13.600 --> 00:00:17.900]  今天我們是講到第二章 第一節到第七節
[00:00:17.900 --> 00:00:22.800]  教會的矛盾 純正還是外心呢?
[00:00:22.800 --> 00:00:27.600]  1962年 著名的英國導演大衛連 David Lynn
[00:00:27.600 --> 00:00:31.400]  拍了一部經典的電影叫做《沙漠梟雄》
[00:00:31.400 --> 00:00:33.300]  Lawrence of Arabia
[00:00:33.300 --> 00:00:38.000]  是由彼得·奧圖和艾力堅尼斯領銜主演的
[00:00:38.000 --> 00:00:44.200]  在荷里活的奧斯卡獎狀中獲得七項殊榮 非常有意思
[00:00:44.200 --> 00:00:47.000]  話說在第一次世界大戰的時候
[00:00:47.000 --> 00:00:49.700]  Lawrence是英國軍隊的中尉
[00:00:49.700 --> 00:00:54.900]  被派到中東聯絡阿拉伯酋長 Prince Faisal
[00:00:54.900 --> 00:00:57.900]  聯合對抗土耳其帝國
[00:00:57.900 --> 00:01:01.200]  他們的計劃是環過當時的大沙漠
[00:01:01.200 --> 00:01:04.900]  突襲巴勒斯坦南面的阿卡巴海港
[00:01:04.900 --> 00:01:07.600]  以至英軍可以直接到海港
[00:01:07.600 --> 00:01:15.300]  運送物資和這些兵士去到這個半島的地方
[00:01:15.300 --> 00:01:20.900]  這個沙漠又大又危險 是一件非常艱難之舉
[00:01:20.900 --> 00:01:24.900]  在中途一個阿拉伯的青年士兵 叫做加什
[00:01:24.900 --> 00:01:28.600]  因為太過疲倦 黑眼粉就掉到駱駝上
[00:01:28.600 --> 00:01:33.900]  沒有人知道 直到天亮的時候他們才發現他不見了
[00:01:33.900 --> 00:01:37.400]  Lawrence發現之後 他單人匹馬
[00:01:37.400 --> 00:01:41.700]  反過來在沙漠裡尋找加什的下落
[00:01:41.700 --> 00:01:44.500]  這是一個非常危險的舉動
[00:01:44.500 --> 00:01:49.200]  隨時自己會在沙漠裡迷途 甚至渴死
[00:01:49.200 --> 00:01:51.400]  但是皇天不負有心人
[00:01:51.400 --> 00:01:55.700]  幾年間被他發現加什是昏迷在沙漠當中
[00:01:55.700 --> 00:01:59.600]  Lawrence馬上把他救起 然後歸隊
[00:01:59.600 --> 00:02:05.000]  本來那些阿拉伯人對這個英國的中尉充滿了不信任懷疑
[00:02:05.000 --> 00:02:09.500]  但是他這次的英勇和愛心的行動就感動了他們
[00:02:09.500 --> 00:02:13.100]  對Lawrence有完全不同的態度
[00:02:13.100 --> 00:02:15.500]  非常信任和縱容他
[00:02:15.500 --> 00:02:18.300]  後來阿拉伯的戰士當中
[00:02:18.300 --> 00:02:22.200]  發現有一個人殺死了另外一族的阿拉伯人
