
[00:00:00.000 --> 00:00:02.000]  71年前已經在此的弟兄姊妹請舉手
[00:00:02.000 --> 00:00:04.000]  你們笑了
[00:00:04.000 --> 00:00:06.000]  那就是沒有了
[00:00:06.000 --> 00:00:08.000]  在我們出生
[00:00:08.000 --> 00:00:10.000]  或者很小的時候
[00:00:10.000 --> 00:00:12.000]  教會已經開始
[00:00:12.000 --> 00:00:14.000]  神的恩典
[00:00:14.000 --> 00:00:16.000]  臨到
[00:00:16.000 --> 00:00:18.000]  宗教會
[00:00:18.000 --> 00:00:20.000]  在香港成立
[00:00:20.000 --> 00:00:22.000]  中華基督教會
[00:00:22.000 --> 00:00:24.000]  在香港成立
[00:00:24.000 --> 00:00:26.000]  在香港成立
[00:00:26.000 --> 00:00:28.000]  在香港成立
[00:00:28.000 --> 00:00:30.000]  中華基督教會
[00:00:30.000 --> 00:00:32.000]  海南堂
[00:00:32.000 --> 00:00:34.000]  很開心今早來到
[00:00:34.000 --> 00:00:36.000]  不單見到林牧師
[00:00:36.000 --> 00:00:38.000]  多謝他的邀請
[00:00:38.000 --> 00:00:40.000]  師母多少年前
[00:00:40.000 --> 00:00:42.000]  是神學院
[00:00:42.000 --> 00:00:44.000]  靈命培育小組
[00:00:44.000 --> 00:00:46.000]  師母是我的組長
[00:00:46.000 --> 00:00:48.000]  校友
[00:00:48.000 --> 00:00:50.000]  同工都在我們中間
[00:00:50.000 --> 00:00:52.000]  所以很感恩
[00:00:52.000 --> 00:00:54.000]  我剛才很大向你
[00:00:54.000 --> 00:00:56.000]  海南堂
[00:00:56.000 --> 00:00:58.000]  海南人有什麼
[00:00:58.000 --> 00:01:00.000]  特別
[00:01:00.000 --> 00:01:02.000]  出名
[00:01:02.000 --> 00:01:04.000]  的東西
[00:01:04.000 --> 00:01:06.000]  林牧師就很
[00:01:06.000 --> 00:01:10.000]  實事求是
[00:01:10.000 --> 00:01:12.000]  告訴我
[00:01:12.000 --> 00:01:14.000]  海南雞
[00:01:14.000 --> 00:01:16.000]  我說是
[00:01:16.000 --> 00:01:18.000]  吃了這麼多
[00:01:18.000 --> 00:01:20.000]  都沒有留意到
[00:01:20.000 --> 00:01:22.000]  我很喜歡吃海南雞飯
[00:01:22.000 --> 00:01:24.000]  我不喜歡吃腿
[00:01:24.000 --> 00:01:28.000]  所以聽說你們中間
[00:01:28.000 --> 00:01:30.000]  有很拿手
[00:01:30.000 --> 00:01:32.000]  懂得煮海南雞飯
[00:01:32.000 --> 00:01:34.000]  這些真是
[00:01:34.000 --> 00:01:36.000]  家鄉的
