
[00:00:00.000 --> 00:00:05.200]  各位大兄姐妹各位朋友你們好
[00:00:05.200 --> 00:00:08.000]  歡迎大家參加我們三藩市播道會
[00:00:08.000 --> 00:00:10.200]  網上的五堂崇拜
[00:00:10.200 --> 00:00:13.700]  今天我們繼續思想約翰福音的信息
[00:00:13.700 --> 00:00:18.200]  我們來到約翰福音第十七章一節至五節
[00:00:18.200 --> 00:00:21.000]  題目叫做榮歸
[00:00:21.000 --> 00:00:25.000]  未開始思想這段聖經之前請我們同心低頭
[00:00:25.000 --> 00:00:26.000]  我們同禱告
[00:00:26.000 --> 00:00:31.000]  慈悲人一天我們滿心感謝你
[00:00:31.000 --> 00:00:35.000]  因為你降生為人
[00:00:35.000 --> 00:00:39.000]  甘願為我們的緣故釘身在十字架
[00:00:39.000 --> 00:00:42.000]  成就了這個救恩
[00:00:42.000 --> 00:00:44.000]  我們感謝你
[00:00:44.000 --> 00:00:47.000]  因為你的死我們得醫治
[00:00:47.000 --> 00:00:49.000]  我們有盼望
[00:00:49.000 --> 00:00:51.000]  得享榮生
[00:00:51.000 --> 00:00:55.000]  求你藉著你的話語去提醒怨念教導
[00:00:55.000 --> 00:00:58.000]  安慰督教我們
[00:00:58.000 --> 00:01:00.000]  求你幫助我們
[00:01:00.000 --> 00:01:03.000]  讓我們打開我們的心
[00:01:03.000 --> 00:01:06.000]  讓你的話語去改變我們的生命
[00:01:06.000 --> 00:01:07.000]  我們今天禱告
[00:01:07.000 --> 00:01:09.000]  拉下鳳爺的紀律名
[00:01:09.000 --> 00:01:11.000]  阿們
[00:01:11.000 --> 00:01:14.000]  中國人有這樣說法
[00:01:14.000 --> 00:01:17.000]  死有輕於鴻毛
[00:01:17.000 --> 00:01:20.000]  重於泰山
[00:01:20.000 --> 00:01:21.000]  沒錯
[00:01:21.000 --> 00:01:23.000]  死本來就很醜惡
[00:01:23.000 --> 00:01:25.000]  很傷痛
[00:01:25.000 --> 00:01:27.000]  很難過的事
[00:01:27.000 --> 00:01:29.000]  但萬古歷史
[00:01:29.000 --> 00:01:33.000]  死卻製造了無數英雄的熱誓
[00:01:33.000 --> 00:01:36.000]  我想到我們中國歷史的文天祥
[00:01:36.000 --> 00:01:38.000]  為了救國救軍
[00:01:38.000 --> 00:01:41.000]  被蒙古兵囚在獄中
[00:01:41.000 --> 00:01:44.000]  在獄中寫著著名詩句
[00:01:44.000 --> 00:01:47.000]  人生自古誰無死
[00:01:47.000 --> 00:01:50.000]  留得丹心照寒青
[00:01:50.000 --> 00:01:52.000]  他所寫的正喜歌
[00:01:52.000 --> 00:01:54.000]  是冧然萬古傳
[00:01:54.000 --> 00:01:56.000]  令人肅然起敬
[00:01:56.000 --> 00:01:58.000]  雖然隔了幾百年
[00:01:58.000 --> 00:01:59.000]  但讀起來
[00:01:59.000 --> 00:02:01.000]  心裡有一股浩然之氣
[00:02:01.000 --> 00:02:03.000]  猶然而生
[00:02:03.000 --> 00:02:05.000]  千地有正氣
[00:02:05.000 --> 00:02:07.000]  澤言呼柳營
[00:02:07.000 --> 00:02:08.000]  下則為河岳
[00:02:08.000 --> 00:02:10.000]  上則為日升
[00:02:10.000 --> 00:02:12.000]  於人若好怨
[00:02:12.000 --> 00:02:14.000]  背負蔡蒼茗
[00:02:14.000 --> 00:02:16.000]  士氣所磅礡
[00:02:16.000 --> 00:02:19.000]  冧然萬古情
[00:02:19.000 --> 00:02:21.000]  當其故日月
[00:02:21.000 --> 00:02:23.000]  生死惡誤逐輪
[00:02:23.000 --> 00:02:25.000]  被為賴以立
[00:02:25.000 --> 00:02:27.000]  天處賴以轉
[00:02:27.000 --> 00:02:29.000]  沒錯
[00:02:29.000 --> 00:02:34.000]  真是一首非常令人感動的一篇文章
[00:02:34.000 --> 00:02:36.000]  我又想到一首
[00:02:36.000 --> 00:02:40.000]  由猶太人史碧高所寫的一首詩
[00:02:40.000 --> 00:02:43.000]  叫做《最後的審判》
[00:02:43.000 --> 00:02:48.000]  這首詩記述了一個非常動人的故事
[00:02:48.000 --> 00:02:50.000]  公元69年
[00:02:50.000 --> 00:02:52.000]  以色列人造反
[00:02:52.000 --> 00:02:54.000]  要推翻羅馬政府
[00:02:54.000 --> 00:02:56.000]  爭取他們的民族自由
[00:02:56.000 --> 00:02:58.000]  很多以愛國家
[00:02:58.000 --> 00:03:00.000]  以愛他們民族
[00:03:00.000 --> 00:03:02.000]  以愛他們信仰的猶太人
[00:03:02.000 --> 00:03:06.000]  都捐軀在這次大屠殺當中
[00:03:06.000 --> 00:03:08.000]  這次造反
[00:03:08.000 --> 00:03:11.000]  差不多超過100萬猶太人被殺
[00:03:11.000 --> 00:03:13.000]  其中有一個婦女
[00:03:13.000 --> 00:03:16.000]  帶著七個兒子投入戰圈
[00:03:16.000 --> 00:03:19.000]  結果被羅馬兵重重圍困
[00:03:19.000 --> 00:03:21.000]  最後她拿出自己的刀
[00:03:21.000 --> 00:03:25.000]  將七個兒子一個一個砍死
[00:03:25.000 --> 00:03:27.000]  最後自殺身亡
[00:03:27.000 --> 00:03:30.000]  當史碧高記述這件事的時候
[00:03:30.000 --> 00:03:32.000]  他就這樣寫
[00:03:32.000 --> 00:03:34.000]  當那婦人以她心愛的兒子
[00:03:34.000 --> 00:03:37.000]  和自己的獻上的時候
[00:03:37.000 --> 00:03:39.000]  她覺得這個獻上
[00:03:39.000 --> 00:03:41.000]  教主阿巴拉罕憲以實
[00:03:41.000 --> 00:03:43.000]  來得更轟烈
[00:03:43.000 --> 00:03:44.000]  更勇敢
[00:03:44.000 --> 00:03:45.000]  更光明
[00:03:45.000 --> 00:03:46.000]  更徹底
[00:03:46.000 --> 00:03:50.000]  他們成了民族的英雄
[00:03:50.000 --> 00:03:53.000]  我又想到我媽媽
[00:03:53.000 --> 00:03:54.000]  在1951年
[00:03:54.000 --> 00:03:58.000]  家父接到從大陸親戚寄來的字條
[00:03:58.000 --> 00:04:00.000]  即是簡單幾個字
[00:04:00.000 --> 00:04:04.000]  你的太太已經上吊自殺身亡
[00:04:04.000 --> 00:04:08.000]  當然她的死是一個極之不幸的消息
[00:04:08.000 --> 00:04:11.000]  是我們家的悲劇
[00:04:11.000 --> 00:04:15.000]  但人的瘦身的結果是怎樣呢?
[00:04:15.000 --> 00:04:17.000]  她的死亡
[00:04:17.000 --> 00:04:19.000]  沒錯是很不幸
[00:04:19.000 --> 00:04:23.000]  對我們家庭來說是一個很大的悲劇
[00:04:23.000 --> 00:04:26.000]  亦都是人瘦身的結果
[00:04:26.000 --> 00:04:29.000]  但我們看到人的瘦身
[00:04:29.000 --> 00:04:32.000]  自私和貪婪
[00:04:32.000 --> 00:04:36.000]  但對我們家人來說
[00:04:36.000 --> 00:04:40.000]  我們有另外一方面的看法和感受
[00:04:40.000 --> 00:04:42.000]  對我們來說
[00:04:42.000 --> 00:04:44.000]  這是一個轟轟烈烈
[00:04:44.000 --> 00:04:49.000]  既光明又有價值的一個悲劇
[00:04:49.000 --> 00:04:52.000]  我媽媽被迫寫信來香港
[00:04:52.000 --> 00:04:54.000]  引誘我父親回大陸
[00:04:54.000 --> 00:04:56.000]  以致可以被捉拿
[00:04:56.000 --> 00:04:58.000]  被審判被迫害
[00:04:58.000 --> 00:05:00.000]  她為了她丈夫
[00:05:00.000 --> 00:05:02.000]  為了她兒女
[00:05:02.000 --> 00:05:06.000]  為言果敢的原諒自盡
[00:05:06.000 --> 00:05:08.000]  她成為了代罪的羔羊
[00:05:08.000 --> 00:05:12.000]  為她所愛的來死
[00:05:12.000 --> 00:05:14.000]  我可以這樣說
[00:05:14.000 --> 00:05:18.000]  她為我們一家犧牲了寶貴的生命
[00:05:18.000 --> 00:05:21.000]  是我們一家的殉道者
[00:05:21.000 --> 00:05:24.000]  當我們看看耶穌的死的時候
[00:05:24.000 --> 00:05:27.000]  我們覺得很奇怪
[00:05:27.000 --> 00:05:31.000]  好像一幅完全不同的圖畫一樣
[00:05:31.000 --> 00:05:35.000]  在耶穌的死的故事和情景裏
[00:05:35.000 --> 00:05:38.000]  我們找不到半點英雄光明的跡象
[00:05:38.000 --> 00:05:42.000]  在聖經記載
[00:05:42.000 --> 00:05:44.000]  她心裏甚是憂傷
[00:05:44.000 --> 00:05:45.000]  幾乎要死
[00:05:45.000 --> 00:05:47.000]  她肚子裏吐血
[00:05:47.000 --> 00:05:49.000]  又說:阿爸父啊
[00:05:49.000 --> 00:05:52.000]  在你凡事都能求你將這杯撤去
[00:05:52.000 --> 00:05:54.000]  然而不要從我的意思
[00:05:54.000 --> 00:05:56.000]  只是從你的意思
[00:05:56.000 --> 00:05:58.000]  這樣看來
[00:05:58.000 --> 00:06:01.000]  好像一種很懦弱很怕死的態度
[00:06:01.000 --> 00:06:04.000]  比起文天祥那種慷慨赴死
[00:06:04.000 --> 00:06:06.000]  人生自古誰無死
[00:06:06.000 --> 00:06:09.000]  留得丹心照汗青
[00:06:09.000 --> 00:06:12.000]  似乎耶穌的死訊息得多了
[00:06:12.000 --> 00:06:14.000]  另外馬克福音更加記載
[00:06:14.000 --> 00:06:16.000]  當耶穌被釘十字架的時候
[00:06:16.000 --> 00:06:18.000]  大聲喊著說:我神啊我神
[00:06:18.000 --> 00:06:20.000]  為什麼離棄我呢?
[00:06:20.000 --> 00:06:21.000]  我們奇怪了
[00:06:21.000 --> 00:06:24.000]  為什麼耶穌會這樣叫呢?
[00:06:24.000 --> 00:06:26.000]  難道是因為搞革命失敗
[00:06:26.000 --> 00:06:29.000]  在患烈失望不平之際
[00:06:29.000 --> 00:06:31.000]  提出一個控訴
[00:06:31.000 --> 00:06:34.000]  神啊神啊為什麼你在這時候離棄我呢?
[00:06:34.000 --> 00:06:36.000]  耶穌基督的死
[00:06:36.000 --> 00:06:39.000]  似乎觀點光榮都沒有
[00:06:39.000 --> 00:06:42.000]  但事情又不是那麼簡單
[00:06:42.000 --> 00:06:43.000]  令人感到困惑
[00:06:43.000 --> 00:06:45.000]  當這個毫無光彩的死
[00:06:45.000 --> 00:06:51.000]  呈現在白夫長一個釘十字架的專業士兵
[00:06:51.000 --> 00:06:54.000]  看到耶穌大聲呼喊
[00:06:54.000 --> 00:06:56.000]  好像很懦弱很軟弱
[00:06:56.000 --> 00:06:58.000]  很沒有尊嚴的時候
[00:06:58.000 --> 00:07:01.000]  竟然說:這真是神的兒子
[00:07:01.000 --> 00:07:04.000]  這個專業釘死人的士兵
[00:07:04.000 --> 00:07:06.000]  在過無數次的死亡
[00:07:06.000 --> 00:07:08.000]  有些是轟轟烈烈的死
[00:07:08.000 --> 00:07:10.000]  有些是害怕恐懼的死
[00:07:10.000 --> 00:07:12.000]  但奇怪的是當他看到這個
[00:07:12.000 --> 00:07:14.000]  似乎毫無光彩的死亡的時候
[00:07:14.000 --> 00:07:17.000]  竟然見證說:這真是神的兒子
[00:07:17.000 --> 00:07:19.000]  為什麼呢?
[00:07:19.000 --> 00:07:23.000]  而約翰福音更將耶穌的死視為榮耀
[00:07:23.000 --> 00:07:25.000]  何榮耀之有?
[00:07:25.000 --> 00:07:28.000]  我想到當日戰打得最轟烈的時候
[00:07:28.000 --> 00:07:30.000]  尼克森總統對全國人民廣播
[00:07:30.000 --> 00:07:33.000]  他說:我們要撤退
[00:07:33.000 --> 00:07:35.000]  但是光榮的撤退
[00:07:35.000 --> 00:07:41.000]  當時他派遣了更多B-52型重型轟炸機
[00:07:41.000 --> 00:07:45.000]  在河內和海防轟炸迫使北越談判
[00:07:45.000 --> 00:07:48.000]  然後促使美國公明撤退的計劃
[00:07:48.000 --> 00:07:52.000]  所謂光榮是負上無數人的生命
[00:07:52.000 --> 00:07:54.000]  我們中國人有一句話說
[00:07:54.000 --> 00:07:58.000]  一丈功成萬骨枯
[00:07:58.000 --> 00:08:00.000]  一個光榮的英雄出現
[00:08:00.000 --> 00:08:04.000]  背後流了不知多少人的血
[00:08:04.000 --> 00:08:07.000]  所以所謂英雄的光榮
[00:08:07.000 --> 00:08:11.000]  是建築在很多人的痛苦身上
[00:08:11.000 --> 00:08:15.000]  失敗和內疚
[00:08:15.000 --> 00:08:18.000]  令我們不禁詫異
[00:08:18.000 --> 00:08:21.000]  為什麼聖經說這是光榮?
[00:08:21.000 --> 00:08:25.000]  為什麼這樣的死亡
[00:08:25.000 --> 00:08:30.000]  對聖經來說是征服者、勝利者、成功者的死亡?
[00:08:30.000 --> 00:08:32.000]  但耶穌一出生
[00:08:32.000 --> 00:08:34.000]  你看看
[00:08:34.000 --> 00:08:37.000]  就是被人遺棄在馬槽裏
[00:08:37.000 --> 00:08:39.000]  不夠兩天
[00:08:39.000 --> 00:08:41.000]  又有人想殺祂
[00:08:41.000 --> 00:08:43.000]  祂就要逃到夏拉及
[00:08:43.000 --> 00:08:47.000]  以撒拿更加形容祂無佳容美貌
[00:08:47.000 --> 00:08:49.000]  被藐視、被人嫌棄
[00:08:49.000 --> 00:08:52.000]  多愁痛苦、常經憂患
[00:08:52.000 --> 00:08:54.000]  有人尊重祂
[00:08:54.000 --> 00:08:57.000]  當祂收治人生
[00:08:57.000 --> 00:09:00.000]  差不多去到最後一程的時候
[00:09:00.000 --> 00:09:02.000]  又為門徒出賣
[00:09:02.000 --> 00:09:04.000]  繼後各散東西
[00:09:04.000 --> 00:09:07.000]  所謂忠心的門徒
[00:09:07.000 --> 00:09:09.000]  竟然只能三次不認祂
[00:09:09.000 --> 00:09:13.000]  最後忍受人間最殘酷的死刑十字架
[00:09:13.000 --> 00:09:16.000]  又在十字架說神啊神啊
[00:09:16.000 --> 00:09:19.000]  為什麼在這個時候離棄我?
[00:09:19.000 --> 00:09:22.000]  在聖經裏面的記載
[00:09:22.000 --> 00:09:26.000]  由耶穌在赫山瑪利縣祈禱
[00:09:26.000 --> 00:09:29.000]  一直被審、被釘
[00:09:29.000 --> 00:09:31.000]  在十字架
[00:09:31.000 --> 00:09:34.000]  我們看不到半點光明
