
[00:00:00.000 --> 00:00:03.000]  今日我們一齊來思想一個祈禱
[00:00:03.000 --> 00:00:07.000]  我們剛才所讀的聖經是但義利的一個禱告
[00:00:07.000 --> 00:00:08.000]  我們打開聖經
[00:00:08.000 --> 00:00:13.000]  大家唐用聖經的1323頁
[00:00:13.000 --> 00:00:15.000]  但義利書第九章
[00:00:15.000 --> 00:00:16.000]  但義利書第九章
[00:00:16.000 --> 00:00:20.000]  我們一齊思想一個很懂得祈禱
[00:00:20.000 --> 00:00:22.000]  也很明白神心意的人
[00:00:22.000 --> 00:00:25.000]  為他自己國家民族
[00:00:25.000 --> 00:00:30.000]  來求赦免認罪懇切的祈禱
[00:00:30.000 --> 00:00:34.000]  二十年前的六四之後的第一個主日
[00:00:34.000 --> 00:00:36.000]  我是來北宣聚會
[00:00:36.000 --> 00:00:40.000]  那天牧師說什麼我就不太記得
[00:00:40.000 --> 00:00:43.000]  但我記得我坐在這裡崇拜的時候
[00:00:43.000 --> 00:00:46.000]  我對自己的國家心碎
[00:00:46.000 --> 00:00:50.000]  坦白說我對神也有些心碎
[00:00:50.000 --> 00:00:51.000]  我和大家一樣
[00:00:51.000 --> 00:00:55.000]  很多人在之前的晚上通宵沒睡覺
[00:00:55.000 --> 00:00:59.000]  對著電視機直播
[00:00:59.000 --> 00:01:01.000]  一直不斷的祈禱求神
[00:01:01.000 --> 00:01:05.000]  神啊你叫他們不要開槍
[00:01:05.000 --> 00:01:07.000]  最後開了槍
[00:01:07.000 --> 00:01:09.000]  我心裡也碎
[00:01:09.000 --> 00:01:11.000]  我對國家的心也碎
[00:01:11.000 --> 00:01:15.000]  想到二十年之後六四之後的第一個主日
[00:01:15.000 --> 00:01:17.000]  我尤其在北宣的台上
[00:01:17.000 --> 00:01:18.000]  跟大家一起分享
[00:01:18.000 --> 00:01:21.000]  也分享一篇充滿了感情
[00:01:21.000 --> 00:01:24.000]  很愛自己的國家的《但義理》
[00:01:24.000 --> 00:01:27.000]  他為他自己的國家民族認罪
[00:01:27.000 --> 00:01:30.000]  來祈禱求赦免
[00:01:30.000 --> 00:01:33.000]  我希望今天我們這一段聖經幫助我們
[00:01:33.000 --> 00:01:37.000]  也帶我們進入神的心意裡
[00:01:37.000 --> 00:01:39.000]  但義理很懂得祈禱
[00:01:39.000 --> 00:01:41.000]  我們希望從但義理的禱告裡
[00:01:41.000 --> 00:01:44.000]  學到我們為自己國家民族的禱告
[00:01:44.000 --> 00:01:45.000]  是怎麼一回事
[00:01:45.000 --> 00:01:47.000]  也紀念我們自己
[00:01:47.000 --> 00:01:48.000]  我們自己也有軟弱
[00:01:48.000 --> 00:01:51.000]  我們也要在神面前認罪來祈禱
[00:01:51.000 --> 00:01:53.000]  但義理的禱告
[00:01:53.000 --> 00:01:54.000]  剛才我們讀了也知道了
[00:01:54.000 --> 00:01:55.000]  也很長
[00:01:55.000 --> 00:01:57.000]  所以今天的時間很有限
[00:01:57.000 --> 00:02:00.000]  我不會跟大家逐句逐句慢慢再研究
[00:02:00.000 --> 00:02:02.000]  我想跟大家分析
[00:02:02.000 --> 00:02:04.000]  來看看當中的真理
[00:02:04.000 --> 00:02:06.000]  但義理的禱告
[00:02:06.000 --> 00:02:08.000]  很重要的只有三個部分
[00:02:08.000 --> 00:02:10.000]  你看下去就知道了
[00:02:10.000 --> 00:02:11.000]  如果你今天有筆
[00:02:11.000 --> 00:02:12.000]  寫下筆記
[00:02:12.000 --> 00:02:14.000]  因為有些雜作給你回去做
[00:02:14.000 --> 00:02:16.000]  今天說不完
[00:02:16.000 --> 00:02:17.000]  你回去慢慢研究
[00:02:17.000 --> 00:02:20.000]  但義理的禱告有三個部分
[00:02:20.000 --> 00:02:24.000]  第五節至第十一節的上半節
[00:02:24.000 --> 00:02:27.000]  第四節當然是宣告神自己的名
[00:02:27.000 --> 00:02:29.000]  然後就開始禱告
[00:02:29.000 --> 00:02:31.000]  第五節一直到第十一節
[00:02:31.000 --> 00:02:32.000]  是認罪
[00:02:32.000 --> 00:02:34.000]  為了以色列人來認罪
[00:02:34.000 --> 00:02:36.000]  但義理的祈禱很特別
[00:02:36.000 --> 00:02:38.000]  但義理沒有說他們有什麼罪
[00:02:38.000 --> 00:02:40.000]  他們有什麼罪
[00:02:40.000 --> 00:02:42.000]  但義理說我們得罪了你
[00:02:42.000 --> 00:02:44.000]  但義理將他自己的生命
[00:02:44.000 --> 00:02:48.000]  和以色列人的命運連在一起
[00:02:48.000 --> 00:02:51.000]  雖然但義理所數算這些罪的時候
[00:02:51.000 --> 00:02:53.000]  我相信但義理他自己沒有犯
[00:02:53.000 --> 00:02:55.000]  但是他的民族犯
[00:02:55.000 --> 00:02:57.000]  他就用我們
[00:02:57.000 --> 00:02:59.000]  正如我們香港人
[00:02:59.000 --> 00:03:01.000]  很多時候就算我們祈禱
[00:03:01.000 --> 00:03:02.000]  大陸什麼什麼
[00:03:02.000 --> 00:03:04.000]  大陸人怎樣怎樣
[00:03:04.000 --> 00:03:08.000]  他們和我們一樣流著同一個血
[00:03:08.000 --> 00:03:10.000]  代禱不是指責
[00:03:10.000 --> 00:03:12.000]  代禱是將自己的生命
[00:03:12.000 --> 00:03:15.000]  連結起民族的命運
[00:03:15.000 --> 00:03:16.000]  悲慘
[00:03:16.000 --> 00:03:17.000]  為以色列人的罪
[00:03:17.000 --> 00:03:20.000]  來到一起去承認那個過法
[00:03:20.000 --> 00:03:22.000]  然後第二段
[00:03:22.000 --> 00:03:24.000]  第十一節到第十四節
[00:03:24.000 --> 00:03:25.000]  這幾節裏面
[00:03:25.000 --> 00:03:28.000]  但義理說我們無話可說
[00:03:28.000 --> 00:03:30.000]  無法推諉
