
[00:00:00.000 --> 00:00:10.060]  聽者們平安!今早我們一起敬拜的時候,我們一起看神的話語,
[00:00:10.060 --> 00:00:18.480]  今天題目是在《晨風》當中找回神的說話和律法書,
[00:00:18.480 --> 00:00:23.280]  剛才我們所讀的聖經都很清楚,不過如果你可以的話,
[00:00:23.280 --> 00:00:34.960]  再打開我們唐用的聖經572頁,我們看《列王記》下第22章和第23章,
[00:00:34.960 --> 00:00:41.460]  其實這個記載同樣在歷代之下34至35章都有的,
[00:00:41.460 --> 00:00:50.540]  不過我們特別在聖經裏面看看神對我們講什麼話,
[00:00:50.540 --> 00:00:58.300]  這件事發生在約西亞王26歲的時候,
[00:00:58.300 --> 00:01:04.420]  他派他們的官員去重修聖殿,
[00:01:04.420 --> 00:01:14.940]  於是就在垃圾堆那裡竟然找回神自己的說話,就是摩西的律法書,
[00:01:14.940 --> 00:01:23.760]  於是他就拿去給皇帝看,皇帝看了整個人很震撼,撕裂衣服,
[00:01:23.760 --> 00:01:28.220]  就下令我們全國要在神面前悔改,
[00:01:28.220 --> 00:01:34.320]  然後就將這個信息交給當時另外一個女先知再去解釋,
[00:01:34.320 --> 00:01:40.940]  這個叫做古勒大的女先知,將神自己那種嚴厲再次宣告,
[00:01:40.940 --> 00:01:49.300]  於是全國的人民就能夠在神的面前重新復興起來,
[00:01:49.300 --> 00:01:56.380]  甚至23章那裡講說,那個地步他們手如雨節,
[00:01:56.380 --> 00:02:01.340]  去敬拜神重新來過,甚至聖經的評述說,
[00:02:01.340 --> 00:02:07.620]  自從薩姆爾以後,就是在士思的時代以後,
[00:02:07.620 --> 00:02:11.540]  到現在這麼多年來都沒試過這麼好的,
[00:02:11.540 --> 00:02:16.500]  這個令我們很震撼的一段記載,
[00:02:16.500 --> 00:02:22.060]  今天我們來研究一下這段記載好不好?
[00:02:22.060 --> 00:02:30.100]  我想和大家看一下這段記載裡面,特別有幾個人聖經是講的,
[00:02:30.100 --> 00:02:38.020]  總共有四個,他們看到神的說話,律法書的時候都有不同的反應,
[00:02:38.020 --> 00:02:39.660]  為什麼有不同的反應呢?
[00:02:39.660 --> 00:02:44.180]  不如我試一下講一個我想起的經驗給你們聽,
[00:02:44.180 --> 00:02:51.180]  若干年前我因為教學的緣故就去了中國很遠的青海省那裡,
[00:02:51.180 --> 00:02:55.140]  去一個城市,應該沒有記錯就是西寧市,
[00:02:55.140 --> 00:03:00.860]  那裡有交流,剛去到還沒開始開會,
[00:03:00.860 --> 00:03:03.700]  有些時間下午就自己走出去看看,
