
[00:00:00.000 --> 00:00:13.980]  我自己沒有看清楚經文,其實我們編排了四張,整張,所以你們今天看十九節,
[00:00:13.980 --> 00:00:33.960]  一到四十九,那個是Typo,但時間是一樣的,他不會因為這個緣故,讓我說長一點,
[00:00:33.960 --> 00:00:42.960]  因為現代的教會是很有規範的,因為時間緊迫等各樣東西。
[00:00:42.960 --> 00:00:55.960]  好,感謝陳雅今晚再跟大家分享文掃記,在文掃記這個書卷裏面,我們可以在上次我和大家講第三章的時候,
[00:00:55.960 --> 00:01:09.960]  其實已經和大家有一些看見,第三章和第四章是完全緊密相連的,因為兩章聖經都是在講利未三個兒子,
[00:01:09.960 --> 00:01:21.960]  他們怎樣分工,怎樣在會幕當中服侍神,那為什麼要這麼沉氣呢?要分兩章都是不斷的篇幅去講的,
[00:01:21.960 --> 00:01:37.960]  我們要來了解一下,第三章所講的是利未人的身份,和他們被上帝呼召代替以色列人的長子,他們被分派守護這個會幕。
[00:01:37.960 --> 00:01:52.960]  如果我用兩個英文字去概括,會比較容易記,who and where,他們是什麼人呢?利未是什麼人,為什麼神要特別分別出來呢?
[00:01:52.960 --> 00:02:09.960]  他們是十二個支派其中一個支派,但是上帝要他們來替代以色列所有的長子,歸耶和華為聖,他們是專職的來在這個會幕裏面侍奉。
[00:02:09.960 --> 00:02:22.960]  第四章又講什麼呢?第四章就是講他們實際的服侍和操作是怎樣,你可以說他們做什麼,和他們怎樣去做。
[00:02:22.960 --> 00:02:34.960]  所以如果用兩個英文字,你就很容易記了,what and how,他們究竟是做些什麼,怎樣去accomplish這些事情呢?
[00:02:34.960 --> 00:02:47.960]  第四章就是要他們吩咐數點利未人當中的壯年人,是30到50歲,和第三章叫他們數點利未人是不同的。
[00:02:47.960 --> 00:03:12.960]  當時利未人在第三章的數點就是由一個月大,他們整個的支派這個民族數出來的,那個是總人口,但是這次是要講在這個總人口裏面,就是一班人是要來到他們有體力的,有力量的,要來到去侍奉神。
[00:03:12.960 --> 00:03:31.960]  侍奉神不單止是講我們的態度,我們的心思,我們的意念,也都講我們需要有一個健康的身體,你沒有了健康的身體,你是很難在一些長期的服侍裏面。
[00:03:31.960 --> 00:03:50.960]  特別你看到很多宣教士,他們都是不容易的,在一個跨文化的地位,他們怎樣來到呢?是驚而淚月,他們要默默耕耘,甚至有時看不到眼前有幾多的即時的效果的時候,你是不是就灰心喪志呢?
[00:03:50.960 --> 00:04:07.960]  還是因為你清楚上帝的那個揀選和呼召,就好像這班利美人一樣,他們要忠心,他們都要很細心,他們按著這個家族分工,負責會幕的拆卸、搬運和看守的事。
[00:04:07.960 --> 00:04:24.960]  好像會幕在移動的時候,神說我們起行了,他們馬上就分工了,這三個家族是各司其職,而且他們有秩序,誰先走,誰後走,全部有規有矩的。
[00:04:24.960 --> 00:04:42.960]  為什麼呢?因為你想一下,在曠野的地方,如果只是說以色列這一班民眾,他們在會幕四周紮營,我們說的是有二百多萬人,這個不是小的數目。
[00:04:42.960 --> 00:04:57.960]  所以我們今天試一下來看這段聖經的時候,和大家好快重溫一下,在第三章的時候,我們見到這三個宗族,他們會替亞倫加,即是祭司和會眾去辦理會幕所有的事。
[00:04:57.960 --> 00:05:22.960]  這個會幕在東邊就是摩西亞倫,他們祭司家紮營在那裡,這個是東邊。利美的大兒子就是格遜,他就在西邊。利美的次子就是哥核族,就在南邊。
[00:05:22.960 --> 00:05:34.960]  這個第三個兒子就是米拉利族,就在北邊。其實上一堂有提過,我們來看看他們如何各司其職。
[00:05:34.960 --> 00:05:50.960]  其實這裡說的是他們要負責的事,因為經文本身很長,我需要濃縮一點,和大家分段落,讓大家了解。
[00:05:50.960 --> 00:06:07.960]  第一個說的是哥核族,等下我會再和大家思想。哥核是利美的長子嗎?不是,竟然是次子行頭,很奇怪。
[00:06:07.960 --> 00:06:23.960]  但你又要看到上帝的心意,就是要利美去取代以色列所有的長子。在聖經裏面,你看以素亞各兩兄弟,結果是神選擇了次子亞各。
[00:06:23.960 --> 00:06:38.960]  有很多這些例證讓我們知道,一般來說他們是長子,就是家庭或家族的承傳人,但不一定是這樣。上帝是挑選超過人的想法。
[00:06:38.960 --> 00:06:53.960]  第二個就是格遜族,哥核族是負責聖所和致聖所的器具和物件。
[00:06:53.960 --> 00:07:20.960]  格遜族負責管理布料,所有與布匹有關的,他們都要負責。
[00:07:20.960 --> 00:07:41.960]  米拉利族負責整個繪幕的結構,包括撐起帳幕的板、山、柱子、座、原子四圍的柱子,全部都與他們有關。
[00:07:41.960 --> 00:08:02.960]  所以其實是繁複的。利未三子在三十四到四十五節是說他們要數點自己的宗族人數,是說由三十歲到五十歲。
[00:08:02.960 --> 00:08:21.960]  接著我們再看下去,這三個段落講到這三個家族,你可以看到他們有一些類似的地方,特別是神吩咐他們去數點的時候,
[00:08:21.960 --> 00:08:35.960]  他透過摩西和亞倫大祭司去吩咐他們去數點,另外他會看見神吩咐他們所要負責繪幕有關的工作。
[00:08:35.960 --> 00:08:44.960]  這個分工不是他們自己選擇的,不是說我喜歡做這些,不是的,原來是上帝一早命定。
[00:08:44.960 --> 00:08:55.960]  我們試試看這個平面圖,很容易理解,其實我說容易,其實是幫大家省一點時間。
[00:08:55.960 --> 00:09:04.960]  是因為這個圖表將這三個宗族他們所要負責的事情都講出來了。
[00:09:04.960 --> 00:09:30.960]  你看這個高赫族在這個圖表下面,他在這個繪幕的紮營就在他南邊,他們就是負責致聖所這個藥櫃和聖所裡擺設這個陳設餅的金燈台和獻的香,香壇,祈禱。
[00:09:30.960 --> 00:09:41.960]  外面這個就是祭壇在這個院子裡面,所以我們看到這個繪幕他們每人有負責不同的事情。
[00:09:41.960 --> 00:09:56.960]  高赫族就負責整個聖所和致聖所這個範圍所有事情是屬於他們,包括這個院子外面的祭壇他們都要負責。
[00:09:56.960 --> 00:10:09.960]  好了,另外這個格遜族的長子其實紮營就在北邊,他們負責就是關於這個布匹,
[00:10:09.960 --> 00:10:29.960]  所有這些聖所是因為用布,這個海狗皮,他們來到是一路鋪著在這個聖所和致聖所之間都是的,他們就要負責這些東西。
[00:10:29.960 --> 00:10:41.960]  我們再看下去,這三個段落有類似的第三個地方就是他們都是有一個supervisor,
[00:10:41.960 --> 00:10:51.960]  上帝是要他們負責不同的事情,說明他們要負責什麼工作,但是在他們上面是有一個祭司督導他們的。
