
[00:00:00.000 --> 00:00:02.000]  (閩南語)
[00:00:02.000 --> 00:00:06.000]  信眾姐妹平安
[00:00:06.000 --> 00:00:09.400]  很開心又回到這個大禮堂
[00:00:09.400 --> 00:00:14.300]  很感恩今天是新年的第一個崇拜
[00:00:14.300 --> 00:00:17.100]  能夠跟大家一起來分享神的話語
[00:00:17.100 --> 00:00:21.600]  先祝大家新年進步 主恩常在
[00:00:21.600 --> 00:00:26.600]  今天我們要一起來看今天這段經文
[00:00:26.600 --> 00:00:30.200]  在這個時候我想回顧一下
[00:00:30.200 --> 00:00:33.600]  我們在2019到2022年
[00:00:33.600 --> 00:00:37.200]  經歷了好多不容易的事情
[00:00:37.200 --> 00:00:43.000]  我們感恩真的在昨天晚上正式過去了
[00:00:43.000 --> 00:00:45.200]  但是我們要問的是
[00:00:45.200 --> 00:00:49.600]  我們應該如何去面對新的一年呢?
[00:00:49.600 --> 00:00:52.600]  作為基督徒
[00:00:52.600 --> 00:00:57.600]  我們要在過去的幾年是如何跟隨耶穌的呢?
[00:00:57.600 --> 00:01:00.600]  不如就在我們新的一年的第一天
[00:01:00.600 --> 00:01:03.600]  我們好好的做這個反省
[00:01:03.600 --> 00:01:08.200]  與其說我們是怎麼樣的去做出各種的調整
[00:01:08.200 --> 00:01:10.000]  我們不要忽略了
[00:01:10.000 --> 00:01:13.600]  我們作為基督徒在我們信仰的層面
[00:01:13.600 --> 00:01:15.600]  我們是怎樣跟隨耶穌
[00:01:15.600 --> 00:01:18.800]  其實在過去的幾年發生了很多的事情
[00:01:18.800 --> 00:01:22.800]  也挑戰了你對自己的自我認識
[00:01:22.800 --> 00:01:24.800]  有些時候沒有想到自己
[00:01:24.800 --> 00:01:27.800]  原來是會這麼討厭一件事情的
[00:01:27.800 --> 00:01:31.200]  就在疫情期間也好 社會事件也好
[00:01:31.200 --> 00:01:34.600]  你發現自己原來也有情緒
[00:01:34.600 --> 00:01:38.600]  在過程中到底你學到了什麼?
[00:01:38.600 --> 00:01:39.800]  還有一個就是
[00:01:39.800 --> 00:01:43.600]  我們把一些以前我們看為理所當然的事情
[00:01:43.600 --> 00:01:45.600]  我們很多人都看見
[00:01:45.600 --> 00:01:49.600]  原來我們在過程中發現那些不是理所當然的
[00:01:49.600 --> 00:01:50.600]  比如說什麼呢?
[00:01:50.600 --> 00:01:55.600]  健康、自由、跟朋友一起去吃飯
[00:01:55.600 --> 00:01:59.600]  不用戴口罩在街上走等等
[00:01:59.600 --> 00:02:02.600]  這些以前我們當作是理所當然的
[00:02:02.600 --> 00:02:05.600]  但是在整個過程裡面
[00:02:05.600 --> 00:02:08.600]  我們就好像發現這些都不是
[00:02:08.600 --> 00:02:10.600]  這些都是很重要的功課
[00:02:10.600 --> 00:02:14.600]  但是我想鼓勵大家多一點去思想的是
[00:02:14.600 --> 00:02:17.600]  信仰方面
[00:02:17.600 --> 00:02:21.600]  你有沒有發現自己是一個怎樣的基督徒?
