
[00:00:00.000 --> 00:00:02.000]  謝謝各位觀眾
[00:00:02.000 --> 00:00:04.000]  大家會看到今天的這段經文
[00:00:04.000 --> 00:00:06.000]  都頗有挑戰性的
[00:00:06.000 --> 00:00:08.000]  不過我想問大家一個問題
[00:00:08.000 --> 00:00:10.000]  當大家看到第一節
[00:00:10.000 --> 00:00:12.000]  第一節說
[00:00:12.000 --> 00:00:14.000]  關於我們主耶穌基督的來臨
[00:00:14.000 --> 00:00:16.000]  以及我們
[00:00:16.000 --> 00:00:18.000]  到他那裡聚集
[00:00:18.000 --> 00:00:20.000]  看到這個的時候
[00:00:20.000 --> 00:00:22.000]  不知道大家心裡有沒有一個感覺
[00:00:22.000 --> 00:00:24.000]  或者和我有同一個疑惑
[00:00:24.000 --> 00:00:26.000]  就是
[00:00:26.000 --> 00:00:28.000]  我們之前在
[00:00:28.000 --> 00:00:30.000]  在帖撒萊利加前書
[00:00:30.000 --> 00:00:32.000]  已經提過主坐來的狀況
[00:00:32.000 --> 00:00:34.000]  是不是
[00:00:34.000 --> 00:00:36.000]  記不記得
[00:00:36.000 --> 00:00:38.000]  在帖撒萊利加前書第四第五章
[00:00:38.000 --> 00:00:40.000]  正正是說這兩件事
[00:00:40.000 --> 00:00:42.000]  就是我們到他那裡聚集
[00:00:42.000 --> 00:00:44.000]  以及主基督的來臨
[00:00:44.000 --> 00:00:46.000]  例如在
[00:00:46.000 --> 00:00:48.000]  帖前的四章
[00:00:48.000 --> 00:00:50.000]  他這樣說
[00:00:50.000 --> 00:00:52.000]  我讀highlight的地方
[00:00:52.000 --> 00:00:54.000]  主必親自從天降臨
[00:00:54.000 --> 00:00:56.000]  那在基督裡死了的人必先復活
[00:00:56.000 --> 00:00:58.000]  然後我們這些活著
[00:00:58.000 --> 00:01:00.000]  還存留的人
[00:01:00.000 --> 00:01:02.000]  必和他們一同被提到
[00:01:02.000 --> 00:01:04.000]  魂裡
[00:01:04.000 --> 00:01:06.000]  在空中與主相會
[00:01:06.000 --> 00:01:08.000]  另一方面
[00:01:08.000 --> 00:01:10.000]  帖前的五章在下面
[00:01:10.000 --> 00:01:12.000]  都有這樣說
[00:01:12.000 --> 00:01:14.000]  關於日期
[00:01:14.000 --> 00:01:16.000]  主的日子來到
[00:01:16.000 --> 00:01:18.000]  會像賊在夜間突然來到一樣
[00:01:18.000 --> 00:01:20.000]  那裡是帖前的經文
[00:01:20.000 --> 00:01:22.000]  那裡是帖前的經文
[00:01:22.000 --> 00:01:24.000]  我們要問的就是
[00:01:24.000 --> 00:01:26.000]  為什麼保羅在帖前
[00:01:26.000 --> 00:01:28.000]  說完之後
[00:01:28.000 --> 00:01:30.000]  在帖後的地方
[00:01:30.000 --> 00:01:32.000]  再提及有關主的日子呢
[00:01:32.000 --> 00:01:34.000]  再提及有關主的日子呢
[00:01:34.000 --> 00:01:36.000]  究竟保羅寫信的目的是什麼呢
[00:01:36.000 --> 00:01:38.000]  究竟保羅寫信的目的是什麼呢
[00:01:38.000 --> 00:01:40.000]  原來在當時
[00:01:40.000 --> 00:01:42.000]  當教會收到保羅的帖
[00:01:42.000 --> 00:01:44.000]  撒萊利加前書
[00:01:44.000 --> 00:01:46.000]  好一段時間之後
[00:01:46.000 --> 00:01:48.000]  教會就發生了一些新的問題
[00:01:48.000 --> 00:01:50.000]  教會就發生了一些新的問題
[00:01:50.000 --> 00:01:52.000]  就是當時教會在裡面
[00:01:52.000 --> 00:01:54.000]  主的誤會還沒有處理
[00:01:54.000 --> 00:01:56.000]  反而變本加厲
[00:01:56.000 --> 00:01:58.000]  反而變本加厲
[00:01:58.000 --> 00:02:00.000]  問題是什麼呢
[00:02:00.000 --> 00:02:02.000]  大家也看到了
[00:02:02.000 --> 00:02:04.000]  無論直著靈
[00:02:04.000 --> 00:02:06.000]  直著言語
[00:02:06.000 --> 00:02:08.000]  直著冒我的名社的書信
[00:02:08.000 --> 00:02:10.000]  說主的日子已經到了
[00:02:10.000 --> 00:02:12.000]  說主的日子已經到了
[00:02:12.000 --> 00:02:14.000]  原來問題就是
[00:02:14.000 --> 00:02:16.000]  在帖撒萊利加教會裡面
[00:02:16.000 --> 00:02:18.000]  突然流傳了一個說法
[00:02:18.000 --> 00:02:20.000]  一個消息
[00:02:20.000 --> 00:02:22.000]  就是主的日子已經到了
[00:02:22.000 --> 00:02:24.000]  就是主的日子已經到了
[00:02:24.000 --> 00:02:26.000]  主耶穌已經回來了
[00:02:26.000 --> 00:02:28.000]  哇
[00:02:28.000 --> 00:02:30.000]  今天你和我
[00:02:30.000 --> 00:02:32.000]  聽到這句說話
[00:02:32.000 --> 00:02:34.000]  不知道大家有什麼感覺
[00:02:34.000 --> 00:02:36.000]  我想不外乎有幾個反應
[00:02:36.000 --> 00:02:38.000]  我想不外乎有幾個反應
[00:02:38.000 --> 00:02:40.000]  第一 哪有可能
[00:02:40.000 --> 00:02:42.000]  如果是我就不會在這裡
[00:02:42.000 --> 00:02:44.000]  我哪有可能不知道呢
[00:02:44.000 --> 00:02:46.000]  第二個反應就是
[00:02:46.000 --> 00:02:48.000]  第二個反應就是
[00:02:48.000 --> 00:02:50.000]  為什麼 耶穌
[00:02:50.000 --> 00:02:52.000]  他丟下了我們在這裡
[00:02:52.000 --> 00:02:54.000]  而第三個
[00:02:54.000 --> 00:02:56.000]  更加真實的反應
[00:02:56.000 --> 00:02:58.000]  就是你也傻傻的
[00:02:58.000 --> 00:03:00.000]  亂說話
[00:03:00.000 --> 00:03:02.000]  我相信我們今天
[00:03:02.000 --> 00:03:04.000]  作為大英姐妹也很醒目
[00:03:04.000 --> 00:03:06.000]  聽到這些說話其實不會相信
[00:03:06.000 --> 00:03:08.000]  因為今天是講求
[00:03:08.000 --> 00:03:10.000]  所謂的Fact Check
[00:03:10.000 --> 00:03:12.000]  的一個年代
[00:03:12.000 --> 00:03:14.000]  不過對於當時2000年前的
[00:03:14.000 --> 00:03:16.000]  信徒來說
[00:03:16.000 --> 00:03:18.000]  不是那麼容易去分辨
[00:03:18.000 --> 00:03:20.000]  尤其是那些正在面對
[00:03:20.000 --> 00:03:22.000]  Big Bad的信徒
[00:03:22.000 --> 00:03:24.000]  他們遲遲都未見到
[00:03:24.000 --> 00:03:26.000]  主的在來
[00:03:26.000 --> 00:03:28.000]  他們可能心裡在想
[00:03:28.000 --> 00:03:30.000]  主是不是要丟下他們
[00:03:30.000 --> 00:03:32.000]  主是不是丟下他們
[00:03:32.000 --> 00:03:34.000]  又或者他們面對著Big Bad
[00:03:34.000 --> 00:03:36.000]  他們覺得上帝都未和他們去伸冤
[00:03:36.000 --> 00:03:38.000]  他們就誤會了
[00:03:38.000 --> 00:03:40.000]  有個錯覺 以為主已經來了
[00:03:40.000 --> 00:03:42.000]  主已經來了
[00:03:42.000 --> 00:03:44.000]  有人就嘗試
[00:03:44.000 --> 00:03:46.000]  去推測他們當時
[00:03:46.000 --> 00:03:48.000]  這群信徒的心境
[00:03:48.000 --> 00:03:50.000]  他們的處境
[00:03:50.000 --> 00:03:52.000]  他們可能心裡在想
[00:03:52.000 --> 00:03:54.000]  基督已經回來了
[00:03:54.000 --> 00:03:56.000]  為什麼我會不知道
[00:03:56.000 --> 00:03:58.000]  為什麼我還會在這裡
