
[00:00:00.000 --> 00:00:05.000]  (麥克風轉動)
[00:00:05.000 --> 00:00:06.000]  大家午安
[00:00:06.000 --> 00:00:10.000]  今天很開心可以在這裡跟大家分享神的訊息
[00:00:10.000 --> 00:00:12.000]  大家可能對我有少許陌生
[00:00:12.000 --> 00:00:15.000]  因為我是負責即稱和學稱的目者
[00:00:15.000 --> 00:00:20.000]  所以很少在10時半在禮堂見到大家
[00:00:20.000 --> 00:00:23.000]  在我開始進入訊息之前
[00:00:23.000 --> 00:00:26.000]  我想跟大家說一個小故事
[00:00:26.000 --> 00:00:29.000]  在我之前讀神學的時候
[00:00:29.000 --> 00:00:31.000]  有一天上課
[00:00:31.000 --> 00:00:34.000]  我旁邊的同學突然問我
[00:00:34.000 --> 00:00:39.000]  Karen 你可否借一塊眼鏡布給我擦眼鏡
[00:00:39.000 --> 00:00:43.000]  我剛剛在某個地方拿了一塊贈品眼鏡布
[00:00:43.000 --> 00:00:45.000]  我便給她
[00:00:45.000 --> 00:00:47.000]  她擦完之後
[00:00:47.000 --> 00:00:48.000]  她說
[00:00:48.000 --> 00:00:51.000]  哇! 世界突然變得很清楚
[00:00:51.000 --> 00:00:55.000]  她說我的世界突然變得很清楚
[00:00:55.000 --> 00:00:57.000]  那時我心想
[00:00:57.000 --> 00:00:59.000]  我平時是怎樣看東西的
[00:00:59.000 --> 00:01:01.000]  但這樣想後
[00:01:01.000 --> 00:01:04.000]  我有一個更深的想法
[00:01:04.000 --> 00:01:09.000]  其實有很多時候我們眼睛看到的東西
[00:01:09.000 --> 00:01:11.000]  以為是很真實
[00:01:11.000 --> 00:01:13.000]  亦是事實的全部
[00:01:13.000 --> 00:01:15.000]  不過是否呢?
[00:01:15.000 --> 00:01:17.000]  原來一個很簡單的蒙眼鏡
[00:01:17.000 --> 00:01:21.000]  已經可以扭曲我們的視覺
[00:01:21.000 --> 00:01:24.000]  所以我想藉著這個
[00:01:24.000 --> 00:01:28.000]  跟大家分享一個開眼睛視我看見的事實
[00:01:28.000 --> 00:01:30.000]  看我們今天所看到的
[00:01:30.000 --> 00:01:31.000]  以為是事實
[00:01:31.000 --> 00:01:34.000]  是否一定是全部的事實呢?
[00:01:34.000 --> 00:01:36.000]  在我們今天所看的經文裏
[00:01:36.000 --> 00:01:37.000]  啟示錄
[00:01:37.000 --> 00:01:39.000]  若看見一個異象
[00:01:39.000 --> 00:01:41.000]  那一刻的若翰
[00:01:41.000 --> 00:01:44.000]  就好像被帶離開這個世界
[00:01:44.000 --> 00:01:45.000]  升到天上
[00:01:45.000 --> 00:01:46.000]  而若翰的讀者
[00:01:46.000 --> 00:01:48.000]  當代的讀者和我們
[00:01:48.000 --> 00:01:52.000]  亦都同時跟他一起升到天上
[00:01:52.000 --> 00:01:54.000]  從天空上看下來
[00:01:54.000 --> 00:01:56.000]  現在的世界
[00:01:56.000 --> 00:01:57.000]  若翰說
[00:01:57.000 --> 00:01:59.000]  他在異象裏見到一個
[00:01:59.000 --> 00:02:01.000]  好像人質般的人
[00:02:01.000 --> 00:02:02.000]  揭示給他看
[00:02:02.000 --> 00:02:06.000]  在當時羅馬統治的迫迫之下
[00:02:06.000 --> 00:02:08.000]  如果從神的視覺
[00:02:08.000 --> 00:02:10.000]  從上面看下來
[00:02:10.000 --> 00:02:14.000]  究竟是真正發生甚麼事情呢?
[00:02:14.000 --> 00:02:17.000]  而若翰所看到的東西
[00:02:17.000 --> 00:02:21.000]  今天又怎樣幫到我們呢?
[00:02:21.000 --> 00:02:23.000]  我們看的經文
[00:02:23.000 --> 00:02:25.000]  分了三個段落
[00:02:25.000 --> 00:02:27.000]  是三個不同的看見
[00:02:27.000 --> 00:02:28.000]  不同的向度的看見
[00:02:28.000 --> 00:02:30.000]  第一個就是若翰
[00:02:30.000 --> 00:02:33.000]  在異象當中見到榮耀的主
[00:02:33.000 --> 00:02:35.000]  在不同的空間裏
[00:02:35.000 --> 00:02:36.000]  第二個就是
[00:02:36.000 --> 00:02:37.000]  在綜活的角度
[00:02:37.000 --> 00:02:39.000]  看當時的處境
[00:02:39.000 --> 00:02:42.000]  在時間性不同的角度
[00:02:42.000 --> 00:02:43.000]  第三個就是
[00:02:43.000 --> 00:02:44.000]  從已不鎖教會
[00:02:44.000 --> 00:02:46.000]  重新去看起初的愛
[00:02:46.000 --> 00:02:49.000]  在其他教會側面的角度去看
[00:02:49.000 --> 00:02:53.000]  我們看第一個段落
[00:02:53.000 --> 00:02:56.000]  若翰在異象當中見到榮耀的主
[00:02:56.000 --> 00:02:59.000]  我們一起讀出啟示錄
[00:02:59.000 --> 00:03:01.000]  一章九至十一節
[00:03:01.000 --> 00:03:03.000]  好,預備起
[00:03:03.000 --> 00:03:06.000]  若翰,就是你們的弟兄
[00:03:06.000 --> 00:03:09.000]  和你們在耶穌的患難
[00:03:09.000 --> 00:03:11.000]  國度、忍耐裡
[00:03:11.000 --> 00:03:14.000]  一同有份為神的道
[00:03:14.000 --> 00:03:16.000]  並為給耶穌作的見證
[00:03:16.000 --> 00:03:20.000]  曾在那名叫拔摩的海島上
[00:03:20.000 --> 00:03:23.000]  當主日,我被聖靈感動
[00:03:23.000 --> 00:03:27.000]  聽見在我後面有大聲音如吹號說
[00:03:27.000 --> 00:03:30.000]  你所看見的當寫在書上
[00:03:30.000 --> 00:03:32.000]  達與爾忽索
[00:03:32.000 --> 00:03:33.000]  是美蘭
[00:03:33.000 --> 00:03:34.000]  別加摩
[00:03:34.000 --> 00:03:36.000]  推亞推拿
[00:03:36.000 --> 00:03:37.000]  撒迪
[00:03:37.000 --> 00:03:38.000]  菲拉鐵菲
[00:03:38.000 --> 00:03:39.000]  盧底加
[00:03:39.000 --> 00:03:42.000]  那七個教會
[00:03:42.000 --> 00:03:45.000]  若翰說和讀者一同在患難
[00:03:45.000 --> 00:03:49.000]  國度和忍耐裡有份
[00:03:49.000 --> 00:03:52.000]  嘗試和他們產生一份共鳴
[00:03:52.000 --> 00:03:53.000]  在新約裡
[00:03:53.000 --> 00:03:56.000]  患難很多時形容末世的磨難
[00:03:56.000 --> 00:03:59.000]  而對於當時在羅馬帝國
[00:03:59.000 --> 00:04:01.000]  小亞細亞的基督徒來說
[00:04:01.000 --> 00:04:05.000]  這包括流放、坐牢
[00:04:05.000 --> 00:04:08.000]  被社會排斥、經濟剝削
[00:04:08.000 --> 00:04:10.000]  和暴力對待等等
[00:04:10.000 --> 00:04:12.000]  若翰當時是疑他自己
[00:04:12.000 --> 00:04:15.000]  因為他傳神的道
[00:04:15.000 --> 00:04:17.000]  為耶穌作見證
[00:04:17.000 --> 00:04:19.000]  而被流放在拔摩島
[00:04:19.000 --> 00:04:22.000]  和他的讀者一起在患難中
[00:04:22.000 --> 00:04:24.000]  面對患難
[00:04:24.000 --> 00:04:28.000]  很直接的回應就是要忍耐
[00:04:28.000 --> 00:04:30.000]  忍耐就是抵擋世界的試探
[00:04:30.000 --> 00:04:33.000]  而且在不信任的人的逼迫下
[00:04:33.000 --> 00:04:35.000]  堅定不移
[00:04:35.000 --> 00:04:36.000]  但很特別
[00:04:36.000 --> 00:04:39.000]  患難和忍耐夾著國度
[00:04:39.000 --> 00:04:40.000]  這個國度是甚麼呢?
[00:04:40.000 --> 00:04:44.000]  國度是指神的王權和統治
[00:04:44.000 --> 00:04:46.000]  而這個國度直至耶穌基督
[00:04:46.000 --> 00:04:50.000]  第一次來到世界上已經臨到
[00:04:50.000 --> 00:04:52.000]  但又未完全臨到
[00:04:52.000 --> 00:04:55.000]  因為撒旦未被完全消滅
[00:04:55.000 --> 00:04:58.000]  撒旦仍然在世界上作王
[00:04:58.000 --> 00:05:03.000]  但國度會在耶穌基督第二次回來時
[00:05:03.000 --> 00:05:04.000]  就會完全臨到
[00:05:04.000 --> 00:05:06.000]  撒旦就會完全被消滅
[00:05:06.000 --> 00:05:10.000]  而我們正在經歷中間的過渡期
[00:05:10.000 --> 00:05:12.000]  是一個已然未然
[00:05:12.000 --> 00:05:14.000]  Already but not yet 的時期
[00:05:14.000 --> 00:05:18.000]  其實啟示錄整個書信中
[00:05:18.000 --> 00:05:21.000]  都是在說信徒在這個已然未然
[00:05:21.000 --> 00:05:24.000]  Already but not yet 的過渡期中
[00:05:24.000 --> 00:05:27.000]  必須要去忍耐邪惡
[00:05:27.000 --> 00:05:30.000]  約翰好像在提醒讀者和我們
[00:05:30.000 --> 00:05:33.000]  他說「是的,我們會遭遇患難」
[00:05:33.000 --> 00:05:36.000]  「但在最後的國度來臨時」
[00:05:36.000 --> 00:05:40.000]  「我們會在耶穌基督的統治下得到平反」
[00:05:40.000 --> 00:05:42.000]  「和祂共享榮耀」
[00:05:42.000 --> 00:05:46.000]  「但在那個時候來臨前,我們要忍耐」
[00:05:46.000 --> 00:05:48.000]  約翰說他被聖靈感動
[00:05:48.000 --> 00:05:50.000]  聽見後面有把聲音
[00:05:50.000 --> 00:05:54.000]  就叫他將所有他見到的都寫在書上
[00:05:54.000 --> 00:05:56.000]  傳給七個教會
[00:05:56.000 --> 00:05:59.000]  我們稍後看約翰所見到的異象
[00:05:59.000 --> 00:06:02.000]  是包含著不少的舊約背景和預表
[00:06:02.000 --> 00:06:05.000]  特別是在先知書中,例如《但以理書》
[00:06:05.000 --> 00:06:07.000]  而約翰那個時代的讀者
[00:06:07.000 --> 00:06:10.000]  其實一聽到這些異象
