
[00:00:00.000 --> 00:00:03.400]  願意我們繼續以聆聽聲道
[00:00:03.400 --> 00:00:05.400]  繼續我們的敬拜
[00:00:05.400 --> 00:00:08.400]  今日我們選讀的經文是舊約聖經
[00:00:08.400 --> 00:00:10.400]  舊約聖經
[00:00:10.400 --> 00:00:16.400]  大家在教會上的聖經是第266至267頁
[00:00:16.400 --> 00:00:20.400]  我們選讀的是舊約的約書亞記第四章
[00:00:20.400 --> 00:00:24.400]  約書亞記第四章第十九至二十四節
[00:00:24.400 --> 00:00:29.400]  請聽我讀出
[00:00:29.400 --> 00:00:31.400]  正月初十日
[00:00:31.400 --> 00:00:35.400]  百姓從約旦河裡上來
[00:00:35.400 --> 00:00:37.400]  就在吉格
[00:00:37.400 --> 00:00:40.400]  在耶利哥的東邊安營
[00:00:40.400 --> 00:00:46.400]  他們從約旦河中取來的那十二塊石頭
[00:00:46.400 --> 00:00:49.400]  約書亞就立在吉格
[00:00:49.400 --> 00:00:52.400]  對以色列人說
[00:00:52.400 --> 00:00:56.400]  日後你們的子孫問他們的父親說
[00:00:56.400 --> 00:00:59.400]  這些石頭是什麼意思
[00:00:59.400 --> 00:01:01.400]  你們就告訴他們說
[00:01:01.400 --> 00:01:06.400]  以色列人曾走乾地過這約旦河
[00:01:06.400 --> 00:01:09.400]  因為耶和華你們的神
[00:01:09.400 --> 00:01:14.400]  在你們前面使約旦河的水乾了
[00:01:14.400 --> 00:01:16.400]  等著你們過來
[00:01:16.400 --> 00:01:18.400]  就如耶和華你們的神
[00:01:18.400 --> 00:01:22.400]  從前在我們前面使紅海乾了
[00:01:22.400 --> 00:01:25.400]  等著我們過來一樣
[00:01:25.400 --> 00:01:28.400]  要使地上萬民都知道
[00:01:28.400 --> 00:01:31.400]  耶和華的手大有能力
[00:01:31.400 --> 00:01:37.400]  也是你們永遠敬畏耶和華你們的神
[00:01:37.400 --> 00:01:39.400]  (字幕:陳啟木)
[00:01:39.400 --> 00:01:41.400]  (字幕:陳啟木)
[00:01:41.400 --> 00:01:43.400]  (字幕:陳啟木)
[00:01:43.400 --> 00:01:45.400]  (字幕:陳啟木)
[00:01:46.400 --> 00:01:51.400]  今早很高興請到陳啟木師為我們宣講
[00:01:51.400 --> 00:01:54.400]  他的題目是「以石為基」
[00:01:54.400 --> 00:01:55.400]  「這些石頭是什麼意思」
[00:01:55.400 --> 00:01:57.400]  有請陳牧師
[00:01:57.400 --> 00:02:06.400]  各位姐妹早安
[00:02:06.400 --> 00:02:09.400]  今天很感恩可以在大家當中
[00:02:09.400 --> 00:02:12.400]  繼續去一起學習神的話語
[00:02:12.400 --> 00:02:15.400]  但最重要的是我們傳一個謙卑的心
[00:02:15.400 --> 00:02:18.400]  我們去禱告仰望上帝
[00:02:18.400 --> 00:02:22.400]  親愛的主我們謙卑在你面前
[00:02:22.400 --> 00:02:25.400]  我們懇求聖靈你光照我們
[00:02:25.400 --> 00:02:29.400]  讓我們有一顆聆聽的耳朵
[00:02:29.400 --> 00:02:30.400]  開放的心靈
[00:02:30.400 --> 00:02:32.400]  讓我們的心是一個好土
[00:02:32.400 --> 00:02:34.400]  可以盛載你的話語
[00:02:34.400 --> 00:02:37.400]  結出很多的果實
[00:02:37.400 --> 00:02:38.400]  求主幫助
[00:02:38.400 --> 00:02:40.400]  我們不敢誇什麼
[00:02:40.400 --> 00:02:44.400]  我們只求你幫助我們
[00:02:44.400 --> 00:02:45.400]  聽你入耳
[00:02:45.400 --> 00:02:47.400]  去改變我們的生命
[00:02:47.400 --> 00:02:48.400]  我們仰望你
[00:02:48.400 --> 00:02:50.400]  奉耶穌基督的聖名
[00:02:50.400 --> 00:02:51.400]  阿們
[00:02:51.400 --> 00:02:55.400]  我小兒子叫做天成
[00:02:55.400 --> 00:02:57.400]  他胸口有一條疤痕
[00:02:57.400 --> 00:02:59.400]  有一條幾吋長的疤痕
[00:02:59.400 --> 00:03:04.400]  是他六歲的時候做了一個心臟大手術
[00:03:04.400 --> 00:03:05.400]  就留下了
[00:03:05.400 --> 00:03:06.400]  我相信這個疤痕
[00:03:06.400 --> 00:03:09.400]  這一生應該也會伴隨著他
[00:03:09.400 --> 00:03:14.400]  天成天生有一個心房中隔缺損
[00:03:14.400 --> 00:03:15.400]  我們叫做ASD
[00:03:15.400 --> 00:03:19.400]  其實這樣的情況是很普遍的
[00:03:19.400 --> 00:03:23.400]  就是左右心房中間的中隔穿了一個洞
[00:03:23.400 --> 00:03:26.400]  但是天成的問題就是
[00:03:26.400 --> 00:03:30.400]  他的洞就在中隔的上方
[00:03:30.400 --> 00:03:31.400]  這個就比較罕有
[00:03:31.400 --> 00:03:34.400]  通常在中間或者下方比較多
[00:03:34.400 --> 00:03:38.400]  他在上方就很接近一條靜脈
[00:03:38.400 --> 00:03:42.400]  就不可以用微創去處理
[00:03:42.400 --> 00:03:46.400]  就要做一個開胸的手術
[00:03:46.400 --> 00:03:48.400]  就是要剖開胸部
[00:03:48.400 --> 00:03:50.400]  做的時候要用bypass
[00:03:50.400 --> 00:03:54.400]  其實他做的時候六歲
[00:03:54.400 --> 00:03:57.400]  其實我也有想過這個念頭
[00:03:57.400 --> 00:03:59.400]  我可能會失去這個兒子
[00:03:59.400 --> 00:04:04.400]  這個六歲的人去面對這麼大的手術
[00:04:04.400 --> 00:04:07.400]  大神的恩典就保存了他的生命
[00:04:07.400 --> 00:04:11.400]  他運過了這一次的危機
[00:04:11.400 --> 00:04:16.400]  但是他的胸口就留了一條很長的疤痕
[00:04:16.400 --> 00:04:18.400]  對天成來說
[00:04:18.400 --> 00:04:20.400]  或者對我一家來說
[00:04:20.400 --> 00:04:25.400]  這個標記不是一個苦難的標記
[00:04:25.400 --> 00:04:28.400]  這個標記就是讓我們去紀念
[00:04:28.400 --> 00:04:32.400]  原來神真的是生命的主宰
[00:04:32.400 --> 00:04:36.400]  他讓我們更加去感謝他
[00:04:36.400 --> 00:04:38.400]  更加去敬畏他
[00:04:38.400 --> 00:04:41.400]  更加去尊崇他
[00:04:41.400 --> 00:04:46.400]  我們人身上可能多少也有疤痕
[00:04:46.400 --> 00:04:48.400]  我不知道
[00:04:48.400 --> 00:04:50.400]  如果你有疤痕
[00:04:50.400 --> 00:04:52.400]  這些疤痕對你來說
[00:04:52.400 --> 00:04:54.400]  有沒有重要性呢?
[00:04:54.400 --> 00:04:56.400]  還是你要設法將它
[00:04:56.400 --> 00:05:00.400]  用一些除疤膏去處理呢?
[00:05:00.400 --> 00:05:03.400]  對我來說最有意義的疤痕
[00:05:03.400 --> 00:05:06.400]  也不是天成身上的疤痕
[00:05:06.400 --> 00:05:09.400]  最重要最有意義的疤痕
[00:05:09.400 --> 00:05:12.400]  是耶穌手上的釘痕
[00:05:12.400 --> 00:05:18.400]  我想這些釘痕不僅對多瑪很重要
[00:05:18.400 --> 00:05:20.400]  對第一代的門徒很重要
[00:05:20.400 --> 00:05:25.400]  對今天我們每一個信耶穌的人都很重要
[00:05:25.400 --> 00:05:31.400]  這些釘痕就仿似耶穌復活的標記
[00:05:31.400 --> 00:05:36.400]  祂讓我們去紀念耶穌為我們的罪去受死
[00:05:36.400 --> 00:05:38.400]  但是祂勝過死亡
[00:05:38.400 --> 00:05:40.400]  祂勝過罪
[00:05:40.400 --> 00:05:41.400]  祂是我們的救主
[00:05:41.400 --> 00:05:44.400]  讓我們一生都要感謝祂
[00:05:44.400 --> 00:05:45.400]  尊崇祂
[00:05:45.400 --> 00:05:47.400]  敬畏祂
[00:05:47.400 --> 00:05:51.400]  我們人生是需要有標記
[00:05:51.400 --> 00:05:52.400]  有時候是疤痕
[00:05:52.400 --> 00:05:54.400]  有時候是一些經歷
[00:05:54.400 --> 00:06:00.400]  這些標記幫我們去常常紀念神救贖的恩情
[00:06:00.400 --> 00:06:03.400]  神保守引領我們
[00:06:03.400 --> 00:06:07.400]  能夠過一個得勝人生的大難
[00:06:07.400 --> 00:06:09.400]  讓我們更加感謝祂
[00:06:09.400 --> 00:06:11.400]  更加敬畏祂
