
[00:00:00.000 --> 00:00:04.720]  讓我們同心以聆聽聖道去敬拜我們的上帝
[00:00:04.720 --> 00:00:08.200]  今日要讀出的經訓是在
[00:00:08.200 --> 00:00:12.160]  《針研》二十七章五至六節
[00:00:12.160 --> 00:00:15.960]  九節和十七節
[00:00:15.960 --> 00:00:21.960]  《針研》二十七章第五節
[00:00:21.960 --> 00:00:28.920]  多面的責備強如背地的愛情
[00:00:29.720 --> 00:00:33.360]  朋友家的傷痕出於忠誠
[00:00:33.360 --> 00:00:37.720]  仇敵連連親嘴卻是多餘
[00:00:37.720 --> 00:00:39.880]  第九節
[00:00:39.880 --> 00:00:44.200]  高柔與香料使人心喜悅
[00:00:44.200 --> 00:00:49.320]  朋友誠實的勸教也是如此甘美
[00:00:49.320 --> 00:00:51.600]  第十七節
[00:00:51.600 --> 00:00:55.800]  鐵磨鐵磨出人來
[00:00:56.520 --> 00:01:00.000]  朋友傷感也是如此
[00:01:00.000 --> 00:01:05.600]  今日來到我們的6G的第六講
[00:01:05.600 --> 00:01:07.120]  《真誠抵禮》
[00:01:07.120 --> 00:01:09.600]  我們請陳冠誠牧師
[00:01:09.600 --> 00:01:19.640]  謝謝梅惠平安
[00:01:19.640 --> 00:01:23.120]  正如剛才珍珍牧師所說
[00:01:23.120 --> 00:01:25.000]  來到我們這個系列最後一講了
[00:01:25.520 --> 00:01:27.240]  真誠關係
[00:01:27.240 --> 00:01:31.240]  說的是信徒之間的真誠關係
[00:01:31.240 --> 00:01:34.520]  到底是如何建立和維繫
[00:01:34.520 --> 00:01:36.600]  其實真誠關係
[00:01:36.600 --> 00:01:37.760]  苦心自問
[00:01:37.760 --> 00:01:41.960]  我們每一個對於真誠關係的課題
[00:01:41.960 --> 00:01:45.680]  很大機會是學了一輩子的課程
[00:01:45.680 --> 00:01:50.960]  畢竟當我們越來越與其他信徒
[00:01:50.960 --> 00:01:54.200]  近身相處、侍奉的時候
[00:01:54.880 --> 00:01:59.000]  其實你會看到不單單是自己的不足
[00:01:59.000 --> 00:02:00.600]  自己的甩漏
[00:02:00.600 --> 00:02:04.760]  其實你也會看到別人的弱項
[00:02:04.760 --> 00:02:06.240]  甚至乎這些的錯處
[00:02:06.240 --> 00:02:10.640]  有時候我想每個人都曾經試過這種掙扎
[00:02:10.640 --> 00:02:13.160]  就是你很想與對方說
[00:02:13.160 --> 00:02:14.720]  將你所見到
[00:02:14.720 --> 00:02:17.520]  將你所發現對方一些問題說出來
[00:02:17.520 --> 00:02:20.840]  很希望對方知道並且幫他改善
[00:02:20.840 --> 00:02:24.360]  但你又會擔心可能會絕口不屑
[00:02:25.120 --> 00:02:27.280]  擔心造就不到人之餘
[00:02:27.280 --> 00:02:28.680]  反而得罪了對方
[00:02:28.680 --> 00:02:30.760]  破壞了彼此的關係
[00:02:30.760 --> 00:02:33.640]  於是你就會選擇不出聲
[00:02:33.640 --> 00:02:35.000]  還是不說好了
[00:02:35.000 --> 00:02:37.880]  又或者另一種情況就是
[00:02:37.880 --> 00:02:40.040]  有人真心真的想你好
[00:02:40.040 --> 00:02:44.000]  他很勇敢地說出你的錯處
[00:02:44.000 --> 00:02:45.280]  說出你的一些弱項
[00:02:45.280 --> 00:02:46.960]  其實是一件好事
[00:02:46.960 --> 00:02:51.720]  不過很自然我們有時候又會因為自尊心作祟
[00:02:52.120 --> 00:02:55.320]  想保護自己不想面對自己的挫敗
[00:02:55.320 --> 00:02:59.040]  於是乎又會不知不覺地用一些逃避
[00:02:59.040 --> 00:03:00.560]  或者辯駁的方式
[00:03:00.560 --> 00:03:03.520]  來回應對方一種善意的提醒
[00:03:03.520 --> 00:03:07.040]  甚至乎有時候會令到面左左不歡而散
[00:03:07.040 --> 00:03:09.960]  但之後你又會很後悔
[00:03:09.960 --> 00:03:11.520]  很憤怒自己
[00:03:11.520 --> 00:03:13.440]  其實為何明明是一件好事
[00:03:13.440 --> 00:03:14.920]  為何會搞成這樣
[00:03:14.920 --> 00:03:17.240]  頂尖的我想
[00:03:17.240 --> 00:03:20.080]  不知這個是否你和我都會遇到
[00:03:20.640 --> 00:03:23.720]  在人際關係相處裏面的一些掙扎
[00:03:23.720 --> 00:03:25.920]  但無論如何
[00:03:25.920 --> 00:03:29.080]  當上帝在暢世紀裏面說到
[00:03:29.080 --> 00:03:31.080]  「那人獨居不好」的時候
[00:03:31.080 --> 00:03:35.280]  其實就已經表明我們不是生活在一個孤島裏面
[00:03:35.280 --> 00:03:38.320]  我們是一定需要透過
[00:03:38.320 --> 00:03:41.120]  和其他人其他的基督徒來互動
[00:03:41.120 --> 00:03:44.200]  讓我們的屬靈生命可以成長
[00:03:44.200 --> 00:03:45.680]  甚至乎邁向成熟
[00:03:47.240 --> 00:03:50.720]  使我們作為耶穌基督身體的一部分
[00:03:50.720 --> 00:03:53.440]  可以聯絡得更加通透
[00:03:53.440 --> 00:03:54.440]  更加緊密
[00:03:54.440 --> 00:03:57.320]  當然我們都很明白
[00:03:57.320 --> 00:03:58.560]  在現實生活裏面
[00:03:58.560 --> 00:04:01.840]  兩個罪人走在一起
[00:04:01.840 --> 00:04:03.720]  不會自動一拍即合
[00:04:03.720 --> 00:04:07.600]  是需要一些磨合的過程
[00:04:07.600 --> 00:04:10.360]  這樣才能夠在侍奉的路上
[00:04:10.360 --> 00:04:12.000]  可以配搭發揮得更好
[00:04:12.000 --> 00:04:14.920]  就好像今天這個講題裏面
[00:04:14.920 --> 00:04:17.200]  其中講到「禮禮」這兩個字
[00:04:17.720 --> 00:04:21.200]  「禮」是指那塊磨刀石
[00:04:21.200 --> 00:04:22.200]  幼細的那一面
[00:04:22.200 --> 00:04:26.200]  至於「禮」是指粗糙的磨刀石
[00:04:26.200 --> 00:04:29.400]  其實你會看到上帝在我們的生命裏面
[00:04:29.400 --> 00:04:32.280]  透過和不同弟兄姊妹
[00:04:32.280 --> 00:04:34.520]  不同性情的人來磨合
[00:04:34.520 --> 00:04:36.440]  來磨練
[00:04:36.440 --> 00:04:38.280]  練淨我們每一個人的生命
[00:04:38.280 --> 00:04:42.760]  簡單就是上帝有時會用一些粗糙的
[00:04:42.760 --> 00:04:43.760]  好像沙子那樣
[00:04:43.760 --> 00:04:46.960]  省走我們一些缺點
[00:04:47.480 --> 00:04:51.000]  又或者用一些很幼細的沙子
[00:04:51.000 --> 00:04:55.160]  將我們美善優雅的一面呈現出來
[00:04:55.160 --> 00:04:58.520]  其實我以前在工作時
[00:04:58.520 --> 00:05:00.840]  都累積了一些打磨的經驗
[00:05:00.840 --> 00:05:04.200]  就是有時候我要將一件物件
[00:05:04.200 --> 00:05:08.040]  按不同的步驟技巧來將它磨得仔細
[00:05:08.040 --> 00:05:10.120]  不能夠隨便的
[00:05:10.120 --> 00:05:11.960]  譬如最簡單就是
[00:05:11.960 --> 00:05:14.920]  你要去轉換不同粗幼的沙子
[00:05:15.360 --> 00:05:16.560]  技巧上來說
[00:05:16.560 --> 00:05:21.440]  可能你最初由200號轉到400號、600號
[00:05:21.440 --> 00:05:23.600]  號數越大代表它越幼細
[00:05:23.600 --> 00:05:26.440]  甚至差不多到尾的時候
[00:05:26.440 --> 00:05:29.760]  你又要用拋光布來拋到它亮亮的
[00:05:29.760 --> 00:05:31.800]  你需要有耐性
[00:05:31.800 --> 00:05:32.920]  又需要有愛心
[00:05:32.920 --> 00:05:35.640]  這樣你磨出來的東西才能磨得亮麗
[00:05:35.640 --> 00:05:36.480]  磨得幼細
[00:05:36.480 --> 00:05:38.400]  另一方面就是
[00:05:38.400 --> 00:05:40.160]  在你打磨的過程裏面
[00:05:40.160 --> 00:05:41.840]  有一件事是不能缺少的
[00:05:41.840 --> 00:05:43.320]  大家知不知道是什麼?
[00:05:44.320 --> 00:05:45.360]  沒有了這件事
[00:05:45.360 --> 00:05:47.720]  你很難磨到幼細的東西
[00:05:47.720 --> 00:05:52.240]  就是水或者打磨劑
[00:05:52.240 --> 00:05:54.560]  令到你打磨的時候
[00:05:54.560 --> 00:05:56.600]  那件部件不會吸住
[00:05:56.600 --> 00:05:58.200]  亦不會過熱
[00:05:58.200 --> 00:06:01.600]  更加可以幫你磨得越來越幼細
[00:06:01.600 --> 00:06:05.640]  同樣要打磨一段真誠的關係
[00:06:05.640 --> 00:06:09.320]  我們都必須要有好的打磨劑
[00:06:09.320 --> 00:06:13.280]  就是上帝的恩典和他的話語
[00:06:13.840 --> 00:06:17.000]  正如剛才所讀的《針研》裏所說
[00:06:17.000 --> 00:06:20.840]  「當面的責備強於背地的愛情
[00:06:20.840 --> 00:06:23.600]  朋友家的傷痕出於真誠
[00:06:23.600 --> 00:06:26.480]  受敵連連親嘴卻是多餘」
[00:06:26.480 --> 00:06:29.080]  其實裏面的意思
[00:06:29.080 --> 00:06:31.920]  作者用一個對比的方法
[00:06:31.920 --> 00:06:33.040]  來表達
[00:06:33.040 --> 00:06:35.760]  原來在一段真誠的關係裏面
[00:06:35.760 --> 00:06:40.320]  有些時候我們寧願選擇當面責備
[00:06:40.320 --> 00:06:43.800]  總比我們保持緘默是有益的
[00:06:44.800 --> 00:06:45.800]  確實
[00:06:45.800 --> 00:06:47.040]  說到責備
[00:06:47.040 --> 00:06:49.040]  我想沒有什麼人喜歡
[00:06:49.040 --> 00:06:51.440]  無論你是責備人的那個
[00:06:51.440 --> 00:06:53.040]  又或者被人責備的那個
[00:06:53.040 --> 00:06:55.520]  沒有什麼人會想見到這兩個字
[00:06:55.520 --> 00:06:57.280]  相比起責備
[00:06:57.280 --> 00:07:00.800]  其實愛情就多人受落很多
[00:07:00.800 --> 00:07:03.560]  即使是虛假的愛情
[00:07:03.560 --> 00:07:05.200]  都仍然有人喜歡去聽
[00:07:05.200 --> 00:07:08.160]  但是《針研》的作者這裏
[00:07:08.160 --> 00:07:09.600]  很清楚提醒我們
[00:07:09.600 --> 00:07:13.000]  當面的責備強於背地的愛情
[00:07:13.880 --> 00:07:17.160]  原因是有時朋友對我們當面責備
[00:07:17.160 --> 00:07:18.400]  往往是出於
[00:07:18.400 --> 00:07:21.280]  他對我們的忠誠和對我們的愛
[00:07:21.280 --> 00:07:22.720]  沒錯
[00:07:22.720 --> 00:07:24.320]  可能會令我們覺得
[00:07:24.320 --> 00:07:25.720]  有時很沒人性
[00:07:25.720 --> 00:07:26.840]  被人罵的時候
[00:07:26.840 --> 00:07:28.960]  會覺得很傷感情
[00:07:28.960 --> 00:07:30.520]  有時甚至乎很難堪
[00:07:30.520 --> 00:07:32.800]  不過《針研》這裏說
[00:07:32.800 --> 00:07:35.680]  如果真是你的好朋友
[00:07:35.680 --> 00:07:37.320]  真是愛你的弟兄姊妹
[00:07:37.320 --> 00:07:40.240]  他們真的有時寧願冒著
[00:07:40.240 --> 00:07:42.120]  破壞關係的危險
[00:07:42.600 --> 00:07:44.480]  直言不諱地
[00:07:44.480 --> 00:07:46.280]  指出我們生命的一些錯誤
[00:07:46.280 --> 00:07:48.760]  來給我們一些善意的忠告
[00:07:48.760 --> 00:07:52.560]  希望幫我們回到上帝的心意裏
[00:07:52.560 --> 00:07:56.080]  其實我想這個道理不難理解
[00:07:56.080 --> 00:08:00.040]  特別是作為父母或子女
[00:08:00.040 --> 00:08:00.920]  你很明白
[00:08:00.920 --> 00:08:03.680]  就是做父母的時候
[00:08:03.680 --> 00:08:07.080]  當然不希望盡量減少
[00:08:07.080 --> 00:08:08.560]  當面責備子女
[00:08:08.560 --> 00:08:10.720]  因為真是會破壞關係
[00:08:11.440 --> 00:08:14.040]  有時見到可能子女激氣的時候
[00:08:14.040 --> 00:08:15.880]  你寧願省一口氣
[00:08:15.880 --> 00:08:18.720]  都不想來到大家面左左
[00:08:18.720 --> 00:08:20.080]  大家相安無事
[00:08:20.080 --> 00:08:21.240]  那就輕鬆自在
[00:08:21.240 --> 00:08:24.080]  我們確實有時真是會這樣想
[00:08:24.080 --> 00:08:27.440]  但是有些時候你明知道
[00:08:27.440 --> 00:08:29.040]  他一錯再錯的時候
[00:08:29.040 --> 00:08:30.880]  你因為愛的緣故
[00:08:30.880 --> 00:08:33.280]  你因為緊張子女成長的緣故
[00:08:33.280 --> 00:08:35.440]  你又真是會冒這個風險
[00:08:35.440 --> 00:08:37.680]  寧願坦白告訴他
[00:08:37.680 --> 00:08:39.120]  他錯處是甚麼
[00:08:40.160 --> 00:08:42.480]  同樣正如針研這裏所講
[00:08:42.480 --> 00:08:44.080]  如果朋友
[00:08:44.080 --> 00:08:45.280]  我們的弟兄姊妹
[00:08:45.280 --> 00:08:46.840]  看到我們一錯再錯
[00:08:46.840 --> 00:08:48.840]  但卻是畏首畏尾
[00:08:48.840 --> 00:08:51.440]  寧願殉情顧著我們的面子
[00:08:51.440 --> 00:08:54.640]  不想得罪我們的話
[00:08:54.640 --> 00:08:59.560]  其實針研這裏講
[00:08:59.560 --> 00:09:03.440]  和仇敵年年親嘴一樣
[00:09:03.440 --> 00:09:05.200]  對我們其實沒有甚麼好處
[00:09:05.200 --> 00:09:07.600]  換句話來說
[00:09:07.600 --> 00:09:09.800]  在一段真誠的關係裏
[00:09:09.800 --> 00:09:12.160]  原來不能單單靠著妥協
[00:09:12.160 --> 00:09:14.080]  來維持
[00:09:14.080 --> 00:09:16.920]  有時愛一個人
[00:09:16.920 --> 00:09:19.120]  其實無可避免
[00:09:19.120 --> 00:09:20.520]  你要勇敢地
[00:09:20.520 --> 00:09:22.400]  指正對方一些盲點
[00:09:22.400 --> 00:09:24.800]  因為唯有這樣
[00:09:24.800 --> 00:09:26.960]  你才有機會糾正對方
[00:09:26.960 --> 00:09:29.760]  避免他繼續行差踏錯
[00:09:29.760 --> 00:09:33.880]  其實聖經裏有很多經典的例子
[00:09:33.880 --> 00:09:36.720]  特別你會最深刻印象就是
[00:09:36.720 --> 00:09:37.920]  在《創世紀》裏
[00:09:38.520 --> 00:09:41.320]  當蛇引誘夏娃的時候
[00:09:41.320 --> 00:09:43.320]  我們常常會問一個問題
[00:09:43.320 --> 00:09:46.320]  就是當時阿當去了哪裏?
[00:09:46.320 --> 00:09:50.200]  原來你看看《創世紀》裏
[00:09:50.200 --> 00:09:51.600]  作者有暗示
[00:09:51.600 --> 00:09:53.960]  其實阿當一直都在場
[00:09:53.960 --> 00:09:56.760]  因為當蛇和夏娃對話的時候
[00:09:56.760 --> 00:09:59.360]  一直是用「你們」一個眾數
