
[00:00:00.000 --> 00:00:10.000]  《新命記》第四章 第15至20節
[00:00:10.000 --> 00:00:15.000]  第23至31節
[00:00:15.000 --> 00:00:19.000]  在我們手上的聖經219頁
[00:00:19.000 --> 00:00:22.000]  也印在了情在彼的裏面
[00:00:22.000 --> 00:00:27.000]  《新命記》第四章15節
[00:00:27.000 --> 00:00:31.000]  所以你們要憤愛謹慎
[00:00:31.000 --> 00:00:33.000]  因為耶和華在何列山
[00:00:33.000 --> 00:00:37.000]  從火中對你們說話的那日
[00:00:37.000 --> 00:00:40.000]  你們沒有看見什麼形象
[00:00:40.000 --> 00:00:43.000]  唯恐你們敗壞自己
[00:00:43.000 --> 00:00:45.000]  挑剋偶像
[00:00:45.000 --> 00:00:48.000]  彷彿什麼男像女像
[00:00:48.000 --> 00:00:50.000]  或地上走秀的像
[00:00:50.000 --> 00:00:53.000]  或空中飛鳥的像
[00:00:53.000 --> 00:00:55.000]  或地上爬蜜的像
[00:00:55.000 --> 00:00:59.000]  或地底下水中魚的像
[00:00:59.000 --> 00:01:02.000]  又恐怕你向天舉目觀看
[00:01:02.000 --> 00:01:04.000]  見耶和華你的神
[00:01:04.000 --> 00:01:09.000]  為天下萬民所擺立的日月星
[00:01:09.000 --> 00:01:11.000]  就是天上的萬象
[00:01:11.000 --> 00:01:14.000]  自己便被勾引
[00:01:14.000 --> 00:01:16.000]  敬拜侍奉他
[00:01:16.000 --> 00:01:20.000]  耶和華將你們從埃及領出來
[00:01:20.000 --> 00:01:22.000]  脫離鐵路
[00:01:22.000 --> 00:01:25.000]  要特作自己產業的指紋
[00:01:25.000 --> 00:01:28.000]  像今日一樣
[00:01:28.000 --> 00:01:32.000]  《新命記》四章二十三節
[00:01:32.000 --> 00:01:34.000]  你們要謹慎
[00:01:34.000 --> 00:01:37.000]  免得忘記耶和華你們神
[00:01:37.000 --> 00:01:39.000]  與你們所立的約
[00:01:39.000 --> 00:01:41.000]  為自己雕刻偶像
[00:01:41.000 --> 00:01:45.000]  就是耶和華你神所禁止你
[00:01:45.000 --> 00:01:47.000]  作的偶像
[00:01:47.000 --> 00:01:49.000]  因為耶和華你的神
[00:01:49.000 --> 00:01:51.000]  乃是烈火
[00:01:51.000 --> 00:01:53.000]  是忌邪的神
[00:01:53.000 --> 00:01:56.000]  你們在那地駐久了
[00:01:56.000 --> 00:01:58.000]  生子生孫
[00:01:58.000 --> 00:02:00.000]  就雕刻偶像
[00:02:00.000 --> 00:02:02.000]  彷彿什麼形象
[00:02:02.000 --> 00:02:04.000]  敗壞自己
[00:02:04.000 --> 00:02:06.000]  恆耶和華你神
[00:02:06.000 --> 00:02:08.000]  眼中看為惡的事
[00:02:08.000 --> 00:02:10.000]  惹他發怒
[00:02:10.000 --> 00:02:13.000]  我今日呼天喚地
[00:02:13.000 --> 00:02:15.000]  向你們作見證
[00:02:15.000 --> 00:02:17.000]  你們必在個約
[00:02:17.000 --> 00:02:19.000]  但何得遺孽的地上
[00:02:19.000 --> 00:02:21.000]  速速滅盡
[00:02:21.000 --> 00:02:24.000]  你們不能在那地上長久
[00:02:24.000 --> 00:02:27.000]  必進行滅除滅
[00:02:27.000 --> 00:02:29.000]  耶和華必使你們
[00:02:29.000 --> 00:02:31.000]  分散在萬民中
[00:02:31.000 --> 00:02:34.000]  在他所領你們到的萬國裡
