
[00:00:00.000 --> 00:00:03.000]  好,各位大英姐妹平安
[00:00:03.000 --> 00:00:09.000]  小小的觀察,大家都來了港澳幾次
[00:00:09.000 --> 00:00:13.000]  都習慣大家,都感覺到大家習慣遲到
[00:00:13.000 --> 00:00:16.000]  所以溫馨提示,我們崇拜要準時
[00:00:16.000 --> 00:00:24.000]  好啦,我相信在座各位,做基督徒都做了一段時間
[00:00:25.000 --> 00:00:30.000]  我們從不同人的口中,我都聽過我們是耶穌的門徒
[00:00:30.000 --> 00:00:33.000]  我們要作門徒,我們要跟從耶穌
[00:00:33.000 --> 00:00:38.000]  如果你回來一段時間,你會聽過基訓
[00:00:38.000 --> 00:00:42.000]  基訓的全名就是基礎門徒訓練
[00:00:42.000 --> 00:00:48.000]  但是,其實大家知不知道門徒這件事,究竟大家在說什麼呢
[00:00:48.000 --> 00:00:50.000]  門徒其實是要做什麼的呢
[00:00:50.000 --> 00:00:54.000]  是不是我完成了基訓,我就是做了耶穌的門徒呢
[00:00:55.000 --> 00:01:00.000]  但是,我這樣說,不只是山寨有基訓,有門訓的
[00:01:00.000 --> 00:01:03.000]  每間教會都有他們的門徒訓練系統
[00:01:03.000 --> 00:01:07.000]  每個群體對門徒的要求好像都會有些不同
[00:01:07.000 --> 00:01:12.000]  有人會說,做門徒,所以你要恆常出席教會的聚會
[00:01:12.000 --> 00:01:14.000]  或者準時出席教會的聚會
[00:01:14.000 --> 00:01:17.000]  有人說,做門徒,所以你要有侍奉
[00:01:17.000 --> 00:01:19.000]  甚至你要全職侍奉
[00:01:19.000 --> 00:01:23.000]  有些人會說,做門徒,所以你要有十一奉獻
[00:01:23.000 --> 00:01:26.000]  有些人說,做門徒,所以你要熟讀聖經
[00:01:26.000 --> 00:01:28.000]  你要有好的品行,諸如此類
[00:01:28.000 --> 00:01:33.000]  不同的人都會拿著做耶穌的門徒這句話
[00:01:33.000 --> 00:01:38.000]  要求我們做不同的事,或者參與不同的事
[00:01:38.000 --> 00:01:44.000]  特別在過去可能十年,社會運動發酵的時候
[00:01:44.000 --> 00:01:46.000]  很多人就主張做門徒
[00:01:46.000 --> 00:01:49.000]  所以基督徒就要熱心社區工作
[00:01:49.000 --> 00:01:51.000]  我們要關心社會的議題
[00:01:52.000 --> 00:01:57.000]  或者另一邊廂,對於某些上了岸的基督徒來說
[00:01:57.000 --> 00:01:59.000]  他們會覺得,做耶穌的門徒
[00:01:59.000 --> 00:02:03.000]  我們就要事業有成,家庭美滿,不煙不酒
[00:02:03.000 --> 00:02:09.000]  才有資格成為好見證,才可以帶領人去信主
[00:02:09.000 --> 00:02:15.000]  我想起幾個月前那套紀錄片,異神之名那套紀錄片
[00:02:15.000 --> 00:02:19.000]  片中邪教的可怕地方
[00:02:19.000 --> 00:02:22.000]  就是無論教主想做什麼
[00:02:22.000 --> 00:02:25.000]  只要他有辦法令到會眾相信
[00:02:25.000 --> 00:02:28.000]  那是神明要求他們做的事
[00:02:28.000 --> 00:02:33.000]  再加上有些妹妹,有些同黨在旁邊推波助瀾
[00:02:33.000 --> 00:02:35.000]  無論那些要求有多不合理
[00:02:35.000 --> 00:02:39.000]  那些會眾都會一一信從去接受
[00:02:39.000 --> 00:02:42.000]  雖然這個例子有點極端
[00:02:42.000 --> 00:02:44.000]  但可能都反映一個事實
[00:02:44.000 --> 00:02:47.000]  如果我們這裡聽一點,那裡聽一點
[00:02:47.000 --> 00:02:50.000]  而我們自己不認真思考
[00:02:50.000 --> 00:02:54.000]  可能我們會跟錯大佬,可能我們會聽錯福音
[00:02:54.000 --> 00:02:58.000]  嚴重的,我們就被人利用了,好像邪教一樣
[00:02:58.000 --> 00:03:01.000]  否則我們可能因為誤解了信仰
[00:03:01.000 --> 00:03:04.000]  而錯失了信仰裡面一些很重要的價值
[00:03:04.000 --> 00:03:08.000]  甚至我們可能會錯失了耶穌對我們的吩咐和期望
[00:03:08.000 --> 00:03:13.000]  所以總之我們必須要知道我們在信什麼
[00:03:13.000 --> 00:03:16.000]  我們要知道我們今天到底在跟一個怎樣的耶穌
[00:03:16.000 --> 00:03:22.000]  而當今天所有人都拿著作門徒來做口號,做招來的時候
[00:03:22.000 --> 00:03:28.000]  我們更加需要明白到底作耶穌的門徒到底在說什麼
[00:03:28.000 --> 00:03:32.000]  那怎樣知道呢?看聖經吧
