
[00:00:00.000 --> 00:00:04.120]  今天會講世代延續神的美德
[00:00:04.120 --> 00:00:05.960]  大家好 跟大家打個招呼
[00:00:05.960 --> 00:00:12.800]  我是回中 我是青少年的驅魔
[00:00:12.800 --> 00:00:16.840]  話說我剛剛在數算自己的因典
[00:00:16.840 --> 00:00:25.680]  我是在2024年 上年的7月30日入職
[00:00:25.680 --> 00:00:30.000]  所以這個星期是我一周年了
[00:00:30.000 --> 00:00:32.960]  已經在這裡侍奉一周年感謝主
[00:00:32.960 --> 00:00:38.480]  我覺得很有趣的 講過三場訊息
[00:00:38.480 --> 00:00:42.960]  同樣地大家見證著我的生命成長
[00:00:42.960 --> 00:00:46.120]  見證著我的生命
[00:00:46.120 --> 00:00:50.640]  所以很開心繼續跟大家分享訊息的時間
[00:00:50.640 --> 00:00:56.040]  今天我們會繼續我們堂所的訊息 世代延續系列
[00:00:56.040 --> 00:00:58.680]  今天會講神的美德
[00:00:58.680 --> 00:01:01.880]  不知道大家有沒有看最近的新聞
[00:01:01.880 --> 00:01:04.880]  有一個Kiss Cam的事件
[00:01:04.880 --> 00:01:06.840]  有沒有看 有沒有人知道
[00:01:06.840 --> 00:01:08.840]  就說一下
[00:01:08.840 --> 00:01:12.960]  2025年7月16日在Chloe Play的演唱會上
[00:01:12.960 --> 00:01:16.720]  有一個Kiss Cam的鏡頭捕捉到一對男女
[00:01:16.720 --> 00:01:18.840]  很親密的畫面
[00:01:18.840 --> 00:01:21.680]  男子從後擁抱女子
[00:01:21.680 --> 00:01:26.200]  然後兩人發現自己在大螢幕上迅速分開
[00:01:26.200 --> 00:01:27.280]  事件就是這樣
[00:01:27.280 --> 00:01:31.200]  女子掩面轉身背向鏡頭
[00:01:31.200 --> 00:01:34.520]  這段畫面被現場觀眾拍下
[00:01:34.520 --> 00:01:37.440]  然後上載到社交平台上
[00:01:37.440 --> 00:01:43.720]  超過有4500萬人看過 全影
[00:01:43.720 --> 00:01:47.360]  事後認出兩人是某公司的高層
[00:01:47.360 --> 00:01:49.480]  兩人都是已婚的
[00:01:49.480 --> 00:01:51.080]  他們是一段婚外情
[00:01:51.080 --> 00:01:55.680]  所以很尷尬的事情就呈現了出來
[00:01:55.680 --> 00:01:58.160]  這個Kiss Cam的娛樂
[00:01:58.160 --> 00:02:00.040]  在演唱會中的娛樂
[00:02:00.040 --> 00:02:01.640]  都引起了一些問題
[00:02:01.640 --> 00:02:05.440]  就是私隱權的爭議
[00:02:05.440 --> 00:02:07.240]  我很想告訴大家這件事
[00:02:07.240 --> 00:02:09.920]  是想讓大家感受一下尷尬
[00:02:09.920 --> 00:02:13.280]  就是突然之間今天有個鏡頭拍到你身上
[00:02:13.280 --> 00:02:14.880]  然後拍下來的時候
[00:02:14.880 --> 00:02:17.240]  拍著自己尷尬的一面
[00:02:17.240 --> 00:02:20.960]  拍著自己赤裸的感覺
[00:02:20.960 --> 00:02:24.120]  其實今天的詩篇78篇
[00:02:24.120 --> 00:02:26.480]  就是以色列人的Kiss Cam
[00:02:26.480 --> 00:02:29.560]  是拍著以色列人的醜事
[00:02:29.560 --> 00:02:31.720]  離棄 背叛 埋怨
[00:02:31.720 --> 00:02:35.680]  以及暴露了他們的醜事
[00:02:35.680 --> 00:02:38.560]  所以今天我們看這個詩篇78篇
[00:02:38.560 --> 00:02:41.200]  我對這個詩篇有個感覺
[00:02:41.200 --> 00:02:43.880]  就是覺得它是一首尷尬詩
[00:02:43.880 --> 00:02:44.880]  是的
[00:02:44.880 --> 00:02:46.400]  經文是這樣說的
[00:02:46.400 --> 00:02:48.960]  它說尷尬詩除了尷尬之外
[00:02:48.960 --> 00:02:49.840]  它還要說
[00:02:49.840 --> 00:02:52.880]  我們不要向子孫隱瞞這些事
[00:02:52.880 --> 00:02:55.440]  而要將耶和華的美德和他的能力
[00:02:55.440 --> 00:02:56.480]  他所行的歧視
[00:02:56.480 --> 00:02:58.120]  述說給後人聽
[00:02:58.120 --> 00:03:00.040]  他在雅各宗立法道
[00:03:00.040 --> 00:03:02.880]  在以色列宗設法律法
[00:03:02.880 --> 00:03:07.120]  使將要生的後代子孫可以曉得
[00:03:07.120 --> 00:03:08.040]  就是
[00:03:08.040 --> 00:03:09.960]  我不知道大家能否想像到那個畫面
[00:03:09.960 --> 00:03:11.960]  就是我們沙浸作一首詩歌
[00:03:11.960 --> 00:03:14.200]  然後述說我們的弟兄姊妹
[00:03:14.200 --> 00:03:15.120]  我們的牧者
[00:03:15.120 --> 00:03:17.800]  那些醜陋的背棄神的狀況
[00:03:17.800 --> 00:03:20.240]  哇 他們就是在做這樣的事情
[00:03:20.240 --> 00:03:20.880]  就是
[00:03:20.880 --> 00:03:23.320]  還要是世世代代傳的
[00:03:23.320 --> 00:03:25.360]  不只是這一刻唱
[00:03:25.360 --> 00:03:28.280]  唱到以後都繼續唱那些醜事
[00:03:28.280 --> 00:03:30.400]  所以詩篇78篇
[00:03:30.400 --> 00:03:33.760]  是一段不斷暴露以色列人的醜事
[00:03:33.760 --> 00:03:36.280]  指出以色列人祖宗的錯誤
[00:03:36.280 --> 00:03:40.320]  是一首令人很難以接受的尷尬詩
[00:03:40.320 --> 00:03:45.680]  這就是我對這首詩篇的感覺和感想
[00:03:45.680 --> 00:03:48.400]  接下來跟大家講解一下
[00:03:48.400 --> 00:03:50.200]  詩篇的閱讀
[00:03:50.200 --> 00:03:51.920]  它是一篇很特別的
[00:03:51.920 --> 00:03:54.480]  跟我們平時看的那些
[00:03:54.480 --> 00:03:56.680]  技術事件那些不同
[00:03:56.680 --> 00:03:58.440]  它有一些特別的看法
[00:03:58.440 --> 00:04:01.720]  在以色列人的文化裏
[00:04:01.720 --> 00:04:05.200]  詩篇它不是一篇只是抒情的歌
[00:04:05.200 --> 00:04:08.480]  它不是純粹給你抒發感受的詩歌
[00:04:08.480 --> 00:04:09.800]  它有作用
[00:04:09.800 --> 00:04:12.720]  它的作用是用於宗教的教育
[00:04:12.720 --> 00:04:15.680]  所以他們除了在教育裏面
[00:04:15.680 --> 00:04:18.560]  它會將教導內容配合音樂
[00:04:18.560 --> 00:04:21.200]  它就幫助弟兄姊妹
[00:04:21.200 --> 00:04:25.240]  百姓可以方便記憶和流傳
[00:04:25.240 --> 00:04:27.200]  所以我們閱讀詩篇的時候
[00:04:27.200 --> 00:04:30.200]  我們現在已經沒有音樂的部分
[00:04:30.200 --> 00:04:32.680]  但是我們就可以去欣賞一下
[00:04:32.680 --> 00:04:36.200]  究竟它裏面除了情感流露
[00:04:36.200 --> 00:04:39.760]  詩篇的美麗詩詞的寫法
[00:04:39.760 --> 00:04:41.680]  我們也可以去留意一下
[00:04:41.680 --> 00:04:43.560]  對我們來說有甚麼教導
[00:04:43.560 --> 00:04:44.920]  這是重點
[00:04:44.920 --> 00:04:46.760]  所以看詩篇第一步
[00:04:46.760 --> 00:04:50.280]  我們首先要知道的就是
[00:04:50.280 --> 00:04:52.120]  它目標是教我們一些東西
[00:04:52.120 --> 00:04:54.120]  教我們律法
[00:04:54.120 --> 00:04:55.640]  它沒有離開過律法
[00:04:55.640 --> 00:04:56.880]  就算它是詩篇
[00:04:56.880 --> 00:04:58.480]  寫了很多情感也好
[00:04:58.480 --> 00:04:59.600]  沒有離開過
[00:04:59.600 --> 00:05:02.720]  而觀賞的方法就在這裏寫了
[00:05:02.720 --> 00:05:06.240]  首先我們要分辨詩篇的種類
[00:05:06.240 --> 00:05:08.200]  這裏就不詳細說了
[00:05:08.200 --> 00:05:09.520]  詩篇78篇
[00:05:09.520 --> 00:05:11.040]  我已經幫大家分了
[00:05:11.040 --> 00:05:14.120]  它的種類就是自慰詩
[00:05:14.120 --> 00:05:17.840]  自慰詩通常是有一個目的的
[00:05:17.840 --> 00:05:20.200]  自慰詩通常是一些智者
[00:05:20.200 --> 00:05:22.400]  它通常的目標是帶出
[00:05:22.400 --> 00:05:25.200]  按照律法去協調究竟
[00:05:25.200 --> 00:05:27.000]  以色列人他們百姓
[00:05:27.000 --> 00:05:28.400]  究竟在現實生活裏面
[00:05:28.400 --> 00:05:30.160]  如何去實踐信仰
[00:05:30.160 --> 00:05:32.040]  實踐信仰的問題
[00:05:32.040 --> 00:05:33.880]  就好像今天我們經文
[00:05:33.880 --> 00:05:35.800]  它會帶出一些問題
[00:05:35.800 --> 00:05:37.880]  就是以色列人群眾
[00:05:37.880 --> 00:05:40.160]  他們是一個不守約
[00:05:40.160 --> 00:05:42.080]  一次又一次背叛
[00:05:42.080 --> 00:05:43.880]  忘記上帝
[00:05:43.880 --> 00:05:45.040]  然後還緊
[00:05:45.040 --> 00:05:48.160]  不肯遵照上帝律法的人民
[00:05:48.160 --> 00:05:51.040]  但是上帝怎樣
[00:05:51.040 --> 00:05:53.360]  作者究竟他怎樣理解
[00:05:53.360 --> 00:05:55.800]  這些尷尬的指紋呢
[00:05:55.800 --> 00:05:59.000]  還有最後我覺得很有趣的位置
[00:05:59.000 --> 00:06:01.240]  就是作者提出一個解決方法
[00:06:01.240 --> 00:06:03.080]  就是不要將這些事
[00:06:03.080 --> 00:06:04.480]  向子孫隱藏
[00:06:04.480 --> 00:06:05.800]  要揭示出來
[00:06:05.800 --> 00:06:08.720]  讓整個民族引以為鑑
[00:06:08.720 --> 00:06:12.080]  這種揭露自己的教育
[00:06:12.080 --> 00:06:13.440]  這些教導
[00:06:13.440 --> 00:06:14.960]  其實在我們華人文化
[00:06:14.960 --> 00:06:16.600]  應該很難接受的
[00:06:16.600 --> 00:06:18.760]  華人文化最重要的是甚麼
[00:06:18.760 --> 00:06:20.040]  面子
[00:06:20.040 --> 00:06:21.960]  面子除了是外表
[00:06:21.960 --> 00:06:23.920]  還要是一些尊嚴
[00:06:23.920 --> 00:06:27.200]  是一些社會地位的象徵
[00:06:27.200 --> 00:06:29.280]  面子和家族榮耀
[00:06:29.280 --> 00:06:31.800]  很影響一個人的家族
[00:06:31.800 --> 00:06:33.000]  社會地位
[00:06:33.000 --> 00:06:35.520]  你要做一個有說服力的人
[00:06:35.520 --> 00:06:37.640]  你當然要有一個
[00:06:37.640 --> 00:06:39.800]  有力量的人
[00:06:39.800 --> 00:06:41.760]  你的面子應該要很重要
[00:06:41.760 --> 00:06:43.720]  要做出來給人看
[00:06:43.720 --> 00:06:45.880]  但是今天的經文很特別
[00:06:45.880 --> 00:06:47.240]  就是告訴我們
[00:06:47.240 --> 00:06:50.600]  要揭示那些醜陋的事
[00:06:50.600 --> 00:06:53.160]  就算你是一個私人
[00:06:53.160 --> 00:06:55.240]  就算是百姓的祖宗也好
[00:06:55.240 --> 00:06:58.720]  都要說自己一些醜陋的事
[00:06:58.720 --> 00:07:00.600]  跟大家感受一下經文
[00:07:00.600 --> 00:07:03.040]  究竟是怎樣醜陋的
[00:07:03.040 --> 00:07:06.400]  我一開始看《詩篇78篇》的時候
[00:07:06.400 --> 00:07:08.440]  我內心不斷地衝
[00:07:08.440 --> 00:07:09.960]  不斷地出現了
[00:07:09.960 --> 00:07:12.640]  就是覺得這段經文很赤裸
[00:07:12.640 --> 00:07:15.120]  還有我要跟大家分享這篇信息
[00:07:15.120 --> 00:07:16.600]  應該怎樣說呢
[00:07:16.600 --> 00:07:18.080]  應該怎樣理解呢
[00:07:18.080 --> 00:07:20.200]  首先第一個我覺得難接受的就是
[00:07:20.200 --> 00:07:22.480]  哇 上帝好像很殘忍
[00:07:22.480 --> 00:07:24.040]  那個經文這樣說
[00:07:24.040 --> 00:07:25.760]  「神聽見就發怒了
[00:07:25.760 --> 00:07:27.560]  然後全然棄掉了
[00:07:27.560 --> 00:07:29.280]  以色列人甚至離棄
[00:07:29.280 --> 00:07:30.800]  示羅的帳幕
[00:07:30.800 --> 00:07:34.240]  又將他的能力 他的藥櫃交給人擄去
[00:07:34.240 --> 00:07:37.040]  又將他的榮耀交在敵人的手中
[00:07:37.040 --> 00:07:39.400]  並且將他的百姓交給刀劍
[00:07:39.400 --> 00:07:40.840]  向他的產業發怒
[00:07:40.840 --> 00:07:42.440]  莊丁就被火燒
[00:07:42.440 --> 00:07:45.360]  童女就沒有婚禮的頌歌
[00:07:45.360 --> 00:07:47.080]  祭司就倒在刀下
[00:07:47.080 --> 00:07:49.800]  而寡婦卻不哀哭」
[00:07:49.800 --> 00:07:51.160]  會想
[00:07:51.160 --> 00:07:53.800]  哇 上帝憤怒得要殺光以色列人
[00:07:53.800 --> 00:07:56.240]  又說愛自己子民的
[00:07:56.240 --> 00:08:00.280]  氣絕到要放他們在敵人面前的地步
[00:08:00.280 --> 00:08:02.760]  上帝用不著這麼嚴重
[00:08:02.760 --> 00:08:05.200]  可能第一個想法就是這樣
[00:08:05.200 --> 00:08:07.400]  第二個看的角度就是
[00:08:07.400 --> 00:08:09.120]  回看那些以色列人
[00:08:09.120 --> 00:08:11.640]  他們又真的不是很爭氣
[00:08:11.640 --> 00:08:15.080]  經文不斷形容以色列人的頑固
[00:08:15.080 --> 00:08:16.600]  他的頑梗
[00:08:16.600 --> 00:08:18.800]  和上帝不斷糾纏
[00:08:18.800 --> 00:08:21.560]  所以經文不斷重複
[00:08:21.560 --> 00:08:24.240]  以色列人的頑梗和和上帝的糾纏
[00:08:24.240 --> 00:08:26.000]  我內心不斷看的時候
[00:08:26.000 --> 00:08:27.120]  「啊 他們是這樣
[00:08:27.120 --> 00:08:28.120]  上面已經是這樣了
[00:08:28.120 --> 00:08:29.440]  下面也再是這樣
[00:08:29.440 --> 00:08:32.480]  一而再 再而三地反抗上帝
[00:08:32.480 --> 00:08:33.600]  詩篇七十八篇
[00:08:33.600 --> 00:08:35.320]  十七至十八節
[00:08:35.320 --> 00:08:37.360]  他們卻仍舊得罪他
[00:08:37.360 --> 00:08:38.960]  在乾旱之地
[00:08:38.960 --> 00:08:41.760]  五逆至高者
[00:08:41.760 --> 00:08:43.800]  他們心中試探上帝
[00:08:43.800 --> 00:08:47.480]  隨自己所欲去求食物」
[00:08:47.480 --> 00:08:49.680]  經文大概這個位置就是
[00:08:49.680 --> 00:08:51.480]  已經上帝很公認了
[00:08:51.480 --> 00:08:52.440]  很大力了
[00:08:52.440 --> 00:08:55.040]  但是以色列人仍然諸多要求
[00:08:55.040 --> 00:08:57.720]  然後第二次經文又再這樣說
[00:08:57.720 --> 00:09:00.000]  「上帝的怒氣就向他們上騰
[00:09:00.000 --> 00:09:01.920]  殺他們當中肥壯的人
[00:09:01.920 --> 00:09:03.680]  打倒以色列人青年
[00:09:03.680 --> 00:09:05.120]  雖然是這樣
[00:09:05.120 --> 00:09:07.400]  他們仍舊犯罪
[00:09:07.400 --> 00:09:09.920]  不信祂的奇妙作為」
[00:09:09.920 --> 00:09:11.080]  就是不斷這樣
[00:09:11.080 --> 00:09:14.640]  明明上帝的怒氣已經發怒到殺他們了
[00:09:14.640 --> 00:09:18.000]  但是他們的頑固卻是根深蒂固
[00:09:18.000 --> 00:09:20.320]  仍舊不相信上帝的作為
[00:09:20.320 --> 00:09:22.800]  第二次和第一次其實有點不同
[00:09:22.800 --> 00:09:26.960]  第一次其實是以色列人真正地對上帝對質
[00:09:26.960 --> 00:09:30.480]  但是第二次其實他們是內心不順
[00:09:30.480 --> 00:09:32.080]  表面上阿諛奉承
[00:09:32.080 --> 00:09:33.520]  但是實際上
[00:09:33.520 --> 00:09:35.560]  一會兒會再說多一點
[00:09:35.560 --> 00:09:36.760]  兩段經文是這樣
[00:09:36.760 --> 00:09:38.520]  第三段又是這樣
[00:09:38.520 --> 00:09:41.320]  第三次經文形容他們在曠野上
[00:09:41.320 --> 00:09:42.960]  上帝明明著緊他們
[00:09:42.960 --> 00:09:44.080]  擔心他們
[00:09:44.080 --> 00:09:47.680]  但是他們再三去試探上帝
[00:09:47.680 --> 00:09:49.280]  去到最後那段經文
[00:09:49.280 --> 00:09:52.800]  「他們仍舊試探叛逆至高的上帝
[00:09:52.800 --> 00:09:54.000]  不遵守他的法道
[00:09:54.000 --> 00:09:55.520]  反倒退後
[00:09:55.520 --> 00:09:56.440]  行詭詐
[00:09:56.440 --> 00:09:57.840]  像他們祖宗一樣
[00:09:57.840 --> 00:10:00.800]  他們反轉如同鬆弛的弓」
[00:10:00.800 --> 00:10:04.120]  他們不遵守法道
[00:10:04.120 --> 00:10:06.320]  不僅倒退
[00:10:06.320 --> 00:10:07.880]  還要行詭詐
[00:10:07.880 --> 00:10:11.640]  一開始他們就是口頭對質和上帝
[00:10:11.640 --> 00:10:14.000]  之後他們內心不順服
[00:10:14.000 --> 00:10:16.760]  剛強一直拒絕上帝的照顧
