
[00:00:00.000 --> 00:00:05.000]  好的 姐妹平安
[00:00:05.000 --> 00:00:08.340]  感謝神讓我能夠在母親節的日子
[00:00:08.340 --> 00:00:11.400]  和大家分享上帝的訊息
[00:00:11.400 --> 00:00:17.000]  在疫情底下的母親節到底是如何的呢
[00:00:17.000 --> 00:00:21.200]  都感恩的 限聚令放寬了
[00:00:21.200 --> 00:00:24.500]  可能很多家庭都可以出去吃一餐飯
[00:00:24.500 --> 00:00:30.000]  的確在疫情底下做媽媽不容易
[00:00:30.000 --> 00:00:35.000]  到底在疫情底下香港的媽媽是像超人一樣
[00:00:35.000 --> 00:00:40.500]  還是像這個很苦惱的虎媽呢
[00:00:40.500 --> 00:00:45.000]  我自己在家裡都有兩個孩子
[00:00:45.000 --> 00:00:47.000]  一個大一點一個小學生
[00:00:47.000 --> 00:00:50.000]  這段時間的日子
[00:00:50.000 --> 00:00:53.000]  家裡就變成了辦公室
[00:00:53.000 --> 00:00:57.000]  變成課室 變成活動室
[00:00:57.000 --> 00:01:00.000]  因為不能出外 要讓他們書展一下
[00:01:00.000 --> 00:01:02.000]  可以在家裡做運動
[00:01:02.000 --> 00:01:05.000]  所以要變成一個多功能的家
[00:01:05.000 --> 00:01:09.000]  媽媽也要成為一個多功能的媽媽
[00:01:09.000 --> 00:01:12.000]  更加困難的是
[00:01:12.000 --> 00:01:15.000]  有一集大家不知道有沒有留意
[00:01:15.000 --> 00:01:18.000]  現在可能要在YouTube上看
[00:01:18.000 --> 00:01:20.000]  《我天天都在家》
[00:01:20.000 --> 00:01:24.000]  這個節目講述一班
[00:01:24.000 --> 00:01:31.000]  有些學習 特殊需要的孩子
[00:01:31.000 --> 00:01:34.000]  在這段時間又停課
[00:01:34.000 --> 00:01:36.000]  不能上學
[00:01:36.000 --> 00:01:39.000]  他們平時有很多資源
[00:01:39.000 --> 00:01:41.000]  需要去做一些治療
[00:01:41.000 --> 00:01:46.000]  去做一些訓練
[00:01:46.000 --> 00:01:50.000]  以致去學習表達他們的表達能力
[00:01:50.000 --> 00:01:53.000]  社交等等 表達他們的情緒
[00:01:53.000 --> 00:01:57.000]  這段時間這些支援都停了下來
[00:01:57.000 --> 00:02:00.000]  所有的責任就在媽媽身上
[00:02:00.000 --> 00:02:03.000]  所以看這一集
[00:02:03.000 --> 00:02:06.000]  自己心裡也慰藉這班媽媽
[00:02:06.000 --> 00:02:09.000]  實在是疫情下的虎媽
[00:02:09.000 --> 00:02:11.000]  默默地去禱告
[00:02:11.000 --> 00:02:14.000]  也盼望疫情早日過去
[00:02:14.000 --> 00:02:17.000]  我們都可以舒緩下來
[00:02:17.000 --> 00:02:23.000]  今天會跟大家思想一個舊約的聖經人物
[00:02:23.000 --> 00:02:27.000]  先送一個母親節禮物
[00:02:27.000 --> 00:02:29.000]  在講主題之前
[00:02:29.000 --> 00:02:34.000]  這段時間我們常常在視像中
[00:02:34.000 --> 00:02:37.000]  Zoom 和別人相處的方法
[00:02:37.000 --> 00:02:42.000]  盼望今天透過視像送一些花給媽媽
[00:02:42.000 --> 00:02:46.000]  希望為大家 每一個做媽媽的家友
[00:02:46.000 --> 00:02:49.000]  今天跟大家思想的經文
[00:02:49.000 --> 00:02:53.000]  在《獵王記》上17章8至24節
[00:02:53.000 --> 00:02:56.000]  提到一位虎媽
[00:02:56.000 --> 00:03:01.000]  一個舊約聖經記載的無名寡婦
[00:03:01.000 --> 00:03:04.000]  但不被上帝慰望
[00:03:04.000 --> 00:03:07.000]  讓我先讀出經文
[00:03:07.000 --> 00:03:19.000]  (中文)
[00:03:19.000 --> 00:03:22.000]  這是上帝對先知以利亞所說的
[00:03:22.000 --> 00:03:29.000]  (中文)
[00:03:29.000 --> 00:03:34.000]  (中文)
[00:03:34.000 --> 00:03:38.000]  她去取水的時候 以利亞又呼喚她說
[00:03:38.000 --> 00:03:41.000]  請你手裡拿點餅來給我
[00:03:41.000 --> 00:03:44.000]  她說 我只著永生的耶和華
[00:03:44.000 --> 00:03:46.000]  你的上帝起誓
[00:03:46.000 --> 00:03:49.000]  我沒有餅 潭內只有一把麵
[00:03:49.000 --> 00:03:51.000]  瓶裡只有一點油
[00:03:51.000 --> 00:03:53.000]  看啊 我去找兩斤柴
[00:03:53.000 --> 00:03:57.000]  帶回家 為我和我兒子做餅
[00:03:57.000 --> 00:04:00.000]  我們吃了就等死吧
[00:04:00.000 --> 00:04:02.000]  以利亞對她說
[00:04:02.000 --> 00:04:06.000]  不要怕 你去照你所說的做吧
[00:04:06.000 --> 00:04:09.000]  只要先為我做一個小餅
[00:04:09.000 --> 00:04:10.000]  拿來給我
[00:04:10.000 --> 00:04:13.000]  然後為你和你的兒子做餅
[00:04:13.000 --> 00:04:16.000]  因為耶和華以色列的上帝如此說
[00:04:16.000 --> 00:04:18.000]  潭內的麵必不用盡
[00:04:18.000 --> 00:04:21.000]  瓶裡的油必不短缺
[00:04:21.000 --> 00:04:24.000]  直到耶和華始於降在地上的日子
[00:04:24.000 --> 00:04:27.000]  婦人就照以利亞的話去做
[00:04:27.000 --> 00:04:30.000]  她和以利亞以及她家中的人
[00:04:30.000 --> 00:04:32.000]  吃了許多日子
[00:04:32.000 --> 00:04:35.000]  潭內的麵果然沒有用盡
[00:04:35.000 --> 00:04:37.000]  瓶裡的油也不短缺
[00:04:37.000 --> 00:04:41.000]  正如耶和華藉以利亞所說的話
[00:04:41.000 --> 00:04:43.000]  這事以後
[00:04:43.000 --> 00:04:46.000]  那婦人就是那家的女主人
[00:04:46.000 --> 00:04:49.000]  她的兒子病了 病得很重
[00:04:49.000 --> 00:04:50.000]  甚至沒有氣息
[00:04:50.000 --> 00:04:52.000]  婦人對以利亞說
[00:04:52.000 --> 00:04:55.000]  神恩啊 我跟你有什麼關係
[00:04:55.000 --> 00:04:56.000]  你警告我這女兒來
[00:04:56.000 --> 00:04:59.000]  使上帝記起我的罪
[00:04:59.000 --> 00:05:01.000]  以致我的兒子死了
[00:05:01.000 --> 00:05:03.000]  以利亞對她說
[00:05:03.000 --> 00:05:05.000]  把你兒子交給我
[00:05:05.000 --> 00:05:08.000]  以利亞就從婦人懷中接過孩子來
[00:05:08.000 --> 00:05:11.000]  抱到她所住的頂樓
[00:05:11.000 --> 00:05:13.000]  放在自己的床上
[00:05:13.000 --> 00:05:15.000]  她求告耶和華說
[00:05:15.000 --> 00:05:17.000]  耶和華 我的上帝啊
[00:05:17.000 --> 00:05:20.000]  我寄居在這寡婦的家裡
[00:05:20.000 --> 00:05:22.000]  你卻降和於她
[00:05:22.000 --> 00:05:24.000]  使她的兒子死了嗎
[00:05:24.000 --> 00:05:27.000]  以利亞三次伏在孩子的身上
[00:05:27.000 --> 00:05:29.000]  求告耶和華說
[00:05:29.000 --> 00:05:31.000]  耶和華 我的上帝啊
[00:05:31.000 --> 00:05:35.000]  求你使這孩子的生命歸回給他吧
[00:05:35.000 --> 00:05:37.000]  耶和華聽了以利亞的呼求
[00:05:37.000 --> 00:05:40.000]  孩子的生命歸回給他
[00:05:40.000 --> 00:05:41.000]  他就活了
[00:05:41.000 --> 00:05:45.000]  以利亞把孩子從樓上抱下來
[00:05:45.000 --> 00:05:48.000]  進了房間交給他的母親說
[00:05:48.000 --> 00:05:50.000]  看 你的兒子活了
[00:05:50.000 --> 00:05:52.000]  婦人對以利亞說
[00:05:52.000 --> 00:05:55.000]  現在我知道你是神人
[00:05:55.000 --> 00:05:58.000]  耶和華藉你口所說的話是真的
[00:05:58.000 --> 00:06:01.000]  我們也一同禱告
[00:06:01.000 --> 00:06:06.000]  天父上帝 我們去感謝你
[00:06:06.000 --> 00:06:11.000]  主因為你是全能全知的上帝
[00:06:11.000 --> 00:06:15.000]  主在你的眼目去看顧全地
[00:06:15.000 --> 00:06:17.000]  無論是重要的人物
[00:06:17.000 --> 00:06:20.000]  還是一些無名的小人物
[00:06:20.000 --> 00:06:22.000]  主 其實你也知道
[00:06:22.000 --> 00:06:25.000]  天父求你透過今天的經文
[00:06:25.000 --> 00:06:27.000]  寡婦的生命
[00:06:27.000 --> 00:06:29.000]  再一次幫助我們
[00:06:29.000 --> 00:06:32.000]  認識你是一位怎樣的上帝
[00:06:32.000 --> 00:06:34.000]  教導我們的生命
[00:06:34.000 --> 00:06:37.000]  應該怎樣行在你自己的心意裏
[00:06:37.000 --> 00:06:39.000]  主 求你帶領我們以下的時間
[00:06:39.000 --> 00:06:42.000]  祈禱交託奉耶穌基督得勝的名字而求
[00:06:42.000 --> 00:06:44.000]  阿們
[00:06:44.000 --> 00:06:49.000]  講一講這段經文的背景
[00:06:49.000 --> 00:06:53.000]  當時以色列的皇帝是阿哈
[00:06:53.000 --> 00:06:56.000]  他娶了的皇后叫耶洗別
[00:06:56.000 --> 00:06:58.000]  是一個拜偶像
[00:06:58.000 --> 00:07:01.000]  亦是非常邪惡的皇后
[00:07:01.000 --> 00:07:04.000]  引誘了以色列人去拜偶像
[00:07:04.000 --> 00:07:08.000]  阿哈亦在國裏建了巴力廟
[00:07:08.000 --> 00:07:12.000]  做了阿舍拉 耶和華的法奴
[00:07:12.000 --> 00:07:15.000]  繼續在今天的聖經裏
[00:07:15.000 --> 00:07:18.000]  我們看到上帝興起先知以利亞
[00:07:18.000 --> 00:07:22.000]  向阿哈宣告審判的訊息
[00:07:22.000 --> 00:07:25.000]  旱災將要來臨
[00:07:25.000 --> 00:07:27.000]  上帝吩咐以利亞
[00:07:27.000 --> 00:07:29.000]  跟阿哈講完這番話後
[00:07:29.000 --> 00:07:31.000]  要躲藏起來
[00:07:31.000 --> 00:07:35.000]  因為知道耶洗別一定不會放過他
[00:07:35.000 --> 00:07:39.000]  以利亞就去到一個基納溪
[00:07:39.000 --> 00:07:43.000]  上帝吩咐烏鴉去供養他
[00:07:43.000 --> 00:07:46.000]  去到一段時間
[00:07:46.000 --> 00:07:48.000]  河水都乾了
[00:07:48.000 --> 00:07:50.000]  上帝再吩咐以利亞
[00:07:50.000 --> 00:07:53.000]  前往一個叫撒勒法的地方
[00:07:53.000 --> 00:07:56.000]  去投靠一個寡婦
[00:07:56.000 --> 00:07:59.000]  在一個大時代裏
[00:07:59.000 --> 00:08:02.000]  神興起一個大先知
[00:08:02.000 --> 00:08:05.000]  面對一個邪惡的君王
[00:08:05.000 --> 00:08:07.000]  一個大君王
[00:08:07.000 --> 00:08:11.000]  但在裏面我們卻看到
[00:08:11.000 --> 00:08:17.000]  上帝顧念一個小人物
[00:08:17.000 --> 00:08:22.000]  在一個大時代發生很多事情
[00:08:22.000 --> 00:08:27.000]  其實很多時候都影響著很多小人物
[00:08:27.000 --> 00:08:29.000]  今天讓我們用焦點
[00:08:29.000 --> 00:08:34.000]  很多時候看經文都會看到以利亞
[00:08:34.000 --> 00:08:37.000]  但今天我們將焦點放重一點
[00:08:37.000 --> 00:08:38.000]  去看寡婦
[00:08:38.000 --> 00:08:41.000]  到底在這個大時代裏
[00:08:41.000 --> 00:08:46.000]  窮寡婦如何被紀念呢?
[00:08:46.000 --> 00:08:50.000]  所以今天的經文會從三方面去看
[00:08:50.000 --> 00:08:52.000]  一個很困苦
[00:08:52.000 --> 00:08:55.000]  一個生命很苦的女人
[00:08:55.000 --> 00:08:56.000]  一個寡婦
[00:08:56.000 --> 00:08:58.000]  她經歷了什麼呢?
[00:08:58.000 --> 00:09:00.000]  苦上帝未曾遺忘
[00:09:00.000 --> 00:09:03.000]  苦仍可以活出美善
[00:09:03.000 --> 00:09:07.000]  苦可以轉化成為祝福
[00:09:07.000 --> 00:09:11.000]  一開始的時候
[00:09:11.000 --> 00:09:14.000]  耶和華的華就臨到以利亞
[00:09:14.000 --> 00:09:16.000]  叫她起身去西頓
[00:09:16.000 --> 00:09:18.000]  薩納法的地方
[00:09:18.000 --> 00:09:20.000]  住在那裏
[00:09:20.000 --> 00:09:27.000]  還有上帝說已經吩咐了一個寡婦來供養
[00:09:27.000 --> 00:09:30.000]  其實對於一個大先知來說
[00:09:30.000 --> 00:09:34.000]  這個吩咐真的不容易
[00:09:34.000 --> 00:09:36.000]  我們先看一看
[00:09:36.000 --> 00:09:39.000]  她要去的地方
[00:09:39.000 --> 00:09:42.000]  薩納法到底是一個什麼地方
[00:09:42.000 --> 00:09:48.000]  其實以利亞在基納溪
[00:09:48.000 --> 00:09:53.000]  在約旦河的東面
[00:09:53.000 --> 00:09:54.000]  在那裏
[00:09:54.000 --> 00:10:01.000]  耶和華吩咐她去到北方最頂的薩納法的地方
[00:10:01.000 --> 00:10:05.000]  一個很遙遠的路程
[00:10:05.000 --> 00:10:09.000]  並且薩納法是一個什麼地方呢?
[00:10:09.000 --> 00:10:15.000]  其實薩納法正正在菲利基境內
[00:10:15.000 --> 00:10:18.000]  一個很小的小城
[00:10:18.000 --> 00:10:20.000]  毫不起眼
[00:10:20.000 --> 00:10:23.000]  但是這個小城很重要
[00:10:23.000 --> 00:10:29.000]  以北15公里就是一個叫西頓的地方
[00:10:29.000 --> 00:10:31.000]  聖經裏面的獵王記上
[00:10:31.000 --> 00:10:33.000]  如果我們看上一章
[00:10:33.000 --> 00:10:37.000]  阿哈就是娶了西頓王的女兒
[00:10:37.000 --> 00:10:39.000]  夜洗別為妻
[00:10:39.000 --> 00:10:44.000]  所以薩納法就在菲利基境內
[00:10:44.000 --> 00:10:47.000]  而正正在菲利基這個地方
[00:10:47.000 --> 00:10:49.000]  西頓王的女兒夜洗別
[00:10:49.000 --> 00:10:52.000]  就是一個菲利基的公主
[00:10:52.000 --> 00:10:55.000]  所以上帝其實是吩咐
[00:10:55.000 --> 00:10:59.000]  以利亞去到敵人所屬的國家裏面
[00:10:59.000 --> 00:11:03.000]  如果我們記起神吩咐若拿
[00:11:03.000 --> 00:11:06.000]  要去尼尼眉城亞述國的首都
[00:11:06.000 --> 00:11:11.000]  若拿也是很抗拒
[00:11:11.000 --> 00:11:12.000]  要逃避
[00:11:12.000 --> 00:11:15.000]  因為很不想去到敵人的國家
[00:11:15.000 --> 00:11:17.000]  今天我們看到
[00:11:17.000 --> 00:11:20.000]  以利亞的回應
[00:11:20.000 --> 00:11:22.000]  卻是很馴服上帝
[00:11:22.000 --> 00:11:25.000]  他就是這樣去了這個地方
[00:11:25.000 --> 00:11:29.000]  並且他要接受一個寡婦的供養
[00:11:29.000 --> 00:11:33.000]  寡婦就是一個社會裏面
[00:11:33.000 --> 00:11:36.000]  最基層最弱勢的一群
[00:11:36.000 --> 00:11:40.000]  竟然要受一個寡婦的供養
[00:11:40.000 --> 00:11:44.000]  還是一個單身的男人
[00:11:44.000 --> 00:11:46.000]  去到一個寡婦的家裏面去住
[00:11:46.000 --> 00:11:49.000]  到底人的眼光會怎樣看
[00:11:49.000 --> 00:11:50.000]  很不容易
[00:11:50.000 --> 00:11:53.000]  但是以利亞也馴服去了
[00:11:53.000 --> 00:11:56.000]  在這樣的場景下
[00:11:56.000 --> 00:12:02.000]  樂樸的先知和窮寡婦相遇
[00:12:02.000 --> 00:12:06.000]  其實在舊約的時代
[00:12:06.000 --> 00:12:11.000]  一個窮寡婦的確生命很悲哀
[00:12:11.000 --> 00:12:15.000]  因為窮寡婦代表著
[00:12:15.000 --> 00:12:19.000]  她失去了丈夫的依靠和保護
[00:12:19.000 --> 00:12:22.000]  看到經文她要自己走出來撿柴
[00:12:22.000 --> 00:12:24.000]  可能她的兒子還是很小
[00:12:24.000 --> 00:12:26.000]  未能幫她撿柴
[00:12:26.000 --> 00:12:27.000]  很辜負
[00:12:27.000 --> 00:12:30.000]  聖經裏面連她的名字也沒有記載
[00:12:30.000 --> 00:12:34.000]  所以有誰會紀念她呢?
[00:12:34.000 --> 00:12:37.000]  並且在她的人生裏面
[00:12:37.000 --> 00:12:38.000]  其實這一刻
[00:12:38.000 --> 00:12:40.000]  以利亞遇見她的時間
[00:12:40.000 --> 00:12:44.000]  正正她準備人生的最後晚餐
[00:12:44.000 --> 00:12:48.000]  在她的人生默默地承受著生命的苦
[00:12:48.000 --> 00:12:50.000]  沒有人明白
[00:12:50.000 --> 00:12:53.000]  但竟然在她撿柴的時間
[00:12:53.000 --> 00:12:58.000]  遇上一個不知道從何而來的人
[00:12:58.000 --> 00:13:01.000]  竟然會跟她相遇
[00:13:01.000 --> 00:13:03.000]  經文往下看
[00:13:03.000 --> 00:13:05.000]  可能是以利亞的自我介紹
[00:13:05.000 --> 00:13:09.000]  她便知道她是耶和華的先知
[00:13:09.000 --> 00:13:13.000]  但這個相遇的確真的很不尋常
