
[00:00:00.000 --> 00:00:04.480]  各位晚安
[00:00:04.480 --> 00:00:09.280]  大家好嗎
[00:00:09.280 --> 00:00:11.240]  感謝主
[00:00:11.240 --> 00:00:17.000]  這個世界很多事情不斷發生
[00:00:17.000 --> 00:00:20.040]  讓我們作信徒
[00:00:20.040 --> 00:00:25.080]  其實今天都不太清楚自己在一個什麼境況裏
[00:00:25.080 --> 00:00:27.400]  但不要緊
[00:00:27.400 --> 00:00:29.920]  今天我們大家回來
[00:00:29.920 --> 00:00:34.200]  在你的殿裏繼續學習
[00:00:34.200 --> 00:00:37.640]  繼續仰望主我們的神
[00:00:37.640 --> 00:00:44.160]  舊約經卷系列
[00:00:44.160 --> 00:00:47.040]  今天講到阿摩斯書第六講
[00:00:47.040 --> 00:00:50.040]  題目是「自滿不能拯救你」
[00:00:50.040 --> 00:00:52.840]  大家會不會覺得這個題目很有趣
[00:00:52.840 --> 00:00:54.960]  什麼是自滿呢
[00:00:54.960 --> 00:00:58.920]  可能我們會馬上想到自滿就是驕傲
[00:00:58.920 --> 00:01:01.880]  自滿就是覺得自己很不得了
[00:01:01.880 --> 00:01:03.440]  很多事情都很成功
[00:01:03.440 --> 00:01:06.640]  不需要其他人去幫我
[00:01:06.640 --> 00:01:10.520]  但當我們從神的角度
[00:01:10.520 --> 00:01:14.720]  從聖經的角度去看自滿
[00:01:14.720 --> 00:01:18.280]  我們很可能會看到這隻杯
[00:01:18.280 --> 00:01:22.880]  大家看到這隻杯在一個什麼狀況裏
[00:01:22.880 --> 00:01:24.760]  滿社
[00:01:24.760 --> 00:01:27.320]  這隻杯好像裝了一些東西
[00:01:27.320 --> 00:01:28.720]  一些液體
[00:01:28.720 --> 00:01:31.120]  裝到滿了
[00:01:31.120 --> 00:01:35.600]  會不會當我們將這隻杯比喻為我們的生命
[00:01:35.600 --> 00:01:37.600]  我們一隻生命的杯
[00:01:37.600 --> 00:01:40.680]  我們裏面裝了很多東西
[00:01:40.680 --> 00:01:42.720]  我們不知道那些東西從哪裏來
[00:01:42.720 --> 00:01:45.920]  很可能是一些過往我們認識
[00:01:45.920 --> 00:01:47.840]  或者我們原生家庭叫我們做
[00:01:47.840 --> 00:01:49.040]  用心讀書
[00:01:49.040 --> 00:01:50.640]  用心工作
[00:01:50.640 --> 00:01:51.960]  賺很多錢
[00:01:51.960 --> 00:01:54.360]  我們有自己的物業
[00:01:54.360 --> 00:01:56.280]  有自己的娛樂
[00:01:56.280 --> 00:01:58.280]  有自己的家庭
[00:01:58.280 --> 00:02:01.080]  這些很可能都是我們的目標
[00:02:01.080 --> 00:02:04.760]  亦都是我們想將我們的生命裝得滿滿
[00:02:04.760 --> 00:02:07.560]  然後我們覺得我什麼都有了
[00:02:07.560 --> 00:02:09.360]  我很開心
[00:02:09.360 --> 00:02:12.520]  我可以很安樂
[00:02:12.520 --> 00:02:13.880]  但是不是這樣呢
[00:02:13.880 --> 00:02:18.440]  相信大家都知道不是那麼簡單
[00:02:18.440 --> 00:02:21.880]  自滿是一個狀況
[00:02:21.880 --> 00:02:25.440]  當我們嘗試在這個世界不斷去發掘一些
[00:02:25.440 --> 00:02:29.560]  滿足自己的一些優越感
[00:02:29.560 --> 00:02:32.240]  安全感的時候
[00:02:32.240 --> 00:02:34.240]  我們以為自己已經得到了
[00:02:34.240 --> 00:02:36.800]  我們以為自己已經OK了
[00:02:36.800 --> 00:02:39.920]  但當神嘗試再去加東西給我們
[00:02:39.920 --> 00:02:41.000]  提醒我們
[00:02:41.000 --> 00:02:42.240]  給一些資訊我們
[00:02:42.240 --> 00:02:43.440]  告訴我們
[00:02:43.440 --> 00:02:45.520]  真正的福樂
[00:02:45.520 --> 00:02:47.320]  真正的美善
[00:02:47.320 --> 00:02:50.680]  真正神的祝福和恩典
[00:02:50.680 --> 00:02:52.160]  是什麼時候
[00:02:52.160 --> 00:02:55.320]  我們因為生命的杯已經裝得滿滿
[00:02:55.320 --> 00:02:59.040]  我們不能再承載什麼
[00:02:59.040 --> 00:03:00.840]  滿了
[00:03:00.840 --> 00:03:02.000]  在這樣的情況下
[00:03:02.000 --> 00:03:04.640]  我們的心靈狀態是怎樣的呢
[00:03:04.640 --> 00:03:05.600]  是很剛硬的
[00:03:05.600 --> 00:03:07.160]  一點都不柔軟
[00:03:07.160 --> 00:03:08.960]  一點都不能夠聽到
[00:03:08.960 --> 00:03:14.440]  或者承載到神再給我們的恩典的祝福
[00:03:14.440 --> 00:03:15.720]  我們很自我封閉
[00:03:15.720 --> 00:03:19.480]  我們以為自己已經得到了
[00:03:19.480 --> 00:03:21.000]  聖經有很多的提醒
[00:03:21.000 --> 00:03:23.760]  特別我最喜歡羅馬書十二章二節這樣說
[00:03:23.760 --> 00:03:25.480]  不要效法這個世界
[00:03:25.480 --> 00:03:28.680]  要心意根生變化
[00:03:28.680 --> 00:03:30.480]  心意根生變化
[00:03:30.480 --> 00:03:32.880]  是鼓勵我們每一個信徒
[00:03:32.880 --> 00:03:35.640]  都站在基督徒的立場裡面
[00:03:35.640 --> 00:03:39.000]  去思想我們生命中每一件事情
[00:03:39.000 --> 00:03:40.680]  但當我們生命的杯
[00:03:40.680 --> 00:03:42.480]  是裝得滿滿的時候
[00:03:42.480 --> 00:03:46.960]  我們根本聽不到神給我們的恩典的訊息
[00:03:46.960 --> 00:03:50.520]  以致我們不能夠留意到
[00:03:50.520 --> 00:03:52.440]  神給我們的提醒
[00:03:52.440 --> 00:03:56.360]  祂的美善和祂的美好
[00:03:56.360 --> 00:03:58.360]  很多時候
[00:03:58.360 --> 00:04:00.080]  就是這樣
[00:04:00.080 --> 00:04:01.320]  我們看到的
[00:04:01.320 --> 00:04:03.880]  就是一個我們覺得
[00:04:03.880 --> 00:04:05.400]  都可以啊我
[00:04:05.400 --> 00:04:08.960]  我沒什麼問題的生命
[00:04:08.960 --> 00:04:11.000]  但最大的問題是什麼呢
[00:04:11.000 --> 00:04:13.360]  就是我們覺得自己OK
[00:04:13.360 --> 00:04:16.200]  原來我們生命裡面很可能有一些破口
[00:04:16.200 --> 00:04:17.680]  就是因為我們自滿
[00:04:17.680 --> 00:04:19.280]  因為我們覺得自己OK
[00:04:19.280 --> 00:04:21.640]  以致我們沒有發現
[00:04:21.640 --> 00:04:23.000]  當這隻生命的杯
[00:04:23.000 --> 00:04:26.360]  再不能夠承載神給我們的祝福恩典
[00:04:26.360 --> 00:04:27.760]  因為已經注滿了
[00:04:27.760 --> 00:04:29.400]  注滿了一些我們覺得很重要
[00:04:29.400 --> 00:04:31.520]  我們握得很緊的東西
[00:04:31.520 --> 00:04:33.280]  在這時候
[00:04:33.280 --> 00:04:37.800]  我們這隻生命的杯有破口都不知道
[00:04:37.800 --> 00:04:40.400]  破口可能大家弟兄姊妹都聽過很多次
[00:04:40.400 --> 00:04:41.600]  是什麼東西
[00:04:41.600 --> 00:04:43.200]  是一個軍事的用詞
[00:04:43.200 --> 00:04:46.520]  指的是一個城牆上面有條裂縫
[00:04:46.520 --> 00:04:47.600]  有一個弱點
[00:04:47.600 --> 00:04:49.520]  當敵人嘗試去進攻的時候
[00:04:49.520 --> 00:04:51.520]  他就會對準這個裂縫
[00:04:51.520 --> 00:04:53.320]  對準這個弱點
[00:04:53.320 --> 00:04:58.640]  以致這個城牆很容易被擊潰
[00:04:58.640 --> 00:05:00.880]  當我們生命有一個破口
[00:05:00.880 --> 00:05:03.120]  但是我們不能夠發覺到
[00:05:03.120 --> 00:05:04.600]  因為神提醒我們
[00:05:04.600 --> 00:05:07.280]  我們不知道的時候
[00:05:07.280 --> 00:05:09.600]  我們就會繼續
[00:05:09.600 --> 00:05:13.200]  以為自己是一個信仰很好的狀態
