
[00:00:00.000 --> 00:00:03.400]  在某一夜,我竟然會做出這樣的決定
[00:00:03.400 --> 00:00:05.800]  就是向神投降
[00:00:05.800 --> 00:00:08.180]  而且打開了道門
[00:00:08.180 --> 00:00:10.900]  和耶穌和我一起去見祂們
[00:00:10.900 --> 00:00:14.600]  在那天晚上,我看到耶穌的聖體在我身邊
[00:00:14.600 --> 00:00:18.960]  祂們的聖體是一顆聖骸,是一顆聖骸
[00:00:18.960 --> 00:00:23.560]  祂們的聖骸是一顆聖骸,是一顆聖骸
[00:00:23.560 --> 00:00:26.560]  祂們的聖骸是一顆聖骸,是一顆聖骸
[00:00:26.560 --> 00:00:28.860]  祂們的聖骸是一顆聖骸
[00:00:28.860 --> 00:00:32.600]  和耶穌進入了一個我最隱密的地方
[00:00:32.600 --> 00:00:34.600]  我的心
[00:00:34.600 --> 00:00:42.000]  想想,基督教信仰真是不可思議
[00:00:42.000 --> 00:00:46.800]  人人的家庭都會盡量找一些最美最堅固的材料來建造
[00:00:46.800 --> 00:00:51.600]  但神選擇了他的家庭是用破碎的心靈來建造
[00:00:51.600 --> 00:00:56.600]  而是一些相信他和接受他救恩的人的心
[00:00:56.600 --> 00:00:59.600]  但這是甚麼道理呢?
[00:00:59.600 --> 00:01:02.100]  耶穌的確說過
[00:01:02.100 --> 00:01:05.600]  誰真心愛我,聽我的話去做人
[00:01:05.600 --> 00:01:07.600]  我就住在他那裡
[00:01:07.600 --> 00:01:12.600]  哇!耶穌進入了我的心裡住?
[00:01:12.600 --> 00:01:16.100]  我隨時可以和他談心事,甚至談到通宵?
[00:01:16.100 --> 00:01:18.100]  想起都覺得很棒
[00:01:18.100 --> 00:01:20.100]  而他搬進來住的那天
[00:01:20.100 --> 00:01:24.100]  雖然沒有開甚麼歡迎會,慶祝他進來住
[00:01:24.100 --> 00:01:28.600]  但我真的感受到並不是一時衝動
[00:01:28.600 --> 00:01:32.600]  就是這樣,耶穌搬進來我的心裡
[00:01:32.600 --> 00:01:35.600]  他的光照亮了全屋每一個角落
[00:01:35.600 --> 00:01:39.600]  甚至那些最隱密,從來沒有人去過的房間
[00:01:39.600 --> 00:01:44.600]  他點起壁爐的火,很溫暖,很溫馨
[00:01:44.600 --> 00:01:49.600]  他拿起那些我從來沒有認真用過的樂器彈奏起來
[00:01:49.600 --> 00:01:53.600]  我感受到每個房間都充滿了愛
[00:01:53.600 --> 00:01:57.100]  我認為那晚我開門給他
[00:01:57.100 --> 00:02:00.100]  是我人生中最明智的一個選擇
[00:02:00.100 --> 00:02:03.100]  而當耶穌進來住後
[00:02:03.100 --> 00:02:07.100]  我感受到和他的關係親密了很多
[00:02:07.100 --> 00:02:10.100]  我個人開心了,樂觀了
[00:02:10.100 --> 00:02:13.100]  而且價值觀變得很正面
[00:02:13.100 --> 00:02:17.600]  主啊,你就當這裡是你的家
[00:02:17.600 --> 00:02:20.100]  我的東西就是你的東西
[00:02:20.600 --> 00:02:23.600]  現在,不如我帶你到處看看吧
[00:02:23.600 --> 00:02:37.600]  我帶耶穌進了第一間房,就是書房
[00:02:37.600 --> 00:02:40.100]  也就是我的思想大本營
[00:02:40.100 --> 00:02:44.600]  這間房雖然不算很大,但這裡其實很重要
[00:02:44.600 --> 00:02:48.600]  我有很多文件、大小事情,我都在這裡決定
[00:02:48.600 --> 00:02:51.600]  而耶穌一進來這間房
[00:02:51.600 --> 00:02:56.600]  他的眼睛就橫掃了我所有書和電腦的APP
[00:02:56.600 --> 00:03:00.600]  他越看,我就越感到渾身不自在
[00:03:00.600 --> 00:03:03.600]  說起來很奇怪
[00:03:03.600 --> 00:03:07.600]  因為我一向都不覺得有什麼問題
[00:03:07.600 --> 00:03:10.600]  但現在他那雙什麼都看穿的眼睛
[00:03:10.600 --> 00:03:13.600]  令我感到很尷尬
[00:03:13.600 --> 00:03:15.600]  因為問心嘛
