
[00:00:00.000 --> 00:00:04.540]  我們繼續處理這個《獵王機殤》
[00:00:04.540 --> 00:00:06.540]  《獵王機殤》第十八章
[00:00:06.540 --> 00:00:08.940]  就是這個很出名的加密山的故事
[00:00:08.940 --> 00:00:12.420]  上次我們說過17至19章的故事
[00:00:12.420 --> 00:00:14.420]  其實是一個
[00:00:14.420 --> 00:00:16.420]  你看完這麼多的故事
[00:00:16.420 --> 00:00:20.220]  其實它的編排是有它的脈絡在那裡的
[00:00:20.220 --> 00:00:22.220]  它的脈絡是說過
[00:00:22.220 --> 00:00:23.020]  就是由一個宣告開始
[00:00:23.020 --> 00:00:24.020]  然後有一個旅程
[00:00:24.020 --> 00:00:25.020]  一個movement
[00:00:25.020 --> 00:00:27.020]  然後有兩個encounter
[00:00:27.020 --> 00:00:28.020]  兩個相遇
[00:00:28.020 --> 00:00:30.020]  然後就有一個神蹟出現
[00:00:30.020 --> 00:00:32.020]  然後就有一些改變
[00:00:32.020 --> 00:00:34.020]  那些看到神蹟的
[00:00:34.020 --> 00:00:35.020]  或者接受神蹟的人
[00:00:35.020 --> 00:00:36.020]  就會有一個改變
[00:00:36.020 --> 00:00:38.020]  我們看17章的時候
[00:00:38.020 --> 00:00:39.020]  這樣去順序的時候
[00:00:39.020 --> 00:00:40.020]  你就發現
[00:00:40.020 --> 00:00:42.020]  其實18章的脈絡
[00:00:42.020 --> 00:00:44.020]  是非常相似的
[00:00:44.020 --> 00:00:46.020]  所以這些這樣的聖經的作者
[00:00:46.020 --> 00:00:50.020]  他們去到佈局的時候
[00:00:50.020 --> 00:00:52.020]  或者將這些故事
[00:00:52.020 --> 00:00:53.020]  放在一起的時候
[00:00:53.020 --> 00:00:54.020]  它的arrangement
[00:00:54.020 --> 00:00:57.020]  它的安排
[00:00:57.020 --> 00:00:59.020]  其實是有它的意思的
[00:00:59.020 --> 00:01:01.020]  所以我們來到18章的時候
[00:01:01.020 --> 00:01:02.020]  我們之前說過
[00:01:02.020 --> 00:01:03.020]  俄巴底
[00:01:03.020 --> 00:01:04.020]  然後
[00:01:04.020 --> 00:01:06.020]  以利亞和阿哈
[00:01:06.020 --> 00:01:08.020]  去到有一個confrontation
[00:01:08.020 --> 00:01:09.020]  就是有一個相遇
[00:01:09.020 --> 00:01:12.020]  然後就去到加密山上面
[00:01:12.020 --> 00:01:14.020]  之前也曾經提過
[00:01:14.020 --> 00:01:15.020]  加密山的地理
[00:01:15.020 --> 00:01:18.020]  我們就看看一些經文
[00:01:18.020 --> 00:01:19.020]  上下文
[00:01:19.020 --> 00:01:20.020]  遼宏紀
[00:01:20.020 --> 00:01:21.020]  其他的經文
[00:01:21.020 --> 00:01:22.020]  看看這個加密山
[00:01:22.020 --> 00:01:23.020]  為什麼會這麼重要
[00:01:23.020 --> 00:01:25.020]  18章20節
[00:01:25.020 --> 00:01:27.020]  就是阿哈派人
[00:01:27.020 --> 00:01:29.020]  到以色列的眾人那裡
[00:01:29.020 --> 00:01:31.020]  召集了先知
[00:01:31.020 --> 00:01:33.020]  上加密山
[00:01:33.020 --> 00:01:34.020]  Mount Karmel
[00:01:34.020 --> 00:01:36.020]  加密山我們之前曾經提過
