
[00:00:00.000 --> 00:00:04.000]  早晨各位弟兄姊妹
[00:00:04.000 --> 00:00:08.000]  無驚無險可以回到你們中間
[00:00:08.000 --> 00:00:11.000]  因為大家都知道這個政府封鎖
[00:00:11.000 --> 00:00:13.000]  突然收到很多消息
[00:00:13.000 --> 00:00:16.000]  可能航班會被取消
[00:00:16.000 --> 00:00:20.000]  我們上機之前那天就告訴我們
[00:00:20.000 --> 00:00:23.000]  如果你沒有被取消的時候
[00:00:23.000 --> 00:00:27.000]  飛機大概會遲四至八個小時
[00:00:27.000 --> 00:00:30.000]  所以我帶了很多食物在我的袋子裡
[00:00:30.000 --> 00:00:35.000]  很感謝主,只是延誤了十五分鐘
[00:00:35.000 --> 00:00:37.000]  昨晚平安到達
[00:00:37.000 --> 00:00:40.000]  兩個星期前左右
[00:00:40.000 --> 00:00:46.000]  我在香港在芝加哥的Facebook群組裡
[00:00:46.000 --> 00:00:50.000]  回應一個帖文
[00:00:50.000 --> 00:00:56.000]  我知道有人知道我在說哪個帖文
[00:00:56.000 --> 00:01:02.000]  因為我們UV裡也有人Like和寫一些東西
[00:01:02.000 --> 00:01:07.000]  一般來說,我不會在這些群組寫什麼
[00:01:07.000 --> 00:01:11.000]  或者群組裡有很多人我不認識
[00:01:11.000 --> 00:01:13.000]  我不會寫東西
[00:01:13.000 --> 00:01:16.000]  但這次有一個人寫了一些東西
[00:01:16.000 --> 00:01:19.000]  是我自己很熱衷的
[00:01:19.000 --> 00:01:21.000]  很緊張的東西
[00:01:21.000 --> 00:01:24.000]  所以我寫了一些回應
[00:01:24.000 --> 00:01:27.000]  我覺得我的回應很中立
[00:01:27.000 --> 00:01:31.000]  應該也沒有什麼
[00:01:31.000 --> 00:01:33.000]  我問問大家
[00:01:33.000 --> 00:01:41.000]  18元一碗年稅連貼士的牛腩麵
[00:01:41.000 --> 00:01:43.000]  划算嗎?
[00:01:43.000 --> 00:01:45.000]  划算嗎?
[00:01:45.000 --> 00:01:48.000]  划算還是不划算?
[00:01:48.000 --> 00:01:51.000]  大家當然有不同的想法
[00:01:51.000 --> 00:01:55.000]  我這個會買牛腩回家
[00:01:55.000 --> 00:02:01.000]  自己做潮州清湯牛腩的主婦
[00:02:01.000 --> 00:02:04.000]  知道買五磅牛腩回家
[00:02:04.000 --> 00:02:06.000]  花時間和材料
[00:02:06.000 --> 00:02:07.000]  用心做完之後
[00:02:07.000 --> 00:02:09.000]  可能有四磅左右
[00:02:09.000 --> 00:02:11.000]  沒有
[00:02:11.000 --> 00:02:13.000]  燕姨說沒有
[00:02:13.000 --> 00:02:17.000]  三磅多就OK
[00:02:17.000 --> 00:02:19.000]  可能變三磅
[00:02:19.000 --> 00:02:21.000]  所以對我來說
[00:02:21.000 --> 00:02:25.000]  一碗大大碗足料的牛腩麵
[00:02:25.000 --> 00:02:28.000]  18元年稅連貼士
[00:02:28.000 --> 00:02:30.000]  合理吧
[00:02:30.000 --> 00:02:33.000]  但想不到這個帖子
[00:02:33.000 --> 00:02:37.000]  有很多人加入討論
[00:02:37.000 --> 00:02:39.000]  四天之內
[00:02:39.000 --> 00:02:40.000]  四天而已
[00:02:40.000 --> 00:02:43.000]  竟然有67個留言
[00:02:43.000 --> 00:02:46.000]  當中還有人因為
[00:02:46.000 --> 00:02:50.000]  我們其中幾個覺得合理的回應
[00:02:50.000 --> 00:02:52.000]  而生氣
[00:02:52.000 --> 00:02:55.000]  我覺得很有趣
[00:02:55.000 --> 00:02:58.000]  竟然有這麼多人回應
[00:02:58.000 --> 00:03:00.000]  我心想
[00:03:00.000 --> 00:03:04.000]  我很想看看這個群組裡
[00:03:04.000 --> 00:03:06.000]  還有什麼帖子
[00:03:06.000 --> 00:03:08.000]  有這麼多人回應
[00:03:08.000 --> 00:03:11.000]  我就不停地掃
[00:03:11.000 --> 00:03:13.000]  掃到有點累
[00:03:13.000 --> 00:03:14.000]  不掃的時候
[00:03:14.000 --> 00:03:16.000]  你猜猜另一個帖子
[00:03:16.000 --> 00:03:20.000]  有雙位數字人回應的是什麼帖子
[00:03:20.000 --> 00:03:23.000]  其實大部分帖子沒有人回應
[00:03:23.000 --> 00:03:25.000]  或者有的都是單位數字
[00:03:25.000 --> 00:03:29.000]  你猜猜下一個是雙位數字多人回應的帖子
[00:03:29.000 --> 00:03:31.000]  是什麼帖子
[00:03:31.000 --> 00:03:33.000]  是說什麼的
[00:03:33.000 --> 00:03:38.000]  是魚肉燒賣
[00:03:38.000 --> 00:03:42.000]  20個帖子左右
[00:03:42.000 --> 00:03:46.000]  你是不是發覺吃果然真的很重要
[00:03:46.000 --> 00:03:49.000]  之前我跟大家說過傳道書的第一章
[00:03:49.000 --> 00:03:53.000]  說到傳道者積極地去尋問
[00:03:53.000 --> 00:03:55.000]  去試驗
[00:03:55.000 --> 00:03:57.000]  去思考人生的意義
[00:03:57.000 --> 00:04:00.000]  他發現人在日光之下
[00:04:00.000 --> 00:04:03.000]  勞碌都是徒勞的
[00:04:03.000 --> 00:04:05.000]  也是虛空的
[00:04:05.000 --> 00:04:07.000]  到了二章一至十一節
[00:04:07.000 --> 00:04:11.000]  傳道者嘗試透過享樂
[00:04:11.000 --> 00:04:12.000]  財富
[00:04:12.000 --> 00:04:13.000]  工作
[00:04:13.000 --> 00:04:18.000]  和物質上去尋求滿足
[00:04:18.000 --> 00:04:21.000]  但他最終發現
[00:04:21.000 --> 00:04:26.000]  原來這些東西都不是可以帶來持久的快樂
[00:04:26.000 --> 00:04:27.000]  或者滿足
[00:04:27.000 --> 00:04:29.000]  或者人生的意義
[00:04:29.000 --> 00:04:33.000]  好像嘗試捉住一陣風
[00:04:33.000 --> 00:04:36.000]  今天我就跟大家繼續看這個傳道書
[00:04:36.000 --> 00:04:39.000]  到了二章十二至二十六節
[00:04:39.000 --> 00:04:42.000]  三個主題去思考
[00:04:42.000 --> 00:04:45.000]  感謝天父賜我飲食
[00:04:45.000 --> 00:04:51.000]  這句我們基督徒吃每一餐飯都會說的話
[00:04:51.000 --> 00:04:53.000]  我們先低頭祈禱
[00:04:53.000 --> 00:04:57.000]  出去主我們一神
[00:04:57.000 --> 00:05:03.000]  感謝你讓孩子可以將你
[00:05:03.000 --> 00:05:07.000]  在聖經裏面要跟我們說的話
[00:05:07.000 --> 00:05:09.000]  說出來
[00:05:09.000 --> 00:05:12.000]  願你的說話能滋潤我們的生命
[00:05:12.000 --> 00:05:15.000]  你能夠在當中得著榮耀
[00:05:15.000 --> 00:05:17.000]  奉主耶穌基督的聖名祈求
[00:05:17.000 --> 00:05:18.000]  阿們
[00:05:18.000 --> 00:05:21.000]  我先跟大家讀一讀一段經文
[00:05:21.000 --> 00:05:26.000]  我轉過來觀察智慧狂妄和愚昧
[00:05:26.000 --> 00:05:29.000]  王的繼承人還能作什麼呢
[00:05:29.000 --> 00:05:32.000]  只不過作先前作過的罷了
[00:05:32.000 --> 00:05:35.000]  於是我看出智慧勝過愚昧
[00:05:35.000 --> 00:05:38.000]  如同光明勝過黑暗一樣
[00:05:38.000 --> 00:05:41.000]  智慧人的眼目明亮
[00:05:41.000 --> 00:05:44.000]  愚昧人卻走在黑暗中
[00:05:44.000 --> 00:05:48.000]  我也知道同一命運要臨到這兩種人身上
[00:05:48.000 --> 00:05:50.000]  我自己心裏說
[00:05:50.000 --> 00:05:54.000]  臨到愚昧人身上的也必臨到我身上
[00:05:54.000 --> 00:05:58.000]  那麼我為什麼要更有智慧呢
[00:05:58.000 --> 00:05:59.000]  於是我心裏說
[00:05:59.000 --> 00:06:00.000]  這也是虛空
[00:06:00.000 --> 00:06:03.000]  因為智慧人和愚昧人一樣
[00:06:03.000 --> 00:06:06.000]  沒有人永遠紀念他們
[00:06:06.000 --> 00:06:10.000]  在未來的日子裏都會被人遺忘
[00:06:10.000 --> 00:06:15.000]  可嘆智慧人跟愚昧人一樣終必死亡
[00:06:15.000 --> 00:06:17.000]  因此我恨惡生命
[00:06:17.000 --> 00:06:20.000]  因為在日光之下所發生的事
[00:06:20.000 --> 00:06:22.000]  都使我厭煩
[00:06:22.000 --> 00:06:24.000]  一切都是虛空
[00:06:24.000 --> 00:06:26.000]  都是暴風
[00:06:26.000 --> 00:06:29.000]  二章十八至二十三節
[00:06:29.000 --> 00:06:31.000]  我恨惡我的一切勞碌
[00:06:31.000 --> 00:06:33.000]  就是我在日光之下的勞碌
[00:06:33.000 --> 00:06:38.000]  因為我不得不把我勞碌的成果留給後人
[00:06:38.000 --> 00:06:41.000]  那人將來自知是如
[00:06:41.000 --> 00:06:43.000]  有誰曉得呢
[00:06:43.000 --> 00:06:47.000]  可是他竟要掌管一切我勞碌得來的
[00:06:47.000 --> 00:06:50.000]  就是我在日光之下用智慧得來的
[00:06:50.000 --> 00:06:51.000]  這又是虛空
[00:06:51.000 --> 00:06:53.000]  於是我轉念
[00:06:53.000 --> 00:06:57.000]  對日光之下我所勞碌的一切深感絕望
[00:06:57.000 --> 00:07:01.000]  因為人用智慧、知識和技能所勞碌得來的
[00:07:01.000 --> 00:07:05.000]  卻必留給未曾勞碌的人為份
[00:07:05.000 --> 00:07:06.000]  這也是虛空
[00:07:06.000 --> 00:07:08.000]  是極大的憾事
[00:07:08.000 --> 00:07:10.000]  人的一切勞碌和操心
[00:07:10.000 --> 00:07:13.000]  就是他在日光之下的勞碌的
[00:07:13.000 --> 00:07:16.000]  對自己有什麼益處呢
